L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product name,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Product Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to Ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image,Image_1,Image_2,Image_3,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),Size Chart,GTIN,HSN,EAN,Season,Occasion,Design / Style Type,Trend,Pattern,Features,Fabric,Fabric Finish,Material Finish,Max Sale Quantity,Bundles / Multipack Sets,Fit,Collar,Neck,Sleeve Length,Sports Type,Pockets,Reversible,Lining,Waist Rise,Length,Insole,Sole Material,Toe Shape,Outsole,Fastening,Midsole,Closure Type,Base Metal,Plating,Stone Type,Gem Type,Strap Material,Buckle Type,Buckle Material,Dial Shape,Frame / Rim Type,Frame Shape,Frame Colour,Frame Size,Frame Material,Face Shape,Lens Material,Lens Colour,Compartment Closure,External Pocket,Laptop Compartment,Laptop Size,Shoulder Strap Type,Volume [Ltrs.],Water Resistance,Lock Type,Dead Weight,Display,Glass Material,Warranty,Battery Life,Bluetooth,Call Function,Pedometer,Heart Rate Monitor,Sleep Monitor,SPO2 Monitor,Dupatta Pattern,Kurta Pattern,Ornamentation,Coverage,Padding,Seam,Straps,Closure,Waist Band,Type,Saree Fabric,Blouse,Blouse Fabric,Border,Bottom Fabric,Bottom Pattern,Bottom Type,Choli Stitch,Colour Family,Design Styling,Dupatta,Dupatta Border,Dupatta Fabric,Hemline,Kurta Fabric,Lehenga Fabric,Lehenga Lining Fabric,Lehenga Stitch,Set Content,Shape,Sleeve Styling,Slit Detail,Stitch,Top Design Styling,Top Hemline,Top Length,Top Pattern,Top Shape,Top Type,Wash Care,Weave Pattern,Weave Type
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Navy Blue Solid Churidar-Length Leggings,"Blue,Navy,Navy Blue",S,1,TWIN BIRDS,599,599,"Navy blue solid churidar-length leggings, has an elasticated waistband, and slip-on closure",,,1,Units,"100% Cotton
Gentle Machine wash","Network Clothing Company Pvt Ltd.,NETWORK CLOTHING COMPANY PRIVATE LIMITED, No 2/641 NCC House, Mangalam Road, Andipalayam, Tiruppur - 641687",India,,Machine Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Machine Wash,,
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Navy Blue Solid Churidar-Length Leggings,"Blue,Navy,Navy Blue",M,1,TWIN BIRDS,599,599,"Navy blue solid churidar-length leggings, has an elasticated waistband, and slip-on closure",,,1,Units,"100% Cotton
Gentle Machine wash","Network Clothing Company Pvt Ltd.,NETWORK CLOTHING COMPANY PRIVATE LIMITED, No 2/641 NCC House, Mangalam Road, Andipalayam, Tiruppur - 641687",India,,Machine Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Machine Wash,,
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Navy Blue Solid Churidar-Length Leggings,"Blue,Navy,Navy Blue",L,1,TWIN BIRDS,599,599,"Navy blue solid churidar-length leggings, has an elasticated waistband, and slip-on closure",,,1,Units,"100% Cotton
Gentle Machine wash","Network Clothing Company Pvt Ltd.,NETWORK CLOTHING COMPANY PRIVATE LIMITED, No 2/641 NCC House, Mangalam Road, Andipalayam, Tiruppur - 641687",India,,Machine Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_TWINBIRDS_11912020WomenNavyBlueSolidChuridarLengthLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Machine Wash,,
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Black Solid Churidar Leggings,Black,S,1,W,599,599,"A pair of black solid churidar leggings, has an elasticated waistband",,,1,Units,"100% cotton
Hand-wash","TCNS Clothing Co. Ltd,TCNS Clothing Co Pvt. LtdKhasra No:-522/1, Near OldDispensary, Jaunapur Village Mandi Road,NEWDELHI,DELHI,110047",India,,Hand Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Wash,,
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Black Solid Churidar Leggings,Black,M,1,W,599,599,"A pair of black solid churidar leggings, has an elasticated waistband",,,1,Units,"100% cotton
Hand-wash","TCNS Clothing Co. Ltd,TCNS Clothing Co Pvt. LtdKhasra No:-522/1, Near OldDispensary, Jaunapur Village Mandi Road,NEWDELHI,DELHI,110047",India,,Hand Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Wash,,
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Black Solid Churidar Leggings,Black,L,1,W,599,599,"A pair of black solid churidar leggings, has an elasticated waistband",,,1,Units,"100% cotton
Hand-wash","TCNS Clothing Co. Ltd,TCNS Clothing Co Pvt. LtdKhasra No:-522/1, Near OldDispensary, Jaunapur Village Mandi Road,NEWDELHI,DELHI,110047",India,,Hand Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_8434695WomenBlackSolidChuridarLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Wash,,
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Mustard Yellow Solid Churidar Length Leggings,"Yellow,Mustard",S,1,AURELIA,499,499,"Mustard yellow solid knitted churidar length leggings, has an elasticated waistband",,,1,Units,"100% cotton
Hand-wash","TCNS Clothing Co. Ltd,TCNS Clothing Co Pvt. LtdKhasra No:-522/1, Near OldDispensary, Jaunapur Village Mandi Road,NEWDELHI,DELHI,110047",India,,Hand Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,Knitted,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Wash,,Knitted
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Mustard Yellow Solid Churidar Length Leggings,"Yellow,Mustard",M,1,AURELIA,499,499,"Mustard yellow solid knitted churidar length leggings, has an elasticated waistband",,,1,Units,"100% cotton
Hand-wash","TCNS Clothing Co. Ltd,TCNS Clothing Co Pvt. LtdKhasra No:-522/1, Near OldDispensary, Jaunapur Village Mandi Road,NEWDELHI,DELHI,110047",India,,Hand Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,Knitted,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Wash,,Knitted
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Mustard Yellow Solid Churidar Length Leggings,"Yellow,Mustard",L,1,AURELIA,499,499,"Mustard yellow solid knitted churidar length leggings, has an elasticated waistband",,,1,Units,"100% cotton
Hand-wash","TCNS Clothing Co. Ltd,TCNS Clothing Co Pvt. LtdKhasra No:-522/1, Near OldDispensary, Jaunapur Village Mandi Road,NEWDELHI,DELHI,110047",India,,Hand Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_AURELIA_8434671WomenMustardYellowSolidChuridarLengthLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,Knitted,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Wash,,Knitted
RET,RET-12,RET-12-17,RET-12-17-10,RET-12-17-10-14,Women Fuchsia Pink Solid Churidar Leggings,"Fuchsia,Pink",XS,1,W,599,419,"Fuchsia pink solid knitted mid-rise churidar leggings, has an elasticated waistband with a slip-on closure",,,1,Units,"100% cotton
Hand-wash","TCNS Clothing Co. Ltd,R.S.C.S. INTERNATIONAL.PLOT NO106-107 GALI NO 1/4 GURU GOBINDSINGH NAGAR MAYAPURI TIBA ROAD LUDHIANA PUNJAB",India,,Hand Wash,,,,,,https://datalabs.siva3.io/image/womenethnicwear2_W_6918970WomenFuchsiaPinkSolidChuridarLeggings_0.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_6918970WomenFuchsiaPinkSolidChuridarLeggings_1.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_6918970WomenFuchsiaPinkSolidChuridarLeggings_2.jpg,https://datalabs.siva3.io/image/womenethnicwear2_W_6918970WomenFuchsiaPinkSolidChuridarLeggings_3.jpg,,,,[N],[N],[N],,,,,,Ethnic,,,Solid,,,Knitted,,,,,,,,,,,,,Churidar Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Wash,,Knitted
