L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand,About
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Atta - Whole Wheat 10 kg + Iodised Salt 1 kg, Combo 2 Items","Aashirvaad Atta - Whole Wheat 10 kg Pouch: Aashirvaad whole wheat atta is made of zero per cent maida and 100% atta, which makes it extremely nutritious since its packed with health benefits. This also means fluffier and softer rotis at home. Aashirvaad Atta is also made from the best grains - heavy on the palm, golden amber in colour and hard in bite. It is grounded using the chakki - grinding process for the perfect balance of colour, taste and nutrition.
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,604,492.8,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['1220742'],-,https://datalabs.siva3.io/image/Eunimart_groceries_220742_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-2_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-3_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-4_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-5_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-6_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-7_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Aashirvaad Atta - Whole Wheat 10 kg Pouch: Make Chapati, Roti and wheat-based dishes. 

Aashirvaad Iodised Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: This good quality salt ensures a balanced taste in your daily meals.","[{'EAN Code': '1220742'}, {'Manufactured & Marketed by': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071'}, {'Country of origin': 'India'}, {'FSSAI Number': ''}]","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",-,-,-,"Aashirvaad Atta - Whole Wheat 10 kg Pouch: Apart from whole grain, this product contains important vitamins, minerals and calcium, all of which are good for a healthy body.
Aashirvaad Iodized Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: Edible Common Salt, Anticaking Agent (Ins 551, Ins 536) And Potassium Iodate.",-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Atta - Whole Wheat 5 kg + Iodised Salt 1 kg, Combo 2 Items","Aashirvaad Atta - Whole Wheat 5 kg Pouch: Aashirvaad Whole Wheat Atta has 0% Maida and 100% atta. This means you serve soft, fluffy rotis and a whole lot of health and happiness. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,346,298.8,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['1220743'],-,https://datalabs.siva3.io/image/Eunimart_groceries_220743_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-2_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-3_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-4_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-5_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-6_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-7_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-8_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Aashirvaad Atta - Whole Wheat 5 kg Pouch: Make Chapatis, Rotis or other wheat-based dishes. 
Aashirvaad Iodised Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: This good quality salt ensures a balanced taste in your daily meals.","[{'EAN Code': '1220743'}, {'Manufactured & Marketed by': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071'}, {'Country of origin': 'India'}, {'FSSAI Number': ''}]","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",-,-,-,"Aashirvaad Atta - Whole Wheat 5 kg Pouch: Wheat Atta
Aashirvaad Iodised Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: Edible Common Salt, Anticaking Agent (Ins 551, Ins 536) And Potassium Iodate.",-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Atta with Multigrains - High Fibre, 10 kg","Looking to switch to an atta with more fibre that keeps your tummy happy? Look no further. Aashirvaad Atta with Multigrains provides you and your family with a high fibre atta that aids digestion. Made with the choicest of grains sourced from the fields across the country, this atta is made with love and care in India. Aashirvaad Atta with Multigrains is made with 6 grains ‚“ wheat, maize, oats, soya, channa and psyllium husk. Being high in fibre, this atta ensures that you are fuller for longer and helps you avoid hunger pangs. Just 3 rotis made from Aashirvaad Atta with Multigrains fulfills 35% of your daily fibre intake. What's more? The dietary fibre in 3 multigrain rotis is same as the fibre in 6 carrots or 4 beetroots. Now ensure that you and your family never miss their daily dose of fibre by adding Aashirvaad Atta with Multigrains to your shopping list! Make chapatis, paranthas, pooris that taste just like your regular atta.",10 kg,kg,10 kg,1,1,720,612,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['40236230'],['10012031000312'],https://datalabs.siva3.io/image/Eunimart_groceries_40236230_3-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40236230-2_3-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40236230-3_3-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40236230-4_3-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40236230-5_3-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40236230-6_2-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40236230-7_2-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40236230-8_2-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40236230-9_1-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40236230'}, {'FSSAI No': '10012031000312'}, {'Manufactured & Marketed by': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071'}, {'Country of origin': 'India'}, {'","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",-,-,"Aashirvaad Atta with Multigrains is high in fibre which aids in digestion
3 rotis made from Multigrain Atta fulfill 35% of your daily fibre requirement
Rotis made from Aashirvaad Atta with Multigrains taste just like your regular atta
Aashirvaad Atta with Multigrains is a blend of 6 natural grains ‚“ wheat, maize, soya, channa, oats, psyllium husk
From India‚s No. 1 Atta brand, Aashirvaad Atta with Multigrains is made with love in India with the grains sourced from the fields across the country
Make delicious rotis, pooris and paranthas with this atta and ensure that you never miss your daily dose of fibre","Wheat, Soya, Channa, Oats, Maize & Psyllium Husk.",-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Atta/Godihittu - Multigrains, 1 kg Pouch","Aashirvaad Atta/Godihittu is the best choice for everyday cooking. Aashirvaad Atta/Godihittu - Multigrains are made from six natural grains: wheat, maize, oats, soya, channa, and psyllium husk. This powerhouse atta also contains many essential nutrients that the human body requires to stay fit, active, and healthy. It is high in protein, which aids in the preservation of muscle mass. It also contains a low saturated fat content, that aids in the maintenance of cholesterol levels. Thiamine, a Vitamin B1 source, promotes normal nerve and heart function. Explore a wide range of premium quality, superior groceries, grains, pulses, condiments, spices and more from Aashirvaad only on Big Basket.",1 kg Pouch,kg Pouch,1 kg Pouch,1,1,76,71.5,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",India,['8901725112608'],-,https://datalabs.siva3.io/image/Eunimart_groceries_284422_10-aashirvaad-atta-multigrains.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_284422-2_9-aashirvaad-atta-multigrains.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_284422-3_9-aashirvaad-atta-multigrains.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_284422-4_9-aashirvaad-atta-multigrains.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_284422-5_9-aashirvaad-atta-multigrains.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_284422-6_8-aashirvaad-atta-multigrains.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_284422-7_3-aashirvaad-atta-multigrains.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_284422-8_2-aashirvaad-atta-multigrains.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_284422-9_1-aashirvaad-atta-multigrains.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Premium quality
Perfect for Indian cooking
Hygienically packed","Use it to make rotis, phulkas and more.
Store in a cool, dry and hygienic place.","[{'EAN Code': '8901725112608'}, {'Manufactured Name & Marketed By': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.'}, {'FSSAI': ''}, {'Country of Origin': 'India'}, {'Best Before 16-04-2023. ","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Atta/Godihittu - Select, 1 kg Pouch","Aashirvaad Select Sharbati Atta/Godihittu is the best choice for everyday cooking. Are you seeking a high-fibre atta to aid your digestion? Don't bother looking any further. This whole wheat is made from the finest grains sourced from MP and made with love and care. Handpicked, golden grains are used to make this atta. Aashirvaad Atta helps you avoid hunger pangs and keeps you fuller for longer because of its high fibre. Explore a wide range of premium quality, superior groceries, grains, pulses, condiments, spices and more from Aashirvaad only on Big Basket.",1 kg Pouch,kg Pouch,1 kg Pouch,1,1,73,66.5,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",India,['891725101053'],-,https://datalabs.siva3.io/image/Eunimart_groceries_270242_15-aashirvaad-atta-select.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_270242-2_11-aashirvaad-atta-select.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_270242-3_11-aashirvaad-atta-select.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_270242-4_11-aashirvaad-atta-select.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_270242-5_10-aashirvaad-atta-select.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_270242-6_8-aashirvaad-atta-select.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_270242-7_3-aashirvaad-atta-select.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_270242-8_3-aashirvaad-atta-select.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_270242-9_2-aashirvaad-atta-select.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_270242-10_2-aashirvaad-atta-select.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Premium quality
Perfect for Indian cooking
Hygienically packed","Use it to make rotis, phulkas and more.
Store in a cool, dry and hygienic place.","[{'EAN Code': '891725101053'}, {'Manufactured Name & Marketed By': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.'}, {'FSSAI': ''}, {'Country of Origin': 'India'}, {'Best Before 16-04-2023. ","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Atta/Godihittu - Whole Wheat, 1 kg Pouch","Launched on 27th May 2002, Aashirvaad Whole Wheat Atta has now become number one in branded packaged atta across the country. Behind every Aashirvaad pack are the Indian farmers and Aashirvaad experts who‚ve made the atta with extra care. Aashirvaad prides itself in making 100% pure whole wheat atta with all its natural dietary fibres intact which ensures that you and your family receive optimum nutrition for a healthy life. Directly sourced from a wide network of Indian rural farmers, Aashirvaad Superior MP Atta is Made in India. They are showered with just the right amount of rain and sun-kissed to perfection which allows the grains to be heavy on the palm and amber in colour. The grain produce goes through a 3-step cleaning process that ensures the best quality of wheat grains. These expertly sourced grains undergo mechanised packaging that ensures zero human contact and 100% safety. To ensure the retention of the wheat‚s high nutritional value, the grains are ground using the traditional ‚chakki‚ method. This helps lock-in the highest nutritional value in the whole wheat flour. The dietary fibres and natural nutrients help in easy digestion and supporting immunity which are essential for your family‚s daily intake. The dough made from Aashirvaad Superior MP Atta absorbs more water which makes sure that the rotis remain softer for a longer period. You and your family can lead a fit and healthier lifestyle as you enjoy soft, fluffy and delicious rotis from this naturally protein rich whole wheat atta.",1 kg Pouch,kg Pouch,1 kg Pouch,1,1,67,63.5,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['8901725115340'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30006887_7-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006887-2_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006887-3_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006887-4_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006887-5_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006887-6_7-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006887-7_2-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006887-8_2-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006887-9_1-aashirvaad-atta-whole-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901725115340'}, {'Manufactured & Marketed by': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071'}, {'Country of origin': 'India'}, {'FSSAI Number': ''}]","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",-,-,-,Whole Wheat,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Atta/Godihittu - Whole Wheat, 10 kg Pouch","Aashirvaad Atta Superior MP Whole Wheat is a healthy wheat flour that makes your rotis super soft and fluffy. This atta is traditionally sourced directly from farmers in India, keeping true to the organic nature of the wheat produced there. We ensure essential nutrition remains locked in the whole wheat atta which helps in better digestion and boosts immunity. Filled with nutrients and goodness of organic wheat, this flour makes the softest rotis and healthiest too. Explore a wide range of premium quality, superior groceries, grains, pulses, condiments, spices and more from Aashirvaad only on Big Basket.",10 kg Pouch,kg Pouch,10 kg Pouch,1,1,576,469,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",India,['8901725121716'],-,https://datalabs.siva3.io/image/Eunimart_groceries_26906_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26906-2_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26906-3_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26906-4_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26906-5_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26906-6_7-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26906-7_2-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26906-8_2-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26906-9_1-aashirvaad-atta-whole-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Premium quality
Perfect for Indian cooking
Hygienically packed","Use it to make rotis, phulkas and more.
Store in a cool, dry and hygienic place.","[{'EAN Code': '8901725121716'}, {'Manufactured Name & Marketed By': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.'}, {'FSSAI': ''}, {'Country of Origin': 'India'}, {'Best Before 16-04-2023. ","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Atta/Godihittu - Whole Wheat, 2 kg Pouch","Launched on 27th May 2002, Aashirvaad Whole Wheat Atta has now become number one in branded packaged atta across the country. Behind every Aashirvaad pack are the Indian farmers and Aashirvaad experts who‚ve made the atta with extra care. Aashirvaad prides itself in making 100% pure whole wheat atta with all its natural dietary fibres intact which ensures that you and your family receive optimum nutrition for a healthy life. Directly sourced from a wide network of Indian rural farmers, Aashirvaad Superior MP Atta is Made in India. They are showered with just the right amount of rain and sun-kissed to perfection which allows the grains to be heavy on the palm and amber in colour. The grain produce goes through a 3-step cleaning process that ensures the best quality of wheat grains. These expertly sourced grains undergo mechanised packaging that ensures zero human contact and 100% safety. To ensure the retention of the wheat‚s high nutritional value, the grains are ground using the traditional ‚chakki‚ method. This helps lock-in the highest nutritional value in the whole wheat flour. The dietary fibres and natural nutrients help in easy digestion and supporting immunity which are essential for your family‚s daily intake. The dough made from Aashirvaad Superior MP Atta absorbs more water which makes sure that the rotis remain softer for a longer period. You and your family can lead a fit and healthier lifestyle as you enjoy soft, fluffy and delicious rotis from this naturally protein rich whole wheat atta.",2 kg Pouch,kg Pouch,2 kg Pouch,1,1,125,118,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['8901725121136'],-,https://datalabs.siva3.io/image/Eunimart_groceries_61826_8-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_61826-2_4-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_61826-3_3-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_61826-4_3-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_61826-5_3-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_61826-6_2-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_61826-7_2-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_61826-8_2-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_61826-9_1-aashirvaad-atta-whole-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901725121136'}, {'Manufacturer Name & ': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071'}, {'Country of origin': 'India'}]",-,-,-,-,Whole Wheat,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Atta/Godihittu - Whole Wheat, 5 kg Pouch","Aashirvaad Atta Superior MP Whole Wheat is a healthy wheat flour that makes your rotis super soft and fluffy. This atta is traditionally sourced directly from farmers in India, keeping true to the organic nature of the wheat produced there. We ensure essential nutrition remains locked in the whole wheat atta which helps in better digestion and boosts immunity. Filled with nutrients and goodness of organic wheat, this flour makes the softest rotis and healthiest too. Explore a wide range of premium quality, superior groceries, grains, pulses, condiments, spices and more from Aashirvaad only on Big Basket.",5 kg Pouch,kg Pouch,5 kg Pouch,1,1,318,275,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",India,['8901725117382'],-,https://datalabs.siva3.io/image/Eunimart_groceries_26903_9-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26903-2_3-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26903-3_3-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26903-4_3-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26903-5_3-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26903-6_3-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26903-7_2-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26903-8_2-aashirvaad-atta-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_26903-9_1-aashirvaad-atta-whole-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Premium quality
Perfect for Indian cooking
Hygienically packed","Use it to make rotis, phulkas and more.
Store in a cool, dry and hygienic place.","[{'EAN Code': '8901725117382'}, {'Manufactured Name & Marketed By': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.'}, {'FSSAI': ''}, {'Country of Origin': 'India'}, {'Best Before 16-04-2023. ","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-10,Aashirvaad,"Aashirvaad Bansi Rava - Made From Durum Wheat, 1 kg","Aashirvaad Bansi Rava also known as Broken Wheat is a cereal food made from cracked parboiled groats of wheat. It contains natural proteins, vitamins and minerals. It makes perfect food for breakfast. This provides a wholesome meal to your entire family. It is slightly nutty and chewy, has a hearty, warm aroma and has a delightful, grainy taste when cooked. This is often used to make soups and to stuff vegetables. It does not contain any added preservatives or added flavour.",1 kg,kg,1 kg,1,1,66,66,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",India,['8901725001087'],1.00E+13,https://datalabs.siva3.io/image/Eunimart_groceries_40293255_1-aashirvaad-bansi-rava-made-from-durum-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40293255-2_1-aashirvaad-bansi-rava-made-from-durum-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40293255-3_1-aashirvaad-bansi-rava-made-from-durum-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40293255-4_1-aashirvaad-bansi-rava-made-from-durum-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40293255-5_1-aashirvaad-bansi-rava-made-from-durum-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40293255-6_1-aashirvaad-bansi-rava-made-from-durum-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Broken wheat is the perfect food for breakfast and contains natural proteins.
2. Ideal for preparing upma, namkeen Dalia, salads, khichdi, pulao, etc.
3. Used to prepare sweet and savoury dishes in both Indian and international cuisines.","[{'EAN Code': '8901725001087'}, {'FSSAI': '10012031000312'}, {'Country of Origin': 'India'}]",-,-,-,-,"Durum Wheat, Contains Wheat.",-,-,-
