L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Specification,About
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Chicco,"Chicco Baby Toothbrush- 6M-36M Blue, 1 pc",This toothbrush has round head and thin neck designed for the small mouth of a baby. The innovative extra soft tapered technology bristles are gentle on irritated gums and extra-soft for a delicate action while ensuring proper cleaning of the teeth,1 pc,pc,1 pc,1,1,149,149,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",Italy,['40142866'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40142866_2-chicco-baby-toothbrush-light-blue-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142866-2_1-chicco-baby-toothbrush-light-blue-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142866-3_1-chicco-baby-toothbrush-light-blue-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142866-4_1-chicco-baby-toothbrush-light-blue-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142866-5_1-chicco-baby-toothbrush-light-blue-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142866-6_1-chicco-baby-toothbrush-light-blue-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142866-7_1-chicco-baby-toothbrush-light-blue-6-36m.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40142866'}, {'Manufactured & Marketed by': 'Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.'}, {'Imported by': 'Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.'}, {'Country of origin': 'Italy'}]","Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",-,-,-," Brand : Chicco
 Type : Tooth Brush
 Material : Polybutylene terephthalate
 Colour : Light Blue
 Model No. : 00006958200000
 Dimension : 230 X 45 X 27
 Package Content : Tooth Brush
 Colour : LIGHT BLUE TOOTHBRUSH
",This toothbrush has round head and thin neck designed for the small mouth of a baby. The innovative extra soft tapered technology bristles are gentle on irritated gums and extra-soft for a delicate action while ensuring proper cleaning of the teeth.
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Chicco,"Chicco Baby Toothbrush- 6M-36M Green, 1 pc",This toothbrush has round head and thin neck designed for the small mouth of a baby. The innovative extra soft tapered technology bristles are gentle on irritated gums and extra-soft for a delicate action while ensuring proper cleaning of the teeth.,1 pc,pc,1 pc,1,1,149,149,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",Italy,['40142865'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40142865_2-chicco-baby-toothbrush-green-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142865-2_1-chicco-baby-toothbrush-green-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142865-3_1-chicco-baby-toothbrush-green-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142865-4_1-chicco-baby-toothbrush-green-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142865-5_1-chicco-baby-toothbrush-green-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142865-6_1-chicco-baby-toothbrush-green-6-36m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142865-7_1-chicco-baby-toothbrush-green-6-36m.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40142865'}, {'Manufactured & Marketed by': 'Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.'}, {'Imported by': 'Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.'}, {'Country of origin': 'Italy'}]","Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",-,-,-," Brand : Chicco
 Type : Tooth Brush
 Material : Polybutylene terephthalate
 Colour : Green
 Model No. : 00006958000000
 Dimension : 230 X 45 X 27
 Package Content : Tooth Brush
 Colour : GREEN TOOTBRUSH
",This toothbrush has round head and thin neck designed for the small mouth of a baby. The innovative extra soft tapered technology bristles are gentle on irritated gums and extra-soft for a delicate action while ensuring proper cleaning of the teeth.
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Chicco,"Chicco Brush And Comb - Light Blue, 1 pc",Chicco brush and comb - light blue chicco 'safe hygiene' brush and comb allows you to gently comb baby's hair. The soft natural bristles of the brush and rounded ends of the comb teeth ensures to be safe for baby's delicate scalp.,1 pc,pc,1 pc,1,1,499,449,"ARTSANA INDIA PVT LTD, Artsana India Pvt. Ltd. 7th Floor, Paras Twin Towers, Sector 54, Gurgaon - 122002",Italy,['8058664011933'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30012466_1-chicco-brush-and-comb-light-blue.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8058664011933'}, {'Country of origin': 'Italy'}, {'Manufacturer Name & ': 'ARTSANA INDIA PVT LTD, Artsana India Pvt. Ltd. 7th Floor, Paras Twin Towers, Sector 54, Gurgaon - 122002'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Chicco,"Chicco Brush And Comb - Pink, 1 pc","Chicco brush and comb - pink chiccoš¬žs hair care range includes beyond three brushes with relative combs, also one comb small for cradle cap and one mini hair dryer. Both have large handles that allow easy and safe grip.",1 pc,pc,1 pc,1,1,499,499,"ARTSANA INDIA PVT LTD, Artsana India Pvt. Ltd. 7th Floor, Paras Twin Towers, Sector 54, Gurgaon - 122002",Italy,['8058664011926'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30012420_1-chicco-brush-and-comb-pink.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8058664011926'}, {'Country of origin': 'Italy'}, {'Manufacturer Name & ': 'ARTSANA INDIA PVT LTD, Artsana India Pvt. Ltd. 7th Floor, Paras Twin Towers, Sector 54, Gurgaon - 122002'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Goli Soda,"Goli Soda Upcycled Newspaper Colour Pencils - Pigmented, Lightweight, 10 pcs","The most common protective casing around the core of a pencil is made from wood. The use of this material at an industrial level leads to the cutting of trees which, in turn, affects natural habitats and the climate adversely. Using sustainable alternatives help check this process and promotes the significant concepts of zero waste and sustainability. Switch to Goli Soda Newspaper Colour Pencils which are made from 100% upcycled newspapers. The packaging of the product is completely zero waste. These upcycled colour pencils come in a pack of 10 interesting colours, making it fun for both children and adults. They make wonderful return favours for birthdays and office events. They also make great gifts for school children, teachers, artists, and colleagues, who care for conserving the environment.",10 pcs,pcs,10 pcs,10,1,199,189.05,"GOLI SODA Sustainable Solutions Private Limited No.4, Second Street, Dr. Radhakrishnan Salai, Mylapore, Chennai - 600004.",India,['40247119'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40247119_2-goli-soda-upcycled-newspaper-colour-pencils-pigmented-lightweight.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Use a sharp or new sharpener to sharpen these pencils.,"[{'EAN Code': '40247119'}, {'Manufactured & Marketed By': 'GOLI SODA Sustainable Solutions Private Limited No.4, Second Street, Dr. Radhakrishnan Salai, Mylapore, Chennai - 600004.'}, {'Country of Origin': 'India'}]","GOLI SODA Sustainable Solutions Private Limited No.4, Second Street, Dr. Radhakrishnan Salai, Mylapore, Chennai - 600004.",-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,KM,"KM Bottle Cleaning Brush Set, 4 pcs","KM Bottle cleaning brush set comes in different sizes and have multiple uses for it. The brushes included in the set are: a cup brush with rich bristles, a smaller brush suitable for cup lids and an elongated brush suitable for straws. All brush handles are made of stainless steel with a nylon brush head. They are resilient, bendable, and stronger than sponge brushes. The brushes also have a curved brush head, which makes it easy to clean the nooks. The product can only be returned if it is not used and is in its packed condition.",4 pcs,pcs,4 pcs,4,1,289,179,"Decent Plastic no, 84 Nawada Industrial Area Uttam Nagar-110059",China,['40115322'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40115322_1-km-bottle-cleaning-brush-set.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40115322-2_1-km-bottle-cleaning-brush-set.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40115322'}, {'Manufacturer Name & ': 'Decent Plastic no, 84 Nawada Industrial Area Uttam Nagar-110059'}, {'Country of Origin': 'China'}",-,-,-,-," Brand - KM
 Type - Cleaning brush
 Model no - BB074
 Material - Nylon/Stainless steel
 Colour - White & Green
 Dimension - 19.5X6X0(LxWxH) Cm
 No of pcs - 4 pcs
 Product content - 4 pcs of cleaning brush",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Mee Mee,"Mee Mee Cleaning Brush - Bottle & Nipple - Blue, 1 pc",Mee Mee Bottle & Nipple Cleaning Brush is the ideal tool to ensure that your baby's feeding bottle and other accessories are perfectly clean and safe for regular use. The unique '360 rotating handle' ensure that you can clean more without your wrists getting strained. Baby's health is a constant source of worry for every parent. A clean feeding bottle and nipple is the best precaution against disease.,1 pc,pc,1 pc,1,1,229,199,"Me N Moms Pvt. Ltd. , 2, Amar CHS, 8th Road, TPS - III , Behind Telephone Exchange , Khar (W), Mumbai-400052.",India,['8907233281621'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40118373_4-mee-mee-cleaning-brush-bottle-nipple-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40118373-2_4-mee-mee-cleaning-brush-bottle-nipple-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40118373-3_4-mee-mee-cleaning-brush-bottle-nipple-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40118373-4_4-mee-mee-cleaning-brush-bottle-nipple-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40118373-5_1-mee-mee-cleaning-brush-bottle-nipple-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40118373-6_1-mee-mee-cleaning-brush-bottle-nipple-blue.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Safe and hygiene.
2. Premium quality materials.
3. Safe, durable and non toxic.
4. Soft nylon bristles.
5. sturdy and long-lasting.",Perfect for cleaning Bottle and Nipples.,"[{'EAN Code': '8907233281621'}, {'Manufacturer Name & Marketed by ': 'Me N Moms Pvt. Ltd. , 2, Amar CHS, 8th Road, TPS - III , Behind Telephone Exchange , Khar (W), Mumbai-400052.'}, {'Country of Origin': 'India'}]","Me N Moms Pvt. Ltd. , 2, Amar CHS, 8th Road, TPS - III , Behind Telephone Exchange , Khar (W), Mumbai-400052.",-,-,-,"1. Brand : Mee Mee.
2. Type : Bottle Brush.
3. Material : Plastic.
4. Colour : BLUE.
5. Capacity : NA.
6. Features : Lightweight and portable Easy to Wash Made from premium quality soft materials Easy to use.
7. Package contents : 2 Pc Bottle Brush .",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Mee Mee,"Mee Mee Nail Clipper - Gentle Protective - Blue, 1 pc","One of the greatest marvels of life is watching how fast your baby grows. But while enjoying this beautiful phenomenon, don't forget that your tiny tot's tiny nails grow at an even faster pace. With Mee Mee's Protective Nail Clipper, you can trim those nails safely and comfortably, before your baby starts scratching. For a smooth experience, you could try trimming the nails while your baby is sleeping. Also, this nail cutter for baby is easy to use and is suitable for even new-borns. Conforming to the highest safety norms, just like other Mee Mee baby products, this baby nail cutter is easy to be cleaned both before and after usage.",1 pc,pc,1 pc,1,1,229,199,"Me N Moms Pvt. Ltd. , 2, Amar CHS, 8th Road, TPS - III , Behind Telephone Exchange , Khar (W), Mumbai-400052.",China,['40118361'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40118361_2-mee-mee-nail-clipper-gentle-protective-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40118361-2_2-mee-mee-nail-clipper-gentle-protective-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40118361-3_2-mee-mee-nail-clipper-gentle-protective-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40118361-4_2-mee-mee-nail-clipper-gentle-protective-blue.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Made from premium quality stainless steel blades.
2. Rust-free and durable.
3. Smooth edges with slight sharpness.
4. Easy grip handle.","1. Invert the top handle of the cutter and gently apply pressure so the steel blades at the end can trim the nails.
2. Trim the nails while the child is sleeping for an easy experience.","[{'EAN Code': '40118361'}, {'Manufacturer Name & Marketed by ': 'Me N Moms Pvt. Ltd. , 2, Amar CHS, 8th Road, TPS - III , Behind Telephone Exchange , Khar (W), Mumbai-400052.'}, {'Country of Origin': 'China'}]","Me N Moms Pvt. Ltd. , 2, Amar CHS, 8th Road, TPS - III , Behind Telephone Exchange , Khar (W), Mumbai-400052.",-,-,-,"1. Brand : Mee Mee.
2. Type : Nail Cutter.
3. Material : Stainless Steel.
4. Colour : BLUE.
5. Capacity : NA.
6. Features : Easy grip handle and round edges for optimal control Smooth edges with slight sharpness to safely and firmly trim nails Made from premium quality stainless steel blades which are rust-free and durable.
7. Package contents : 1 Pc Nail Cutter.",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Morison Baby Dreams,"Morison Baby Dreams Quick Electric Sterilizer - 6 Bottles, 1 pc",Morisons Baby Dreams Quick Electric Sterilizer is carefully designed for ease and use and effective sterilization of baby feeding bottle & accessories. It can hold upto 6 standard bottles or wide neck bottles. Fast sterilization is just 8 minutes. The steam sterilization effectively kills the germs and bacteria with the natural steam and no chemicals. It is the safest and easiest way to sterilize the feeding bottle and accessories. For fast & effective sterilization,1 pc,pc,1 pc,1,1,2700,2299,"J. L. Morison (India) Ltd. Pendinsula Business Park, Tower ""A"", 8th Floor, Senapati Bapat Marg, Lower Parel. Mumbai. Maharashtra - 400013 Whatsapp us at +918828022300 or email us at customercare@jlmorison.com",India/China,['40196489'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40196489_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40196489-2_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40196489-3_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40196489-4_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40196489-5_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg,-,-,-,Whatsapp us at +918828022300 or email us at customercare@jlmorison.com,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," Measure about 75ml water and pour into the container 
 Place the washed bottles into the bottle rest and put the nipple and the accessories into the upper accessories tray 
 Put on the lid and plug it on 
 Press the button and the light indicator will turn on 
 After 8 minutes of sterilization, it will automatically switch off 
 Open the lid and leave the contents to cool before using them 
Use tong for easy handling","[{'EAN Code': '40196489'}, {'Manufacturer Name and ': 'J. L. Morison (India) Ltd. Pendinsula Business Park, Tower ""A"", 8th Floor, Senapati Bapat Marg, Lower Parel. Mumbai. Maharashtra - 400013 Whatsapp us at +918828022300 or email us at customercare@jlmorison.com'}, {'Marketed & Imported by': 'J. L. Morison (India) Ltd. Pendinsula Business Park, Tower ""A"", 8th Floor, Senapati Bapat Marg, Lower Parel. Mumbai. Maharashtra - 400013 Whatsapp us at +918828022300 or email us at customercare@jlmorison.com'}, {'Country of origin': 'India, China'}]","J. L. Morison (India) Ltd. Pendinsula Business Park, Tower ""A"", 8th Floor, Senapati Bapat Marg, Lower Parel. Mumbai. Maharashtra - 400013 Whatsapp us at +918828022300 or email us at customercare@jlmorison.com",-,-,-,Polypropylene,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Munchkin,"Munchkin Smile 'n Scoop Suction Training Plate and Spoon Set - Pink, 9m+, 2 pcs","This set includes 1 smiley-face shaped suction plate and 1 scooper spoon to aid in self-feeding. The raised eyes and smile to help guide more food onto the utensils. Sturdy, deep walls are designed for easy scooping. Strong suction base helps prevent messes and spills. It is BPA-free.",2 pcs,pcs,2 pcs,2,1,799,719,"Munchkin, Inc.7835 Gloria AvenueVan Nuys, CA 91406 USA",China,['735282114625'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40137705_1-munchkin-smile-n-scoop-suction-training-plate-and-spoon-set-pink-9m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40137705-2_1-munchkin-smile-n-scoop-suction-training-plate-and-spoon-set-pink-9m.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '735282114625'}, {'Country of origin': 'China'}, {'Manufacturer Name and ': 'Munchkin, Inc.7835 Gloria AvenueVan Nuys, CA 91406 USA'}]",-,-,-,Wash with mild detergent.," Brand : Munchkin
 Type : Feeding
 Material : Plastic
 Colour : Pink
 Care Instructions : Can be washed with warm water. Upper Rack Dishwasher Safe. Should not be used in microwave. Can not be sterilised.
 Model No. : 27143
 Dimension : 250X200X40
 Package Content : 1 Plate & 1 Spoon
",-
