L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,Specification,Package Contains,About
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Aveeno,"Aveeno Baby Bath - Daily Moisturising, 354 ml","AVEENO® Baby Daily Moisturising Bath 354 ml blends natural oat extract into a rich lathering cleansing wash. It includes 5 vital ingredients present in oats, also naturally found in healthy skin. This tear-free formula can be used on skin as it gently cleanses and nourishes, leaving behind a soft, fresh fragrance. AVEENO® Baby Daily Moisturising Bath is formulated to be gentle enough even for infants and babies‚¬ž sensitive skin. It‚¬žs tear free, soap free and paraben free. AVEENO® uses select natural ingredients because of their advanced benefits. These are called ACTIVE NATURALS®, natural ingredients uniquely formulated to deliver visible results. Scientists at Aveeno follow highest standards of ingredient selection, formulation and manufacturing, with processes that retain the strength and purity of such ingredients. ACTIVE NATURALS® Oat Extract is carefully extracted from the oat kernel and contains 5 vital ingredients also found naturally in healthy baby skin. These ingredients like proteins, lipids, enzymes, vitamins and anti-oxidants provide a soothing effect while gently nourishing delicate baby skin.",354 ml,ml,354 ml,1,1,849,781.08,"Johnson & Johnson Pvt. Ltd. , L.B.S Marg, Mulund (West), Mumbai - 400080, India",Usa,['48901012116494'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40111053_5-aveeno-baby-bath-daily-moisturising.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111053-2_3-aveeno-baby-bath-daily-moisturising.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111053-3_2-aveeno-baby-bath-daily-moisturising.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111053-4_2-aveeno-baby-bath-daily-moisturising.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111053-5_1-aveeno-baby-bath-daily-moisturising.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Aqua, Glycerin, Cocamidopropyl Betaine, Sodium Lauroamphoacetate, Coco-Glucoside, Sodium Chloride, Hydroxypropyl Starch Phosphate, Avena Sativa Kernel Flour, Aloe Barbadensis Leaf Juice, Olea Europaea Leaf Extract, Chamomilla Recutita Extract, Helianthus Annuus Seed Oil, Sarcosine, Magnesium Aspartate, Potassium Aspartate, Polyquaternium-7, Polysorbate 20, Sodium Cocoyl Amino Acids, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Propylene Glycol, Citric Acid, Sodium Hydroxide, Tocopherol, Tocopheryl Acetate, Sodium Benzoate, Potassium Sorbate, Sodium Sulfite, Parfum.",-,"Wet babys hair and take 1 - 2 ml of Aveeno Childrens shampoo,dilute it with equal quantity of water and gently massage on scalp. Do not leave shampoo for too long before rinsing your childs hair thoroughly. Avoid contact with eyes.","['EAN Code: 48901012116494', 'Manufactured & Marketed by: Johnson & Johnson Pvt. Ltd. , L.B.S Marg, Mulund (West), Mumbai - 400080, India', 'Country of origin: US', 'Best before 31-08-2024', '","Johnson & Johnson Pvt. Ltd. , L.B.S Marg, Mulund (West), Mumbai - 400080, India",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Aveeno,"Aveeno Baby Moisture Cream Soothing Relief, 227 g","AVEENO Baby Soothing Relief Moisture Cream contains ACTIVE NATURAL Colloidal Oats Formula and rich emollients that soothe dry, irritable skin. It is clinically proven to moisturize for 24 hours and soothe dry skin. This formula absorbs quickly and is gentle enough new-borns delicate skin as well. It is hypoallergenic and fragrance free. AVEENO uses select natural ingredients because of their advanced benefits. These are called ACTIVE NATURALS , natural ingredients uniquely formulated to deliver visible results. Scientists at AVEENO follow highest standards of ingredient selection, formulation and manufacturing, with processes that retain the strength and purity of such ingredients. Today, AVEENO brand is most trusted for its use of natural ingredients. As a skin protectant, active ingredient, oatmeal can help restore skin's normal pH and aid in the maintenance of skin's moisture barrier to help prevent and protect dry skin. Carefully extracted from the oat kernel, ACTIVE NATURAL Oat Extract contain 5 vital ingredients also found naturally in healthy baby skin.",227 g,g,227 g,1,1,1099,1011.08,"Johnson & Johnson Pvt. Ltd. , L.B.S Marg, Mulund (West), Mumbai - 400080, India",Usa,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40112176_3-aveeno-baby-moisture-cream-soothing-relief.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112176-2_1-aveeno-baby-moisture-cream-soothing-relief.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112176-3_1-aveeno-baby-moisture-cream-soothing-relief.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: __EAN __', 'Country of origin: USA', 'Best Before 31-08-2024', '",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Aveeno,"Aveeno Daily Moisturising Baby Lotion, 227 g","Aveeno Baby Daily Moisturising Lotion is perfect for baby's delicate skin. US No.1 Paediatrician Recommended Aveeno Baby Body Lotion comes with active natural oats formula which protects and nourishes sensitive skin for 24 hours. A daily dose of softness for kids; nourish and protect baby‚s skin 24 hours a day. With soothing natural Oat Extra, it helps prevent and temporarily protect chafed, chapped or cracked skin. It is hypoallergenic, fragrance-free and dye-free.",227 g,g,227 g,1,1,849,781.08,"Johnson & Johnson Pvt. Ltd. , L.B.S Marg, Mulund (West), Mumbai - 400080, India",Usa,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40112175_3-aveeno-daily-moisturising-baby-lotion.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112175-2_1-aveeno-daily-moisturising-baby-lotion.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112175-3_1-aveeno-daily-moisturising-baby-lotion.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112175-4_1-aveeno-daily-moisturising-baby-lotion.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: __EAN __', 'Country of origin: USA', 'Best Before 31-08-2024', '",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Bodyguard,"Bodyguard Diaper Rash Cream for Babies - 50 gm | Reduces and Prevents Rashes | with Shea Butter, Zinc Oxide, Caster Oil & Soyabean Oil, 50 g","Your little one‚s bums require extra care within the first few years of life as their sensitive skin is prone to rashes. This Baby Diaper Rash cream is ideal for dealing with pesky Rashes. Formulated with ingredients like Zinc Oxide, Shea Butter, Castor oil, and Soybean Oil, this Rash cream makes an emollient layer that provides a layer of protection that keeps irritating wetness away and keeps the skin soft, smooth, and healthy. Free of harmful ingredients like alcohol, toxins, minerals and parabens, this rash cream is dermatologically tested and is safe for all ages. This cream will keep the rashes at bay and nourish and repair the baby‚s skin.",50 g,g,50 g,1,1,225,157.5,"Sirona Hygiene Pvt. Ltd, Plot No.382, First Floor, 100 Feet Road, Ghitorni, New Delhi - Delhi - 110030",India,['8906103794209'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40280793_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40280793-2_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40280793-3_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40280793-4_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40280793-5_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40280793-6_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40280793-7_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40280793-8_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40280793-9_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40280793-10_1-bodyguard-baby-diaper-rash-cream-reduces-prevents-rashes-allergen-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Purified Water, Zinc Oxide, Cetyl Alcohol , Isopropyl Myristate, Cetearyl Alcohol, Hydroxypropyl Starch Phosphate, Glycerin, Beeswax, Phenoxyethanol, Ricinus Communis (Castor) Seed Oil, Fragrance, Xanthan Gum, Butyrospermum Parkii (Shea Butter), Polysorbate 80, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glyceryl Glucoside, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, BHT, Glycine Soja (Soyabean) Oil, Sodium Gluconate, Tocopheryl Acetate, Lactic Acid",-,"1. Take a coin-sized amount of the cream on your fingers.
2. Apply onto the baby‚s bum, thighs and all the other areas that come in contact with the diaper.
3. Spread the cream evenly by using your fingertips.","['EAN Code: 8906103794209', 'Manufactured & Marketed by: Sirona Hygiene Pvt. Ltd, Plot No.382, First Floor, 100 Feet Road, Ghitorni, New Delhi - Delhi - 110030', 'Country of Origin: India', 'Best before 01-03-2024', '","Sirona Hygiene Pvt. Ltd, Plot No.382, First Floor, 100 Feet Road, Ghitorni, New Delhi - Delhi - 110030",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Bodyguard,"Bodyguard Plant Based Baby Laundry Liquid Detergent - 1 Ltr (Pouch) with Bio-Enzymes & Lemon Oil, 1 L (Pouch)","Powerful cleaning baby laundry detergent that packs a punch of bio-enzymes & plant-based surfactants that leave the clothes thoroughly cleaned. This fabric cleaner maintains the fabric quality. Though tough on stains, it retains the fabric texture & colour. Made with lemon essential oil, the detergent offers the safest solution to wash baby clothes.",1 L (Pouch),L (Pouch),1 L (Pouch),1,1,599,347.42,"Aditya Renewtech llp, Plot no. 5, devam -3, industrial eastate, Santej, GIDC, Gujrat-382721",India,['8906103793066'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40218502_1-bodyguard-baby-laundry-liquid-detergent-plant-based-with-bio-enzymes-lemon-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218502-2_1-bodyguard-baby-laundry-liquid-detergent-plant-based-with-bio-enzymes-lemon-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218502-3_1-bodyguard-baby-laundry-liquid-detergent-plant-based-with-bio-enzymes-lemon-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218502-4_1-bodyguard-baby-laundry-liquid-detergent-plant-based-with-bio-enzymes-lemon-oil.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Sodium Laureth Sulphate (SLES), Cocamidopropyl Betaine, Cocamidopropylamine oxide, Lauryl Alcohol Ethoxylate, Carboxy Methyl Inulin, Bio-Enzymes (Amylase, Lipase, Cellulase, Protease, Mananasse, Pectinase), Sodium Chloride, Calcium Chloride. Phenoxy Ethanol, Essential Oil (Citrus Fragrance), Purified Water",-,"Machine wash: 30 ml for 6 kg load (5 ml per kg).
Hand wash: 15 ml in 10 litres bucket","['EAN Code: 8906103793066', 'Manufacturer Name & : Aditya Renewtech llp, Plot no. 5, devam -3, industrial eastate, Santej, GIDC, Gujrat-382721', 'Marketed by: Sirona Hygiene Private Limited, Plot No.382, First Floor, 100 Feet Road, Ghitorni, New Delhi - Delhi - 110030', 'Country of Origin: India', 'Best before 01-03-2024', '","Sirona Hygiene Private Limited, Plot No.382, First Floor, 100 Feet Road, Ghitorni, New Delhi - Delhi - 110030",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Cetaphil,"Cetaphil Baby Massage Oil, 200 ml","Cetaphil Baby Massage Oil contains sunflower oil, soybean oil, shea butter and gently moisturises and protects your babys delicate skin. This mineral oil free and hypoallergenic oil is formulated to be gentle enough for a newborns and babys skin. It is paraben free, alcohol-free, soap-free and animal origin ingredients free. It is dermatologically tested. Cetaphil Baby is dedicated to expert care for your babys delicate skin. Cetaphil Baby is Trusted by doctors & mothers globally. It is dermatologists & pediatricians.
For Beauty tips, tricks & more visit https://bigbasket.blog/",200 ml,ml,200 ml,1,1,630,567,"Bubchen-Werk Ewald Hermes Pharamazeutische Fabrik GmbH, Coesterweg 37, 59494 Soest, Postfach 15 55, 59475 Soest, Germany",Germany,['40142767'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40142767_1-cetaphil-baby-massage-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142767-2_1-cetaphil-baby-massage-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142767-3_1-cetaphil-baby-massage-oil.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Use daily to help protect skin from dryness and retain moisture. Pour oil into your hand. Rub both hands together to warm oil. Gently massage oil all over the body. It is only for external use.,"['EAN Code: 40142767', 'Manufacturer Name and : Bubchen-Werk Ewald Hermes Pharamazeutische Fabrik GmbH, Coesterweg 37, 59494 Soest, Postfach 15 55, 59475 Soest, Germany', 'Marketed by: Nestl Skin Health India Private Limited', 'Country of Origin: Germany', 'Best Before 25-05-2024', '",Nestl Skin Health India Private Limited,-,-,-,"Helianthus Annuus Seed Oil, Butyrospermum Parkii Butter, Calendula Officinalis Flower Extract, Citric Acid, Glycine Soja Oil, Tocopherol, Parfum",-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Cetaphil,"Cetaphil Baby Shampoo, 200 ml","Cetaphil Baby Shampoo with soothing chamomile gently cleanses sensitive scalp without drying. This tear-free, pH balanced, hypo-allergenic formula leaves hair soft with a silky shine. It is free from PAMAS (no paraben, no animal origin ingredients, no mineral oil, no alcohol, and no soap) Cetaphil Baby Shampoo is gentle enough for the hair of your infants and newborns. Cetaphil Baby is trusted by doctors & mothers globally. It is dermatologists & pediatricians.
For Beauty tips, tricks & more visit https://bigbasket.blog/",200 ml,ml,200 ml,1,1,685,616.5,"Bubchen-Werk Ewald Hermes Pharamazeutische Fabrik GmbH, Coesterweg 37, 59494 Soest, Postfach 15 55, 59475 Soest, Germany",Germany,['40142769'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40142769_1-cetaphil-baby-shampoo.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142769-2_1-cetaphil-baby-shampoo.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142769-3_1-cetaphil-baby-shampoo.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wet the hair of your with warm water. Apply a small amount of shampoo to wet hair. Gently massage on the scalp and rinse. It is only for external use.,"['EAN Code: 40142769', 'Manufacturer Name and : Bubchen-Werk Ewald Hermes Pharamazeutische Fabrik GmbH, Coesterweg 37, 59494 Soest, Postfach 15 55, 59475 Soest, Germany', 'Marketed by: Nestl Skin Health India Private Limited', 'Country of Origin: Germany', 'Best Before 25-05-2024', '",Nestl Skin Health India Private Limited,-,-,-,"Aqua, Sorbitol, Cocamidopropyl Betaine, Lauryl Glucoside, Glycerin, Panthenol, Coco-glucoside, Glyceryl Olecate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Juice Powder, Chamomilla Recutita Flower Extract, Citric Acid, Heliotropine, Hydrogenated Palm Glycerides Citrate, Hydrolyzed Wheat Protein, Parfum, Sodium Hydroxide, Tocopherol, Zinc Sulfate",-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Cetaphil,"Cetaphil Baby Wash & Shampoo - With Organic Calendula, pH Balanced, Moisturising, For Hair, Body, 400 ml","Enriched with natural ingredients like Calendula flower, wheat protein, aloe vera, tear-free formula, Cetaphil body wash & shampoo is designed for daily care, head-to-toe and long-lasting moisturisation for up to 8 hours. It is free from paraben, alcohol and mineral. It is dermatologically tested and hypoallergenic. It is safe to use even on newborn skin from day 1.",400 ml,ml,400 ml,1,1,1175,1057.5,"Bubchen-Werk Ewald Hermes, Pharmazeutische Fabrik GmbH, Coesterweg 37, 59494 Soest, Germany",Germany,['7640203241843'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40250828_1-cetaphil-baby-wash-shampoo-with-organic-calendula-ph-balanced-moisturising-for-hair-body.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40250828-2_1-cetaphil-baby-wash-shampoo-with-organic-calendula-ph-balanced-moisturising-for-hair-body.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40250828-3_1-cetaphil-baby-wash-shampoo-with-organic-calendula-ph-balanced-moisturising-for-hair-body.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40250828-4_1-cetaphil-baby-wash-shampoo-with-organic-calendula-ph-balanced-moisturising-for-hair-body.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40250828-5_1-cetaphil-baby-wash-shampoo-with-organic-calendula-ph-balanced-moisturising-for-hair-body.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40250828-6_1-cetaphil-baby-wash-shampoo-with-organic-calendula-ph-balanced-moisturising-for-hair-body.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40250828-7_1-cetaphil-baby-wash-shampoo-with-organic-calendula-ph-balanced-moisturising-for-hair-body.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40250828-8_1-cetaphil-baby-wash-shampoo-with-organic-calendula-ph-balanced-moisturising-for-hair-body.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Aqua, Sodium Laureth Sulfate, Cocoamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Glycerin, Aloe Barbadensis Leaf Juice Powder, Calendula Officinalis Flower Extract, Citric Acid, Glycol Distearate, Heliotropine, Hydrolyzed Wheat Protein, Laureth-4, Panthenol, Parfum, PEG-120 Methyl Glucose Dioleate, Phenoxyethanol, Polyquaternium-10, Sodium Benzoate, Sodium Chloride, Sodium Citrate, Sodium Hydroxide, Tocopherol.",-,Head to toe on a daily basis from birth on.,"['EAN Code: 7640203241843', 'Manufacturer Name & : Bubchen-Werk Ewald Hermes, Pharmazeutische Fabrik GmbH, Coesterweg 37, 59494 Soest, Germany', 'Imported & Marketed by: Galderma India Pvt. Ltd. Lotus Corporate Park, D Wing, Unit 801 & 802, Off Western Express Highway, Goregaon (Eas T), Mumbai 400 063, India', 'Country of origin: Germany', 'Best before __PSL__ days from the delivery date', '","Galderma India Pvt. Ltd. Lotus Corporate Park, D Wing, Unit 801 & 802, Off Western Express Highway, Goregaon (Eas T), Mumbai 400 063, India",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Chicco,"Chicco Baby Learn Together Oral Care Set - Green, 2 pcs",This oral care set includes the gum massager and a toothbrush. The gum massager can be used for 4months + and toothbrush can be used from 6 months to 36 months. It is gentle on enamel and gums.,2 pcs,pcs,2 pcs,2,1,499,499,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",Italy,['40142684'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40142684_1-chicco-baby-learn-together-oral-care-set-green.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142684-2_1-chicco-baby-learn-together-oral-care-set-green.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40142684', 'Manufactured & Marketed by: Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.', 'Imported by: Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.', 'Country of origin: Italy', '","Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",-,-,-,-,-,"Brand : Chicco
Type : Tooth Brush
Material : soft rubber
Colour : Green & white
Model No. : 00006961000000
Dimension : 230 X 90 x 27
Package Content : Gum Gel with Finger Tooth brush
Colour : LEARN TOGETHER SET ORAL CARE
‚",-,This oral care set includes the gum massager and a toothbrush. The gum massager can be used for 4months + and toothbrush can be used from 6 months to 36 months. It is gentle on enamel and gums.
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Chicco,"Chicco Baby Learn Together Oral Care Set - Green, 2 pcs",This oral care set includes the gum massager and a toothbrush. The gum massager can be used for 4months + and toothbrush can be used from 6 months to 36 months. It is gentle on enamel and gums.,2 pcs,pcs,2 pcs,2,1,499,449.1,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",Italy,['40142684'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40142684_1-chicco-baby-learn-together-oral-care-set-green.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142684-2_1-chicco-baby-learn-together-oral-care-set-green.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40142684', 'Manufactured & Marketed by: Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.', 'Imported by: Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.', 'Country of origin: Italy', '","Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",-,-,-,-,-,"Brand : Chicco
Type : Tooth Brush
Material : soft rubber
Colour : Green & white
Model No. : 00006961000000
Dimension : 230 X 90 x 27
Package Content : Gum Gel with Finger Tooth brush
Colour : LEARN TOGETHER SET ORAL CARE
‚",-,This oral care set includes the gum massager and a toothbrush. The gum massager can be used for 4months + and toothbrush can be used from 6 months to 36 months. It is gentle on enamel and gums.
