L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details.1,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Cereals - Stage 1, 6 To 24 Months, 100% Organic Ragi, Easy To Digest, Infant Food, 300 g Box","Indias 1st Organic Baby food. Baby cereal made with organic ingredients. For the age group: 6 months- 24 months. No added artificial colours, flavours and preservatives. Pre-cooked and easily digestible.",300 g Box,g Box,300 g Box,1,1,280,280,"Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",India,['40006364'],['10017043001991'],https://datalabs.siva3.io/image/Eunimart_groceries_40006364_8-1st-bites-ragi-stage-1-6-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006364-2_5-1st-bites-ragi-stage-1-6-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006364-3_4-1st-bites-ragi-stage-1-6-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006364-4_4-1st-bites-ragi-stage-1-6-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006364-5_3-1st-bites-ragi-stage-1-6-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006364-6_3-1st-bites-ragi-stage-1-6-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006364-7_3-1st-bites-ragi-stage-1-6-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006364-8_2-1st-bites-ragi-stage-1-6-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006364-9_2-1st-bites-ragi-stage-1-6-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006364-10_2-1st-bites-ragi-stage-1-6-24-months.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Wash hands and vessels properly. 
Sterilize bowl & spoon (by placing them in boiling water for 5 minutes).
Boil drinking water for 5 minutes & allow to cool.
Add the recommended quantity of 1st Bites to the bowl.
Add the recommended quantity of water gradually, stirring continuously to make a smooth mixture.
Use prepared food within half an hour otherwise microbial deterioration may set in.
Discard unused food.
Instructions: 
3 level scoops of 1st Bites + 75 ml water (Approx) *Feed 3-4 times a day
Storage conditions:
On opening the pack immediately transfer into a clean, airtight and dry container along with the pouch.
Always close the lid tightly after every use. After opening use the contents within one month. Retain the feeding instructions.","[{'EAN Code': '40006364'}, {'FSSAI Number': '10017043001991'}, {'Manufactured & Marketed by': 'Pristine Organics Pvt Ltd., #839, ‚\x80\x98A‚\x80\x99 Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092'}, {'Country of origin': 'India'}]","Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",-,-,-,-,"* Organic Finger Millet, Milk solids, Organic Sugar, Salt, Vitamins, Minerals and Alpha Amylase.",-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Cereals - Stage 2, 8 To 24 Months, 100% Organic Rice & Dal Based Infant Food, 300 g Box","Indias 1st Organic Baby food. Baby cereal made with organic ingredients. For the age group: 8 months- 24 months. No added artificial colours, flavours and preservatives. Pre-cooked and easily digestible.",300 g Box,g Box,300 g Box,1,1,295,295,"Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",India,['40006362'],['10017043001991'],https://datalabs.siva3.io/image/Eunimart_groceries_40006362_6-1st-bites-rice-dal-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006362-2_5-1st-bites-rice-dal-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006362-3_4-1st-bites-rice-dal-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006362-4_4-1st-bites-rice-dal-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006362-5_3-1st-bites-rice-dal-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006362-6_3-1st-bites-rice-dal-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006362-7_3-1st-bites-rice-dal-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006362-8_2-1st-bites-rice-dal-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006362-9_2-1st-bites-rice-dal-stage-2-8-24-months.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Wash hands and vessels properly. 
Sterilize bowl & spoon (by placing them in boiling water for 5 minutes).
Boil drinking water for 5 minutes & allow to cool.
Add the recommended quantity of 1st Bites to the bowl.
Add the recommended quantity of water gradually, stirring continuously to make a smooth mixture.
Use prepared food within half an hour otherwise microbial deterioration may set in.
Discard unused food.
Instructions: 
3 level scoops of 1st Bites + 75 ml water (Approx) *Feed 3-4 times a day
Storage conditions:
On opening the pack immediately transfer into a clean, airtight and dry container along with the pouch.
Always close the lid tightly after every use. After opening use the contents within one month. Retain the feeding instructions.","[{'EAN Code': '40006362'}, {'FSSAI Number': '10017043001991'}, {'Manufactured & Marketed by': 'Pristine Organics Pvt Ltd., #839, ‚\x80\x98A‚\x80\x99 Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092'}, {'Country of origin': 'India'}]","Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",-,-,-,-,"Organic Rice, Milk solids, Organic Sugar, Organic Moong dal(Green gram split), Salt, Vitamins and Minerals, Alpha Amylase.",-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Cereals - Stage 2, 8 To 24 Months, 100% Organic, Wheat & Apple Powder Based Infant Food, 300 g Box","Indias 1st Organic Baby food. Baby cereal made with organic ingredients. For the age group: 10 months- 24 months. No added artificial colours, flavours and preservatives. Pre-cooked and easily digestible. Contains Wheat & Apple Powder.",300 g Box,g Box,300 g Box,1,1,295,295,"Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",India,['40006359'],['10017043001991'],https://datalabs.siva3.io/image/Eunimart_groceries_40006359_9-1st-bites-wheat-apple-powder-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006359-2_6-1st-bites-wheat-apple-powder-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006359-3_5-1st-bites-wheat-apple-powder-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006359-4_5-1st-bites-wheat-apple-powder-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006359-5_3-1st-bites-wheat-apple-powder-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006359-6_3-1st-bites-wheat-apple-powder-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006359-7_3-1st-bites-wheat-apple-powder-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006359-8_2-1st-bites-wheat-apple-powder-stage-2-8-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006359-9_2-1st-bites-wheat-apple-powder-stage-2-8-24-months.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Wash hands and vessels properly. 
Sterilize bowl & spoon (by placing them in boiling water for 5 minutes).
Boil drinking water for 5 minutes & allow to cool.
Add the recommended quantity of 1st Bites to the bowl.
Add the recommended quantity of water gradually, stirring continuously to make a smooth mixture.
Use prepared food within half an hour otherwise microbial deterioration may set in.
Discard unused food.
Instructions: 
3 level scoops of 1st Bites + 75 ml water (Approx) *Feed 3-4 times a day
Storage conditions:
On opening the pack immediately transfer into a clean, airtight and dry container along with the pouch.
Always close the lid tightly after every use. After opening use the contents within one month. Retain the feeding instructions.","[{'EAN Code': '40006359'}, {'FSSAI Number': '10017043001991'}, {'Manufactured & Marketed by': 'Pristine Organics Pvt Ltd., #839, ‚\x80\x98A‚\x80\x99 Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092'}, {'Country of origin': 'India'}]","Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",-,-,-,-,"* Organic Wheat, Milk solids, Organic Sugar, Organic Apple Powder, Salt, Vitamins and Minerals, Alpha Amylase. * Allergic ‚“ Milk & Wheat",-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Cereals - Stage 3, 10 To 24 Months, 100% Organic Wheat, Spinach & Carrot Based Infant Food, 300 g Box","Indias 1st Organic Baby food. Baby cereal made with organic ingredients. For the age group: 10 months- 24 months. No added artificial colours, flavours and preservatives. Pre-cooked and easily digestible.",300 g Box,g Box,300 g Box,1,1,300,300,"Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",India,['8904079222380'],['10017043001991'],https://datalabs.siva3.io/image/Eunimart_groceries_40006363_10-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-2_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-3_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-4_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-5_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-6_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-7_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-8_2-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Wash hands and vessels properly. 
Sterilize bowl & spoon (by placing them in boiling water for 5 minutes).
Boil drinking water for 5 minutes & allow to cool.
Add the recommended quantity of 1st Bites to the bowl.
Add the recommended quantity of water gradually, stirring continuously to make a smooth mixture.
Use prepared food within half an hour otherwise microbial deterioration may set in.
Discard unused food.
Instructions: 
3 level scoops of 1st Bites + 75 ml water (Approx) *Feed 3-4 times a day
Storage conditions:
On opening the pack immediately transfer into a clean, airtight and dry container along with the pouch.
Always close the lid tightly after every use. After opening use the contents within one month. Retain the feeding instructions.","[{'EAN Code': '8904079222380'}, {'FSSAI Number': '10017043001991'}, {'Manufactured & Marketed by': 'Pristine Organics Pvt Ltd., #839, ‚\x80\x98A‚\x80\x99 Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092'}, {'Country of origin': 'India'}]","Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",-,-,-,-,"Organic Wheat, Milk solids, Organic Sugar, Organic Spinach Powder, Organic Carrot Powder, Salt, Vitamins and Minerals, Alpha Amylase. * Allergic ‚“ Milk & Wheat",-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Cereals - Stage 3, 10 To 24 Months, 100% Organic Wheat, Spinach & Carrot Based Infant Food, 300 g Box","Indias 1st Organic Baby food. Baby cereal made with organic ingredients. For the age group: 10 months- 24 months. No added artificial colours, flavours and preservatives. Pre-cooked and easily digestible.",300 g Box,g Box,300 g Box,1,1,300,300,"Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",India,['8904079222380'],['10017043001991'],https://datalabs.siva3.io/image/Eunimart_groceries_40006363_10-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-2_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-3_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-4_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-5_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-6_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-7_8-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006363-8_2-1st-bites-wheat-spinach-carrot-powder-stage-3-10-24-months.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Wash hands and vessels properly. 
Sterilize bowl & spoon (by placing them in boiling water for 5 minutes).
Boil drinking water for 5 minutes & allow to cool.
Add the recommended quantity of 1st Bites to the bowl.
Add the recommended quantity of water gradually, stirring continuously to make a smooth mixture.
Use prepared food within half an hour otherwise microbial deterioration may set in.
Discard unused food.
Instructions: 
3 level scoops of 1st Bites + 75 ml water (Approx) *Feed 3-4 times a day
Storage conditions:
On opening the pack immediately transfer into a clean, airtight and dry container along with the pouch.
Always close the lid tightly after every use. After opening use the contents within one month. Retain the feeding instructions.","[{'EAN Code': '8904079222380'}, {'FSSAI Number': '10017043001991'}, {'Manufactured & Marketed by': 'Pristine Organics Pvt Ltd., #839, ‚\x80\x98A‚\x80\x99 Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092'}, {'Country of origin': 'India'}]","Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",-,-,-,-,"Organic Wheat, Milk solids, Organic Sugar, Organic Spinach Powder, Organic Carrot Powder, Salt, Vitamins and Minerals, Alpha Amylase. * Allergic ‚“ Milk & Wheat",-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Cereals - Stage 3, 10-24 Months,100% Organic Infant Food With Ragi, Strawberry & Apple, 300 g Box","Indias 1st Organic Baby food. Baby cereal made with organic ingredients. For the age group: 10 months- 24 months. No added artificial colours, flavours and preservatives. Pre-cooked and easily digestible.",300 g Box,g Box,300 g Box,1,1,300,300,"Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",India,['40006366'],['10017043001991'],https://datalabs.siva3.io/image/Eunimart_groceries_40006366_8-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006366-2_5-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006366-3_4-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006366-4_4-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006366-5_3-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006366-6_3-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006366-7_3-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006366-8_2-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006366-9_2-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40006366-10_2-1st-bites-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Wash hands and vessels properly. 
Sterilize bowl & spoon (by placing them in boiling water for 5 minutes).
Boil drinking water for 5 minutes & allow to cool.
Add the recommended quantity of 1st Bites to the bowl.
Add the recommended quantity of water gradually, stirring continuously to make a smooth mixture.
Use prepared food within half an hour otherwise microbial deterioration may set in.
Discard unused food.
Instructions: 
3 level scoops of 1st Bites + 75 ml water (Approx) *Feed 3-4 times a day
Storage conditions:
On opening the pack immediately transfer into a clean, airtight and dry container along with the pouch.
Always close the lid tightly after every use. After opening use the contents within one month. Retain the feeding instructions.","[{'EAN Code': '40006366'}, {'FSSAI Number': '10017043001991'}, {'Manufactured & Marketed by': 'Pristine Organics Pvt Ltd., #839, ‚\x80\x98A‚\x80\x99 Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092'}, {'Country of origin': 'India'}]","Pristine Organics Pvt Ltd., #839, ‚A‚ Block, Damodaran Road, Sahakara Nagar, Bangalore 560 092",-,-,-,-,"* Organic Finger Millet, Milk solids, Organic Sugar, Organic Apple Powder, Organic Strawberry Powder, Organic Orange Powder, Salt, Vitamins and Minerals, Alpha Amylase. * Allergen advice- Contains Milk",-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Food - 1St Bites, Ragi, 6 Months To 24 Months, Stage - 1, 3x300 g (Multipack)",Ragi is a well known millet filled with numerous health benefits. It is ideal for growing children as it aids physical and mental development. The 1st Bites Ragi from Pristine is specially produced for children who are growing up and need constant nutrition to meet their long term and daily needs.,3x300 g (Multipack),g (Multipack),3x300 g (Multipack),1,1,840,840,"Pristine Organics Pvt Ltd, #44/2A, Kodigehalli Gate, Sahakarnagar Post, Bengaluru - 560092. At : #41, Bettahalasur, Sonnappanahalli, Bengalure - 562157",India,['1204613'],-,https://datalabs.siva3.io/image/Eunimart_groceries_204613_2-1st-bites-baby-food-1st-bites-ragi-6-months-to-24-months-stage-1.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1204613'}, {'Country of origin': 'India'}, {'Manufactured by': 'Pristine Organics Pvt Ltd, #44/2A, Kodigehalli Gate, Sahakarnagar Post, Bengaluru - 560092. At : #41, Bettahalasur, Sonnappanahalli, Bengalure - 562157'}]",-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Food - Ragi, Strawberry & Apple Powder, Stage-3, 10-24 Months, 300 g Pack of 3",1st Bites Ragi & Mixed Fruits is finished from a great combination of organic Ragi and the goodness of mixed fruits. It also makes as a great additional to baby food Ragi and mixed fruit together helps to recover their immunity and builds their resistance from ordinary ailments. Mixed fruits offer vitamins and minerals while ragi adds the much desired Omega 3 fatty acids needed for behavioral development in kids.,300 g Pack of 3,g Pack of,300 g Pack of 3,3,1,900,900,"Pristine Organics Pvt Ltd, #44/2A, Kodigehalli Gate, Sahakarnagar Post, Bengaluru - 560092. At : #41, Bettahalasur, Sonnappanahalli, Bengalure - 562157",India,['1204615'],-,https://datalabs.siva3.io/image/Eunimart_groceries_204615_2-1st-bites-baby-food-ragi-strawberry-apple-powder-stage-3-10-24-months.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1204615'}, {'Manufactured by': 'Pristine Organics Pvt Ltd, #44/2A, Kodigehalli Gate, Sahakarnagar Post, Bengaluru - 560092. At : #41, Bettahalasur, Sonnappanahalli, Bengalure - 562157'}, {'Country of origin': 'India'}]",-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Food - Rice & Dal, Stage-2, 8-24 Months, 300 g Pack of 3","1st Bites Rice and Dal is made by using Organic food supplement, perfect for children. It is rich in minerals, and vitamins, omega-3 fatty acids. It offers your child the much needed organic advantage. It is made under the most hygienic environment using quality certified ingredients which are improved with minerals and vitamins to give your child the right nutrition, finest eating experience and organic benefit.",300 g Pack of 3,g Pack of,300 g Pack of 3,3,1,885,885,"Pristine Organics Pvt Ltd, #44/2A, Kodigehalli Gate, Sahakarnagar Post, Bengaluru - 560092. At : #41, Bettahalasur, Sonnappanahalli, Bengalure - 562157",India,['1204616'],-,https://datalabs.siva3.io/image/Eunimart_groceries_204616_2-1st-bites-baby-food-rice-dal-stage-2-8-24-months.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1204616'}, {'Manufactured by': 'Pristine Organics Pvt Ltd, #44/2A, Kodigehalli Gate, Sahakarnagar Post, Bengaluru - 560092. At : #41, Bettahalasur, Sonnappanahalli, Bengalure - 562157'}, {'Country of origin': 'India'}]",-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-11,1st Bites,"1st Bites Baby Food - Wheat & Apple Powder, Stage-2, 8-24 Months, 300 g","1st bites Wheat Apple is great complimentary food for babies above 6 months. It is greatly dedicated in providing finest quality baby food. It includes natural and organic ingredients, which are free from pesticides and chemical fertilizers. It is rich in normal antioxidants and micronutrients. The product is simply processed to maintain its ordinary goodness and contains no fake colors, flavors, and preservatives.",300 g,g,300 g,1,1,885,885,"Pristine Organics Pvt Ltd, #44/2A, Kodigehalli Gate, Sahakarnagar Post, Bengaluru - 560092. At : #41, Bettahalasur, Sonnappanahalli, Bengalure - 562157",India,['1204617'],-,https://datalabs.siva3.io/image/Eunimart_groceries_204617_2-1st-bites-baby-food-wheat-apple-powder-stage-2-8-24-months.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1204617'}, {'Manufactured by': 'Pristine Organics Pvt Ltd, #44/2A, Kodigehalli Gate, Sahakarnagar Post, Bengaluru - 560092. At : #41, Bettahalasur, Sonnappanahalli, Bengalure - 562157'}, {'Country of origin': 'India'}]",-,-,-,-,-,-,-
