L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Dibha,"Dibha Jowar Puffs - Tiffin Snack, High In Fibre, 50 g","The Dibha Honest Snacking Jowar Puffs, made from Jowar and Oats, will melt in your mouth leaving a zesty aftertaste. Stored in a tin can, the Dibha Honest Snacking Jowar Puffs comes in handy while you're travelling. Use this as a healthy snack option to replace deep fried snacks. An additional advantage is that this crispy snack is made from Jowar which contains fibre and improves digestion. Explore the wide range of Dibha Honest Snacking from Soya Puffs to Cheesy Makhana and more only on Big Basket.",50 g,g,50 g,1,1,180,180,"Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)",India,['8906154240519'],['11520015000185'],https://datalabs.siva3.io/image/Eunimart_groceries_40252847_1-dibha-jowar-puffs-tiffin-snack-high-in-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252847-2_1-dibha-jowar-puffs-tiffin-snack-high-in-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252847-3_1-dibha-jowar-puffs-tiffin-snack-high-in-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252847-4_1-dibha-jowar-puffs-tiffin-snack-high-in-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252847-5_1-dibha-jowar-puffs-tiffin-snack-high-in-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252847-6_1-dibha-jowar-puffs-tiffin-snack-high-in-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252847-7_1-dibha-jowar-puffs-tiffin-snack-high-in-fibre.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906154240519'}, {'FSSAI No': '11520015000185'}, {'Manufactured & marketed by': 'Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)'}, {'Country of origin': 'India'}]","Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)",-,-,"Oats, Jowar (Sorghum), Refined Vegetable Oil, Salt, Sugar, Garlic Powder, Onion Powder, Spices and Condiments (Red Chilli Powder, Dry Mango Powder, Black Rock Salt, Cumin Powder), Malic Acid (E296), Natural and Nature Identical Flavouring Substance(s), Silicon dioxide(E551), Disodium 5 inosinate(E631), Disodium 5 guanylate(E627), Spice Extracts."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Dibha,"Dibha Jowar Puffs - Zesty Taste, Improves Digestion, 30 g","The Dibha Honest Snacking Jowar Puffs (30g tin), made from Jowar, will melt in your mouth leaving a zesty aftertaste. Stored in a tin can, the Dibha Honest Snacking Jowar Puffs comes in handy while you're travelling. Use this as a healthy snack option to replace deep fried snacks. An additional advantage is that this crispy snack is made from Jowar which contains fibre and improves digestion. Enjoy added fun with the Dibha Honest Snacking Jowar Puffs in a 50g pack. Explore the wide range of Dibha Honest Snacking from Soya Puffs to Cheesy Makhana and more only on Big Basket.",30 g,g,30 g,1,1,150,150,"Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)",India,['40252846'],['11520015000185'],https://datalabs.siva3.io/image/Eunimart_groceries_40252846_1-dibha-jowar-puffs-zesty-taste-improves-digestion.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252846-2_1-dibha-jowar-puffs-zesty-taste-improves-digestion.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252846-3_1-dibha-jowar-puffs-zesty-taste-improves-digestion.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252846-4_1-dibha-jowar-puffs-zesty-taste-improves-digestion.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252846-5_1-dibha-jowar-puffs-zesty-taste-improves-digestion.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252846-6_1-dibha-jowar-puffs-zesty-taste-improves-digestion.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252846-7_1-dibha-jowar-puffs-zesty-taste-improves-digestion.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40252846'}, {'FSSAI No': '11520015000185'}, {'Manufactured & Marketed by': 'Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)'}, {'Country of origin': 'India'}]","Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)",-,-,"Jowar, Refined Vegetable Oil, Maltodextrin, Dextrose, Milk and Milk Solids, Processed Cheese Powder, Cream Powder, Iodised Salt, Dehydrated Garlic Powder, Dehydrated Green Onion Powder, Dehydrated White Onion Powder, Dried Herbs, Acidifying Agents (INS330, INS296), Anti-caking Agent (INS170)"
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Dibha,"Dibha Oats Puffs - Instant Energy & Appetiser, 30 g",The Dibha Honest Snacking Oats Puffs (30 g tin) is a great midday snack to munch on while you take a break from work. This healthy snack is made from oats and jowar and gives you an instant boost of energy and appetizers you before a meal. Jowar is a major source of fibre and helps improve digestion. Serve this to your guests to leave a long-lasting impression. Enjoy added fun with our Dibha Honest Snacking Oats Puffs in a 50g pack. Explore the wide range of Dibha Honest Snacking from Soya Puffs to Cheesy Makhana and more only on Big Basket.,30 g,g,30 g,1,1,150,150,"Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)",India,['40252850'],['11520015000185'],https://datalabs.siva3.io/image/Eunimart_groceries_40252850_1-dibha-oats-puffs-instant-energy-appetiser.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252850-2_1-dibha-oats-puffs-instant-energy-appetiser.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252850-3_1-dibha-oats-puffs-instant-energy-appetiser.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252850-4_1-dibha-oats-puffs-instant-energy-appetiser.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252850-5_1-dibha-oats-puffs-instant-energy-appetiser.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252850-6_1-dibha-oats-puffs-instant-energy-appetiser.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252850-7_1-dibha-oats-puffs-instant-energy-appetiser.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40252850'}, {'FSSAI No': '11520015000185'}, {'Manufactured & marketed by': 'Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)'}, {'Country of origin': 'India'}]","Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)",-,-,"Oats, Jowar (Sorghum), Refined Vegetable Oil, Salt, Sugar, Garlic Powder, Onion Powder, Spices and Condiments (Red Chilli Powder, Dry Mango Powder, Black Rock Salt, Cumin Powder), Malic Acid (E296), Natural and Nature Identical Flavouring Substance(s), Silicon dioxide(E551), Disodium 5'inosinate(E631), Disodium 5'guanylate(E627), Spice Extracts."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Dibha,"Dibha Oats Turmeric Puffs - Instant Energy & Appetisier, 35 g",The Dibha Honest Snacking Oats Turmeric Puffs are to be enjoyed with loved ones over an evening chat with some hot tea. Enjoy these heart-shaped delicacies made from oats and jowar which give you an instant boost of energy and appetisers you before a meal. Jowar is a major source of fibre and helps improve digestion. Serve this to your guests to leave a long-lasting impression. Enjoy added fun with our Dibha Honest Snacking Oats Turmeric Puffs. Explore the wide range of Dibha Honest Snacking from Soya Puffs to Cheesy Makhana and more only on Big Basket.,35 g,g,35 g,1,1,150,150,"Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)",India,['40252852'],['11520015000185'],https://datalabs.siva3.io/image/Eunimart_groceries_40252852_1-dibha-oats-turmeric-puffs-instant-energy-appetisier.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252852-2_1-dibha-oats-turmeric-puffs-instant-energy-appetisier.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252852-3_1-dibha-oats-turmeric-puffs-instant-energy-appetisier.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252852-4_1-dibha-oats-turmeric-puffs-instant-energy-appetisier.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252852-5_1-dibha-oats-turmeric-puffs-instant-energy-appetisier.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252852-6_1-dibha-oats-turmeric-puffs-instant-energy-appetisier.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40252852-7_1-dibha-oats-turmeric-puffs-instant-energy-appetisier.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40252852'}, {'FSSAI No': '11520015000185'}, {'Manufactured & Marketed by': 'Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)'}, {'Country of origin': 'India'}]","Brownwall Food Products Private Limited (W-231A, MIDC TTC Industrial Area, Kopar Khairane, Navi Mumbai 400710)",-,-,"Oats, Jowar (Sorghum), Refined Vegetable Oil, Salt, Sugar, Garlic Powder, Onion Powder, Spices and Condiments (Red Chilli Powder, Dry Mango Powder, Black Rock Salt, Cumin Powder), Malic Acid (E296), Natural and Nature Identical Flavouring Substance(s), Silicon dioxide(E551), Disodium 5'inosinate(E631), Disodium 5'guanylate(E627), Spice Extracts."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Beetroot Lavash - Heavenly Taste & Delicious, 100 g",Fresho Signature brings you exotic lavash that is sure to become one of your favourite evening snacks. Fresho Signature Beetroot Lavash is a mild beetroot flavour thin flatbread baked traditionally in a tandoor. This crispy lavash gives you a slight crunch as you take a bite of it with exquisite spreads like creamy hummus or mayonnaise. It goes great with soup or as an appetizer with cheese.,100 g,g,100 g,1,1,99,69,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['40131061'],"['10015043001314,10018022008102,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40131061_6-fresho-signature-lavash-beetroot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131061-2_6-fresho-signature-lavash-beetroot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131061-3_4-fresho-signature-lavash-beetroot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131061-4_3-fresho-signature-lavash-beetroot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131061-5_3-fresho-signature-lavash-beetroot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131061-6_3-fresho-signature-lavash-beetroot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131061-7_2-fresho-signature-lavash-beetroot.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '40131061'}, {'FSSAI Number': '10015043001314, 10018022008102, 10020043003172'}, {'Manufacturer Name & ': 'Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104'}, {'Marketed by': 'Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016'}, {'Country of Origin': 'India'}]","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Refined Wheat flour, Beetroot, Butter, Edible vegetable fat, Iodised salt and Sugar."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Bread - Garlic, 200 g","The Garlic Bread from Fresho Signature is one-of-a-kind. Crafted with fresh ingredients & herbs, it tastes best when it is heated in the oven to bring out that aromatic garlic flavour. A perfect side dish for any meal, it pairs well with salads, pasta & soups. Can be used as a party snack as well. An artisanal bakery brand, Fresho Signature brings to us a variety of bread hand-crafted with precision and patience for an authentic flavour. Explore the range of artisanal bread from ciabatta to baguettes and more.",200 g,g,200 g,1,1,79,75.05,"Bangalore, Chennai & Hyderabad - GROUND FLOOR, NO.2/A, 13, FLOOR MILL ROAD, MES COLONY, KONENA AGRAHARA HAL POST, Bengaluru- 560017",India,['8904256701204'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_40037492_2-fresho-signature-bread-garlic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037492-2_1-fresho-signature-bread-garlic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Loaded with garlic & herbs, Fresho Signature's garlic bread is a ready-to-eat snack or side for a meal.
Heat it & serve.
Storage Information:
Store product in a clean & dry place.","[{'EAN Code': '8904256701204'}, {'Country of origin': 'India'}, {'FSSAI No': 'Bangalore, Chennai & Hyderabad - 10015043001314'}, {'Manufacturer Name and ': 'Bangalore, Chennai & Hyderabad - GROUND FLOOR, NO.2/A, 13, FLOOR MILL ROAD, MES COLONY, KONENA AGRAHARA HAL POST, Bengaluru- 560017'}, {'Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}]","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,"Refined Wheat Flour (Maida), Water, Baker's Yeast, Gluten, Herbs, Garlic, Milk Solids, Sugar, Iodized Salt, Chilli Powder, Bread Improver (Maize Starch, Anti-caking Agent (INS 170(I), Antioxidant (INS 300), Enzymes (INS 1100(I), INS 1102, INS 1104)"
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Bread Sticks - Plain, 100 g","Grab a bite of these heavenly tasting Fresho Signature‚s Plain breadsticks and fulfill your small hunger pangs. We also know these as pencil-sized dipping sticks. These are made of dry-baked bread that is crisp and tasty enough to eat on their own. You can enjoy the taste of these yummy breadsticks with exotic thick dips like hummus, soft cheese, guacamole, and more. These breadsticks are primarily used as salty snacks; however, you can add your creativity to them and make a sweet snack, too, using jams or melted chocolate. It can be served with soup too as a fantastic snack during a casual party.",100 g,g,100 g,1,1,95,55,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['8904256701556'],"['10015043001314,10018022008102,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40037494_14-fresho-signature-bread-sticks-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037494-2_11-fresho-signature-bread-sticks-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037494-3_9-fresho-signature-bread-sticks-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037494-4_9-fresho-signature-bread-sticks-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037494-5_3-fresho-signature-bread-sticks-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037494-6_3-fresho-signature-bread-sticks-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037494-7_2-fresho-signature-bread-sticks-plain.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '8904256701556'}, {'FSSAI Number': '10015043001314, 10018022008102, 10020043003172'}, {'Manufacturer Name & ': 'Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104'}, {'Marketed by': 'Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016'}, {'Country of Origin': 'India'}]","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Refined Wheat flour, Butter, Edible vegetable fat, Iodised salt, Sugar, Baker's Yeast and Gluten."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Bread Sticks - Plain, 2X100 g MultiPack","Grab a bite of these heavenly tasting Fresho Signature‚s Plain breadsticks and fulfill your small hunger pangs. We also know these as pencil-sized dipping sticks. These are made of dry-baked bread that is crisp and tasty enough to eat on their own. You can enjoy the taste of these yummy breadsticks with exotic thick dips like hummus, soft cheese, guacamole, and more. These breadsticks are primarily used as salty snacks; however, you can add your creativity to them and make a sweet snack, too, using jams or melted chocolate. It can be served with soup too as a fantastic snack during a casual party.",2X100 g MultiPack,g MultiPack,2X100 g MultiPack,1,1,190,93.5,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['1203338'],-,https://datalabs.siva3.io/image/Eunimart_groceries_203338_2-fresho-signature-bread-sticks-plain.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '1203338'}, {'Country of origin': 'India'}]",-,-,-,"Refined Wheat flour, Butter, Edible vegetable fat, Iodised salt, Sugar, Baker's Yeast and Gluten."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Cinnamon Sticks, 100 g","Relish these mouth-watering cinnamon sticks and enjoy your leisure time with Fresho Signature. We also know these as pencil-sized dipping sticks. These are made of dry-baked bread with the goodness of cinnamon that is crisp and tasty enough to eat on their own. You can enjoy the taste of these yummy breadsticks with an exotic thick dip like hummus, soft cheese, guacamole, and more. These cinnamon breadsticks are primarily used as snacks; however, you can add your creativity to it and make a sweet snack, too, using jams or melted chocolate. It can be served with soup too as a fantastic snack during a casual party. Fresho Signature brings you tasty meals with these Cinnamon Bread Sticks.",100 g,g,100 g,1,1,59,55,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['8904256701532'],"['10015043001314,10018022008102,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40037475_12-fresho-signature-cinnamon-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037475-2_10-fresho-signature-cinnamon-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037475-3_10-fresho-signature-cinnamon-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037475-4_10-fresho-signature-cinnamon-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037475-5_10-fresho-signature-cinnamon-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037475-6_2-fresho-signature-cinnamon-sticks.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '8904256701532'}, {'FSSAI Number': '10015043001314, 10018022008102, 10020043003172'}, {'Manufacturer Name & ': 'Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104'}, {'Marketed by': 'Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016'}, {'Country of Origin': 'India'}]","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Refined Wheat flour, Edible vegetable fat, Iodised salt, Sugar, Cinnamon powder and Gluten."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Cinnamon Sticks, 2X100 g MultiPack",These heavenly Fresho Signature Cinnamon Sticks are made with the finest cinnamon within the twists of soft and tender breadsticks.,2X100 g MultiPack,g MultiPack,2X100 g MultiPack,1,1,118,93.5,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['1203336'],-,https://datalabs.siva3.io/image/Eunimart_groceries_203336_2-fresho-signature-cinnamon-sticks.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Perfect to serve at a party (they look great all standing up in a glass or vase) or dipped into some morning coffee or a cheesy, red salsa dip.","[{'EAN Code': '1203336'}, {'Country of origin': 'India'}]",-,-,-,"Refined wheat flour, Water, Industrial margerine , Edible Common Salt, Sugar ,Cinnamon powder (10.2%), Castor Sugar"
