L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Specification,About
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Basting Brush - Kitchen Cooking Tool - Silicon & Plastic, Blue/Grey Assorted, 1 pc","This blue coloured kitchen brush is a useful kitchen tool when it comes to cooking. These brushes come handy for applying oil while cooking food, barbequing or to add drizzles while making pastries. The brushes are made of silicone, and silicone being heat resistant, can be directly used on hot food. Whereas, the handle of the brush is made using high-quality plastic material. The brushes cool quickly and are easy to clean, lightweight, non-stick, flexible and easy to handle.",1 pc,pc,1 pc,1,1,229,179,"Plot 84, Nawada Industrial Area, Uttam Nagar, New Delhi-112",China,['40154299'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40154299_2-casasunco-basting-brush-kitchen-cooking-tool-silicon-plastic-bluegrey-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154299-2_2-casasunco-basting-brush-kitchen-cooking-tool-silicon-plastic-bluegrey-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154299-3_1-casasunco-basting-brush-kitchen-cooking-tool-silicon-plastic-bluegrey-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154299-4_1-casasunco-basting-brush-kitchen-cooking-tool-silicon-plastic-bluegrey-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154299-5_1-casasunco-basting-brush-kitchen-cooking-tool-silicon-plastic-bluegrey-assorted.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40154299'}, {'Country of Origin': 'China'}, {'",-,-,-,Do not use harsh chemicals to clean.,"Brand: Casasunco
Model No.: BB-1166 BL
Material: Silicone And Plastic
Product Type: Brush
Colour: Blue
Package Content: 1",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Basting Brush - Silicon Plastic, Assorted colors - For Kitchen Use, 1 pc","This pink coloured kitchen brush is useful kitchen tool when it comes to cooking. These brushes come handy for applying oil while cooking food, barbequing or to add drizzles while making pastries. The brushes are made of silicone and silicone being heat resistant, can be directly used on hot food. Whereas, the handle of the brush is made using high quality plastic material. The brushes cool quickly and are easy to clean, lightweight, non-stick, flexible and easy to handle.
PLEASE NOTE: Stock will be sent based on colours available",1 pc,pc,1 pc,1,1,229,179,"Plot 84, Nawada Industrial Area, Uttam Nagar, New Delhi-112",China,['40154298'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40154298_2-casasunco-basting-brush-silicon-plastic-assorted-colors-for-kitchen-use.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154298-2_2-casasunco-basting-brush-silicon-plastic-assorted-colors-for-kitchen-use.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154298-3_1-casasunco-basting-brush-silicon-plastic-assorted-colors-for-kitchen-use.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154298-4_1-casasunco-basting-brush-silicon-plastic-assorted-colors-for-kitchen-use.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154298-5_1-casasunco-basting-brush-silicon-plastic-assorted-colors-for-kitchen-use.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40154298'}, {'Country of Origin': 'China'}, {'",-,-,-,Do not use harsh chemicals to clean.,"Brand: Casasunco
Model No.: BB-1166 PNK
Material: Silicone And Plastic
Product Type: Brush
Colour: Pink
Package Content: 1",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Basting Brush Kitchen Oil Cooking Tool - Silicon Wooden, Assorted Colors , BB1159, 1 pc","This pink coloured kitchen brush is useful kitchen tool when it comes to cooking. These brushes come handy for applying oil while cooking food, barbequing or to add drizzles while making pastries. The handle is made using wooden material and brushes are made of silicone and as silicone being heat resistant, can be directly used on hot food. The brushes cool quickly and are easy to clean, lightweight, non-stick, flexible and easy to handle.
PLEASE NOTE: Stock will be sent based on colours available",1 pc,pc,1 pc,1,1,339,249,"Plot 84, Nawada Industrial Area, Uttam Nagar, New Delhi-112",China,['40154237'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40154237_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-assorted-colors-bb1159.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154237-2_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-assorted-colors-bb1159.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40154237'}, {'Country of Origin': 'China'}, {'",-,-,-,Do not use harsh chemicals to clean.,"Brand:  Casasunco
Model No.: BB-1159 PNK
Material: Wooden and Silicone
Product Type: Brush
Colour: Pink
Package Content: 1",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Basting Brush Kitchen Oil Cooking Tool - Silicon Wooden, Assorted colors , BB1151, 1 pc","This pink coloured kitchen brush is useful kitchen tool when it comes to cooking. These brushes come handy for applying oil while cooking food, barbequing or to add drizzles while making pastries. The handle is made using wooden material and brushes are made of silicone and as silicone being heat resistant, can be directly used on hot food. The brushes cool quickly and are easy to clean, lightweight, non-stick, flexible and easy to handle.
PLEASE NOTE: Stock will be sent based on colours available",1 pc,pc,1 pc,1,1,239,179,"Plot 84, Nawada Industrial Area, Uttam Nagar, New Delhi-112",China,['40154235'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40154235_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-assorted-colors-bb1151.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154235-2_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-assorted-colors-bb1151.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40154235'}, {'Country of Origin': 'China'}, {'",-,-,-,Do not use harsh chemicals to clean.,"Brand: Casasunco
Model No.: BB-1151 PNK
Material: Wooden and Silicone
Product Type: Brush
Colour: Pink
Package Content: 1",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Basting Brush Kitchen Oil Cooking Tool - Silicon Wooden, Blue/Grey Assorted, BB1159, 1 pc","This blue coloured kitchen brush is useful kitchen tool when it comes to cooking. These brushes come handy for applying oil while cooking food, barbequing or to add drizzles while making pastries. The handle is made using wooden material and brushes are made of silicone and as silicone being heat resistant, can be directly used on hot food. The brushes cool quickly and are easy to clean, lightweight, non-stick, flexible and easy to handle.",1 pc,pc,1 pc,1,1,339,229,"Plot 84, Nawada Industrial Area, Uttam Nagar, New Delhi-112",China,['40154238'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40154238_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-bluegrey-assorted-bb1159.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154238-2_1-casasunco-basting-brush-kitchen-oil-cooking-tool-silicon-wooden-bluegrey-assorted-bb1159.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40154238'}, {'Country of Origin': 'China'}, {'",-,-,-,Do not use harsh chemicals to clean.,"Brand: Casasunco
Model No.: BB-1159 BL
Material: Wooden and Silicone
Product Type: Brush
Colour: Blue
Package Content: 1",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Cooking Spatula - Silicone & Wooden, Assorted colors, BB1153, 1 pc","Add colours and style to your cooking by using this trendy spatula. The handle is made using wooden material and the front part is designed using the silicone material which is heat resistant, non-toxic, flexible, durable and eco-friendly. Since it is easy to use and clean, the heads of spatula are detachable for easy cleaning.
PLEASE NOTE: Stock will be sent based on colours available",1 pc,pc,1 pc,1,1,259,199,"Plot 84, Nawada Industrial Area, Uttam Nagar, New Delhi-112",China,['40154243'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40154243_1-casasunco-cooking-spatula-silicone-wooden-assorted-colors-bb1153.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154243-2_1-casasunco-cooking-spatula-silicone-wooden-assorted-colors-bb1153.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40154243'}, {'Country of Origin': 'China'}, {'",-,-,-,Do not use harsh chemicals to clean.,"Brand: Casasunco
Model No.: BB-1153 PNK
Material: Silicone and Wooden
Product Type: Spatula
Colour: Pink
Package Content: 1",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Cooking Spatula - Silicone & Wooden, Blue/Grey Assorted, BB1153, 1 pc","Add colours and style to your cooking by using this trendy spatula. The handle is made using wooden material and the front part is designed using the silicone material which is heat resistant, non-toxic, flexible, durable and eco-friendly. Since it is easy to use and clean, the heads of spatula are detachable for easy cleaning.",1 pc,pc,1 pc,1,1,259,199,"Plot 84, Nawada Industrial Area, Uttam Nagar, New Delhi-112",China,['40154244'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40154244_1-casasunco-cooking-spatula-silicone-wooden-bluegrey-assorted-bb1153.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154244-2_1-casasunco-cooking-spatula-silicone-wooden-bluegrey-assorted-bb1153.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40154244'}, {'Country of Origin': 'China'}, {'",-,-,-,Do not use harsh chemicals to clean.,"Brand: Casasunco
Model No.: BB-1153 BL
Material: Silicone and Wooden
Product Type: Spatula
Colour: Blue
Package Content: 1",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Muffin/Cupcakes Moulds - Silicone, Assorted, 4 pcs","Everybody loves cake and muffins. So surprise your loved ones by baking cute little muffins in these pink coloured cups. The cups are made using high quality, Food grade silicone material and make baking pretty easy as they are non-stick, flexible and are easy to clean. It is a set of 4 cups. The moulds are microwave and refrigerator safe.",4 pcs,pcs,4 pcs,4,1,249,199," Plot No. 37/84 ,Nawada Industrial Area, Uttam Nagar, New Delhi -110059?",China,['40223421'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40223421_1-casasunco-muffincupcakes-moulds-silicone-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223421-2_1-casasunco-muffincupcakes-moulds-silicone-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223421-3_1-casasunco-muffincupcakes-moulds-silicone-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223421-4_1-casasunco-muffincupcakes-moulds-silicone-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223421-5_1-casasunco-muffincupcakes-moulds-silicone-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223421-6_1-casasunco-muffincupcakes-moulds-silicone-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223421-7_1-casasunco-muffincupcakes-moulds-silicone-assorted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223421-8_1-casasunco-muffincupcakes-moulds-silicone-assorted.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Reusable cupcake melds for many times use.
Use them in the oven, microwave and dishwasher safe.
Make muffins cupcakes as they are the perfect holders for sorting small items. 
Fun for a birthday or holiday party, baby shower, or wedding! 
Great for cooking eggs, baking muffins, cupcakes, and bread, preparing frozen treats and desserts.
Substitute to disposable paper cups as works with any standard muffin pan","[{'EAN Code': '40223421'}, {'Manufacturer Name & ': 'Decent Plasic, Plot No. 37/84 ,Nawada Industrial Area, Uttam Nagar, New Delhi -110059?'}, {'Country of Origin': 'China'}]",-,-,-,"Clean all products Properly 
Never ""dry heat"" 
Wipe off residual oil with a paper napkin or muslin cloth from a hot pan immediately after cooking
Allow pan to cool before washing
Do not wash the pan or lid in a dishwasher
Always wash all surfaces of the pan thoroughly after every use in hot water with a non-abrasive chlorine-free kitchen cleaner","Brand: Casasunco
Model: BB1171
Dimensions: 4.5cmX7cmX3.5cm
Type: Cupcake Moulds
Material: Silicone
Colour: Assorted
Package Content: 1 pc",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Silicon Moulds - For Muffins & Cupcakes, Assorted colors, 4 pcs","Everybody loves cake and muffins. So surprise your loved ones by baking cute little muffins in these pink coloured cups. The cups are made using the silicone material and makes baking pretty easy as they are non-stick, flexible and are easy to clean. It is a set of 4 cups. The moulds are microwave and refrigerator safe.
PLEASE NOTE: Stock will be sent based on colours available",4 pcs,pcs,4 pcs,4,1,249,199,"Plot 84, Nawada Industrial Area, Uttam Nagar, New Delhi-112",China,['40154222'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40154222_2-casasunco-silicon-moulds-for-muffins-cupcakes-assorted-colors.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154222-2_2-casasunco-silicon-moulds-for-muffins-cupcakes-assorted-colors.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154222-3_2-casasunco-silicon-moulds-for-muffins-cupcakes-assorted-colors.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154222-4_2-casasunco-silicon-moulds-for-muffins-cupcakes-assorted-colors.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154222-5_1-casasunco-silicon-moulds-for-muffins-cupcakes-assorted-colors.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40154222'}, {'Country of Origin': 'China'}, {'",-,-,-,Do not use harsh chemicals to clean.,"Brand: Casasunco
Model No.: BB-1171 PNK
Material: Silicone
Product Type: Muffin Cups
Colour: Pink
Package Content: 4",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Casasunco,"Casasunco Silicon Spatula - Wooden Handle, Assorted colors - For Kitchen Use, 1 pc","Add colours and style to your cooking by using this trendy spatula. The spatula handle is made using wooden material and the front part is designed using silicone material which is heat resistant, non-toxic, flexible, durable and eco-friendly. Since it is easy to use and clean, the heads of the spatula are detachable for easy cleaning.
PLEASE NOTE: Stock will be sent based on colours available",1 pc,pc,1 pc,1,1,339,249,"Plot 84, Nawada Industrial Area, Uttam Nagar, New Delhi-112",China,['40154233'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40154233_2-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154233-2_2-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154233-3_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154233-4_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40154233-5_1-casasunco-silicon-spatula-wooden-handle-assorted-colors-for-kitchen-use.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40154233'}, {'Country of Origin': 'China'}, {'",-,-,-,Do not use harsh chemicals to clean.,"Brand: Casasunco
Model No.: BB-1156 PNK
Material: Wooden and Silicone
Product Type: Spatula
Colour: Pink
Package Content: 1",-
