L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Better Body Bombay,"Better Body Bombay Calming Daily Body Wash - Lavender & Chamomile, Calms, Relaxes & Balances, Dull & Mature Skin, 300 ML","1. Calms Dry and Irritated skin: Chamomile extract calms dry, irritated and overworked skin with its natural balancing and soothing essence.
2. Youthful glow & prevents aging: Moringa leaf & Horsetail extract have antioxidants which help protect your skin from damage, which can slow down its aging process, helping prevent wrinkles.",300 ML,ML,300 ML,1,1,650,617.5,"Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68",India,['8905529000109'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285285_1-better-body-bombay-calming-daily-body-wash-lavender-chamomile-calms-relaxes-balances-dull-mature-skin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285285-2_1-better-body-bombay-calming-daily-body-wash-lavender-chamomile-calms-relaxes-balances-dull-mature-skin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285285-3_1-better-body-bombay-calming-daily-body-wash-lavender-chamomile-calms-relaxes-balances-dull-mature-skin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285285-4_1-better-body-bombay-calming-daily-body-wash-lavender-chamomile-calms-relaxes-balances-dull-mature-skin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285285-5_1-better-body-bombay-calming-daily-body-wash-lavender-chamomile-calms-relaxes-balances-dull-mature-skin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285285-6_1-better-body-bombay-calming-daily-body-wash-lavender-chamomile-calms-relaxes-balances-dull-mature-skin.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Lavender Extract, Chamomile, Violet Flower Extract, Horsetail Extract, Aqua, Decyl Glucoside, Acrylates Copolymer, Guar Gum, Peg-40 Hydrogenated Castor Oil, Sodium Lauryl Sulfocetate, Sodium Gluconate",-,Take an appropriate amount of body wash and lather onto wet skin. Rinse off with water.,"[{'EAN Code': '8905529000109'}, {'Country of origin': 'India'}, {'Manufactured & Marketed by': 'Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68'}, {'Country of Origin': 'India'}]","Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68",-,-,-
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Better Body Bombay,"Better Body Bombay Energizing Daily Body Wash - Blood Orange, For All Skin Types, Brightens, Renews & Repairs, 300 ml","This Energizing Daily Body Wash helps Revitalize skin: Banana & Mango pulp extract in skin renewal and rejuvenation. Also, increases skin hydration upto 8 hours, and provides increased hydration by maintaining skin barrier function.",300 ml,ml,300 ml,1,1,650,617.5,"Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68",India,['8905529000017'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285283_1-better-body-bombay-energizing-daily-body-wash-blood-orange-for-all-skin-types-brightens-renews-repairs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285283-2_1-better-body-bombay-energizing-daily-body-wash-blood-orange-for-all-skin-types-brightens-renews-repairs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285283-3_1-better-body-bombay-energizing-daily-body-wash-blood-orange-for-all-skin-types-brightens-renews-repairs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285283-4_1-better-body-bombay-energizing-daily-body-wash-blood-orange-for-all-skin-types-brightens-renews-repairs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285283-5_1-better-body-bombay-energizing-daily-body-wash-blood-orange-for-all-skin-types-brightens-renews-repairs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285283-6_1-better-body-bombay-energizing-daily-body-wash-blood-orange-for-all-skin-types-brightens-renews-repairs.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Blood Orange, Mango Pulp Extract & Banana Pulp Extract, Sea Buckthorn, Gojiberry Extract, Aqua, Decyl Glucoside, Acrylates Copolymer, Guar Gum, PEG-40 Hydrogenated Castor Oil, Sodium Lauryl Sulfocetate, Citrus Limon Extract, Sodium Gluconate",-,"Take some body wash on your palm or on your loofah.
Work it into a rich lather.
Once done, Rinse it off.","[{'EAN Code': '8905529000017'}, {'Country of origin': 'India'}, {'Manufactured & Marketed by': 'Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68'}, {'Country of Origin': 'India'}]","Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68",-,-,-
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Better Body Bombay,"Better Body Bombay Hydrating Daily Body Wash - Aloe & Coconut, Dry & Sensitive Skin, Hydrates, Moisturizes & Soothes, 300 ml","1. Maintains Skin Hydration & Elasticity: Aloe vera & Sugar squalene extract lock in the natural moisture & promote collagen production leaving your skin soft & supple.
2. Soothes & Energize skin: Coconut oil extract & Horse chestnut helps soothe & tone skin and has anti-irritant properties.",300 ml,ml,300 ml,1,1,650,617.5,"Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68",India,['8905529000093'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285284_1-better-body-bombay-hydrating-daily-body-wash-aloe-coconut-dry-sensitive-skin-hydrates-moisturizes-soothes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285284-2_1-better-body-bombay-hydrating-daily-body-wash-aloe-coconut-dry-sensitive-skin-hydrates-moisturizes-soothes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285284-3_1-better-body-bombay-hydrating-daily-body-wash-aloe-coconut-dry-sensitive-skin-hydrates-moisturizes-soothes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285284-4_1-better-body-bombay-hydrating-daily-body-wash-aloe-coconut-dry-sensitive-skin-hydrates-moisturizes-soothes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285284-5_1-better-body-bombay-hydrating-daily-body-wash-aloe-coconut-dry-sensitive-skin-hydrates-moisturizes-soothes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285284-6_1-better-body-bombay-hydrating-daily-body-wash-aloe-coconut-dry-sensitive-skin-hydrates-moisturizes-soothes.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Aloe Vera Extract, Coconut Extract, Sugar Squalene, Horsetail Extract, Aqua, Decyl Glucoside, Acrylates Copolymer, Guar Gum, Peg-40 Hydrogenated Castor Oil, Sodium Lauryl Sulfocetate, Sodium Gluconate, Honey Extract",-,Take an appropriate amount of body wash and lather onto wet skin. Rinse off with water.,"[{'EAN Code': '8905529000093'}, {'Country of origin': 'India'}, {'Manufactured & Marketed by': 'Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68'}, {'Country of Origin': 'India'}]","Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68",-,-,-
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Better Body Bombay,"Better Body Bombay Nourishing Daily Body Wash - Milk & Forest Honey, Normal T Dry Skin, Nourishes, Rejuvenates, 300 ml","1. Restores skin vitality: Horsetail and Royal jelly extracts are rich in vital vitamins to maintain skin tone and vitality.
2. Intense Hydration & Nourishment: Blend of Milk & Honey moisturize the skin without clogging the pores.",300 ml,ml,300 ml,1,1,650,617.5,"Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68",India,['8905529000116'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285286_1-better-body-bombay-nourishing-daily-body-wash-milk-forest-honey-normal-t-dry-skin-nourishes-rejuvenates.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285286-2_1-better-body-bombay-nourishing-daily-body-wash-milk-forest-honey-normal-t-dry-skin-nourishes-rejuvenates.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285286-3_1-better-body-bombay-nourishing-daily-body-wash-milk-forest-honey-normal-t-dry-skin-nourishes-rejuvenates.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285286-4_1-better-body-bombay-nourishing-daily-body-wash-milk-forest-honey-normal-t-dry-skin-nourishes-rejuvenates.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285286-5_1-better-body-bombay-nourishing-daily-body-wash-milk-forest-honey-normal-t-dry-skin-nourishes-rejuvenates.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285286-6_1-better-body-bombay-nourishing-daily-body-wash-milk-forest-honey-normal-t-dry-skin-nourishes-rejuvenates.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Milk Powder, Forest Honey, Cinnamon Bark, Betaine, Aqua, Decyl Glucoside, Acrylates Copolymer, Guar Gum, Peg-40 Hydrogenated Castor Oil, Sodium Lauryl Sulfocetate, Sodium Gluconate",-,Take an appropriate amount of body wash and lather onto wet skin. Rinse off with water.,"[{'EAN Code': '8905529000116'}, {'Country of origin': 'India'}, {'Manufactured & Marketed by': 'Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68'}, {'Country of Origin': 'India'}]","Ivory Soap Works Ltd.,H-44,M.I.D.C., Ambad,Nashik,Maharashtra-422010,India M.L. No.: M NKD/C-68",-,-,-
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Bryan & Candy,"Bryan & Candy Bath & Shower Gel - Delicate Rose, pH 5.5, Skin-Friendly, Paraben Free, 500 ml","Enriched with Organic Aloe Vera, Rose Water, Cocoa Butter and Shea Butter is our Bryan & Candy Delicate Rose Shower Gel. No sulphate or paraben, this shower gel will not only clean and soften your skin but will also uplift your mood. Infused with natural oils that help skin conditioning, lathering up with this gel is a truly indulgent way to bathe. Our shower gel will remove impurities without stripping the body of natural essential oils while aloe vera delivers concentrated hydration for dry skin. The lingering perfume will stay with you the whole day and that is one sure benefit. For a complete home spa experience, we believe in innovating and evolving relentlessly without compromise.",500 ml,ml,500 ml,1,1,549,549,"Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",India,['40287583'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40287583_1-bryan-candy-bath-shower-gel-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287583-2_1-bryan-candy-bath-shower-gel-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287583-3_1-bryan-candy-bath-shower-gel-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287583-4_1-bryan-candy-bath-shower-gel-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287583-5_1-bryan-candy-bath-shower-gel-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Cocoa Butter, Shea Butter, Rose Water, Organic Aloe Vera.",-,"Rinse your body well with lukewarm water.
Apply around two tablespoons of shower gel across your body.
Gently scrub it off with a loofah.
Wash it off with lukewarm water.
Pat dry your skin with a soft towel.
Best to be stored at a cool and dry place, away from sunlight.","[{'EAN Code': '40287583'}, {'': 'India'}, {'Manufactured & Marketed by': 'Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404'}, {'Country of Origin': 'India'}]","Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",-,-,"Delicate Rose Shower Gel.
Contains the goodness of Aloe Vera, Rose Water, Cocoa Butter and Shea Butter.
Helps in softening your skin and uplifting your mood.
Sulphate and paraben free.
pH 5.5 and skin-friendly."
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Bryan & Candy,"Bryan & Candy Luxury Foaming Body Wash - Cocoa & Shea, pH 5.5, Skin Friendly, Paraben Free, 400 ml","This is a unique foaming formula that comes out as a rich and soft foam that can be directly applied to your wet body. No Loofah is required. Only a handful of foam is enough to cover your full body. Our Bryan & Candy Cocoa Shea Foaming Body Wash is a luxury in itself with the goodness of real and natural ingredients used in the formulation. It is also enriched with Shea butter, Aloe Vera, Argan Oil and other natural plant extracts which makes your skin feel super moisturised after every bath. It does not make your skin dry, itchy and scaly like the normal Shower gels & soaps available in the market.",400 ml,ml,400 ml,1,1,595,595,"Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",India,['18902305026046'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40287620_1-bryan-candy-luxury-foaming-body-wash-cocoa-shea-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287620-2_1-bryan-candy-luxury-foaming-body-wash-cocoa-shea-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287620-3_1-bryan-candy-luxury-foaming-body-wash-cocoa-shea-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287620-4_1-bryan-candy-luxury-foaming-body-wash-cocoa-shea-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287620-5_1-bryan-candy-luxury-foaming-body-wash-cocoa-shea-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287620-6_1-bryan-candy-luxury-foaming-body-wash-cocoa-shea-ph-55-skin-friendly-paraben-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Pentavitin, Pro Vit B5, Argan Oil, Aloe Vera, Cocoa & Shea Butter.",-,"Wet your skin in the bath or shower and lather the solution on a loofah or washcloth.
Apply a generous layer all over your skin.
Rinse it off and pat your skin dry with a clean towel.
Best to be stored at a cool and dry place, away from sunlight.","[{'EAN Code': '18902305026046'}, {'': 'India'}, {'Manufactured & Marketed by': 'Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404'}, {'Country of Origin': 'India'}]","Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",-,-,"Cocoa Shea Luxury Foaming Body Wash.
Rich in Pentavitin which provides 48 hours of hydration.
Keeps your skin super nourished after the bath.
No harmful chemicals and paraben in use.
Suitable for all skin types."
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Bryan & Candy,"Bryan & Candy Luxury Foaming Body Wash - Lavender & Vanilla Cream, pH 5.5, Skin Friendly, Paraben Free, 400 ml","This is a unique foaming formula that comes out as a rich and soft foam that can be directly applied to your wet body. No Loofah is required. Only a handful of foam is enough to cover your full body. Our Bryan & Candy Lavender and Vanilla Cream Foaming Body Wash is a luxury in itself with the goodness of real and natural ingredients used in the formulation. It is also enriched with Shea butter and natural plant extracts which makes your skin feel super moisturised after every bath. It does not make your skin dry, itchy and scaly like the normal Shower gels & soaps available in the market.",400 ml,ml,400 ml,1,1,595,595,"Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",India,['40287619'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40287619_1-bryan-candy-luxury-foaming-body-wash-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287619-2_1-bryan-candy-luxury-foaming-body-wash-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287619-3_1-bryan-candy-luxury-foaming-body-wash-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287619-4_1-bryan-candy-luxury-foaming-body-wash-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287619-5_1-bryan-candy-luxury-foaming-body-wash-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287619-6_1-bryan-candy-luxury-foaming-body-wash-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Pentavitin, Pro Vit B5, Argan Oil, Lavender & Vanilla Extract.",-,"Wet your skin in the bath or shower and lather the solution on a loofah or washcloth.
Apply a generous layer all over your skin.
Rinse it off and pat your skin dry with a clean towel.
Best to be stored at a cool and dry place, away from sunlight.","[{'EAN Code': '40287619'}, {'': 'India'}, {'Manufactured & Marketed by': 'Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404'}, {'Country of Origin': 'India'}]","Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",-,-,"Lavender & Vanilla Cream Luxury Foaming Body Wash.
Rich in Pentavitin which provides 48 hours of hydration.
Keeps your skin super nourished after the bath.
No harmful chemicals and paraben in use.
Suitable for all skin types."
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Bryan & Candy,"Bryan & Candy Sugar Body Scrub - Delicate Rose, pH 5.5, Skin Friendly, Paraben Free, 250 g","Sugar is a natural humectant that protects the skin while exfoliating, unlike dry coffee scrubs. Taking that in mind, Bryan & Candy has come up with an excellent formulation that contains the goodness of rose and sugar both in one. Yes, a Sugar Body Scrub for all skin types, our Delicate Rose Body Scrub increases collagen production and makes skin supple and hydrated. Sugar granules are even, polished and non-abrasive to the skin. It helps to unclog pores and remove textured skin that can lead to those pesky ingrown hairs. Bryan & Candy is the First Bath & Body Care brand focused on making products with a skin-friendly pH of 5.5 and suitable for all skin types which elevates your personal care regimen.",250 g,g,250 g,1,1,675,675,"Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",India,['40287593'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40287593_1-bryan-candy-sugar-body-scrub-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287593-2_1-bryan-candy-sugar-body-scrub-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287593-3_1-bryan-candy-sugar-body-scrub-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287593-4_1-bryan-candy-sugar-body-scrub-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287593-5_1-bryan-candy-sugar-body-scrub-delicate-rose-ph-55-skin-friendly-paraben-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rose Oil, Argan Oil, Fruit AHA's And Oatmeal.",-,"Take enough sugar body scrub and apply it gently to the wet body.
Use all over your body for 3-4 minutes until the sugar granules become small and get dissolved.
Rinse well with warm water and pat dry for smooth and nourished skin.
Best to be stored at a cool and dry place, away from sunlight.","[{'EAN Code': '40287593'}, {'': 'India'}, {'Manufactured & Marketed by': 'Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404'}, {'Country of Origin': 'India'}]","Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",-,-,"Enriched with Rose Oil, Macadamia & Argan Oil, Fruit AHAs and Oatmeal.
Gently exfoliates and rejuvenates the skin.
Provides deep and intense moisturisation.
Suitable for even skin tone.
Reduces pigmentation, dark spots and cellulite.
Sulphate and Paraben free."
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Bryan & Candy,"Bryan & Candy Sugar Body Scrub - Japanese Cherry Blossom, pH 5.5, Skin Friendly, Paraben Free, 250 g","Japanese Cherry Blossom Sugar Body Scrub for your nourished skin and excellent moisturisation. Skin-friendly, our Bryan & Candy Cherry Blossom Sugar Body Scrub exfoliates gently compared to any other dry scrubs or salt scrubs. Sugar granules are even, polished and non-abrasive to the skin. It helps to unclog pores and remove textured skin that can lead to those pesky ingrown hairs. Glycerin and fruit AHAs give intense moisturisation and reduce redness and inflammation to greater levels. This Skin friendly pH 5.5 formula is loaded with Macadamia & Argan Oils which assist in cell regeneration, prevent chapping, and nourishes skin while exfoliating. We are 100% vegan friendly, sulphate & paraben free, and we believe in innovating and evolving.",250 g,g,250 g,1,1,675,675,"Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",India,['18902305026435'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40287594_1-bryan-candy-sugar-body-scrub-japanese-cherry-blossom-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287594-2_1-bryan-candy-sugar-body-scrub-japanese-cherry-blossom-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287594-3_1-bryan-candy-sugar-body-scrub-japanese-cherry-blossom-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287594-4_1-bryan-candy-sugar-body-scrub-japanese-cherry-blossom-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287594-5_1-bryan-candy-sugar-body-scrub-japanese-cherry-blossom-ph-55-skin-friendly-paraben-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Cherry Blossom Extract, Macadamia and Argan Oil.",-,"Take enough sugar body scrub and apply it gently to the wet body.
Use all over your body for 3-4 minutes until the sugar granules become small and get dissolved.
Rinse well with warm water and pat dry for smooth and nourished skin.
Best to be stored at a cool and dry place, away from sunlight.","[{'EAN Code': '18902305026435'}, {'': 'India'}, {'Manufactured & Marketed by': 'Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404'}, {'Country of Origin': 'India'}]","Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",-,-,"Enriched with Cherry Blossom Flower Extract, Macadamia & Argan Oil, Fruit AHAs and Oatmeal.
Gently exfoliates and rejuvenates the skin.
Provides deep and intense moisturisation.
Suitable for even skin tone.
Reduces pigmentation, dark spots and cellulite.
Sulphate and Paraben free."
RET,RET-10,RET-10-12,RET-10-12-10,RET-10-12-10-14,Bryan & Candy,"Bryan & Candy Sugar Body Scrub - Lavender & Vanilla Cream, pH 5.5, Skin Friendly, Paraben Free, 250 g","Sugar is a natural humectant that protects the skin while exfoliating, unlike dry coffee scrubs. Taking that in mind, Bryan & Candy has come up with an excellent formulation that contains the goodness of Lavender & Vanilla and Sugar all in one. Yes, a Sugar Body Scrub for all skin types, our Lavender and Vanilla Cream Body Scrub increases collagen production and makes skin supple and hydrated. Sugar granules are even, polished and non-abrasive to the skin. It helps to unclog pores and remove textured skin that can lead to those pesky ingrown hairs. Bryan & Candy is the First Bath & Body Care brand focused on making products with a skin-friendly pH of 5.5 and suitable for all skin types which elevates your personal care regimen.",250 g,g,250 g,1,1,675,675,"Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",India,['18902305026411'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40287595_1-bryan-candy-sugar-body-scrub-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287595-2_1-bryan-candy-sugar-body-scrub-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287595-3_1-bryan-candy-sugar-body-scrub-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287595-4_1-bryan-candy-sugar-body-scrub-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287595-5_1-bryan-candy-sugar-body-scrub-lavender-vanilla-cream-ph-55-skin-friendly-paraben-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Lavender Extract, Oatmeal, Macadamia and Argan Oil.",-,"Take enough sugar body scrub and apply it gently to the wet body.
Use all over your body for 3-4 minutes until the sugar granules become small and get dissolved.
Rinse well with warm water and pat dry for smooth and nourished skin.
Best to be stored at a cool and dry place, away from sunlight.","[{'EAN Code': '18902305026411'}, {'': 'India'}, {'Manufactured & Marketed by': 'Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404'}, {'Country of Origin': 'India'}]","Aurochem Laboratories I Pvt Ltd Palghar,PQ87+26V, Palghar Taluka Industrial Co Operative Estate, Palghar, Maharashtra 401404",-,-,"Enriched with Lavender Flower Extract and Lavender Oil, Macadamia & Argan Oil, Fruit AHAs and Oatmeal.
Gently exfoliates and rejuvenates the skin.
Provides deep and intense moisturisation.
Suitable for even skin tone.
Reduces pigmentation, dark spots and cellulite.
Sulphate and Paraben free."
