Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product name,Product Quantity,UOM,MRP,Price,Short Product Description,Long Product Description,SKU Code,Manufacturer,Country Of Origin,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD Available (Y/N),Images,Images.1,Images.2,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,Net Quantity,Brand,Pack Quantity,Pack Size,UPC/EAN,FSSAI no,Preservatives,Preservatives (details),Flavours & Spices,Ready to cook,Ready to eat,Rice grain type,Recommended Age ,Baby Weight,Absorption Duration (in Hrs),Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Ingredients,Usage,Marketed By,Nutritional Facts
EU00001448,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"Nescafe Sunrise Instant Coffee - Chicory Mixture, 50 g Pouch",50 g Pouch,Grams,95,88,"Nescafe Sunrise Instant Coffee Chicory Mixture is a refreshing instant coffee. It is made with blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.", , ,"NESTLE INDIA LIMITED, 100/101, World Trade Centre, Barakhamba lane, NEW DELHI- 110001",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-2_5-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-3_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-4_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-5_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-6_2-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-7_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-8_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-9_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,,, ,Nescafe , , ,'89009697,['10012011000168'], , , , , , , , , , , , , , , , ,Coffee Beans (70%) and Chicory,,,
EU00001449,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"Nescafe Sunrise Instant Coffee - Chicory Mixture, 1 kg Pouch",1 kg Pouch,KG,785,785,"Nescafe Sunrise Instant Coffee Chicory Mixture is a refreshing instant coffee. It is made with blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.", , ,"NESTLE INDIA LIMITED, 100/101, World Trade Centre, Barakhamba lane, NEW DELHI- 110001",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-2_5-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-3_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-4_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-5_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-6_2-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-7_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-8_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-9_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,,, ,Nescafe , , ,'89009697,['10012011000168'], , , , , , , , , , , , , , , , ,Coffee Beans (70%) and Chicory,,,
EU00001450,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"Nescafe Sunrise Instant Coffee - Chicory Mixture, 200 g Pouch",200 g Pouch,Grams,380,355,"Nescafe Sunrise Instant Coffee Chicory Mixture is a refreshing instant coffee. It is made with blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.", , ,"NESTLE INDIA LIMITED, 100/101, World Trade Centre, Barakhamba lane, NEW DELHI- 110001",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-2_5-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-3_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-4_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-5_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-6_2-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-7_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-8_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-9_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,,, ,Nescafe , , ,'89009697,['10012011000168'], , , , , , , , , , , , , , , , ,Coffee Beans (70%) and Chicory,,,
EU00001451,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"Nescafe Sunrise Instant Coffee - Chicory Mixture, 100 g Pouch",100 g Pouch,Grams,190,179,"Nescafe Sunrise Instant Coffee Chicory Mixture is a refreshing instant coffee. It is made with blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.", , ,"NESTLE INDIA LIMITED, 100/101, World Trade Centre, Barakhamba lane, NEW DELHI- 110001",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-2_5-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-3_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-4_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-5_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-6_2-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-7_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-8_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-9_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,,, ,Nescafe , , ,'89009697,['10012011000168'], , , , , , , , , , , , , , , , ,Coffee Beans (70%) and Chicory,,,
EU00001452,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"Nescafe Sunrise Instant Coffee - Chicory Mixture, 10 g Pouch",10 g Pouch,Grams,10,10,"Nescafe Sunrise Instant Coffee Chicory Mixture is a refreshing instant coffee. It is made with blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.", , ,"NESTLE INDIA LIMITED, 100/101, World Trade Centre, Barakhamba lane, NEW DELHI- 110001",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-2_5-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-3_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-4_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-5_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-6_2-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-7_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-8_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-9_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,,, ,Nescafe , , ,'89009697,['10012011000168'], , , , , , , , , , , , , , , , ,Coffee Beans (70%) and Chicory,,,
EU00001453,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"Nescafe Sunrise Instant Coffee - Chicory Mixture, 55 g Pouch",55 g Pouch,Grams,5,5,"Nescafe Sunrise Instant Coffee Chicory Mixture is a refreshing instant coffee. It is made with blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.", , ,"NESTLE INDIA LIMITED, 100/101, World Trade Centre, Barakhamba lane, NEW DELHI- 110001",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-2_5-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-3_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-4_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-5_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-6_2-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-7_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-8_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-9_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,,, ,Nescafe , , ,'89009697,['10012011000168'], , , , , , , , , , , , , , , , ,Coffee Beans (70%) and Chicory,,,
EU00001454,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"Nescafe Sunrise Instant Coffee - Chicory Mixture, 500 g Pouch",500 g Pouch,Grams,830,830,"Nescafe Sunrise Instant Coffee Chicory Mixture is a refreshing instant coffee. It is made with blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.", , ,"NESTLE INDIA LIMITED, 100/101, World Trade Centre, Barakhamba lane, NEW DELHI- 110001",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-2_5-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-3_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-4_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-5_4-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-6_2-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-7_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-8_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_20005895-9_1-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,,, ,Nescafe , , ,'89009697,['10012011000168'], , , , , , , , , , , , , , , , ,Coffee Beans (70%) and Chicory,,,
EU00001455,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"Cothas Coffee Coffee - Regular, 500 g Pouch",500 g Pouch,Grams,300,286,"Cothas Specialty Blend Coffee and Chicory include composition of Coffee 85% and Chicory 15%. It is a roasted coffee seeds with pure coffee powder. It lowers the risk of range of cancers, improves cholesterol health, lowers risk of heart diseases, elevated fat burning and also increases strength and power. Chicory is also known to destroy intestinal parasites, purify the blood and improve liver health.", , ,"Cothas Coffee Co., 609-560/1, 609-560/2 and 323 Part B, Jigani Bommasandra Link Road, Jigani Ind. Area, , Anekal Taluk, Bengaluru, Karnataka 562105",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_186070_8-cothas-coffee-.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_186070-2_4-cothas-coffee-.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_186070-3_3-cothas-coffee-.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_186070-4_3-cothas-coffee-.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_186070-5_1-cothas-coffee-.jpg,,,,,,, ,Cothas Coffee, , ,'8906002771059,, , , , , , , , , , , , , , , , ,,"Chicory is also known to kill intestinal parasites, cleanse the blood and improve liver health. And the goodness of coffee is known to all. It lowers the risk of variety of cancers, lowers risk of heart diseases, improves cholestrol health, elevated fat burning and also increases power and strength. But Cothas Coffee online now!",,(per 100 g)Energy 400kcalProtein 13.2gCarbohydrate 67.5gFat 10.4gSaturated 4.3gPolyunsaturated 5.4gMonounsaturated 0.6gTrans Fat - TracesCholesterol - NilMinerals - TracesVitamins - Traces
EU00001456,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"Tata Coffee Coffee - Grand, 8 g Sachet",8 g Sachet,Grams,10,10,A smooth blend of agglomerated coffee powder and freeze dried coffee that promises a superior taste and rich aroma., , ,Tata Consumer Products Limited.,India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40054357_4-tata-coffee-coffee-grand.jpg,,,,,,,,,,, ,Tata Coffee, , ,'40054357,, , , , , , , , , , , , , , , , ,,"Add 1 teaspoon of Tata Coffee Grand into a cup. Add 100ml of hot milk and/or water. Add sugar to taste, stir well and enjoy.",,
EU00001457,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,"BRU Filter Coffee - Green Label, 500 g",500 g ,Grams,200,180,"Loved by consumers since 1962, Bru Green Label Coffee is Indias first packaged filter coffee with a perfect mix of 53% coffee and 47% chicory. Its lightly roasted ground coffee beans give out a perfect decoction for a rich and smooth flavourful cup that helps rejuvenate your senses. The nitro flush packaging retains its fresh flavour and aroma providing rich tasteful notes. Kick-start your day with a cup of fresh and aromatic Bru Green Label Coffee. So filter a cup, unwind and relax as you enjoy the coffee breaks you deserve. Buy Bru Green Label Coffee now, right here. 
ABOUT BRU: A part of Hindustan Unilever ltd., BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, Bru has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.", , ,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_262799_24-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_262799-2_8-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_262799-3_9-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_262799-4_7-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_262799-5_7-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_262799-6_1-bru-filter-coffee-green-label.jpg,,,,,, ,BRU, , ,'8901030609091,, , , , , , , , , , , , , , , , ,"53% Coffee Beans, 47% Chicory",Take 2 tsp of Bru green label coffee in a filter. Add 50 ml of hot water into the filter. Wait 15 mins for decoction. Mix with hot milk and sugar to taste.,,
