L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Specification,About
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Apollo Plastic Jalli Dustbin / Garbage Bin - Assorted Colour, 11 L","Designed focusing on your modern requirements and needs, this dustbin is made using good quality plastic which adds to its durability. Keep your home free from scrap by using this strong Aristo dustbin.",11 L,L,11 L,1,1,120,79,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400061",India,['40189132'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189132_5-aristo-apollo-plastic-jalli-dustbin-garbage-bin-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189132-2_1-aristo-apollo-plastic-jalli-dustbin-garbage-bin-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189132-3_1-aristo-apollo-plastic-jalli-dustbin-garbage-bin-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40189132', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400061', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Dustbin 
Colour - Assorted
Package Content - 1 Pc
Dimension - 28.5 cm Dia X 29.5 cm height
Capacity - 11 Litre",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Commander Plastic Laundry Basket - Assorted Colour, 61 L","Made of BPA free virgin plastic for strength and durability. Keep your clean space uninterrupted by the soiled odour of dirty clothes with Nakoda laundry baskets that come in superb capacities, which will cater to your needs. The laundry equipment is crafted with good quality materials and is designed and styled with trendy and attractive patterns, textures, and colours. It is strong, durable and lightweight which makes the laundry basket a multi-purpose utility item. Its attractive colour will add a touch of sophistication to your home interior",61 L,L,61 L,1,1,850,539,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400175",India,['8904114506651'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189182_5-aristo-commander-plastic-laundry-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189182-2_1-aristo-commander-plastic-laundry-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189182-3_1-aristo-commander-plastic-laundry-basket-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904114506651', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400175', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Laundry Basket 
Colour - Assorted
Package Content - 1 Pc
Dimension - 48.5 cm DIA X 72 cm HEIGHT 
Capacity - 61 Litre 
Brand : Aristo",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Dyna Plastic Bathroom Stool/Patla - Plain, Assorted Colour, 1 pc",Made from BPA free Virgin Plastic for strength and durability. It is ideal for kitchen or bathroom. This Patla has been wonderfully designed and will look amazing when kept in a kitchen room or bathroom.,1 pc,pc,1 pc,1,1,327,209,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400168",India,['40189178'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189178_5-aristo-dyna-plastic-bathroom-stoolpatla-plain-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189178-2_1-aristo-dyna-plastic-bathroom-stoolpatla-plain-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40189178', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400168', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Patla 
Colour - Assorted
Package Content - 1 Pc
Dimension - 23.5 cm DIA X 21.8 cm HEIGHT 
Brand : Aristo",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Grace Multipurpose Plastic Carry Basket - Assorted Colour, 31 L","Premium Quality BPA-free basket having a smooth finish, highest quality, lightweight and appealing design.",31 L,L,31 L,1,1,758,479,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400112",India,['40189150'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189150_5-aristo-grace-multipurpose-plastic-carry-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189150-2_1-aristo-grace-multipurpose-plastic-carry-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189150-3_1-aristo-grace-multipurpose-plastic-carry-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189150-4_1-aristo-grace-multipurpose-plastic-carry-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189150-5_1-aristo-grace-multipurpose-plastic-carry-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189150-6_1-aristo-grace-multipurpose-plastic-carry-basket-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40189150', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400112', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Basket 
Colour - Assorted
Capacity - 31 Litre
Package Content - 1 Pc
Dimension: 42.5 cm L X 31.5 cm W X 37.5 cm H",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Lenovo Plastic Dish Drainer Rack - Assorted Colour, 1 pc","Elegant design dish drainer by aristo is one of the best design made of quality, safe, non-toxic plastic and it is rust free. The stand for dishes has sections for plates, glasses and mugs. It can be used near the sink or inside the drawers and cupboards. Ideally used for drying or storing utensils. Its seamless design is a stylish addition to your home kitchen.",1 pc,pc,1 pc,1,1,817,519,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400109",India,['40189149'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189149_4-aristo-lenovo-plastic-dish-drainer-rack-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189149-2_1-aristo-lenovo-plastic-dish-drainer-rack-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189149-3_1-aristo-lenovo-plastic-dish-drainer-rack-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189149-4_1-aristo-lenovo-plastic-dish-drainer-rack-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189149-5_1-aristo-lenovo-plastic-dish-drainer-rack-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189149-6_1-aristo-lenovo-plastic-dish-drainer-rack-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189149-7_1-aristo-lenovo-plastic-dish-drainer-rack-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40189149', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400109', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Dish strainer 
Colour - Assorted
Package Content - 1 Pc
Dimension - 51 cm L X 33 cm W X 27 cm H",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Luxor Plastic Fruit & Vegetable Plastic Basket With Lid - Assorted Color, 4 L","Premium Quality BPA-free basket having a smooth finish, highest quality, lightweight and appealing design.",4 L,L,4 L,1,1,209,139,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400128",India,['40189158'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189158_5-aristo-luxor-plastic-fruit-vegetable-plastic-basket-with-lid-assorted-color.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189158-2_1-aristo-luxor-plastic-fruit-vegetable-plastic-basket-with-lid-assorted-color.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189158-3_1-aristo-luxor-plastic-fruit-vegetable-plastic-basket-with-lid-assorted-color.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189158-4_1-aristo-luxor-plastic-fruit-vegetable-plastic-basket-with-lid-assorted-color.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40189158', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400128', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Basket 
Colour - Assorted
Capacity - 4 Litre
Package Content - 1 Pc
Dimension 29.5 cm L X 21.7 cm W X 11.5 cm H",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Luxor Plastic Fruit & Vegetable Plastic Basket With Lid - Assorted Colour, 2 L","Premium Quality BPA-free basket having a smooth finish, highest quality, lightweight and appealing design.",2 L,L,2 L,1,1,128,89,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400127",India,['40189157'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189157_5-aristo-luxor-plastic-fruit-vegetable-plastic-basket-with-lid-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189157-2_1-aristo-luxor-plastic-fruit-vegetable-plastic-basket-with-lid-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189157-3_1-aristo-luxor-plastic-fruit-vegetable-plastic-basket-with-lid-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189157-4_1-aristo-luxor-plastic-fruit-vegetable-plastic-basket-with-lid-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189157-5_1-aristo-luxor-plastic-fruit-vegetable-plastic-basket-with-lid-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40189157', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400127', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Basket 
Colour - Assorted
Capacity - 2 Litre
Package Content - 1 Pc
Dimension 24.5 cm L X 18 cm W X 9.7 cm H",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Marvel Plastic Bathroom Patla & Stool - Plain, Assorted Colour, 1 pc",Made from BPA free Virgin Plastic for strength and durability. It is ideal for kitchen or bathroom. This Patla has been wonderfully designed and will look amazing when kept in a kitchen room or bathroom.,1 pc,pc,1 pc,1,1,198,159,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400166",India,['40189176'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189176_5-aristo-marvel-plastic-bathroom-patla-stool-plain-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189176-2_1-aristo-marvel-plastic-bathroom-patla-stool-plain-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189176-3_1-aristo-marvel-plastic-bathroom-patla-stool-plain-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189176-4_1-aristo-marvel-plastic-bathroom-patla-stool-plain-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40189176', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400166', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Patla 
Colour - Assorted
Package Content - 1 Pc
Dimension - 30 cm DIA X 13 cm HEIGHT
Brand : Aristo",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Multipurpose Plastic Oil Can & Dispenser - Assorted Colour, 1 L","Food grade BPA free plastic Odorless, Hygienic virgin material and its refrigerator safe. Features a unique easily accessible flip cap. It can be used for pouring refined oil, mustard oil or another type of liquids. It is a convenient solution for carrying juices, lassi and other beverages outdoors",1 L,L,1 L,1,1,109,69,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400163",India,['40189173'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189173_5-aristo-multipurpose-plastic-oil-can-dispenser-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189173-2_2-aristo-multipurpose-plastic-oil-can-dispenser-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189173-3_2-aristo-multipurpose-plastic-oil-can-dispenser-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40189173', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400163', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Oil Can 
Colour - Assorted
Package Content - 1 Pc
 Capacity - 1000 ml /1 L
Brand: Aristo",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-11,Aristo,"Aristo Orio Fruit & Vegetable Plastic Basket - Assorted Colour, 1.5 L","Premium Quality BPA Free basket having a smooth finish, highest quality, lightweight and appealing design.",1.5 L,L,1.5 L,1,1,48,39,"Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400132",India,['40189160'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40189160_6-aristo-orio-fruit-vegetable-plastic-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189160-2_2-aristo-orio-fruit-vegetable-plastic-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189160-3_2-aristo-orio-fruit-vegetable-plastic-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189160-4_2-aristo-orio-fruit-vegetable-plastic-basket-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189160-5_2-aristo-orio-fruit-vegetable-plastic-basket-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40189160', 'Country of origin: India', 'Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400132', 'Marketed by: CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068', '","CUBIX MARKETING, 46/3A, 7TH MAIN, HOSUR ROAD, Bengaluru, 560068",-,-,-,"Body Material - Plastic
Type - Basket 
Colour - Assorted
Capacity - 1.5 Litre
Package Content - 1 Pc
Dimension 18.5 cm DIA X 8 cm HEIGHT",-
