L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient,Specification,From The Brand,Package Contains,About
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,Amul,"Amul Cashew Nankhatai, 200 g Mono Carton","Amul Butter Nankhatai is made from Amul Butter and whole wheat flour (Atta), unlike other branded Nankhatai which is made from veg. fat and Maida. Tame your hunger pangs with these delicious cookies. Each bite will make your tastebuds fall in love with the delicious flavour. Amul Butter Nankhatai is made from Amul Butter, whole wheat flour (Atta) and best quality cashews, Almonds and Elaichi.",200 g Mono Carton,g,200 g Mono Carton,1,1,90,90,"GUJARAT COOPERATIVE MILK MARKETING FEDERATION LTD, Kaira District Co-operative Milk Producers' Union Limited, ANAND. At Food Complex Mogar, MOGAR",India,['8901262221368'],['10012021000071'],https://datalabs.siva3.io/image/Eunimart_groceries_40204109_1-amul-cashew-nankhatai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204109-2_1-amul-cashew-nankhatai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204109-3_1-amul-cashew-nankhatai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204109-4_1-amul-cashew-nankhatai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204109-5_1-amul-cashew-nankhatai.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8901262221368', 'FSSAI Number: 10012021000071', ""Manufacturer Name & : GUJARAT COOPERATIVE MILK MARKETING FEDERATION LTD, Kaira District Co-operative Milk Producers' Union Limited, ANAND. At Food Complex Mogar, MOGAR"", 'Marketed by: Gujarat Co-operative Milk Marketing Federation, Amul dairy road, Anand - 388001.', 'Country of Origin: India', 'Best before 31-05-2023', '","Gujarat Co-operative Milk Marketing Federation, Amul dairy road, Anand - 388001.",-,-,-,"Store it in a dry place.
Keep away from the moist area.","Atta, White Butter(26%), Sugar, Milk Solids, Semolina, Cashew, Elaichi (0.7%), Iodised Salt, Baking Powder.",-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,BB Popular,"BB Popular Bakery Biscuit - Ajwain, 200 g","BB Popular brings to you a packet of authentic, flavourful goodness. Thinking about crumbly, baked goodness? Rip open a packet of BB Popular Bakery Biscuit - Ajwain and enjoy a sweet treat that will soon become your favourite go-to. Baked to perfection with the right amount of crunch, these maida cookies are flavoured with a traditional ajwain taste. Perfect with your choice of evening hot beverage, enjoy these ajwain cookies that are also cholestrol free. Everything from tasty cookies to cream rolls, explore BB Popular's wide range of delicious bakes.",200 g,g,200 g,1,1,145,145,"Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",India,['40200452'],['12217010000064'],https://datalabs.siva3.io/image/Eunimart_groceries_40200452_2-bb-popular-bakery-biscuit-ajwain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200452-2_2-bb-popular-bakery-biscuit-ajwain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200452-3_2-bb-popular-bakery-biscuit-ajwain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200452-4_2-bb-popular-bakery-biscuit-ajwain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200452-5_2-bb-popular-bakery-biscuit-ajwain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200452-6_2-bb-popular-bakery-biscuit-ajwain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200452-7_1-bb-popular-bakery-biscuit-ajwain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200452-8_1-bb-popular-bakery-biscuit-ajwain.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Best paired with a cuppa tea or coffee
Ready to eat 
Dip it in warm milk
Storage Information: Store in a clean and dry place.","['EAN Code: 40200452', 'FSSAI Number: 12217010000064', 'Manufactured & Marketed by: Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan', 'Country Of Origin: India', 'Best before 31-05-2023', '","Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",-,-,-,-,"Refined Wheat Flour(Maida), Hydrogenated Vegetable Oils, Sugar, Invert Syrup, Skimmed Milk Powder, Custard Powder, Iodised Salt, Ajwain (0.65%), Raising Agents [INS 500(i) & INS 500(ii)] Contains Added Flavor (Artificial Flavoring Substance - Ajwain)",-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,BB Popular,"BB Popular Bakery Biscuit - Badam, 200 g","Prepared with a crunchy topping of almond, BB Popular brings to you a packet of everyone's favourite snack, almond biscuits. A versatile sweet treat, these almond biscuits have a traditional flavour and can be consumed guilt-free for its zero cholestrol properties. Perfect to have at evening ""chai time"" or binge on during the day, theis sweet and delicious BB Popular Bakery Biscuit - Badam will become a permanent resident in your snack jar. Everything from ajwain, coconut, badam, choco chips, fruit jam and jeera, explore BB Popular's wide range of delicious biscuits.",200 g,g,200 g,1,1,145,145,"Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",India,['40200455'],['12217010000064'],https://datalabs.siva3.io/image/Eunimart_groceries_40200455_2-bb-popular-bakery-biscuit-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200455-2_2-bb-popular-bakery-biscuit-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200455-3_2-bb-popular-bakery-biscuit-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200455-4_2-bb-popular-bakery-biscuit-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200455-5_2-bb-popular-bakery-biscuit-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200455-6_2-bb-popular-bakery-biscuit-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200455-7_1-bb-popular-bakery-biscuit-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200455-8_1-bb-popular-bakery-biscuit-badam.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Best paired with a cuppa tea or coffee
Ready to eat 
Dip it in warm milk
Storage Information: Store in a clean and dry place.","['EAN Code: 40200455', 'FSSAI Number: 12217010000064', 'Manufactured & Marketed by: Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan', 'Country Of Origin: India', 'Best before 31-05-2023', '","Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",-,-,-,-,"Refined Wheat Flour (Maida), Hydrogenated Vegetable Oils, Sugar, Skimmed Milk Powder, Custard Powder, Invert Syrup, Iodised Salt, Almond (5.24%), Raising Agents [INS 500(i) & INS 500(ii)] Contains Added Flavor (Natural & Artificial Flavoring Substances -Almond)",-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,BB Popular,"BB Popular Bakery Biscuit - Choco Chips, 200 g","BB Popular Bakery Biscuit - Choco Chips is a bag of traditionally baked biscuits in a chocolaty flavour topped with rich chocolate chips. We don't know anyone who doesn't love chocolate. A crowd favourite crumbly goodness, these crunchy biscuits have no cholestrol, making them perfect guilt-free snacks. Enjoy with your choice of evening hot beverage or dipped with hot milk, these cookies will make you fall in love, instantly. Also, don't forget to explore the entire BB Popular Bakery Biscuit range with flavours such as ajwain, coconut, badam, choco chips, fruit jam and jeera.",200 g,g,200 g,1,1,145,145,"Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",India,['40200457'],['12217010000064'],https://datalabs.siva3.io/image/Eunimart_groceries_40200457_2-bb-popular-bakery-biscuit-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200457-2_2-bb-popular-bakery-biscuit-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200457-3_2-bb-popular-bakery-biscuit-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200457-4_2-bb-popular-bakery-biscuit-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200457-5_2-bb-popular-bakery-biscuit-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200457-6_2-bb-popular-bakery-biscuit-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200457-7_1-bb-popular-bakery-biscuit-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200457-8_1-bb-popular-bakery-biscuit-choco-chips.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Best paired with a cuppa tea or coffee
Ready to eat 
Dip it in warm milk
Storage Information: Store in a clean and dry place.","['EAN Code: 40200457', 'FSSAI Number: 12217010000064', 'Manufactured & Marketed by: Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan', 'Country Of Origin: India', 'Best before 31-05-2023', '","Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",-,-,-,-,"Refined Wheat Flour(Maida), Hydrogenated Vegetable Oils, Sugar, Invert Syrup, Chocolate Chips (5.4%), Skimmed Milk Powder, Cocoa Powder, Iodised salt, Raising Agents [INS 500(i) & INS 500(ii)] Contains permitted Natural Color (INS 150a) and Added Flavor ( Artificial Flavoring Substance - Chocolate)",-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,BB Popular,"BB Popular Bakery Biscuit - Fruit Jam, 200 g","Created with authentic recipes that have been experimented with to perfection, BB Popular Bakery Biscuit - Fruit Jam is a sweet treat that we know you'll love. This packet of delicious treats will take you back to your childhood. Crumbly, crunchy and with a jam-filled centre, these traditionally baked biscuits have zero cholesterol and can be enjoyed guilt-free. Perfect with your choice of evening hot beverage, these cookies are a must-try. Also, don't forget to explore the entire BB Popular Bakery Biscuit range with flavours such as ajwain, coconut, badam, choco chips, fruit jam and jeera.",200 g,g,200 g,1,1,145,145,"Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",India,['40200456'],['12217010000064'],https://datalabs.siva3.io/image/Eunimart_groceries_40200456_2-bb-popular-bakery-biscuit-fruit-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200456-2_2-bb-popular-bakery-biscuit-fruit-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200456-3_2-bb-popular-bakery-biscuit-fruit-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200456-4_2-bb-popular-bakery-biscuit-fruit-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200456-5_2-bb-popular-bakery-biscuit-fruit-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200456-6_2-bb-popular-bakery-biscuit-fruit-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200456-7_1-bb-popular-bakery-biscuit-fruit-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200456-8_1-bb-popular-bakery-biscuit-fruit-jam.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Best paired with a cuppa tea or coffee 
Ready to eat 
Dip it in warm milk
Storage Information: Store in a clean and dry place.","['EAN Code: 40200456', 'FSSAI Number: 12217010000064', 'Manufactured & Marketed by: Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan', 'Country Of Origin: India', 'Best before 31-05-2023', '","Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",-,-,-,-,"Refined Wheat Flour(Maida), Hydrogenated Vegetable Oils, Sugar, Mix Fruit Jam 8.5% [Mixed fruit pulp(45%) (Apple, Banana, Papaya, Pineapple & Strawberry) Sugar, Thickner (INS-440), Acidity regulator (INS-330) contains permitted natural color INS - 150d, Synthetic food color (INS-122) & Added flavours - Natural, Nature identical & Artificial Flavouring Substances (Pineapple, Raspbery, Black Currant)], Invert Syrup, Skimmed Milk Powder, Iodized salt, Raising Agents [INS 500(i) & INS 500(ii)] Contains Added Flavor (Artificial Flavoring Substance - Mix fruit Jam)",-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,BB Popular,"BB Popular Bakery Biscuit - Rich Coconut, 200 g","BB Popular Bakery Biscuit - Rich Coconut is a packet of buttery goodness flavoured with the rich taste of coconut. Who doesn't love a pack of sweet, baked treats? Loaded with coconut shavings, a crowd favourite flavouring, these crunchy biscuits are something that once opened will vanish in seconds. Aeromatic, crumbly and crunchy, this pack of biscuits can be enjoyed guilt-free for it has absolutely zero cholesterol. Perfect with a hot glass of milk, these cookies are a must-try. Everything from ajwain, coconut, badam, choco chips, fruit jam and jeera, explore BB Popular's wide range of delicious biscuits.",200 g,g,200 g,1,1,145,145,"Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",India,['40200454'],['12217010000064'],https://datalabs.siva3.io/image/Eunimart_groceries_40200454_2-bb-popular-bakery-biscuit-rich-coconut.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200454-2_2-bb-popular-bakery-biscuit-rich-coconut.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200454-3_2-bb-popular-bakery-biscuit-rich-coconut.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200454-4_2-bb-popular-bakery-biscuit-rich-coconut.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200454-5_2-bb-popular-bakery-biscuit-rich-coconut.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200454-6_2-bb-popular-bakery-biscuit-rich-coconut.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200454-7_1-bb-popular-bakery-biscuit-rich-coconut.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200454-8_1-bb-popular-bakery-biscuit-rich-coconut.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Best paired with a cuppa tea or coffee
Ready to eat 
Dip it in warm milk
Storage Information: Store in a clean and dry place.","['EAN Code: 40200454', 'FSSAI Number: 12217010000064', 'Manufactured & Marketed by: Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan', 'Country Of Origin: India', 'Best before 31-05-2023', '","Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",-,-,-,-,"Refined Wheat Flour(Maida), Hydrogenated Vegetable Oils, Sugar, Coconut Flakes(16%), Invert Syrup, Skimmed Milk Powder, Custard Powder, Raising Agents [INS 500(i) & INS 500(ii)] Contains Added Flavour (Artificial Flavoring Substances-Coconut)",-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,BB Popular,"BB Popular Bakery Biscuit - Tooti Fruity, 200 g","Loaded with the sweet and colourful goodness of tootie fruity, BB Popular Bakery Biscuit - Tooti Fruity is a snack that is best enjoyed on the go. Baked with the right amount of crunch, these maida cookies are flavoured with sweet tootie fruity chunks. Get hunger pangs throughout the day or just want something for your sweet tooth? Grab these biscuits and enjoy them with a hot beverage on the side. Also, don't forget to explore the entire BB Popular Bakery Biscuit range with flavours such as ajwain, coconut, badam, choco chips, fruit jam and jeera.",200 g,g,200 g,1,1,145,145,"Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",India,['8904256718479'],['12217010000064'],https://datalabs.siva3.io/image/Eunimart_groceries_40200453_2-bb-popular-bakery-biscuit-tooti-fruity.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200453-2_2-bb-popular-bakery-biscuit-tooti-fruity.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200453-3_2-bb-popular-bakery-biscuit-tooti-fruity.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200453-4_2-bb-popular-bakery-biscuit-tooti-fruity.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200453-5_2-bb-popular-bakery-biscuit-tooti-fruity.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200453-6_2-bb-popular-bakery-biscuit-tooti-fruity.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200453-7_1-bb-popular-bakery-biscuit-tooti-fruity.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200453-8_1-bb-popular-bakery-biscuit-tooti-fruity.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Best paired with a cuppa tea or coffee
Ready to eat 
Dip it in warm milk
Storage Information: Store in a clean and dry place.","['EAN Code: 8904256718479', 'FSSAI Number: 12217010000064', 'Manufactured & Marketed by: Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan', 'Country Of Origin: India', 'Best before 31-05-2023', '","Utsav Exim Limited, F-125, Agro Food Park, M.I.A. Alwar 301030, Rajasthan",-,-,-,-,"Refined Wheat Flour(maida), Hydrogenated Vegetable Oils, Sugar, Candied Papata-8.5% [papaya Fruit Cubes, Sugar Syrup, Acidity Regulator (ins-330, Ins-207) Preservatives (ins-202) Permitted Synthetic Food Colours-ins129, Ins102, Ins 110, Ins 133], Skimmed Milk Powder, Iodised Salt, Invert Syrup, Raising Agents [ins 500(i) & Ins 500(ii)] Contains Added Flavor (artificial Flavoring Substance - Mix Fruit Jam) (pistachio)",-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,Bellie,"Bellie Cream Sandwich Biscuit - Chocolate, 190 g Pouch","Any Time Snacks With Chocolate Flavoured Cream. Allergen information : Contains wheat (gluten), milk derivatives and soya. Manufactured in a factory that also processes products containing eggs, peanuts, tree nuts, barley and sesame derivatives. Weight : 190 g Store in a cool, dry place.",190 g Pouch,g,190 g Pouch,1,1,210,210,"Bellie Food Sdn Bhd(1175786-U), 12A Jalan Keindahan1 Taman Skudai Indah, 81300, Skudai, Johor, Malaysia",Malaysia,['9555039903569'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40097091_1-bellie-biscuit-chocolate.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to Eat,"['EAN Code: 9555039903569', 'Manufactured by: Bellie Food Sdn Bhd(1175786-U), 12A Jalan Keindahan1 Taman Skudai Indah, 81300, Skudai, Johor, Malaysia', 'Marketed by: Shreeji Sales, 314, Subhash Galli, Swadeshi Market, Kalbadevi Road, Mumbai - 400002', 'Country of origin: Malaysia', 'Best before 13-10-2023', '","Shreeji Sales, 314, Subhash Galli, Swadeshi Market, Kalbadevi Road, Mumbai - 400002",-,-,-,-,"Wheat Flour, Vegetable Oil (Palm Oil), Sugar, Cocoa Powder, Milk Powder, Whey Powder, Maltose Syrup, Corn Starch, Salt, Maltodextrin, Cocoa Mass, Emulsifier (Soya Lecithin), Raising Agents (Ammonium Bicarbonate, Sodium Bicarbonate), Disodium Diphosphate, Yeast, Flavourings (Vanillin, Chocolate).",-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,Bisk Farm,"Bisk Farm Biscotti - Butter, 200 g","Nutritious & Tasty, Highly Used As A Snacks. Since its inception in the year 2000, Bisk Farm has been recognised for its delectable biscuits, cookies, cakes, rusks and Indian snacks. The brand is owned and marketed by SAJ Food Products (P) Ltd, a part of the Aparna Group of Companies. Artisan‚s delight with Butterness in every bite.",200 g,g,200 g,1,1,27,27,BISK FARM,India,['40075655'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40075655_2-bisk-farm-biscotti-butter.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,It goes well with beverages like tea or coffee. It can be had as an evening snack or is a wonderful addition to school tiffin box. Store in a cool and dry place.,"['EAN Code: 40075655', 'Country of origin: India', 'Manufacturer Name: BISK FARM', '",-,-,-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,Bisk Farm,"Bisk Farm Biscuit - Chatpata Spicy, Tangy & Crispy, Teatime Snack, 60 g Pouch",Bisk Farm Spicy Biscuits are good for your health. Both children and adults enjoy it. It can be taken every day as a snack. They are tasty and have crispiness in every bite. It is a wonderful tea-time snack that can be enjoyed with morning or evening brew. It is perfect for individuals who enjoy trying something new.,60 g Pouch,g,60 g Pouch,1,1,10,10,"Saj Food Products Pvt Ltd, Uluberia Industrial Growth Centre, P.O., Birshibpur, Howrah - 711316",India,['40004486'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40004486_4-bisk-farm-biscuit-chatpata-spicy-tangy-crispy-teatime-snack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004486-2_3-bisk-farm-biscuit-chatpata-spicy-tangy-crispy-teatime-snack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004486-3_2-bisk-farm-biscuit-chatpata-spicy-tangy-crispy-teatime-snack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004486-4_2-bisk-farm-biscuit-chatpata-spicy-tangy-crispy-teatime-snack.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"['EAN Code: 40004486', 'Country of origin: India', 'Manufactured by: Saj Food Products Pvt Ltd, Uluberia Industrial Growth Centre, P.O., Birshibpur, Howrah - 711316', 'Best before __PSL__ days from the delivery date', '",-,-,-,-,"Store in a cool and dry place.
Keep away from direct sunlight.","Wheat Flour (63.63%), Edible Vegetable Oil, Sugar, Salt, Invert Syrup, Yeast, Liquid Glucose, Condensed Milk, Spices, Malt Extract, Acidity Regulator (330), Leavening Agents [336, 500(Ii), 503(Ii)], Emulsifier [472(E)], Dough Conditioner (223) And Antioxidant (319).",-,-,-,-,-
