L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,ASAP,"ASAP Muesli Wholegrain Breakfast - Rich In Fibre & Protein, Zero Sugar Added, Badam Milk, 420 g","HEALTHY & TASTY GOODNESS: ASAP Ultimate Breakfast Multigrain Muesli - BADAMILK (Almonds, Honey & 5 toasted grains) is the perfect breakfast to power you through your days. This healthy breakfast option is fortified with the goodness of real ingredients. This multigrain muesli is scrumptious, healthy and filling. Contains rich almonds, green raisins, toasted oats, ragi, wheat, rice, corn and irresistible ingredients that are rich in fibre and are extremely beneficial for overall wellbeing. The multigrain muesli is ideal for when you want to keep it tasty and healthy. NO ARTIFICIAL ADD-ONS: No added colors or preservatives,",420 g,g,420 g,1,1,399,299.25,"WIMWI Foods, #121-B,SI.No. 571 Hebbagodi,Bommasandra Industrial Area,Anekal Taluk, Bengaluru-560099.",India,['8908007372590'],['11217302000488'],https://datalabs.siva3.io/image/Eunimart_groceries_40226996_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-badam-milk.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226996-2_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-badam-milk.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226996-3_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-badam-milk.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226996-4_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-badam-milk.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226996-5_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-badam-milk.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226996-6_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-badam-milk.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Eat with hot or cold milk or yoghurt/dahi as per your choice.
Can add sugar or honey according to taste preference.","[{'EAN Code': '8908007372590'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11217302000488'}, {'Manufactured & Marketed By': 'WIMWI Foods, #121-B,SI.No. 571 Hebbagodi,Bommasandra Industrial Area,Anekal Taluk, Bengaluru-560099.'}]","WIMWI Foods, #121-B,SI.No. 571 Hebbagodi,Bommasandra Industrial Area,Anekal Taluk, Bengaluru-560099.",-,-,-,"Rolled Oats (26%), Wheat Flakes (21%), Rice Flakes (13%), Almonds(10%), Sugar (6%), Ragi Flakes (5%), Corn Flakes (5%), Honey (4%), Green Raisins (2%), Almond Milk Powder (2%), Liquid Glucose, Rice Bran Oil, Maltodextrin, Cardamom Powder, Turmeric Extract, Salt. Contains Added Natural And Nature Identical Flavours (Rosemary Extract)",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,ASAP,"ASAP Muesli Wholegrain Breakfast - Rich In Fibre & Protein, Zero Sugar Added, Coffeeluv, 420 g","HEALTHY & TASTY GOODNESS: The Ultimate Breakfast Multigrain Muesli - COFFEELUV (Almonds, Coffee & 5 toasted grains) is the perfect breakfast to power you through your days. Contains rich almonds, coffee, green raisins, toasted oats, ragi, wheat, rice, corn and irresistible ingredients that are rich in fibre and are extremely beneficial for overall wellbeing. The multigrain muesli is ideal for when you want to keep it tasty and healthy. No added colors or preservatives, just a whole lot of healthy and tasty goodness.",420 g,g,420 g,1,1,399,299.25,"WIMWI Foods, #121-B,SI.No. 571 Hebbagodi,Bommasandra Industrial Area,Anekal Taluk, Bengaluru-560099.",India,['40226997'],['11217302000488'],https://datalabs.siva3.io/image/Eunimart_groceries_40226997_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-coffeeluv.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226997-2_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-coffeeluv.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226997-3_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-coffeeluv.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226997-4_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-coffeeluv.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226997-5_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-coffeeluv.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226997-6_1-asap-muesli-wholegrain-breakfast-rich-in-fibre-protein-zero-sugar-added-coffeeluv.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Eat with hot or cold milk or yoghurt/dahi as per your choice.
Can add sugar or honey according to taste preference.","['EAN Code: 40226997', 'Country Of Origin: India', 'FSSAI No: 11217302000488', 'Manufactured & Marketed By: WIMWI Foods, #121-B,SI.No. 571 Hebbagodi,Bommasandra Industrial Area,Anekal Taluk, Bengaluru-560099.', 'Best Before 31-05-2023', '","WIMWI Foods, #121-B,SI.No. 571 Hebbagodi,Bommasandra Industrial Area,Anekal Taluk, Bengaluru-560099.",-,-,-,"Rolled Oats (26%), Wheat Flakes (21%),Rice Flakes (13%), Almonds (10%), Sugar (6%), Ragi Fales (5%), Corn Flakes (5%), Honey (4%), Green Raisins (2%), Coffee Powder (1.6%), Liquid Glucose, Rice Bran Oil, Maltodextrin, Salt. Contains Added Natural And Nature Identical Flavours (Rosemary Extract)",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Ammae,"Ammae Health Mix - With Multigrains, No Added Sugar, Preservatives & Chemicals, 175 g Duplex Box","Ammae Health Mix is a combination of millets, cereals, and pulses and has no added sugar. Ammae Health Mix retains every part of the grain with the richness of fibre giving sustained release of energy. They provide the body with a powerful mixture of protective substances including fibre, anti-oxidant, vitamins and minerals, and phytonutrients, and help ward off many diseases. It is easily digestible, convenient for users, for quick and easy food intake solutions.",175 g Duplex Box,g Duplex Box,175 g Duplex Box,1,1,80,80,"F1B, Road no 11, IDA Nacharam, Hyderabad - 500076.",India,['40228318'],['13621012000093'],https://datalabs.siva3.io/image/Eunimart_groceries_40228318_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228318-2_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228318-3_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228318-4_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228318-5_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228318-6_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Take 100 ml of plain water.
2. Add 2 full teaspoons of Ammae Health Mix.
3. Stir thoroughly to mix well and crush the lumps to get dissolved fully.
4. Fill it with 100 ml of hot or cold milk.
5. Add sugar to oneÇs taste.","[{'EAN Code': '40228318'}, {'FSSAI No': '13621012000093'}, {'Manufactured & Marketed by': 'F1B, Road no 11, IDA Nacharam, Hyderabad - 500076.'}, {'Country of origin': 'India'}]","F1B, Road no 11, IDA Nacharam, Hyderabad - 500076.",-,-,-,"Amaranth Seeds (Rajgira), Barley, Finger Millet (Ragi), Little Millet (Sama), Pearl Millet (Bajra), Parboiled Rice, Maize, Great Millet (Jowar), Wheat, Oats, Chick Peas (Channa), Green Gram (Moong), Horse Gram (Kulthi), Roasted Gram, Soya Bean), Black Gram (Urad).",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Ammae,"Ammae Health Mix - With Multigrains, No Added Sugar, Preservatives & Chemicals, 400 g Pouch Pack","Ammae Health Mix is a combination of millets, cereals, and pulses and has no added sugar. Ammae Health Mix retains every part of the grain with the richness of fibre giving sustained release of energy. They provide the body with a powerful mixture of protective substances including fibre, anti-oxidant, vitamins and minerals, and phytonutrients, and help ward off many diseases. It is easily digestible, convenient for users, for quick and easy food intake solutions.",400 g Pouch Pack,g Pouch Pack,400 g Pouch Pack,1,1,160,160,"F1B, Road no 11, IDA Nacharam, Hyderabad - 500076.",India,['40228319'],['13621012000093'],https://datalabs.siva3.io/image/Eunimart_groceries_40228319_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228319-2_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228319-3_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228319-4_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228319-5_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228319-6_1-ammae-health-mix-with-multigrains-no-added-sugar-preservatives-chemicals.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Take 100 ml of plain water.
2. Add 2 full teaspoons of Ammae Health Mix.
3. Stir thoroughly to mix well and crush the lumps to get dissolved fully.
4. Fill it with 100 ml of hot or cold milk.
5. Add sugar to oneÇs taste.","[{'EAN Code': '40228319'}, {'FSSAI No': '13621012000093'}, {'Manufactured & Marketed by': 'F1B, Road no 11, IDA Nacharam, Hyderabad - 500076.'}, {'Country of origin': 'India'}]","F1B, Road no 11, IDA Nacharam, Hyderabad - 500076.",-,-,-,"Amaranth Seeds (Rajgira), Barley, Finger Millet (Ragi), Little Millet (Sama), Pearl Millet (Bajra), Parboiled Rice, Maize, Great Millet (Jowar), Wheat, Oats, Chick Peas (Channa), Green Gram (Moong), Horse Gram (Kulthi), Roasted Gram, Soya Bean), Black Gram (Urad).",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Ammae,"Ammae Multigrain Porridge Tasty Cereal Mix - No Added Sugar, Preservatives & Chemicals, 425 g Pouch Pack","Ammae Tasty cereal mix, a multigrain porridge mix for general health. It contains a unique combination of 16 grains. Whole grains contain all essential nutrients and trace elements required for our body. To preserve the natural property of ingredients we use conventional methods. It is rich in fibre, energizing, and easily digestible. Tasty cereal mix does not contain preservatives or added sugar. It is natural. Together it makes a good morning drink and makes your day healthy and nutritious.",425 g Pouch Pack,g Pouch Pack,425 g Pouch Pack,1,1,270,270,"F1B, Road no 11, IDA Nacharam, Hyderabad - 500076.",India,['8906053530544'],['13621012000093'],https://datalabs.siva3.io/image/Eunimart_groceries_40228317_1-ammae-multigrain-porridge-tasty-cereal-mix-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228317-2_1-ammae-multigrain-porridge-tasty-cereal-mix-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228317-3_1-ammae-multigrain-porridge-tasty-cereal-mix-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228317-4_1-ammae-multigrain-porridge-tasty-cereal-mix-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228317-5_1-ammae-multigrain-porridge-tasty-cereal-mix-no-added-sugar-preservatives-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228317-6_1-ammae-multigrain-porridge-tasty-cereal-mix-no-added-sugar-preservatives-chemicals.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Porridge can be cooked in less than 5 minutes.
Step 1: Add 2 teaspoons of Tasty Cereal Mix with 100ml of water.
Step 2: Mix thoroughly without any lumps until it gets dissolved.
Step 3: Cook the mix for 3 minutes, until it gets thick.
Step 4: Ammae Tasty Cereal Mix porridge is ready. 5. To serve sweet, add milk and sugar to the porridge. It can also be served with buttermilk and salt as per taste or can also be consumed by adding Rasam. We can add jaggery and milk and garnish with cashew and kismis with a little elachi powder to prepare Delicious Payasam.","[{'EAN Code': '8906053530544'}, {'FSSAI No': '13621012000093'}, {'Manufactured & Marketed by': 'F1B, Road no 11, IDA Nacharam, Hyderabad - 500076.'}, {'Country of origin': 'India'}]","F1B, Road no 11, IDA Nacharam, Hyderabad - 500076.",-,-,-,"Amaranth Seeds (Rajgira), Barley, Finger Millet (Ragi), Little Millet (Sama), Pearl Millet (Bajra), Parboiled Rice, Maize, Great Millet (Jowar), Wheat, Oats, Chick Peas (Channa), Green Gram (Moong), Horse Gram (Kulthi), Roasted Gram, Soya Bean), Black Gram (Urad).",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,BAKERS,"BAKERS Corn Flakes - Rich In Protein, Calcium & Vitamins, Cholesterol Free, 250 g (Buy 1 Get 1 Free)","Bakers Corn Flakes are the perfect breakfast option for your family. Bakers Corn Flakes contain zero cholesterol and trans fat. Corn flakes are a great option for breakfasts because of their nutritional value. They contain several vitamins like vitamins B1, B2, and B6, and other nutrients like iron. Corn flakes aid in weight loss and help reduce the risk of heart disease. To enjoy Bakers Corn Flakes, add it to a splash of milk for a bowl of healthy breakfast. Or crush them and use them instead of bread crumbs. Try the different Bakers' products like elaichi pista falooda mix, custard powder and others on Big Basket!",250 g (Buy 1 Get 1 Free),g (Buy  Get  Free),250 g (Buy 1 Get 1 Free),1,1,170,170,"333/1B1, KALAPANAICKENPALAYAM, GAS BUNK, SOMAYAMPALAYAM VILLAGE, COIMBATORE-641108",India,['8906012891402'],['12421999000191'],https://datalabs.siva3.io/image/Eunimart_groceries_40283331_1-bakers-corn-flakes-rich-in-protein-calcium-vitamins-cholesterol-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40283331-2_1-bakers-corn-flakes-rich-in-protein-calcium-vitamins-cholesterol-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40283331-3_1-bakers-corn-flakes-rich-in-protein-calcium-vitamins-cholesterol-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40283331-4_1-bakers-corn-flakes-rich-in-protein-calcium-vitamins-cholesterol-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40283331-5_1-bakers-corn-flakes-rich-in-protein-calcium-vitamins-cholesterol-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Fill Bakers cornflakes in your bowl.
Add sugar or honey as desired.
Add milk- Tastes best with hot/ cold milk.
Garnish it with fruits of your choice, the meal is ready to serve.","[{'EAN Code': '8906012891402'}, {'FSSAI No': '12421999000191'}, {'Manufactured & Marketed by': '333/1B1, KALAPANAICKENPALAYAM, GAS BUNK, SOMAYAMPALAYAM VILLAGE, COIMBATORE-641108'}, {'Country of origin': 'India'}]","333/1B1, KALAPANAICKENPALAYAM, GAS BUNK, SOMAYAMPALAYAM VILLAGE, COIMBATORE-641108",-,-,-,"Corn Grits, Sugar, Iodised Salt, Malt Extract, Soya Lecithin (Ins 322), Antioxidant (Ins 320).",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,BAKERS,"BAKERS Dried Oregano Seasoning - Sprinkle On Bread, Pizza, Pasta, 30 g","Bring home a jar of flavour with Bakers Oregano Flakes. Oregano flakes are a dried and fragrant herb that is commonly used in cooking to add flavour and depth to a variety of dishes. They have a warm and slightly bitter taste and are often used to season meats, pasta sauces, and other savoury dishes. Oregano flakes are easy to use and store and can be added to a dish at any stage of the cooking process to suit your desired level of flavour. They are also a wonderful way to add a pop of colour and flavour to any dish, making them a must-have for any herb lover's pantry. Explore other treats by Bakers, only on BigBasket!",30 g,g,30 g,1,1,99,99,"S.F.NO:365,AGARWAL SCHOOL ROAD,SOMAYAMPALAYAM VILLAGE(POST),COIMBATORE-108",India,['8906012970848'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40289956_1-bakers-dried-oregano-seasoning-sprinkle-on-bread-pizza-pasta.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289956-2_1-bakers-dried-oregano-seasoning-sprinkle-on-bread-pizza-pasta.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289956-3_1-bakers-dried-oregano-seasoning-sprinkle-on-bread-pizza-pasta.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289956-4_1-bakers-dried-oregano-seasoning-sprinkle-on-bread-pizza-pasta.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Used in cooking Indian / Italian dishes.,"[{'EAN Code': '8906012970848'}, {'Manufactured & Marketed by': 'S.F.NO:365,AGARWAL SCHOOL ROAD,SOMAYAMPALAYAM VILLAGE(POST),COIMBATORE-108'}, {'Country of origin': 'India'}]","S.F.NO:365,AGARWAL SCHOOL ROAD,SOMAYAMPALAYAM VILLAGE(POST),COIMBATORE-108",-,-,-,Dried Oregano Leaves (Herb),-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,BAKERS,"BAKERS Red Chilli Flakes - Fiery, Sprinkle On Salad, Pizza, Pasta, 30 g","Bakers Red Chilly Flakes is the perfect jar of oomph you need to bring home! Red chilli flakes are a staple in many kitchens around the world, thanks to their versatility and bold flavour. These spicy little flakes are made from dried and crushed red chilli peppers and can be used to add heat and depth to a wide variety of dishes. Whether you're looking to add some fire to your sauces, marinades, or rubs, or simply want to give your meals a little extra kick, red chilli flakes are an excellent choice. So why wait? Break out the chilli flakes and start exploring the endless cooking possibilities they offer today! Explore other treats by Bakers, only on BigBasket!",30 g,g,30 g,1,1,99,99,"S.F.NO:365,AGARWAL SCHOOL ROAD,SOMAYAMPALAYAM VILLAGE(POST),COIMBATORE-108",India,['8906012970831'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40289955_1-bakers-red-chilli-flakes-fiery-sprinkle-on-salad-pizza-pasta.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289955-2_1-bakers-red-chilli-flakes-fiery-sprinkle-on-salad-pizza-pasta.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289955-3_1-bakers-red-chilli-flakes-fiery-sprinkle-on-salad-pizza-pasta.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289955-4_1-bakers-red-chilli-flakes-fiery-sprinkle-on-salad-pizza-pasta.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Used in cooking Indian / Italian dishes.,"[{'EAN Code': '8906012970831'}, {'Manufactured & Marketed by': 'S.F.NO:365,AGARWAL SCHOOL ROAD,SOMAYAMPALAYAM VILLAGE(POST),COIMBATORE-108'}, {'Country of origin': 'India'}]","S.F.NO:365,AGARWAL SCHOOL ROAD,SOMAYAMPALAYAM VILLAGE(POST),COIMBATORE-108",-,-,-,Crushed Red Chilli (Spice),-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,BB Royal,"BB Royal 100% Pure Honey, 1 kg + Corn Flakes Classic, 475 g, Combo 2 Items","100% Pure Honey:
BB Royal Honey is 100% pure and natural multi-floral honey, sourced from the pine forests at the Himalayan foothills. It is filled with all-natural goodness and packed safely. It is processed without affection for its natural taste, flavour and aroma. It does not contain any other added sugar or flavouring.
Corn Flakes Classic:
Corn flakes cereal is the original and best cereal. Every bite of these crispy, golden flakes is just as delicious as the first. YouÇll be on you're way to a great day when you pour a bowl of corn flakes cereal into your breakfast bowl. Made of delicious Golden corn, it is specially processed to give it an added dose of fibre which reduces its glycaemic Index, thus making it a much healthier breakfast option.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,660,444.6,"Kayem Food Industries Pvt. Ltd., Plot No. 2244-2247, Food Park, HSIIDC, Industrial Estate, Rai, Sonepat, Haryana 131 029",India,['1214178'],"['10016064000819,10019043002767']",https://datalabs.siva3.io/image/Eunimart_groceries_214178_1-bb-royal-100-pure-honey-1-kg-corn-flakes-classic-475-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"100% Pure Honey:
Honey is linked to wound-healing properties and antibacterial action.
Honey can replace sugar in meals, providing a healthier option. However, they can also add browning and excess moisture to a dish.
It helps in relieving cold and cough symptoms.
Honey has been used to treat a wide array of illnesses, ailments, and injuries.
Corn Flakes Classic:
Corn flakes are a good source of vitamins, minerals, fiber and folate.
Corn flakes are also a good source of protein and carbohydrates.
Corn flakes are rich in Thiamine.","100% Pure Honey:
It can be consumed with almost everything and can use in any cooking method.
You can add it to fruit salad, tea/ drinks, cakes, cookies, salad dressings, etc.
It can be used for grilling, roasting or any other cooking method.
It can also be used as a replacement for sugar.
Corn Flakes Classic:
It makes a healthy breakfast option for children and adults or even as an evening snack.
Pour the corn flakes into a bowl, add milk and any toppings of your choice.
And enjoy for breakfast.","[{'100% Pure Honey': 'EAN Code: 1214178'}, {'Manufacturer Name and ': 'Beehive Farms Pvt.Ltd., Kohara Main Road, Ludhiana 141112, Punjab'}, {'Country of origin': 'India'}, {'Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}, {'Country Of Origin': 'India'}, {'FSSAI Number': '10016064000819, 10019043002767'}, {'Manufacturer Name & ': 'Kayem Food Industries Pvt. Ltd., Plot No. 2244-2247, Food Park, HSIIDC, Industrial Estate, Rai, Sonepat, Haryana 131 029'}, {'Marketed By': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}]","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Corn Flakes Classic:
Corn Grits (91.39%), Sugar, Iodised Salt, Malt Extract And Antioxidant (Ins 320)",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,BB Royal,"BB Royal 100% Pure Honey, 1 kg + Oats, 1 kg, Combo 2 Items","100% Pure Honey:
BB Royal Honey is 100% pure and natural multi-floral honey, sourced from the pine forests at the Himalayan foothills. It is filled with all-natural goodness and packed safely. It is processed without affection for its natural taste, flavour and aroma. It does not contain any other added sugar or flavouring.
Oats:
Get a healthy start to your day with bb ROYAL Instant Oats. Full of nutrition, oats are a popular choice of breakfast that is both wholesome and delicious. For a great start to the morning, oat is a perfect choice for the whole family. You can make a lot of healthy recipes with oats for breakfast, lunch or dinner and boost the nutritional value without compromising on taste. Light on the stomach, it is easy to prepare and takes only a few minutes to cook. Top it with fruits, nuts and honey for a delicious & healthy experience.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,674,419.62,"Kayem Food Industries Pvt. Ltd., Plot No. 2244-2247, Food Park, HSIIDC, Industrial Estate, Rai, Sonepat, Haryana 131 029",India,['1214177'],"['10016064000819,10019043002767']",https://datalabs.siva3.io/image/Eunimart_groceries_214177_1-bb-royal-100-pure-honey-1-kg-oats-1-kg.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"100% Pure Honey:
Honey is linked to wound-healing properties and antibacterial action.
Honey can replace sugar in meals, providing a healthier option. However, they can also add browning and excess moisture to a dish.
It helps in relieving cold and cough symptoms.
Honey has been used to treat a wide array of illnesses, ailments, and injuries.
Oats:
Oats are incredibly nutritious.
Whole oats are rich in antioxidants, including avenanthramides.
Oats contain a powerful soluble fiber called beta-glucan.
They can lower cholesterol levels and protect LDL cholesterol from damage.","100% Pure Honey:
It can be consumed with almost everything and can use in any cooking method.
You can add it to fruit salad, tea/ drinks, cakes, cookies, salad dressings, etc.
It can be used for grilling, roasting or any other cooking method.
It can also be used as a replacement for sugar.
Oats:
Take a bowl of warm milk then add half a cup of dry roasted oats.
Then add fresh fruits, nuts, seeds or anything you want.","[{'100% Pure Honey': 'EAN Code: 1214177'}, {'Manufacturer Name and ': 'Beehive Farms Pvt.Ltd., Kohara Main Road, Ludhiana 141112, Punjab'}, {'Country of origin': 'India'}, {'Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}, {'Country Of Origin': 'India'}, {'FSSAI Number': '10016064000819, 10019043002767'}, {'Manufacturer Name & ': 'Kayem Food Industries Pvt. Ltd., Plot No. 2244-2247, Food Park, HSIIDC, Industrial Estate, Rai, Sonepat, Haryana 131 029'}, {'Marketed By': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}]","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Oats:
Oats 100 % (Raw Oats Grain), Allergen Declaration: May Contain Traces Of Wheat",-,-
