L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients,Ingredient,From The Brand
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Bauli,"Bauli Spyroll 33 g + Savoriz - Soft Puff Roll With Cheese Jalapeno 52 g, Combo 2 Items","Bauli Spyroll 33 g
Bauli Spyroll is a soft cake made from two different sponges, rolled around a tempting choco cream and is covered with delicious Choco base. This snack is just the best for your small hunger pangs.

Bauli Savoriz - Soft Puff Roll With Cheese Jalapeno 52 g",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,35,35,"Bauli India Bakes & Sweets Pvt Ltd Factory, G-146/1, Katphal Road, MIDC, Baramati, Maharashtra 413133",India,['1216175'],['10017022006649'],https://datalabs.siva3.io/image/Eunimart_groceries_216175_2-bauli-spyroll-33-g-savoriz-soft-puff-roll-with-cheese-jalapeno-52-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216175-2_2-bauli-spyroll-33-g-savoriz-soft-puff-roll-with-cheese-jalapeno-52-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216175-3_2-bauli-spyroll-33-g-savoriz-soft-puff-roll-with-cheese-jalapeno-52-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,These soft and delicious puffs stay fresh much longer than most bread or cakes and are ideal on-the-go snacks for everyone.,"['EAN Code: 1216175', 'FSSAI Number: 10017022006649', 'Manufacturer Name & : Bauli India Bakes & Sweets Pvt Ltd Factory, G-146/1, Katphal Road, MIDC, Baramati, Maharashtra 413133', 'Best before 30-04-2023', '",-,-,-,"Bauli Spyroll 33 g
Refined Wheat Flour, Chocolate Layer, Choco Cream, Glucose-Fructose Syrup, Sugar, Edible Vegetable Oil (Palm Oil), Milk Solids, Thickner, Preservative, Acidity Regulator, Edible Common Salt, Margarine, Sugar, Egg, Humectant, Yeast, Emulsifier, Flour Treatment Agent.

Bauli Savoriz - Soft Puff Roll With Cheese Jalapeno 52 g
Refined Wheat Flour, Cheese, Jalapeno pepper filler, Glucose-Fructose Syrup, Sugar, Edible Vegetable Oil (Palm Oil), Milk Solids, Thickener, Preservative, Acidity Regulator, Edible Common Salt], Margarine, Sugar, Edible Vegetable Oil (Palm Oil), Egg, Humectant, Yeast, Milk Solids, Edible Common Salt, Emulsifier, Preservative, Flour Treatment Agent.",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Bauli,"Bauli Spyroll, 28 g","Bauli Spyroll is a soft cake made from two different sponges, rolled around a tempting choco cream and is covered with delicious Choco base. This snack is just the best for your small hunger pangs.",28 g,g,28 g,1,1,15,11.25,"Bauli India Bakes & Sweets Pvt Ltd Factory, G-146/1, Katphal Road, MIDC, Baramati, Maharashtra 413133",India,['8908009419682'],['10017022006649'],https://datalabs.siva3.io/image/Eunimart_groceries_40158399_4-bauli-spyroll.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158399-2_4-bauli-spyroll.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158399-3_4-bauli-spyroll.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158399-4_4-bauli-spyroll.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158399-5_3-bauli-spyroll.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8908009419682', 'FSSAI Number: 10017022006649', 'Manufacturer Name & : Bauli India Bakes & Sweets Pvt Ltd Factory, G-146/1, Katphal Road, MIDC, Baramati, Maharashtra 413133', 'Best before 30-04-2023', '",-,-,-,"Refined Wheat Flour, Chocolate Layer, Choco Cream, Glucose-Fructose Syrup, Sugar, Edible Vegetable Oil (Palm Oil), Milk Solids, Thickner, Preservative, Acidity Regulator, Edible Common Salt, Margarine, Sugar, Egg, Humectant, Yeast, Emulsifier, Flour Treatment Agent.",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Britannia,"Britannia Cake Roll Yo! Choco Vanilla Swiss Roll - More Chocolatey,(Pack Of 3), 3 x27 g Multipack","Britannia Cake Roll Yo! Choco Vanilla Swiss Roll is a delightful combination of smooth vanilla cream with fluffy and spongy cake. Every bite of these delicious, chocolaty rolls entices you increasingly. The satisfying and rich taste of choco vanilla Swiss roll gives a mouth-watering experience. Keep them in a cool, dry place, away from sunlight. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite cakes.",3 x27 g Multipack,g Multipack,3 x27 g Multipack,3,1,30,27.9,"Britannia Industried Ltd., 5/1 A Hungerford Street, Kolkata, West Bengal (A Wadia Enterprise).",India,['1222420'],['1001803100279'],https://datalabs.siva3.io/image/Eunimart_groceries_222420_1-britannia-cake-roll-yo-choco-vanilla-swiss-roll-more-chocolateypack-of-2.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Enjoy the delicious and mouth-watering flavours in every bite of ready-to-eat Britannia Cake Swiss Roll.,"['EAN Code: 1222420', 'Manufactured & Marketed by:Britannia Industried Ltd., 5/1 A Hungerford Street, Kolkata, West Bengal (A Wadia Enterprise).', 'Fssai details:1001803100279', 'Country of Origin: India', 'Best before 31-05-2023', '","Britannia Industried Ltd., 5/1 A Hungerford Street, Kolkata, West Bengal (A Wadia Enterprise).",-,-,"Sugar, Refined Wheat Flour (Mau), Eggs, Humectants [420(I), 422] Liquid Glucose, Bakery Shortening, Dark Compound (5%) [Sugar, Hydrogenated Vegetable Fat (Palm), Cocoa Scuds, Emulsifiers (322, 476), Natural & Artificial (*Vanilla & Chocolate ) Flavouring Substances), Invert Syrup, Margarine, Refined Sunflower Oil Milk Solids, Dextrose, Cake Gel [Emulsifiers [471, 475, 477 & 491] & Humectants [1520, 422], Colours (150c, 150d, 129, 102, 132, 133), Cocoa Solids (1%), High Maltose Syrup, Liquid Shortening {Emulsifiers [477, 471, 372(I)] & Antioxidant (304)}, Emulsifiers [322, 472b, 471), Raising Agents [450(I), 500(Ii), Nature Identical & Article Flavouring Substances (*Vanilla & Chocolate Truffle), Iodised Salt, Preservatives (200, 282 & 202), Cake Mix {Thickeners (415, 1414), Emulsifier (471), Flour Treatment Agent [1100(Ii)], Acidity Regulator (330) & Stabilizer (415).",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Britannia,"Britannia Cake Roll Yo! Triple Choco Swiss Roll - More Chocolatey,(Pack Of 3), 3 x 27 g Multipack","Britannia Cake Roll Yo! Triple Chocolate Swiss Roll is a delightful combination of smooth chocolate cream with fluffy and spongy cake. Every bite of these delicious, chocolaty rolls entices you for more. The satisfying and rich taste of the triple chocolate Swiss roll gives a mouth-watering experience. Keep them in a cool, dry place, away from sunlight. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite cakes.",3 x 27 g Multipack,g Multipack,3 x 27 g Multipack,3,1,30,27.9,"Britannia Industried Ltd., 5/1 A Hungerford Street, Kolkata, West Bengal (A Wadia Enterprise).",India,['1222422'],['1001803100279'],https://datalabs.siva3.io/image/Eunimart_groceries_222422_1-britannia-cake-roll-yo-triple-choco-swiss-roll-more-chocolateypack-of-3.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Enjoy the delicious and mouth-watering flavours in every bite of ready to eat Britannia Cake Swiss Roll.,"[{'EAN Code': '1222422'}, {'Manufactured & marketed by': 'Britannia Industried Ltd., 5/1 A Hungerford Street, Kolkata, West Bengal (A Wadia Enterprise).'}, {'Fssai details': '1001803100279'}, {'Country of Origin': 'India'}]","Britannia Industried Ltd., 5/1 A Hungerford Street, Kolkata, West Bengal (A Wadia Enterprise).",-,-,"Sugar, Refined Wheat Flour (Mau), Eggs, Humectants [420(I), 422] Liquid Glucose, Bakery Shortening, Dark Compound (5%) [Sugar, Hydrogenated Vegetable Fat (Palm), Cocoa Scuds, Emulsifiers (322, 476), Natural & Artificial (*Vanilla & Chocolate) Flavouring Substances), Invert Syrup, Margarine, Refined Sunflower Oil Milk Solids, Dextrose, Cake Gel [Emulsifiers [471, 475, 477 & 491] & Humectants [1520, 422], Colours (150c, 150d, 129, 102, 132, 133), Cocoa Solids (1%), High Maltose Syrup, Liquid Shortening {Emulsifiers [477, 471, 372(I)] & Antioxidant (304)}, Emulsifiers [322, 472b, 471), Raising Agents [450(I), 500(Ii), Nature Identical & Article Flavouring Substances (*Vanilla & Chocolate Truffle), Iodised Salt, Preservatives (200, 282 & 202), Cake Mix {Thickeners (415, 1414), Emulsifier (471), Flour Treatment Agent [1100(Ii)], Acidity Regulator (330) & Stabilizer (415).",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Britannia,"Britannia Cakes - Pineapple 55 g + Fruity Fun 55 g + Orange Bites 55 g + Choco Chill 55 g, Combo 4 Items",Britannia pineapple cake is soft and succulent and melts in your mouth. Share your Britannia pineapple cake with friends and family and be sure to travel around into the pineapple flavor. It can be used for breakfast or teatime or to grab a fast and yummy bite during the day.,Combo 4 Items,Combo  Items,Combo 4 Items,4,1,60,57.5,"Britannia Industries Ltd, Plot No. 1, Sector 1, IIE, Pantnagar, Udham Singh Nagar, Rudrapur 263153, Uttarakhand",India,['1201333'],-,https://datalabs.siva3.io/image/Eunimart_groceries_201333_3-britannia-cakes-pineapple-55-g-fruity-fun-55-g-orange-bites-55-g-choco-chill-55-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_201333-2_2-britannia-cakes-pineapple-55-g-fruity-fun-55-g-orange-bites-55-g-choco-chill-55-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_201333-3_2-britannia-cakes-pineapple-55-g-fruity-fun-55-g-orange-bites-55-g-choco-chill-55-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_201333-4_2-britannia-cakes-pineapple-55-g-fruity-fun-55-g-orange-bites-55-g-choco-chill-55-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_201333-5_2-britannia-cakes-pineapple-55-g-fruity-fun-55-g-orange-bites-55-g-choco-chill-55-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_201333-6_2-britannia-cakes-pineapple-55-g-fruity-fun-55-g-orange-bites-55-g-choco-chill-55-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1201333'}, {'Country of origin': 'India'}, {'Manufactured by': 'Britannia Industries Ltd, Plot No. 1, Sector 1, IIE, Pantnagar, Udham Singh Nagar, Rudrapur 263153, Uttarakhand'}]",-,-,-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Britannia,"Britannia Choco Muffills - Centre Filled, Soft, Spongy & Fluffy, Dessert/Snack, 30 g","Britannia Veg Double Choco Muffils are little eggless muffins with delicious centre fillings of your favourite choco flavour. The thick choco filling will leave you mouth-watering with the richness of the chocolate. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite cakes.",30 g,g,30 g,1,1,10,10,"Britannia Industries Ltd., Prestige Shanthiniketan, Tower C,Whitefield,Bangalore-560048,Karnataka",India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40075053_6-britannia-choco-muffills.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075053-2_5-britannia-choco-muffills.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075053-3_5-britannia-choco-muffills.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075053-4_5-britannia-choco-muffills.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075053-5_5-britannia-choco-muffills.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075053-6_1-britannia-choco-muffills.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075053-7_1-britannia-choco-muffills.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075053-8_1-britannia-choco-muffills.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075053-9_1-britannia-choco-muffills.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Enjoy the delicious and mouth-watering flavours in every slice of ready to eat Britannia Cakes.",-,-,-,-,"Refined Wheat Flour, Sugar, Edible Vegetable Oil, Choco Filling, Cocoa Solids, Milk Solids, Eggs, Iodised Salt, Preservatives, Acidity Regulator, Baking Powder, Raising Agent, Liquid Glucose, Nature Identical and Artificial Flavouring Substance- Vanilla & Chocolate.",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Britannia,"Britannia Fudge It - Chocolate Brownie, 120 g","Britannia Fudge It Chocolate Brownie Cake is in town. With a delectable, mouth-watering taste, it gonna win your heart and be your new dessert buddy. Filled with the goodness of wheat, eggs, milk, and soya, the brownie cake deliciously melt in your mouth. This soft, spongy and fluffy brownie cake definitely will make you say, One more! Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite cakes.",120 g,g,120 g,1,1,60,45,"Britannia Industries Ltd., Prestige Shanthiniketan, Tower C,Whitefield,Bangalore-560048,Karnataka",India,['8901063363359'],['10015043001129'],https://datalabs.siva3.io/image/Eunimart_groceries_40198332_1-britannia-fudge-it-chocolate-brownie.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40198332-2_1-britannia-fudge-it-chocolate-brownie.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40198332-3_1-britannia-fudge-it-chocolate-brownie.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40198332-4_1-britannia-fudge-it-chocolate-brownie.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40198332-5_1-britannia-fudge-it-chocolate-brownie.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Enjoy the delicious and mouth-watering flavours in every slice of ready to eat Britannia Cakes.,"[{'EAN Code': '8901063363359'}, {'FSSAI Number': '10015043001129'}, {'Manufactured & Marketed By': 'Britannia Industries Ltd., Prestige Shanthiniketan, Tower C,Whitefield,Bangalore-560048,Karnataka'}, {'Country of Origin': 'India'}]","Britannia Industries Ltd., Prestige Shanthiniketan, Tower C,Whitefield,Bangalore-560048,Karnataka",-,-,"Sugar, Refined Wheat Flour (Maida), Edible Vegetable Oil (palm), Eggs, Choco Callets (10%) (sugar, Edible Hydrogenated Vegetable Fat, Cocoa Solids, Emulsifier (491), Dextrose, Emulsifier (322) & Added Natural Flavouring Substances', Milk Chocolate Chips (8%) Sugar, Cocoa Butter, Milk Solids, Cocoa Solids, Dextrose, Emulsifier (3221 & Added Natural Flavouring Substance], Cocoa Solids (2%), Maltose Syrup, Liquid Glucose, Iodised Salt, Emulsifier (471), Preservatives (202 & 282), Stabiliser (415), Baking Powder And Acidity Regulator (330). Contains Permitted Natural Food Colour (150d) And Added Artificial Flavouring Substances (Brownie Magnum & Vanilla).",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Britannia,"Britannia Fudge It Brownie - Chocolate, 40 g","Britannia Fudge It Chocolate Brownie Cake is in town. With a delectable, mouth-watering taste, it gonna win your heart and be your new dessert buddy. Filled with the goodness of wheat, eggs, milk, and soya, the brownie cake deliciously melt in your mouth. This soft, spongy and fluffy brownie cake definitely will make you say, One more! Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite cakes.",40 g,g,40 g,1,1,20,15,"Britannia Industries Ltd, Plot No. 1, Sector 1, IIE, Pantnagar, Udham Singh Nagar, Rudrapur 263153, Uttarakhand",India,['40204406'],['10015043001129'],https://datalabs.siva3.io/image/Eunimart_groceries_40204406_1-britannia-chocolate-brownie.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204406-2_1-britannia-chocolate-brownie.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204406-3_1-britannia-chocolate-brownie.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204406-4_1-britannia-chocolate-brownie.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204406-5_1-britannia-chocolate-brownie.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '40204406'}, {'FSSAI Number': '10015043001129'}, {'Manufactured & Marketed By': 'Britannia Industries Ltd, Plot No. 1, Sector 1, IIE, Pantnagar, Udham Singh Nagar, Rudrapur 263153, Uttarakhand'}, {'Country of Origin': 'India'}]","Britannia Industries Ltd, Plot No. 1, Sector 1, IIE, Pantnagar, Udham Singh Nagar, Rudrapur 263153, Uttarakhand",-,-,"Sugar,
Refined Wheat Flour (maida),
Edible Vegetable Oil (palm),
Eggs, Choco Callets (10%) (sugar, Edible Hydrogenated Vegetable Fat, Cocoa Solids, Emulsifier (491),
Dextrose, Emulsifier (322) & Added Natural Flavouring Substances,
Milk Chocolate Chips (8%)
Sugar,
Cocoa Butter,
Milk Solids,
Cocoa Solids,
Dextrose,
Emulsifier (3221 & Added Natural Flavouring Substance],
Cocoa Solids (2%),
Maltose Syrup,
Liquid Glucose,
Iodised Salt,
Emulsifier (471),
Preservatives (202 & 282),
Stabilizer (415),
Baking Powder And Acidity Regulator (330).
Contains Permitted Natural Food Colour (150d) And Added Artificial Flavouring Substances (Brownie Magnum & Vanilla).",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Britannia,"Britannia Gobbles Bar Cake - Choco Chill, Soft & Fluffy Snack, 110 g","Britannia Chocolate Cake has soft and delicious cake slices with the goodness of chocolate, milk and eggs. With each bite feel the richness and smoothness of chocolate which gives mouth-watering flavour. Britannia Cakes have soft spongy and fluffy slices that deliciously melts in your mouth. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite cakes.",110 g,g,110 g,1,1,30,30,"SCHREIBER DYNAMIX DAIRIES PVT. LTD., E-94, MIDC, BHIGWAN ROAD, BARAMATI, PUNE-413133, MAHARASHTRA & BRITANNIA DAIRY PVT. LTD., 5/1 A HUNGERFORD STREET, KOLKATA-700017, WEST BENGAL (A WADIA Enterprise)",India,['259985'],['10015043001129'],https://datalabs.siva3.io/image/Eunimart_groceries_259985_16-britannia-gobbles-choco-chill-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259985-2_10-britannia-gobbles-choco-chill-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259985-3_10-britannia-gobbles-choco-chill-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259985-4_10-britannia-gobbles-choco-chill-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259985-5_10-britannia-gobbles-choco-chill-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259985-6_2-britannia-gobbles-choco-chill-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259985-7_1-britannia-gobbles-choco-chill-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259985-8_1-britannia-gobbles-choco-chill-cake.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '259985'}, {'FSSAI No': '10015043001129'}, {'Manufactured & Marketed by': 'SCHREIBER DYNAMIX DAIRIES PVT. LTD., E-94, MIDC, BHIGWAN ROAD, BARAMATI, PUNE-413133, MAHARASHTRA & BRITANNIA DAIRY PVT. LTD., 5/1 A HUNGERFORD STREET, KOLKATA-700017, WEST BENGAL (A WADIA Enterprise)'}, {'Country of origin': 'India'}]","SCHREIBER DYNAMIX DAIRIES PVT. LTD., E-94, MIDC, BHIGWAN ROAD, BARAMATI, PUNE-413133, MAHARASHTRA & BRITANNIA DAIRY PVT. LTD., 5/1 A HUNGERFORD STREET, KOLKATA-700017, WEST BENGAL (A WADIA Enterprise)",-,-,"Prepared using Refined Wheat Flour, Sugar, Eggs, Edible Hydrogenated Vegetable Oil, Maltose Syrup, Liquid Glucose, Cocoa Solids, Milk Solids, Iodised Salt, Preservatives, Acidity Requlator, Baking Powder, Raising Agent, Plain Chocolate, Nature Identical and Artificial Flavouring Substance- Vanilla & Chocolate",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Britannia,"Britannia Gobbles Cake - Butter Blast, 50 g","Britannia Butter Blast Cake has soft and delicious cake slices with the goodness of butter, milk and eggs. With each bite feel the richness and smoothness of butter which gives mouth-watering flavour. Britannia Cakes have soft spongy and fluffy slices that deliciously melts in your mouth. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite cakes.",50 g,g,50 g,1,1,15,15,"Britannia Industries Ltd, Plot No. 1, Sector 1, IIE, Pantnagar, Udham Singh Nagar, Rudrapur 263153, Uttarakhand",India,['8901063363816'],-,https://datalabs.siva3.io/image/Eunimart_groceries_259993_8-britannia-butter-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259993-2_5-britannia-butter-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259993-3_5-britannia-butter-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259993-4_5-britannia-butter-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259993-5_5-britannia-butter-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259993-6_2-britannia-butter-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_259993-7_1-britannia-butter-cake.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Enjoy the delicious and mouth-watering flavours in every slice of ready to eat Britannia Cakes.,"[{'EAN Code': '8901063363816'}, {'Manufactured by': 'Britannia Industries Ltd, Plot No. 1, Sector 1, IIE, Pantnagar, Udham Singh Nagar, Rudrapur 263153, Uttarakhand'}]",-,-,-,"Prepared using Refined Wheat Flour, Sugar, Eggs, Edible Hydrogenated Vegetable Oil, Maltose Syrup, Liquid Glucose, Butter, Iodised Salt, Preservatives, Acidity Regulator, Baking Powder, Raising Agent, Artificial Flavouring Substance- Vanilla & Butter",-,-
