L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredient,Specification,About
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Air Freshener - Eliminates Odour, Aqua Fragrance, 7.5 ml","We know that your car means a lot to you and its more than just a vehicle, it is also a friend and companion! AmbiPur Car Fresheners are designed to give you a soothing drive experience even on bumpy Indian Roads. These Car freshener products come with Odor Clear Technology that doesn‚t mask odors but actually eliminates them. Our olfactory senses when exposed to soothing fragrances can have a relaxing and calming effect. so, all you need is to breathe... breath happy with AmbiPur!",7.5 ml,ml,7.5 ml,1,1,299,299,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4902430819688'],-,https://datalabs.siva3.io/image/Eunimart_groceries_9534_7-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-2_5-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-3_5-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-4_5-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-5_5-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-6_3-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-7_1-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-8_1-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Just fix the AC vent, turn the flow switch on the perfume kit.","[{'EAN Code': '4902430819688'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Air Freshener - Eliminates Odour, Aqua Fragrance, 7.5 ml","We know that your car means a lot to you and its more than just a vehicle, it is also a friend and companion! AmbiPur Car Fresheners are designed to give you a soothing drive experience even on bumpy Indian Roads. These Car freshener products come with Odor Clear Technology that doesn‚t mask odors but actually eliminates them. Our olfactory senses when exposed to soothing fragrances can have a relaxing and calming effect. so, all you need is to breathe... breath happy with AmbiPur!",7.5 ml,ml,7.5 ml,1,1,299,299,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4902430819688'],-,https://datalabs.siva3.io/image/Eunimart_groceries_9534_7-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-2_5-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-3_5-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-4_5-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-5_5-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-6_3-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-7_1-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9534-8_1-ambi-pur-car-air-freshener-aqua-starter-kit.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Just fix the AC vent, turn the flow switch on the perfume kit.","[{'EAN Code': '4902430819688'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Air Freshener - Vanilla Bouquet, 7.5 ml Pouch","Do you sometimes find that your car has an annoying persistent odour? OR do you often notice other passengers in your car being irritated with smells? Well this is more common an issue then you would think, particularly in the summer and monsoon seasons! From smells of trash to stinky food, from sweaty socks to smelly shoes, cars can get bombarded with a range of odours, that can make driving an unpleasant experience. The challenge with these common odours is that they are also tough to completely remove. Ambi Pur however, is the perfect car freshener for you, since it can transform your car from Smelly to Smiley because it doesnt just cover but truly removes the odours! . And Guess what? It leaves behind a beautiful subtle fragrance as well!",7.5 ml Pouch,ml,7.5 ml Pouch,1,1,299,299,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4902430819664'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40019200_5-ambi-pur-car-air-freshener-vanilla-bouquet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019200-2_3-ambi-pur-car-air-freshener-vanilla-bouquet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019200-3_3-ambi-pur-car-air-freshener-vanilla-bouquet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019200-4_3-ambi-pur-car-air-freshener-vanilla-bouquet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019200-5_3-ambi-pur-car-air-freshener-vanilla-bouquet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019200-6_2-ambi-pur-car-air-freshener-vanilla-bouquet.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Remove cap and insert bottle upright into device until it clicks (Keep embossing on bottle facing front), 2. Push device onto one of the blades of the car vent in an Upright Position to avoid Spills, 3. Do not pust in between blades of vent, 4. To aviod spills, Do not use on Tilted Blades and never Turn upside Down, 5. Control fragrance using the dial.","['EAN Code: 4902430819664', 'Manufacturer Name & : Procter & Gamble. Katha, Himachal Pradesh 173205', 'Marketed by: Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099', 'Country of origin: India', 'Best before 01-03-2024', '","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Air Freshener Refill - Aqua (Watery Citrus Freshness), 7.5 ml","Do you sometimes find that your car has an annoying persistent odour? OR do you often notice other passengers in your car being irritated with smells? Well this is more common an issue then you would think, particularly in the summer and monsoon seasons! From smells of trash to stinky food, from sweaty socks to smelly shoes, cars can get bombarded with a range of odours, that can make driving an unpleasant experience. The challenge with these common odours is that they are also tough to completely remove. Ambi Pur however, is the perfect car freshener for you, since it can transform your car from Smelly to Smiley because it doesnt just cover but truly removes the odours! . And Guess what? It leaves behind a beautiful subtle fragrance as well!",7.5 ml,ml,7.5 ml,1,1,199,199,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4902430918541'],-,https://datalabs.siva3.io/image/Eunimart_groceries_9493_8-ambi-pur-car-air-freshener-refill-aqua-watery-citrus-freshness.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9493-2_4-ambi-pur-car-air-freshener-refill-aqua-watery-citrus-freshness.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9493-3_4-ambi-pur-car-air-freshener-refill-aqua-watery-citrus-freshness.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9493-4_4-ambi-pur-car-air-freshener-refill-aqua-watery-citrus-freshness.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9493-5_4-ambi-pur-car-air-freshener-refill-aqua-watery-citrus-freshness.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9493-6_3-ambi-pur-car-air-freshener-refill-aqua-watery-citrus-freshness.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,For best performance switch on air vent and adjust perfume to a suitable strength.,"[{'EAN Code': '4902430918541'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,"Formaldehyde, petroleum distillates, p- dichlorobenzene, and aerosol propellants.",-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Air Freshener Refill - Lavender Spa, 7.5 ml Pouch","Do you sometimes find that your car has an annoying persistent odour? OR do you often notice other passengers in your car being irritated with smells? Well this is more common an issue then you would think, particularly in the summer and monsoon seasons! From smells of trash to stinky food, from sweaty socks to smelly shoes, cars can get bombarded with a range of odours, that can make driving an unpleasant experience. The challenge with these common odours is that they are also tough to completely remove. Ambi Pur however, is the perfect car freshener for you, since it can transform your car from Smelly to Smiley because it doesnt just cover but truly removes the odours! . And Guess what? It leaves behind a beautiful subtle fragrance as well!",7.5 ml Pouch,ml,7.5 ml Pouch,1,1,199,199,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4902430918534'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40019204_7-ambi-pur-car-air-freshener-refill-lavender-spa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019204-2_5-ambi-pur-car-air-freshener-refill-lavender-spa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019204-3_5-ambi-pur-car-air-freshener-refill-lavender-spa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019204-4_5-ambi-pur-car-air-freshener-refill-lavender-spa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019204-5_5-ambi-pur-car-air-freshener-refill-lavender-spa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019204-6_4-ambi-pur-car-air-freshener-refill-lavender-spa.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Remove cap and insert bottle upright into device until it clicks (Keep embossing on bottle facing front), 2. Push device onto one of the blades of the car vent in an Upright Position to avoid Spills, 3. Do not pust in between blades of vent, 4. To aviod spills, Do not use on Tilted Blades and never Turn upside Down, 5. Control fragrance using the dial.","[{'EAN Code': '4902430918534'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Air Freshener Refill - Vanilla, 7.5 ml","Do you sometimes find that your car has an annoying persistent odour? OR do you often notice other passengers in your car being irritated with smells? Well this is more common an issue then you would think, particularly in the summer and monsoon seasons! From smells of trash to stinky food, from sweaty socks to smelly shoes, cars can get bombarded with a range of odours, that can make driving an unpleasant experience. The challenge with these common odours is that they are also tough to completely remove. Ambi Pur however, is the perfect car freshener for you, since it can transform your car from Smelly to Smiley because it doesnt just cover but truly removes the odours! . And Guess what? It leaves behind a beautiful subtle fragrance as well!",7.5 ml,ml,7.5 ml,1,1,199,199,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4902430647946'],-,https://datalabs.siva3.io/image/Eunimart_groceries_9495_8-ambi-pur-car-air-freshener-refill-vanilla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9495-2_4-ambi-pur-car-air-freshener-refill-vanilla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9495-3_4-ambi-pur-car-air-freshener-refill-vanilla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9495-4_4-ambi-pur-car-air-freshener-refill-vanilla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9495-5_4-ambi-pur-car-air-freshener-refill-vanilla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9495-6_2-ambi-pur-car-air-freshener-refill-vanilla.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,For best performance switch on air vent and adjust perfume to a suitable strength.,"['EAN Code: 4902430647946', 'Manufacturer Name & : Procter & Gamble. Katha, Himachal Pradesh 173205', 'Marketed by: Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099', 'Country of origin: India', 'Best before 01-03-2024', '","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,"Amyl Cinnamal,Hexyl Salicylate,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,Cis-3-Hexenyl Salicylate,Hexyl Cinnamal,Limonene,Citrus Aurantium Dulcis Oil,Methyl Ionone,Coumarin,Alpha-Isomethyl Ionone,Citronellol.",-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Freshener - Exotic Jasmine, Starter Kit Refill Pack, 7.5 ml","Introducing Exotic Jasmine, the new fragrance in the Ambi Pur Family of Car Fresheners. Ambi Pur truly removes odours and leaves a refreshing long lasting fragrance inside your car. So simply install and enjoy the refreshing fragrance of Exotic Jasmine for up to 60 days. Now you and your Car can breathe happy",7.5 ml,ml,7.5 ml,1,1,199,199,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['40095368'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40095368_4-ambi-pur-car-freshener-exotic-jasmine-starter-kit-refill-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40095368-2_4-ambi-pur-car-freshener-exotic-jasmine-starter-kit-refill-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40095368-3_4-ambi-pur-car-freshener-exotic-jasmine-starter-kit-refill-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40095368-4_4-ambi-pur-car-freshener-exotic-jasmine-starter-kit-refill-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40095368-5_4-ambi-pur-car-freshener-exotic-jasmine-starter-kit-refill-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40095368-6_3-ambi-pur-car-freshener-exotic-jasmine-starter-kit-refill-pack.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40095368'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Freshener - Sweet Citrus & Zest, 7.5 ml Pouch","Give your car a breath of fresh air and be thrilled with the zesty fragrance of Ambi Pur Car Freshener. This car freshener brings a new life to your car. Its unique technology eliminates odours and replaces it with a refreshing scent and appeals to both, men and women.",7.5 ml Pouch,ml,7.5 ml Pouch,1,1,299,299,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['490430819695'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40019199_4-ambi-pur-car-freshener-sweet-citrus-zest.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019199-2_1-ambi-pur-car-freshener-sweet-citrus-zest.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019199-3_1-ambi-pur-car-freshener-sweet-citrus-zest.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019199-4_1-ambi-pur-car-freshener-sweet-citrus-zest.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40019199-5_1-ambi-pur-car-freshener-sweet-citrus-zest.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Remove cap and insert bottle upright into the device until it clicks (Keep embossing on bottle facing front).
Push the device onto one of the blades of the car vent in an Upright Position to avoid Spills.
Do not put in between blades of the vent.
To avoid spills, do not use on tilted blades and never turn upside down.
Control fragrance using the dial.","['EAN Code: 490430819695', 'Country of origin: India', 'Best before 01-03-2024', '",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Freshener Gel - Lavender, 75 g","We know that your car means a lot to you and it's more than just a vehicle, it is also a friend and companion! Ambi Pur‚s Car fragrances will make you love driving in your car even more! Ambi Pur Car Fresheners are designed to give you a soothing drive experience even on bumpy Indian roads. The Gel-based Car fresheners can be conveniently placed on your dashboard or cupholder. No more worries about liquid freshener spill in car! Our olfactory senses when exposed to soothing fragrances can have a relaxing and calming effect. so, all you need is to breathe... breathe happy with Ambi Pur!",75 g,g,75 g,1,1,299,275.08,"Zobele India Pvt. Ltd. Survey No. 182, 183/1, 183/2, Panchal Udyog Nagar, Bhimpore, Daman, 396210.",India,['40207929'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40207929_2-ambi-pur-car-freshener-gel-lavender.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40207929-2_2-ambi-pur-car-freshener-gel-lavender.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40207929-3_2-ambi-pur-car-freshener-gel-lavender.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40207929-4_2-ambi-pur-car-freshener-gel-lavender.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40207929-5_1-ambi-pur-car-freshener-gel-lavender.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40207929-6_1-ambi-pur-car-freshener-gel-lavender.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40207929-7_1-ambi-pur-car-freshener-gel-lavender.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Open the lid and peel off the aluminium foil to release the fragrance.
Stick to the surface, peel of adhesive backing, place and press.
Note: Keep away from children.","[{'EAN Code': '40207929'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Zobele India Pvt. Ltd. Survey No. 182, 183/1, 183/2, Panchal Udyog Nagar, Bhimpore, Daman, 396210.'}, {'Marketed by': 'Procter & Gamble, Procter & Gamble Home Products Privtae Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205.'}]","Procter & Gamble, Procter & Gamble Home Products Privtae Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205.",-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-14,Ambipur,"Ambipur Car Freshener Gel - Lemon + Lavender + Rose, each 75 g, Combo 3 Items","Ambipur Car Freshener Gel - Lemon, 75 g
We know that your car means a lot to you and it's more than just a vehicle, it is also a friend and companion! Ambipur‚s Car fragrances will make you love driving in your car even more! Ambipur Car Fresheners are designed to give you a soothing drive experience even on bumpy Indian Roads. The Gel based Car fresheners can be conveniently placed on your dashboard or cupholder. No more worries about liquid freshener spill in the car! Our olfactory senses when exposed to soothing fragrances can have a relaxing and calming effect. so, all you need is to breathe... breathe happy with Ambi Pur!",Combo 3 Items,pcs,Combo 3 Items,3,1,897,618.93,"Zobele India Pvt. Ltd. Survey No. 182, 183/1, 183/2, Panchal Udyog Nagar, Bhimpore, Daman, 396210.",India,['1221795'],-,https://datalabs.siva3.io/image/Eunimart_groceries_221795_1-ambipur-car-freshener-gel-lemon-lavender-rose-each-75-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ambipur Car Freshener Gel - Lemon, 75 g
Open the lid and peel off the aluminium foil to release the fragrance.
Stick to the surface, peel off adhesive backing, place and press.
Note: Keep away from children.
Ambipur Car Freshener Gel - Lavender, 75 g
Open the lid and peel off the aluminium foil to release the fragrance.
Stick to the surface, peel off adhesive backing, place and press.
Note: Keep away from children.
Ambipur Car Freshener Gel - Rose, 75 g
Open the lid and peel off the aluminium foil to release the fragrance.
Stick to the surface, peel off adhesive backing, place and press.
Note: Keep away from children.","[{'EAN Code': '1221795'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Zobele India Pvt. Ltd. Survey No. 182, 183/1, 183/2, Panchal Udyog Nagar, Bhimpore, Daman, 396210.'}, {'Marketed by': 'Procter & Gamble, Procter & Gamble Home Products Privtae Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205.'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Zobele India Pvt. Ltd. Survey No. 182, 183/1, 183/2, Panchal Udyog Nagar, Bhimpore, Daman, 396210.'}, {'Marketed by': 'Procter & Gamble, Procter & Gamble Home Products Privtae Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205.'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Zobele India Pvt. Ltd. Survey No. 182, 183/1, 183/2, Panchal Udyog Nagar, Bhimpore, Daman, 396210.'}, {'Marketed by': 'Procter & Gamble, Procter & Gamble Home Products Privtae Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205.'}]","Procter & Gamble, Procter & Gamble Home Products Privtae Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205.",-,-,-,-,-,-,-
