L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Ah!rogya Bar,"Ah!rogya Bar Millet Based Nutrition Bar - Classic, 25 g Pouch",Millet based nutrition bar is totally natural and vegetarian. It is one of the healthy options that you can include in your day to day life. It contains 6 gm of protein. Reduce your hunger pangs in a healthy way with this nutrition bar. Weight: 25 g,25 g Pouch,g,25 g Pouch,1,1,20,20,"We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021",India,['40162696'],['21218180001591'],https://datalabs.siva3.io/image/Eunimart_groceries_40162696_1-ahrogya-bar-millet-based-nutrition-bar-classic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162696-2_1-ahrogya-bar-millet-based-nutrition-bar-classic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162696-3_1-ahrogya-bar-millet-based-nutrition-bar-classic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat. Store in cool & dry place.,"['EAN Code: 40162696', 'Country of origin: India', 'FSSAI Number: 21218180001591', 'Manufactured & Marketed by: We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021', 'Best to use for 31-05-2023', '","We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021",-,-,-,"Ragi, Peanut, Soya, Jaggery, Dates, Natural Resin, Milk Solids. Warning: Contains milk solids, peanuts.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Ah!rogya Bar,"Ah!rogya Bar Millet Based Nutrition Bar - Flax & Dates, 25 g Pouch",Millet based nutrition bar is totally natural and vegetarian. It is one of the healthy options that you can include in your day to day life. It contains 6 gm of protein and Omega 3 from the flax seeds. Reduce your hunger pangs in a healthy way with this nutrition bar. Flavour: Flax seed & dates Weight: 25 g,25 g Pouch,g,25 g Pouch,1,1,25,25,"We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021",India,['40162698'],['21218180001591'],https://datalabs.siva3.io/image/Eunimart_groceries_40162698_1-ahrogya-bar-millet-based-nutrition-bar-flax-dates.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162698-2_1-ahrogya-bar-millet-based-nutrition-bar-flax-dates.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162698-3_1-ahrogya-bar-millet-based-nutrition-bar-flax-dates.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat. Store in cool & dry place.,"['EAN Code: 40162698', 'Country of origin: India', 'FSSAI Number: 21218180001591', 'Manufactured & Marketed by: We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021', 'Best to use for 31-05-2023', '","We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021",-,-,-,"Ragi, Peanut, Soya, Jaggery, Dates, Natural Resin, Milk Solids, Flax seed, Cardamom. Warning: Contains milk solids, peanuts.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Ah!rogya Bar,"Ah!rogya Bar Millet Based Nutrition Bar - Ginger & Raisin, 25 g Pouch","Millet based nutrition bar is totally natural and vegetarian. It is one of the healthy options that you can include in your day to day life.It contains 6 gm of protein and the medicinal properties of ginger and raisin. Reduce your hunger pangs in a healthy way with this nutrition bar. Jaggery which comes loaded with antioxidants and acts as a detox. Provides energy over an extended period of time. Peanut which not only is a good source of protein, but is also rich in a number of vitamins and minerals. Helps keep the heart healthy. Soya which is a complete source of plant based protein. Soy protein isolate helps lower cholestrol levels. Weight: 25 g",25 g Pouch,g,25 g Pouch,1,1,25,25,"We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021",India,['890304806363'],['21218180001591'],https://datalabs.siva3.io/image/Eunimart_groceries_40162699_1-ahrogya-bar-millet-based-nutrition-bar-ginger-raisin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162699-2_1-ahrogya-bar-millet-based-nutrition-bar-ginger-raisin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162699-3_1-ahrogya-bar-millet-based-nutrition-bar-ginger-raisin.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat. Store in cool & dry place.,"['EAN Code: 890304806363', 'Country of origin: India', 'FSSAI Number: 21218180001591', 'Manufactured & Marketed by: We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021', 'Best to use for 31-05-2023', '","We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021",-,-,-,"Ragi, Peanut, Soya, Jaggery, Dates, Natural Resin, Milk Solids, Ginger, Raisin. Warning: Contains milk solids, peanuts.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Ah!rogya Bar,"Ah!rogya Bar Millet Based Nutrition Bar - Khus & Fig, 25 g Pouch",Millet based nutrition bar is totally natural and vegetarian. It is one of the healthy options that you can include in your day to day life. It contains 6 gm of protein and the goodness of Khus khus and fig. Reduce your hunger pangs in a healthy way with this nutrition bar. Weight: 25 g,25 g Pouch,g,25 g Pouch,1,1,25,25,"We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021",India,['8904304806349'],['21218180001591'],https://datalabs.siva3.io/image/Eunimart_groceries_40162697_1-ahrogya-bar-millet-based-nutrition-bar-khus-fig.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162697-2_1-ahrogya-bar-millet-based-nutrition-bar-khus-fig.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162697-3_1-ahrogya-bar-millet-based-nutrition-bar-khus-fig.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat. Store in cool & dry place.,"['EAN Code: 8904304806349', 'Country of origin: India', 'FSSAI Number: 21218180001591', 'Manufactured & Marketed by: We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021', 'Best to use for 31-05-2023', '","We-Mana Nutrition (OPC) Pvt Ltd, 28/1, I Cross, Srirampura, Bangalore 560021",-,-,-,"Ragi, Peanut, Soya, Jaggery, Dates, Natural Resin, Milk Solids, Khus Khus, Fig. Warning: Contains milk solids, peanuts.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Ausum Tea,"Ausum Tea Crunchy Orange Bar - Orange, Sunflower Seeds & Dates, Reduces Stress, Plant Based, 40 g","Crunchy, scrumptious functional Ausum Tea Crunchy Orange Bar is made up of natural orange chunks and sunflower seeds. It is loaded with Vitamins B and E. It is supercharged with clinically tested proprietary extracts of natural ingredients. Orange is one of the best plant sources of Vitamin C, vital for a healthy immune system. It controls blood pressure and blood sugar levels. Oranges are rich in Vitamins B6 and support the production of haemoglobin. Combined with natural, raw sunflower seeds, this Super Bar is power-packed with antioxidants and micro-nutrients. Stress Relief bars are proven to reduce perceived stress levels by 20%. With the zesty orange and the crunch from sunflower seeds, Super Bars are naturally sweetened with dates and contain no added sugar. Packs a punch with a crunch from air-popped jowar.
Benefits: It consists of all 9 important amino acids. It is powered with 1000 mg adaptogens. 100% natural & plant-based. Loaded with Vitamin B and Vitamin E. It comes in a pack of 40 gm and has a shelf life of 187 days.",40 g,g,40 g,1,1,600,600,"Ausum Food & Beverages PVT LTD - 455, 1st floor, 18th Main Rd, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560044",India,['8908010526775'],['11220334000031'],https://datalabs.siva3.io/image/Eunimart_groceries_40254274_1-ausum-tea-crunchy-orange-bar-orange-sunflower-seeds-dates-reduces-stress-plant-based.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40254274-2_1-ausum-tea-crunchy-orange-bar-orange-sunflower-seeds-dates-reduces-stress-plant-based.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40254274-3_1-ausum-tea-crunchy-orange-bar-orange-sunflower-seeds-dates-reduces-stress-plant-based.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40254274-4_1-ausum-tea-crunchy-orange-bar-orange-sunflower-seeds-dates-reduces-stress-plant-based.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40254274-5_1-ausum-tea-crunchy-orange-bar-orange-sunflower-seeds-dates-reduces-stress-plant-based.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8908010526775', 'Manufactured & marketed by: Ausum Food & Beverages PVT LTD - 455, 1st floor, 18th Main Rd, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560044', 'Fssai details:11220334000031', 'Country of Origin: India', 'Best before 04-06-2023', '","Ausum Food & Beverages PVT LTD - 455, 1st floor, 18th Main Rd, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560044",-,-,-,"Orange, Sunflower Seeds, Dates, jowar Pops, Nutritional Yeast, Toasted Wheat Germ, Pea Protein, Ashwagandha and Tulasi Extract",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Bobs Red Mill,"Bobs Red Mill Instant Rolled Oats, 907 g Pouch","These Instant Rolled Oats are made from whole grain oats, including all of the wholesome germ, bran and endosperm from the oat groat. They are kiln toasted to bring out the naturally nutty oat flavour and then rolled extra thin, so they cook super quick. They are not pre-cooked, and none of the nutritious bran has been removed. A delicious alternative to the little packets of quick oats other brands offers, without the preservatives and sugar. Weight: 907 g",907 g Pouch,g,907 g Pouch,1,1,790,790,"Bobs red mill natural food, Inc. 13521 SE Pheasant Court Milwaukie, Oregon 97222 U. S. A.",Usa,['39978031600'],['10012022000644'],https://datalabs.siva3.io/image/Eunimart_groceries_40153522_5-bobs-red-mill-instant-rolled-oats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40153522-2_6-bobs-red-mill-instant-rolled-oats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40153522-3_6-bobs-red-mill-instant-rolled-oats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40153522-4_6-bobs-red-mill-instant-rolled-oats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40153522-5_6-bobs-red-mill-instant-rolled-oats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40153522-6_1-bobs-red-mill-instant-rolled-oats.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Add in extras like chia seeds, flaxseed meal, dried fruit, nuts and seeds, whatever ingredients you love in your oatmeal, to add extra flavour and texture. Then mix with steaming hot water or microwave on high for 1 to 2 minutes. Let stand for another minute, and you have got a healthy and easy breakfast ready to go. It can also be used in baked goods like cookies, cakes and bread. Store in cool dry place. Keep refrigerated or frozen after opening.","['EAN Code: 39978031600', 'Country of origin: USA', 'FSSAI Number: 10012022000644', 'Manufacturer Name & : Bobs red mill natural food, Inc. 13521 SE Pheasant Court Milwaukie, Oregon 97222 U. S. A.', 'Imported & Marketed by: Supreme Enterprises, A3, Brindavan Society, Deonar, Mumbai-400088', 'Best before 25-02-2024', '","Supreme Enterprises, A3, Brindavan Society, Deonar, Mumbai-400088",-,-,-,Whole Grain Oats.,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Bobs Red Mill,"Bobs Red Mill Muesli - Gluten Free, 453 g","Gluten-Free Muesli is inspired by the traditional Swiss cereal developed by Dr. Maximilian Bircher-Benner. This lovely blend of gluten-free oats, dried fruits, nuts, and seeds can be enjoyed a plethora of ways: with yoghurt, milk, or juice, hot or cold, straight out of the bag or soaked overnight. Our fantastic muesli recipe is a tasty blend of lightly toasted whole grains, oats, brown rice crisps, raisins, dried apples and cranberries, sunflower seeds, almonds, pumpkin seeds and coconut flakes. ItÇs unprocessed and has less sugar than granola. The end result is a highly nutritious cereal centered on whole grains thatÇs addictively tasty to boot! Weight: 453 g",453 g,g,453 g,1,1,1125,1125,"Bobs Red Mill Natural Foods, Inc -13521 SE Pheasant Court Milwaukie Oregon 97222, USA",Usa,['6052278003669'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40123291_6-bobs-red-mill-muesli-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40123291-2_6-bobs-red-mill-muesli-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40123291-3_6-bobs-red-mill-muesli-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40123291-4_6-bobs-red-mill-muesli-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40123291-5_5-bobs-red-mill-muesli-gluten-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Enjoy in different ways - cold as a breakfast cereal, hot like oatmeal, or the traditional Swiss wayÇìmixed with yogurt and grated apple and soaked in the refrigerator overnight. 1 and 1/2 cups puffed buckwheat, 1 cup puffed amaranth, 1 cup quinoa flakes, 1 cup shredded coconut, 1 cup Sulphur-free sultanas, 1 cup almonds, roughly chopped, 1/2 cup goji berries, 1/2 cup pepitas, 1/2 cup sunflower seeds. How to make it: Place all ingredients into a large bowl and mix. Store in air-tight containers. Serve with yoghurt, berries, milk or fruit. Store in cool, dry place.","['EAN Code: 6052278003669', 'Manufacturer Name & : Bobs Red Mill Natural Foods, Inc -13521 SE Pheasant Court Milwaukie Oregon 97222, USA', 'Marketed By: Supreme Enterprises A-3 Brindavan Society (Deonar Farm Road)Deonar Mumbai-400108', 'Country of origin: USA', 'Best to use for 29-08-2023', '",Supreme Enterprises A-3 Brindavan Society (Deonar Farm Road)Deonar Mumbai-400108,-,-,-,"Whole Grain Oats, Raisins, Almonds, Sunflower Seeds, Dried Cranberries, Brown Rice Crisps, Dried Apples, Coconut and Pumpkin Seeds. Allergen information: Gluten free, Dairy free",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Bobs Red Mill,"Bobs Red Mill Oatmeal - Scottish, 566 g","This Oatmeal originated in Scotland centuries ago and was different from our modern rolled oats. Our Organic Scottish Oatmeal is created using the same old-world methods used in ancient Scotland. The oat groats are stone ground, rather than rolled, resulting in a smooth, creamy bowl of oatmeal thatÇs unique among breakfast cereals. It is suitable for people who have high sugar levels. It's an excellent breakfast option. Contains Vitamins B and E. Great source of proteins. It retains germ, fibre and oil of the oats. It's Gluten Free and preservative free. Weight: 567 g",566 g,g,566 g,1,1,540,270,"Bobs Red Mill Natural Foods, Inc -13521 SE Pheasant Court Milwaukie Oregon 97222, USA",U S A,['39978401212'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40123285_5-bobs-red-mill-oatmeal-scottish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40123285-2_5-bobs-red-mill-oatmeal-scottish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40123285-3_5-bobs-red-mill-oatmeal-scottish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40123285-4_5-bobs-red-mill-oatmeal-scottish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40123285-5_4-bobs-red-mill-oatmeal-scottish.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Bring water and salt to a boil. Add organic Scottish oatmeal, reduce heat and cook 10-15 min. Stir occasionally. Cover and remove from heat and let stand a few min. Storage: Store in a cool dry place. Keeps best refrigerated or frozen after opening.","['EAN Code: 39978401212', 'Manufacturer Name & : Bobs Red Mill Natural Foods, Inc -13521 SE Pheasant Court Milwaukie Oregon 97222, USA', 'Marketed By: Supreme Enterprises A-3 Brindavan Society (Deonar Farm Road)Deonar Mumbai-400102', 'Country of origin:U. S. A', 'Best to use for 25-02-2024', '",Supreme Enterprises A-3 Brindavan Society (Deonar Farm Road)Deonar Mumbai-400102,-,-,-,Whole Grain Oats Allergen information: Gluten free,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Bobs Red Mill,"Bobs Red Mill Rolled Oats - Gluten Free, 907 g","Rolled oats are traditionally oat groats that have been de-husked, steamed and then rolled into flat flakes under heavy rollers before being stabilized by being lightly toasted. The oat, like the other cereals, has a hard, inedible outer husk that must be removed before the grain can be eaten. After the outer husk (or chaff) has been removed from the still bran-covered oat grains, the remainder is called oat groats. Oat groats are a whole grain that can be used as a breakfast cereal; various forms of oatmeal and rolled oats, and pinhead oats are cooked to make porridge. Our Gluten Free Old Fashioned Rolled Oats make a deliciously hearty, wholesome hot cereal that gives you lasting energy. To ensure that these oats maintain their gluten free integrity, we handle them with care in our dedicated gluten free facility. At last, oats that people with celiac disease or gluten intolerance can enjoy, too. 100% Natural, No added preservatives. Weight: 907 g",907 g,g,907 g,1,1,1050,1050,"Bob's Red Mill Natural Foods, Inc #13521 SE Pheasant Court Milwaukie.Oregon-97222 USA",Usa,['39978033758'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40042972_6-bobs-red-mill-rolled-oats-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042972-2_8-bobs-red-mill-rolled-oats-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042972-3_8-bobs-red-mill-rolled-oats-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042972-4_8-bobs-red-mill-rolled-oats-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042972-5_8-bobs-red-mill-rolled-oats-gluten-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Used as Breakfast supplement, along with milk, can be cooked as porridge. Storage: Store in a cool dry place. Keeps best refrigerated or frozen after opening.","['EAN Code: 39978033758', ""Manufactured by: Bob's Red Mill Natural Foods, Inc #13521 SE Pheasant Court Milwaukie.Oregon-97222 USA"", 'Marketed by: Supreme Enterprises A3 Brindavan Society Deonar.Mumbai-400090', 'Country of Origin: USA', 'Best before 30-11-2023', '",Supreme Enterprises A3 Brindavan Society Deonar.Mumbai-400090,-,-,-,Rolled Oats,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,Bobs Red Mill,"Bobs Red Mill Steel Cut Oats, 623 g","Steel-cut oats (pinhead oatmeal) are oat groats that have been chopped into smaller pieces before any steaming and thus retain bits of the bran layer. Since the bran layer, though nutritious, makes the grains tough to chew and contains an enzyme that can cause the oats to go rancid, raw oat groats are often further steam-treated to soften them for quicker cooking time (modern ""quick oats"") and to denature the enzymes for longer shelf life. HEARTY TEXTURE: Also known as Irish oats or pinhead oats, steel cut oats have a firmer ÇúbiteÇù than traditional rolled oats, and can also be used in savory dishes like risotto, pilaf, dumplings, arancini and more! NON-GMO: Non-GMO Project Verified; weÇve always been committed to sourcing raw materials that are not modified through genetic engineering. No added preservatives, 100% natural. Weight: 623 g",623 g,g,623 g,1,1,615,584.25,"Bob's Red Mill Natural Foods, Inc #13521 SE Pheasant Court Milwaukie.Oregon-97222 USA",Usa,['39978031907'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40042973_3-bobs-red-mill-steel-cut-oats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042973-2_3-bobs-red-mill-steel-cut-oats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042973-3_3-bobs-red-mill-steel-cut-oats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042973-4_3-bobs-red-mill-steel-cut-oats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042973-5_3-bobs-red-mill-steel-cut-oats.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Used as Breakfast supplement, along with milk, can be cooked as porridge. Storage: Store in a cool dry place. Keeps best refrigerated or frozen after opening.","['EAN Code: 39978031907', ""Manufactured by: Bob's Red Mill Natural Foods, Inc #13521 SE Pheasant Court Milwaukie.Oregon-97222 USA"", 'Marketed by: Supreme Enterprises A3 Brindavan Society Deonar.Mumbai-400091', 'Country of Origin: USA', 'Best before 01-03-2024', '",Supreme Enterprises A3 Brindavan Society Deonar.Mumbai-400091,-,-,-,Steel Cut Oats (Gluten Free),-,-
