L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient,Package Contains,About
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Caramel Candy Pouch - Smooth & Creamy, 351 g Pouch","Your trusted brand, Alpenliebe is known for its exceptionally smooth and creamy, melt-in-your-mouth qualities. Full of milky richness, Alpenliebe Gold is a fun-filled candy to have at any time of the day. Show your loved ones how much they mean to you by sharing Alpenliebe candies with them Alpenliebe bring hearts closer.",351 g Pouch,g Pouch,351 g Pouch,1,1,100,100,"Perfetti Van melle India Pvt Ltd., 47TH MILESTONE, DELHI-JAIPUR HIGHWAY, MANESAR-122050, GURGRAM, HARYANA.",India,['8901393024494'],['10012064000100'],https://datalabs.siva3.io/image/Eunimart_groceries_40159655_4-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-2_5-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-3_5-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-4_5-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-5_5-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-6_2-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-7_1-alpenliebe-gold-caramel-candy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901393024494'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10012064000100'}, {'Manufactured & Marketed By': 'Perfetti Van melle India Pvt Ltd., 47TH MILESTONE, DELHI-JAIPUR HIGHWAY, MANESAR-122050, GURGRAM, HARYANA.'}]","Perfetti Van melle India Pvt Ltd., 47TH MILESTONE, DELHI-JAIPUR HIGHWAY, MANESAR-122050, GURGRAM, HARYANA.",-,-,-,-,"Sugar, Liquid Glucose, Sweetened Condensed Milk (13%), Hydrogenated Vegetable Oil, Edible, Common Salt (Iodized), Milk Fat, Dextrose, Cream(Low Fat) (0.38%), Emulsifier (Ins 322), Stabilizer(Ins 1405), Acidity Regulators (Ins 270, Ins 325, Ins 500 (Ii)), Malt Extract, Antioxidant (Ins 307C) Contains Added Flavour (Nature-Identical Flavouring Substances)",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Caramel Candy Pouch - Smooth & Creamy, 351 g Pouch","Your trusted brand, Alpenliebe is known for its exceptionally smooth and creamy, melt-in-your-mouth qualities. Full of milky richness, Alpenliebe Gold is a fun-filled candy to have at any time of the day. Show your loved ones how much they mean to you by sharing Alpenliebe candies with them Alpenliebe bring hearts closer.",351 g Pouch,g Pouch,351 g Pouch,1,1,100,100,"Perfetti Van melle India Pvt Ltd., 47TH MILESTONE, DELHI-JAIPUR HIGHWAY, MANESAR-122050, GURGRAM, HARYANA.",India,['8901393024494'],['10012064000100'],https://datalabs.siva3.io/image/Eunimart_groceries_40159655_4-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-2_5-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-3_5-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-4_5-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-5_5-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-6_2-alpenliebe-gold-caramel-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159655-7_1-alpenliebe-gold-caramel-candy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901393024494'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10012064000100'}, {'Manufactured & Marketed By': 'Perfetti Van melle India Pvt Ltd., 47TH MILESTONE, DELHI-JAIPUR HIGHWAY, MANESAR-122050, GURGRAM, HARYANA.'}]","Perfetti Van melle India Pvt Ltd., 47TH MILESTONE, DELHI-JAIPUR HIGHWAY, MANESAR-122050, GURGRAM, HARYANA.",-,-,-,-,"Sugar, Liquid Glucose, Sweetened Condensed Milk (13%), Hydrogenated Vegetable Oil, Edible, Common Salt (Iodized), Milk Fat, Dextrose, Cream(Low Fat) (0.38%), Emulsifier (Ins 322), Stabilizer(Ins 1405), Acidity Regulators (Ins 270, Ins 325, Ins 500 (Ii)), Malt Extract, Antioxidant (Ins 307C) Contains Added Flavour (Nature-Identical Flavouring Substances)",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Cream Strawberry Candy - Smooth & Creamy, 342 g (90 pcs)","Your trusted brand, Alpenliebe is known for its exceptionally smooth and creamy strawberry flavour, melt-in-your-mouth qualities. Full of milky richness, Alpenliebe Gold is a fun-filled candy to have at any time of the day. Show your loved ones how much they mean to you by sharing Alpenliebe candies with them Alpenliebe - bring hearts closer. Enjoy an all-new Alpenliebe with the richness of strawberry flavour, which leaves your taste buds wishing for more.",342 g (90 pcs),g ( pcs),342 g (90 pcs),90,1,105,105,"Perfetti Van Malle, 47th Milestone, Delhi - Jaipur Highway, Village - Manesar. Gurgaon - 122050, Haryana.",India,['40107656'],['10012064000100'],https://datalabs.siva3.io/image/Eunimart_groceries_40107656_11-alpenliebe-gold-cream-strawberry-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40107656-2_13-alpenliebe-gold-cream-strawberry-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40107656-3_12-alpenliebe-gold-cream-strawberry-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40107656-4_11-alpenliebe-gold-cream-strawberry-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40107656-5_8-alpenliebe-gold-cream-strawberry-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40107656-6_8-alpenliebe-gold-cream-strawberry-candy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40107656-7_1-alpenliebe-gold-cream-strawberry-candy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Alpenliebe is known for its exceptionally smooth and creamy with strawberry flavour, melt-in-your-mouth qualities.","[{'EAN Code': '40107656'}, {'Country Of Origin': 'India'}, {'FSSAI Number': '10012064000100'}, {'Manufactured & Marketed By': 'Perfetti Van Malle, 47th Milestone, Delhi - Jaipur Highway, Village - Manesar. Gurgaon - 122050, Haryana.'}]","Perfetti Van Malle, 47th Milestone, Delhi - Jaipur Highway, Village - Manesar. Gurgaon - 122050, Haryana.",-,-,-,-,Strawberry flavoured attractive candies with an attractive swirl on top.,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Creamfills - Butter Toffee, 2x152 g 40 pcs (Multipack)","Your trusted brand, Alpenliebe is known for its rich milky qualities. Alpenliebe Creamfills Butter toffee gives you a ‚wonderful surprise when you eat it, where initially you relish the caramel candy and are then delighted by the surprise of the creamy filling inside. The milky taste provides a lingering rich experience. Caramel toffee with a tinge of butter at its core, Alpenliebe Creamfills is a fun-filled candy to have at any time of the day and enjoy with friends and family. The rich and creamy taste makes it a favourite among kids and grown-ups alike. Show your loved ones how much they mean to you by sharing Alpenliebe candies with them. Alpenliebe brings hearts closer.",2x152 g 40 pcs (Multipack),g Multipack,2x152 g 40 pcs (Multipack),40,1,100,100,"Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",India,['1222127'],['10012012000057'],https://datalabs.siva3.io/image/Eunimart_groceries_222127_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222127-2_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222127-3_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222127-4_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222127-5_1-alpenliebe-creamfills-butter-toffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1222127'}, {'FSSAI No': '10012012000057'}, {'Manufactured & Marketed by': 'Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002'}, {'Country of origin': 'India'}]","Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",-,-,-,-,"Sugar, Liquid Glucose, Sweetened Condensed Milk, Hydrogenated Vegetable Oil, Butter Fat, Edible Common Salt, Emulsifier, Cream (Low Fat), and Acidity Regulators.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Creamfills - Butter Toffee, 3x152 g Multipack","Your trusted brand, Alpenliebe is known for its rich milky qualities. Alpenliebe Creamfills Butter toffee gives you a wonderful surprise when you eat it, where initially you relish the caramel candy and are then delighted by the surprise of creamy filling inside. The milky taste provides a lingering rich experience. Caramel toffee with a tinge of butter at its core, Alpenliebe Creamfills is a fun-filled candy to have at any time of the day and enjoy with friends and family. The rich and creamy taste makes it a favourite among kids and grown-ups alike.",3x152 g Multipack,g Multipack,3x152 g Multipack,1,1,150,150,"Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",India,['1221582'],['10012012000057'],https://datalabs.siva3.io/image/Eunimart_groceries_221582_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-2_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-3_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-4_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-5_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-6_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-7_1-alpenliebe-creamfills-butter-toffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1221582'}, {'FSSAI No': '10012012000057'}, {'Manufactured & Marketed by': 'Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002'}, {'Country of origin': 'India'}]","Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",-,-,-,-,"Sugar, Liquid Glucose, Sweetened Condensed Milk, Hydrogenated Vegetable Oil, Milk Fat, Edible Common Salt, Emulsifier, Cream (Low Fat). Contains Permitted Natural Colour (INS 150D) And Added Flavour (Nature-Identical Flavouring Substances).",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Creamfills - Butter Toffee, 3x152 g Multipack","Your trusted brand, Alpenliebe is known for its rich milky qualities. Alpenliebe Creamfills Butter toffee gives you a wonderful surprise when you eat it, where initially you relish the caramel candy and are then delighted by the surprise of creamy filling inside. The milky taste provides a lingering rich experience. Caramel toffee with a tinge of butter at its core, Alpenliebe Creamfills is a fun-filled candy to have at any time of the day and enjoy with friends and family. The rich and creamy taste makes it a favourite among kids and grown-ups alike.",3x152 g Multipack,g Multipack,3x152 g Multipack,1,1,150,150,"Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",India,['1221582'],['10012012000057'],https://datalabs.siva3.io/image/Eunimart_groceries_221582_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-2_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-3_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-4_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-5_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-6_1-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_221582-7_1-alpenliebe-creamfills-butter-toffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1221582'}, {'FSSAI No': '10012012000057'}, {'Manufactured & Marketed by': 'Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002'}, {'Country of origin': 'India'}]","Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",-,-,-,-,"Sugar, Liquid Glucose, Sweetened Condensed Milk, Hydrogenated Vegetable Oil, Milk Fat, Edible Common Salt, Emulsifier, Cream (Low Fat). Contains Permitted Natural Colour (INS 150D) And Added Flavour (Nature-Identical Flavouring Substances).",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Creamfills - Butter Toffee, 40 pcs (152 g)","Your trusted brand, Alpenliebe is known for its rich milky qualities. Alpenliebe Creamfills Butter toffee gives you a ‚wonderful surprise when you eat it, where initially you relish the caramel candy and are then delighted by the surprise of creamy filling inside. The milky taste provides a lingering rich experience. Caramel toffee with a tinge of butter at its core, Alpenliebe Creamfills is a fun-filled candy to have at any time of the day and enjoy with friends and family. The rich and creamy taste makes it a favourite among kids grown-ups alike.",40 pcs (152 g),pcs ( g),40 pcs (152 g),40,1,50,50,"Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",India,['8901393024401'],['10012012000057'],https://datalabs.siva3.io/image/Eunimart_groceries_40016439_9-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-2_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-3_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-4_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-5_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-6_4-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-7_4-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-8_2-alpenliebe-creamfills-butter-toffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901393024401'}, {'FSSAI No': '10012012000057'}, {'Manufactured & Marketed by': 'Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002'}, {'Country of origin': 'India'}]","Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",-,-,-,-,"Sugar, Liquid Glucose, Sweetened Condensed Milk, Hydrogenated Vegetable Oil, Butter Fat, Edible Common Salt, Emulsifier, Cream (Low Fat), Acidity Regulators.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Creamfills - Butter Toffee, 40 pcs (152 g)","Your trusted brand, Alpenliebe is known for its rich milky qualities. Alpenliebe Creamfills Butter toffee gives you a ‚wonderful surprise when you eat it, where initially you relish the caramel candy and are then delighted by the surprise of creamy filling inside. The milky taste provides a lingering rich experience. Caramel toffee with a tinge of butter at its core, Alpenliebe Creamfills is a fun-filled candy to have at any time of the day and enjoy with friends and family. The rich and creamy taste makes it a favourite among kids grown-ups alike.",40 pcs (152 g),pcs ( g),40 pcs (152 g),40,1,50,50,"Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",India,['8901393024401'],['10012012000057'],https://datalabs.siva3.io/image/Eunimart_groceries_40016439_9-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-2_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-3_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-4_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-5_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-6_4-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-7_4-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-8_2-alpenliebe-creamfills-butter-toffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901393024401'}, {'FSSAI No': '10012012000057'}, {'Manufactured & Marketed by': 'Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002'}, {'Country of origin': 'India'}]","Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",-,-,-,-,"Sugar, Liquid Glucose, Sweetened Condensed Milk, Hydrogenated Vegetable Oil, Butter Fat, Edible Common Salt, Emulsifier, Cream (Low Fat), Acidity Regulators.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Creamfills - Butter Toffee, 40 pcs (152 g)","Your trusted brand, Alpenliebe is known for its rich milky qualities. Alpenliebe Creamfills Butter toffee gives you a ‚wonderful surprise when you eat it, where initially you relish the caramel candy and are then delighted by the surprise of creamy filling inside. The milky taste provides a lingering rich experience. Caramel toffee with a tinge of butter at its core, Alpenliebe Creamfills is a fun-filled candy to have at any time of the day and enjoy with friends and family. The rich and creamy taste makes it a favourite among kids grown-ups alike.
Show your loved ones how much they mean to you by sharing Alpenliebe candies with them. Alpenliebe bring hearts closer.",40 pcs (152 g),pcs ( g),40 pcs (152 g),40,1,50,50,"Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",India,['8901393024401'],['10012012000057'],https://datalabs.siva3.io/image/Eunimart_groceries_40016439_9-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-2_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-3_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-4_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-5_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-6_4-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-7_4-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-8_2-alpenliebe-creamfills-butter-toffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901393024401'}, {'FSSAI No': '10012012000057'}, {'Manufactured & Marketed by': 'Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002'}, {'Country of origin': 'India'}]","Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",-,-,-,-,"Sugar, Liquid Glucose, Sweetened Condensed Milk, Hydrogenated Vegetable Oil, Butter Fat, Edible Common Salt, Emulsifier, Cream (Low Fat), Acidity Regulators.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-13,ALPENLIEBE,"ALPENLIEBE Creamfills - Butter Toffee, 40 pcs (152 g)","Your trusted brand, Alpenliebe is known for its rich milky qualities. Alpenliebe Creamfills Butter toffee gives you a ‚wonderful surprise when you eat it, where initially you relish the caramel candy and are then delighted by the surprise of creamy filling inside. The milky taste provides a lingering rich experience. Caramel toffee with a tinge of butter at its core, Alpenliebe Creamfills is a fun-filled candy to have at any time of the day and enjoy with friends and family. The rich and creamy taste makes it a favourite among kids grown-ups alike.
Show your loved ones how much they mean to you by sharing Alpenliebe candies with them. Alpenliebe bring hearts closer.",40 pcs (152 g),pcs ( g),40 pcs (152 g),40,1,50,50,"Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",India,['8901393024401'],['10012012000057'],https://datalabs.siva3.io/image/Eunimart_groceries_40016439_9-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-2_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-3_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-4_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-5_6-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-6_4-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-7_4-alpenliebe-creamfills-butter-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40016439-8_2-alpenliebe-creamfills-butter-toffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901393024401'}, {'FSSAI No': '10012012000057'}, {'Manufactured & Marketed by': 'Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002'}, {'Country of origin': 'India'}]","Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002",-,-,-,-,"Sugar, Liquid Glucose, Sweetened Condensed Milk, Hydrogenated Vegetable Oil, Butter Fat, Edible Common Salt, Emulsifier, Cream (Low Fat), Acidity Regulators.",-,-,-
