L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Beaten Coffee Mix - Rich, Creamy, Refreshing & Strong, 12 g (15 Sachets x 12 g Each)","Pheti coffee is the epitome of the perfect cup of creamy coffee. Alas! ItÇs painstaking to make Çì you need to beat coffee & sugar in perfect proportions, for minutes on end, to get the perfect blend of taste, creaminess and froth. But, what if you could make an exquisite cup of ÇphetiÇ coffee in 10 seconds and with no effort at all? The House of Bru has been bringing you a range of coffee to suit all your coffee needs for the last 50 years.
We now bring you a specially crafted Beaten Coffee Mix, ready to be whipped up in 10 seconds and designed to delight! Melt into the deliciousness of rich, creamy Pheti coffee. Relish each sip and let the cloud of frothy indulgence that has Bru beaten coffee mix envelope you. Share the rich moment with a loved one!",12 g (15 Sachets x 12 g Each),g,12 g (15 Sachets x 12 g Each),15,1,375,350,"Rohini Packer, No 19/3, 9th Mile, Basapura Village, Hosur Road, Electronic City Post, Bangalore Urban, 560100 Karnataka.",India,['40259343'],['10012043000249'],https://datalabs.siva3.io/image/Eunimart_groceries_40259343_1-bru-beaten-coffee-mix-rich-creamy-refreshing-strong.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259343-2_1-bru-beaten-coffee-mix-rich-creamy-refreshing-strong.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259343-3_1-bru-beaten-coffee-mix-rich-creamy-refreshing-strong.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259343-4_1-bru-beaten-coffee-mix-rich-creamy-refreshing-strong.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259343-5_1-bru-beaten-coffee-mix-rich-creamy-refreshing-strong.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259343-6_1-bru-beaten-coffee-mix-rich-creamy-refreshing-strong.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259343-7_1-bru-beaten-coffee-mix-rich-creamy-refreshing-strong.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259343-8_1-bru-beaten-coffee-mix-rich-creamy-refreshing-strong.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Boil 1 cup of milk (150ml).
Empty 1 sachet, pour half of the milk from height and stir it gently.
Add the rest of the milk from height and stir.
Relish your cup of beaten tea.","[{'EAN Code': '40259343'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10012043000249'}, {'Manufactured by': 'Rohini Packer, No 19/3, 9th Mile, Basapura Village, Hosur Road, Electronic City Post, Bangalore Urban, 560100 Karnataka.'}, {'Marketed by': 'Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099'}, {'","Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",-,-,-,-,"Sugar, Non Dairy Based Beverage Whitener (Glucose Syrup, Hydrogenated Palm Kernel Oil, Milk Solids, Stabiliser - E340 ii, Emulsifier - E472e), Instant Coffee-Chicory Mixture, Thickener - E1440, Nature Identical Flavouring Substances.",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Filter Coffee - Green Label, 500 g","Loved by consumers since 1962, Bru Green Label Coffee is Indias first packaged filter coffee with a perfect mix of 53% coffee and 47% chicory. Its lightly roasted ground coffee beans give out a perfect decoction for a rich & smooth flavourful cup that helps rejuvenate your senses. The nitro flush packaging retains its fresh flavour and aroma providing rich tasteful notes. Kick-start your day with a cup of fresh and aromatic Bru Green Label Coffee. So filter a cup, unwind and relax as you enjoy the coffee breaks you deserve. Buy Bru Green Label Coffee now, right here.
ABOUT BRU: A part of Hindustan Unilever ltd., BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, Bru has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.",500 g,g,500 g,1,1,200,172,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",India,['8901030609091'],-,https://datalabs.siva3.io/image/Eunimart_groceries_262799_24-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-2_8-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-3_9-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-4_7-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-5_7-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-6_1-bru-filter-coffee-green-label.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Take 2 tsp of Bru green label coffee in a filter. Add 50 ml of hot water into the filter. Wait 15 mins for decoction. Mix with hot milk and sugar to taste.,"[{'EAN Code': '8901030609091'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099'}]",-,-,-,-,-,"53% Coffee Beans, 47% Chicory",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Filter Coffee - Green Label, 500 g","Loved by consumers since 1962, Bru Green Label Coffee is Indias first packaged filter coffee with a perfect mix of 53% coffee and 47% chicory. Its lightly roasted ground coffee beans give out a perfect decoction for a rich & smooth flavourful cup that helps rejuvenate your senses. The nitro flush packaging retains its fresh flavour and aroma providing rich tasteful notes. Kick-start your day with a cup of fresh and aromatic Bru Green Label Coffee. So filter a cup, unwind and relax as you enjoy the coffee breaks you deserve. Buy Bru Green Label Coffee now, right here.
ABOUT BRU: A part of Hindustan Unilever ltd., BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, Bru has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.",500 g,g,500 g,1,1,200,172,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",India,['8901030609091'],-,https://datalabs.siva3.io/image/Eunimart_groceries_262799_24-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-2_8-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-3_9-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-4_7-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-5_7-bru-filter-coffee-green-label.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_262799-6_1-bru-filter-coffee-green-label.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Take 2 tsp of Bru green label coffee in a filter. Add 50 ml of hot water into the filter. Wait 15 mins for decoction. Mix with hot milk and sugar to taste.,"[{'EAN Code': '8901030609091'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099'}]",-,-,-,-,-,"53% Coffee Beans, 47% Chicory",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Gold Coffee - 100% Pure, Rich In Taste & Aroma, 200 g Pouch","BRU Gold Coffee is the perfect way to start your day in the best possible way. BRU Instant Coffee was IndiaÇs first coffee-chicory mix instant coffee. Since then we've been capturing people's hearts and kitchens with everyone's favourite coffee. Bru Gold is granulated coffee that is 100% pure and is rich in taste and aroma. Bru Gold Coffee is made from coffee beans handpicked from South Indian plantations. Every sip of this frothy coffee will leave you feeling refreshed and energetic. Make it hot or cold, anyway, you like it. Check out our other products like BRU Green Label and BRU Select Filter coffee and BRU Instant and BRU Gold Instant coffee only on BigBasket.",200 g Pouch,g,200 g Pouch,1,1,570,570,"Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",India,['40266030'],['10012043000249'],https://datalabs.siva3.io/image/Eunimart_groceries_40266030_1-bru-gold-coffee-100-pure-rich-in-taste-aroma.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40266030-2_1-bru-gold-coffee-100-pure-rich-in-taste-aroma.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40266030-3_1-bru-gold-coffee-100-pure-rich-in-taste-aroma.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40266030-4_1-bru-gold-coffee-100-pure-rich-in-taste-aroma.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40266030-5_1-bru-gold-coffee-100-pure-rich-in-taste-aroma.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Hot Coffee - 
Put Bru Gold powder in a cup.
Add 100 ml hot milk and sugar to taste.
Stir well and relish a great-tasting cup of Bru Gold.
Recommended dosage: 2g of Cold Coffee
Add 1/2 tsp. of Bru Gold powder to 170 ml of chilled milk.
Add sugar to taste.
Blend/shake to get a good froth.
Enjoy a delicious cup of Bru Gold Cold Coffee.","[{'EAN Code': '40266030'}, {'FSSAI No': '10012043000249'}, {'Manufactured & Marketed by': 'Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099'}, {'Country of origin': 'India'}]","Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",-,-,-,-,-,Soluble Coffee Powder
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Gold Premium Freeze Dried Coffee - 100% Pure, Strong, Intense Aromatic, 100 g","Bru Gold Premium Freeze Dried Intense Aromatic Instant Coffee is the perfect way to start your day in the best possible way. BRU Instant Coffee was IndiaÇs first coffee-chicory mix instant coffee. Since then we've been capturing people's hearts and kitchens with everyone's favourite coffee. Bru Gold Premium Freeze Dried Intense Aromatic Instant Coffee is granulated coffee that is 100% pure and rich in taste and aroma. Bru Gold Premium Coffee is made from freeze-dried aromatic beans to bring you a superior taste. Every sip of this frothy coffee will leave you feeling refreshed and energetic. Make it hot or cold, anyway, you like it. Check out our other products like BRU Green Label and BRU Select Filter coffee and BRU Instant and BRU Gold Instant coffee only on BigBasket.",100 g,g,100 g,1,1,475,380,"HINDUSTAN UNILEVER LIMITED (HUL), UNILEVER HOUSE, B. D. SAWANT MARG, CHAKALA, ANDHERI (E), MUMBAI 400 099, MAHARASHTRA.",India,['8901030916038'],['10018042004059'],https://datalabs.siva3.io/image/Eunimart_groceries_40275722_3-bru-gold-premium-freeze-dried-coffee-100-pure-strong-intense-aromatic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275722-2_3-bru-gold-premium-freeze-dried-coffee-100-pure-strong-intense-aromatic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275722-3_3-bru-gold-premium-freeze-dried-coffee-100-pure-strong-intense-aromatic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275722-4_3-bru-gold-premium-freeze-dried-coffee-100-pure-strong-intense-aromatic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275722-5_2-bru-gold-premium-freeze-dried-coffee-100-pure-strong-intense-aromatic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275722-6_2-bru-gold-premium-freeze-dried-coffee-100-pure-strong-intense-aromatic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275722-7_2-bru-gold-premium-freeze-dried-coffee-100-pure-strong-intense-aromatic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275722-8_1-bru-gold-premium-freeze-dried-coffee-100-pure-strong-intense-aromatic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275722-9_1-bru-gold-premium-freeze-dried-coffee-100-pure-strong-intense-aromatic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"100% pure Coffee
Freeze-dried
Strong and flavourful","Put one teaspoon of Bru Gold Granules in a cup.
Add hot water and/or milk.
Add sugar to taste, stir well & enjoy the intense coffee taste of Bru Gold!","[{'EAN Code': '8901030916038'}, {'FSSAI No': '10018042004059'}, {'Manufactured & Marketed by': 'HINDUSTAN UNILEVER LIMITED (HUL), UNILEVER HOUSE, B. D. SAWANT MARG, CHAKALA, ANDHERI (E), MUMBAI 400 099, MAHARASHTRA.'}, {'Country of origin': 'India'}]","HINDUSTAN UNILEVER LIMITED (HUL), UNILEVER HOUSE, B. D. SAWANT MARG, CHAKALA, ANDHERI (E), MUMBAI 400 099, MAHARASHTRA.",-,-,-,-,Soluble Coffee Powder,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Instant Coffee - Chicory Mix, Fresh, Aromatic, No Preservatives, 500 g","Bru instant coffee was launched in 1968 and was India's first coffee- chicory mix instant coffee. It has remained India's no. 1 coffee brand since then. It is made from a fine blend of the choicest plantation and robusta beans. These coffee beans are first roasted to perfection then the new & enhanced process ensures that the fresh coffee aroma is preserved so that you get a rich coffee taste beyond compare. Bru instant coffee can be used to make an aromatic cup of hot coffee as well as a refreshing glass of cold coffee. With Bru instant, you can now discover a great coffee experience with your loved ones. Buy now!
About Bru, a part of Hindustan Unilever Ltd. Bru coffee is India's largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, Bru has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and freshly roasted, to serve a great cup of rich, irresistible coffee. Bru has four distinct offerings Çì Bru instant and Bru gold in instant coffee, Bru green label and Bru select in filter coffee. Bru-ed with love and blended with passion, Bru coffee celebrates authenticity in coffee and relationships.",500 g,g,500 g,1,1,850,850,"( A ) ABISHEK ENTERPRISES, 93/2A, ARUPPUKOTTAI ROAD, VIRUDHUNAGAR - 626 001, TN. FSSAI LIC. No. 10012042000637.",India,['8901030922716'],[10013022001897],https://datalabs.siva3.io/image/Eunimart_groceries_40247228_2-bru-instant-coffee-chicory-mix-fresh-aromatic-no-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247228-2_2-bru-instant-coffee-chicory-mix-fresh-aromatic-no-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247228-3_2-bru-instant-coffee-chicory-mix-fresh-aromatic-no-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247228-4_2-bru-instant-coffee-chicory-mix-fresh-aromatic-no-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247228-5_2-bru-instant-coffee-chicory-mix-fresh-aromatic-no-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247228-6_2-bru-instant-coffee-chicory-mix-fresh-aromatic-no-preservatives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247228-7_2-bru-instant-coffee-chicory-mix-fresh-aromatic-no-preservatives.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Put 1 teaspoon of Bru instant powder in a cup.
Add hot water and/or milk.
Add sugar to taste, stir well & enjoy a great cup of Bru.
Add hot water and/ milk.
Add sugar to taste, stir well & enjoy a great tasting cup of Bru.","[{'EAN Code': '8901030922716'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10013022001897'}, {'Manufactured by': '( A ) ABISHEK ENTERPRISES, 93/2A, ARUPPUKOTTAI ROAD, VIRUDHUNAGAR - 626 001, TN. FSSAI LIC. No. 10012042000637.'}, {'Marketed by': 'Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099'}, {'","Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",-,-,-,-,"Instant Coffee Chicory Mixture, Coffee 70%, Chicory 30%.",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Instant Coffee Chicory Decoction - Ready To Use, Strong, Flavourful, 200 ml","Bru Instant Coffee Chicory Decoction is the perfect way to enjoy delicious and strong Filter Coffee within minutes. Explore and enjoy the bold taste of aromatic and roasted instantly soluble coffee in its pure form. Savour the smooth, well-balanced flavour in an instant with this classic coffee decoction. This pack of heavenly goodness is crafted with ethically grown and sourced, high-quality coffee beans from around the world. It's never been easier to get a rich cup of coffee before! Check out our other products like BRU Green Label and BRU Select Filter coffee and BRU Instant and BRU Gold Instant coffee only on BigBasket.",200 ml,ml,200 ml,1,1,200,165,"HINDUSTAN UNILEVER LIMITED (HUL), UNILEVER HOUSE, B. D. SAWANT MARG, CHAKALA, ANDHERI (E), MUMBAI 400 099, MAHARASHTRA.",India,['40275723'],['10021043000349'],https://datalabs.siva3.io/image/Eunimart_groceries_40275723_1-bru-instant-coffee-chicory-decoction-ready-to-use-strong-flavourful.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275723-2_1-bru-instant-coffee-chicory-decoction-ready-to-use-strong-flavourful.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275723-3_1-bru-instant-coffee-chicory-decoction-ready-to-use-strong-flavourful.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275723-4_1-bru-instant-coffee-chicory-decoction-ready-to-use-strong-flavourful.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275723-5_1-bru-instant-coffee-chicory-decoction-ready-to-use-strong-flavourful.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275723-6_1-bru-instant-coffee-chicory-decoction-ready-to-use-strong-flavourful.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"100% pure Coffee
Ready to use
Strong and flavourful","Add 10 ml of Bru Instant Decoction into a cup.
Boil 80 ml of milk and pour into the cup.
Tumble the coffee into another cup to create a frothy cup of filter coffee. 
Add sugar to taste & enjoy your delicious cup of Bru Instant Decoction!","[{'EAN Code': '40275723'}, {'FSSAI No': '10021043000349'}, {'Manufactured & Marketed by': 'HINDUSTAN UNILEVER LIMITED (HUL), UNILEVER HOUSE, B. D. SAWANT MARG, CHAKALA, ANDHERI (E), MUMBAI 400 099, MAHARASHTRA.'}, {'Country of origin': 'India'}]","HINDUSTAN UNILEVER LIMITED (HUL), UNILEVER HOUSE, B. D. SAWANT MARG, CHAKALA, ANDHERI (E), MUMBAI 400 099, MAHARASHTRA.",-,-,-,-,"Water, Roasted Coffee (11.2%) & Chicory.",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Instant Coffee, 100 g","BRU Instant Coffee was launched in 1968 and was Indias first coffee-chicory mix instant coffee. It is the perfect mix of 70% coffee and 30% chicory and is made from a fine blend of the choicest plantation and Robusta beans. These coffee beans are first roasted to perfection, then the new and enhanced process ensures that the fresh coffee aroma is preserved so that you get a rich coffee taste beyond compare. Bru Instant coffee can be used to make an aromatic cup of hot coffee as well as a refreshing glass of cold coffee. With Bru Instant, you can now discover a great coffee experience with your loved ones.
ABOUT BRU
A part of Hindustan Unilever Ltd. , BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, BRU has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and are freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.",100 g,g,100 g,1,1,210,184.8,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",India,['266531'],-,https://datalabs.siva3.io/image/Eunimart_groceries_266531_18-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-2_13-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-3_13-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-4_12-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-5_11-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-6_5-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-7_5-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-8_5-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-9_5-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-10_1-bru-instant-coffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Take 1 tsp of Bru Instant Coffee in a cup. Add 100 ml milk and/or water and some sugar to taste. Stir well and enjoy a great tasting cup of Bru Instant.,"[{'EAN Code': '266531'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099'}]",-,-,-,-,-,"100 % Coffee Beans, 43% Chicory",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Instant Coffee, 100 g","BRU Instant Coffee was launched in 1968 and was Indias first coffee-chicory mix instant coffee. It is the perfect mix of 70% coffee and 30% chicory and is made from a fine blend of the choicest plantation and Robusta beans. These coffee beans are first roasted to perfection, then the new and enhanced process ensures that the fresh coffee aroma is preserved so that you get a rich coffee taste beyond compare. Bru Instant coffee can be used to make an aromatic cup of hot coffee as well as a refreshing glass of cold coffee. With Bru Instant, you can now discover a great coffee experience with your loved ones.
ABOUT BRU
A part of Hindustan Unilever Ltd. , BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, BRU has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and are freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.",100 g,g,100 g,1,1,210,184.8,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",India,['266531'],-,https://datalabs.siva3.io/image/Eunimart_groceries_266531_18-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-2_13-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-3_13-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-4_12-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-5_11-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-6_5-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-7_5-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-8_5-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-9_5-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266531-10_1-bru-instant-coffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Take 1 tsp of Bru Instant Coffee in a cup. Add 100 ml milk and/or water and some sugar to taste. Stir well and enjoy a great tasting cup of Bru Instant.,"[{'EAN Code': '266531'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099'}]",-,-,-,-,-,"100 % Coffee Beans, 43% Chicory",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-18,BRU,"BRU Instant Coffee, 200 g Pouch","BRU Instant Coffee was launched in 1968 and was Indias first coffee-chicory mix instant coffee. It is the perfect mix of 70% coffee and 30% chicory and is made from a fine blend of the choicest plantation and Robusta beans. These coffee beans are first roasted to perfection, then the new and enhanced process ensures that the fresh coffee aroma is preserved so that you get a rich coffee taste beyond compare. Bru Instant coffee can be used to make an aromatic cup of hot coffee as well as a refreshing glass of cold coffee. With Bru Instant, you can now discover a great coffee experience with your loved ones.
ABOUT BRU
A part of Hindustan Unilever Ltd. , BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, BRU has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and are freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.",200 g Pouch,g,200 g Pouch,1,1,420,299,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",India,['8901030916939'],-,https://datalabs.siva3.io/image/Eunimart_groceries_266579_25-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266579-_2-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266579-2_15-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266579-3_15-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266579-4_13-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266579-5_4-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266579-6_4-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266579-7_4-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266579-8_4-bru-instant-coffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266579-9_2-bru-instant-coffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Take 1 tsp of Bru Instant Coffee in a cup. Add 100 ml milk and/or water and some sugar to taste. Stir well and enjoy a great tasting cup of Bru Instant.,"[{'EAN Code': '8901030916939'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099'}]",-,-,-,-,-,"100 % Coffee Beans, 43% Chicory",-
