L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,Specification,From The Brand,About
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,AS CHEFS COOK,"AS CHEFS COOK Awadhi Dum Biryani Masala, 100 g","Perfect Biryani Masala: Inspired by the Persians, this biryani masala celebrates the subtlety of spices and their delicate aromas. The perfect blend of spices wrapped around long-grained rice, its proof that Indian delicacies arent always heavy on the palate. 
Biryani Masala To Make Everyday Special: Why wait till the weekend to make biryani- with this masala, you can make biryani on any day of the week. Make a single serving to celebrate a good day or impress your guests with a biryani platter even if theyve dropped in unannounced.
Versatile Biryani Masala: This biryani masala is perfect for vegetable, chicken or mutton biryani. One pack makes approximately 6 servings. 
Easy To Use Vegetarian Biryani Masala: Making a pot of the perfect biryani is as easy as 1-2-3! Parboil the rice with salt and lime for 15 minutes. Mix veggies or your choice of meats with curd & Awadhi Dum Biryani Masala in a vessel. Add a layer of rice, cover and cook over low flame for 40 minutes. 
Authentic Biryani Masala: We use only the best quality natural ingredients to create this delicious biryani masala. Our biryani masala is MSG-free and contains no added colours, preservatives or artificial flavours.",100 g,g,100 g,1,1,155,155,"As Chef Cook - PLOT NO 38, PANCHAL UDHYOG NAGAR, BHIMPORE, NANI DAMAN, DAMAN 396210.",India,['40191783'],['10013022002104'],https://datalabs.siva3.io/image/Eunimart_groceries_40191783_1-as-chefs-cook-awadhi-dum-biryani-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40191783-2_1-as-chefs-cook-awadhi-dum-biryani-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40191783-3_1-as-chefs-cook-awadhi-dum-biryani-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40191783-4_1-as-chefs-cook-awadhi-dum-biryani-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40191783-5_1-as-chefs-cook-awadhi-dum-biryani-masala.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Half boil rice with salt and lime for 15 minutes. Mix vegetable/chicken with curd, Hyderabadi Dum Biryani Masala in a vessel. Spread the half-boiled rice over the vegetable/chicken mix. Cover the vessel & cook on low flame for 40 minutes.","['EAN Code: 40191783', 'Country of origin: India', 'FSSAI NO: 10013022002104', 'Manufacturer Name & : As Chef Cook - PLOT NO 38, PANCHAL UDHYOG NAGAR, BHIMPORE, NANI DAMAN, DAMAN 396210.', 'Marketed By: Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.', 'Best Before 02-09-2023', '","Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.",-,-,-,"Onion Flacks, Oil, Green Chillies, Cumin, Fennel, Black Salt, Salt, Garlic Powder, Cardamon, Cinnamon, Green Cardamon, Staranice, Mace, Nutmeg, Clove, White Pepper, Kewada Essence, Ginger Powder",-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,AS CHEFS COOK,"AS CHEFS COOK Fiery Kolhapuri Tikka Masala, 200 g","100% Natural Spicy Tikka Masala: The umami flavours of tamarind, cumin, vinegar and garlic provide an impressive backdrop to this Maharashtrian marinade while the fiery, scorching Kolhapuri chillies steal the limelight in your mouth. 
One Masala- Many Recipes: Whether youre cooking just for the family or having guests over, this tikka masala sets a delicious tone for the evening. Not just appetizers, you can experiment with these tikkas to add a spicy flavour to salads, rolls, sandwiches and even your favourite curries. 
Authentic Maharashtrian Tikka Masala: This tikka masala is perfect for spicy vegetarian and non-vegetarian recipes. One bottle makes approximately 40 ì 50 bite-size tikkas/kebabs 
Easy To Use Vegetarian Tikka Masala: Cooking with this tikka masala is easy. It has the perfect blend of ingredients and can be added directly to the main ingredient of your dish. Coat the vegetable or meat with this masala/marinade and grill it in an oven at 180? or pan-fry for 7-10 minutes. 
Preservative-free Kolhapuri Tikka Masala: We use only the best quality natural ingredients. Our masalas are MSG-free and contain no added colours or artificial flavours. This tikka masala contains 50% less sodium as compared to other tikka masalas available in the market.",200 g,g,200 g,1,1,225,225,"As Chef Cook - PLOT NO 38, PANCHAL UDHYOG NAGAR, BHIMPORE, NANI DAMAN, DAMAN 396210.",India,['8906047441245'],['10013022002104'],https://datalabs.siva3.io/image/Eunimart_groceries_30006730_3-as-chefs-cook-fiery-kolhapuri-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006730-2_2-as-chefs-cook-fiery-kolhapuri-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006730-3_2-as-chefs-cook-fiery-kolhapuri-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006730-4_2-as-chefs-cook-fiery-kolhapuri-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006730-5_2-as-chefs-cook-fiery-kolhapuri-tikka-masala.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Simply coat the protein with any of our marinades and bake it in oven for 7-10 minutes at 180 c. You can also grill the protein, pan fry or micro- wave.","['EAN Code: 8906047441245', 'Country of origin: India', 'FSSAI NO: 10013022002104', 'Manufacturer Name & : As Chef Cook - PLOT NO 38, PANCHAL UDHYOG NAGAR, BHIMPORE, NANI DAMAN, DAMAN 396210.', 'Marketed By: Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.', 'Best Before 02-09-2023', '","Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.",-,-,-,"Water, Red Chilli, Vinegar, Asafoetida, Garlic, Onion, Tamarind, groundnut Oil, Salt, Cumin, Spices.",-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,AS CHEFS COOK,"AS CHEFS COOK Spicy Chettinad Tikka Masala, 200 g"," 100% Natural Tikka Masala: Mixing the earth, base seasonings of green chilli, curry leaves and garlic with fiery peppercorns and the crisp, clear flavours of coconut derives this piquant marinade from the exotic region of Tamil Nadu. 
 One Masala- Many Recipes: Whether youre cooking just for the family or having guests over, this tikka masala sets a delicious tone for the evening. Not just appetizers, you can experiment with these tikkas to add a spicy flavour to salads, rolls, sandwiches and even a curry. 
 Authentic Chettinad Masala: This tikka masala is perfect for spicy vegetarian and non-vegetarian recipes. One bottle makes approximately 40 ì 50 bite-size tikkas/kebabs. 
 Easy To Use Vegetarian Tikka Masala: Cooking with this masala is easy. It has the perfect blend of ingredients and can be added directly to the main ingredient of your dish. Coat the vegetable or meat with this masala/marinade and grill it in an oven at 180? or pan fry for 7-10 minutes. 
 Preservative-free Spicy Chettinad Tikka Masala: We use only the best quality natural ingredients. Our masalas are MSG-free and contain no added colours or artificial flavours. This masala contains 50% less sodium as compared to other tikka masalas available in the market.",200 g,g,200 g,1,1,225,225,"As Chef Cook - PLOT NO 38, PANCHAL UDHYOG NAGAR, BHIMPORE, NANI DAMAN, DAMAN 396210.",India,['8906047441252'],['10013022002104'],https://datalabs.siva3.io/image/Eunimart_groceries_30006731_3-as-chefs-cook-spicy-chettinad-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006731-2_1-as-chefs-cook-spicy-chettinad-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006731-3_1-as-chefs-cook-spicy-chettinad-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006731-4_1-as-chefs-cook-spicy-chettinad-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006731-5_1-as-chefs-cook-spicy-chettinad-tikka-masala.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Simply coat the protein with any of our marinades and bake it in oven for 7-10 minutes at 180 c. You can also grill the protein, pan fry or micro- wave.","['EAN Code: 8906047441252', 'Country of origin: India', 'FSSAI NO: 10013022002104', 'Manufacturer Name & : As Chef Cook - PLOT NO 38, PANCHAL UDHYOG NAGAR, BHIMPORE, NANI DAMAN, DAMAN 396210.', 'Marketed By: Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.', 'Best Before 02-09-2023', '","Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.",-,-,-,"Water, Coconut, Onion, Kokum, Garlic, Ginger, Curry Leaves, Coconut Oil, PeppeR, Asafoetida, Salt, Green Chilli.",-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,AS CHEFS COOK,"AS CHEFS COOK Tangy Vindaloo Tikka Masala, 200 g","As Chefs Cook Tangy Vindaloo Tikka Masala is made with 100% natural ingredients. It makes 40-50 bite-sized tikkas. This masala can be used for both veggies and meats. Its taste gives you an inexpressible feeling. It is quick and tasty. Now you don't have to wait for long to savour your favourite tikka, just add this tikka masala to meat or veggies, cook and serve. The marinate makes it flavourful and delicious.",200 g,g,200 g,1,1,225,225,"As Chef Cook - PLOT NO 38, PANCHAL UDHYOG NAGAR, BHIMPORE, NANI DAMAN, DAMAN 396210 & Chip Valley Foods Pvt Ltd.- Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701",India,['8906047441221'],['10018022008365'],https://datalabs.siva3.io/image/Eunimart_groceries_30006735_5-as-chefs-cook-tangy-vindaloo-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006735-2_2-as-chefs-cook-tangy-vindaloo-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006735-3_2-as-chefs-cook-tangy-vindaloo-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006735-4_2-as-chefs-cook-tangy-vindaloo-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006735-5_2-as-chefs-cook-tangy-vindaloo-tikka-masala.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30006735-6_1-as-chefs-cook-tangy-vindaloo-tikka-masala.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8906047441221', 'FSSAI No: 10018022008365', 'Manufactured & Marketed by: As Chef Cook - PLOT NO 38, PANCHAL UDHYOG NAGAR, BHIMPORE, NANI DAMAN, DAMAN 396210 & Chip Valley Foods Pvt Ltd.- Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701', 'Country of origin: INDIA', 'Best before 02-09-2023', '","As Chef Cook - PLOT NO 38, PANCHAL UDHYOG NAGAR, BHIMPORE, NANI DAMAN, DAMAN 396210 & Chip Valley Foods Pvt Ltd.- Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701",-,-,-,"Water, Tamarind, Red Chilli, Onion, Garlic, Vinegar, Ginger, Salt, Cumin, Clove, Pepper, Star Anise (0.7%), Cinnamon.",-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,American Garden,"American Garden Bread Crumbs - Plain, 425 g","American garden bread crumbs are the perfect choice to compliment crisp, uniform grain. Gives a nice golden color after frying. Features and Benefits : Enriched flour (malted barley flour, niacin, ferrous sulfate, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid) used. Allergens : Contains wheat, milk and soy Weight : 425 gm Store in a cool dry place",425 g,g,425 g,1,1,275,275,"American Garden Co, New York, NY 10001, USA",Usa,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_30003338_4-american-garden-bread-crumbs-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30003338-2_3-american-garden-bread-crumbs-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30003338-3_2-american-garden-bread-crumbs-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30003338-4_1-american-garden-bread-crumbs-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30003338-5_1-american-garden-bread-crumbs-plain.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Place flour, eggs and bread crumbs, separately in 3 different shallow dishes. Dip each seasoned chicken / fish into the flour and shake off the excess. Next run the chicken / fish through the egg to coat it lightly. Finally lay the chicken / fish in the bread crumbs, turn it over and press it into the breading to coat. Place the breaded chicken / fish onto a waxed paper. fry","['EAN Code: EAN_&&', 'Manufactured by: American Garden Co, New York, NY 10001, USA', 'Marketed by: Bajoria Foods Pvt. Ltd, 103, Aadarsh Bldg, R.T.O Lane, Four Bungalows, Andheri (W), Mumbai - 400053', 'Country of Origin: USA', 'Best before 28-11-2023', '","Bajoria Foods Pvt. Ltd, 103, Aadarsh Bldg, R.T.O Lane, Four Bungalows, Andheri (W), Mumbai - 400053",-,-,-,"Enriched flour, (malted barley flour, niacin, ferrous sulfate, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid), high fructose corn syrup, corn syrup, partially hydrogenated vegetable oil (soybean and/or cottonseed and/or corn and/or canola oils), water, salt, contains 2% or less of: yeast, brown sugar, honey, molasses, sugar, wheat gluten, whey, soy flour, whole wheat flour, rye flour, corn flour, oat bran, corn meal, rice flour, potato flour, butter, dough conditioners (mono ì and diglycerides, sodium and/or calcium stearoyl lactylate, soy lecithin, calcium carbonate), yeast nutrients (ammonium sulfate, calcium sulfate, monocalcium phosphate), distilled vinegar, skim milk, buttermilk, lactic acid, calcium propionate (preservative), potassium sorbate (preservative). May contain sesame seeds. Contains: Wheat, milk, and soy.",-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,American Pancake Co.,"American Pancake Co. Chocolate Cake Mix, 500 g","Bake your next chocolate delight in easy steps at any time with American Pancakes' easy chocolate cake mix. Its rich chocolatey goodness will melt both your heart and mouth. Light in weight, soft and moist on the palette. Bake a decadent layer cake or make chocolate cupcakes any day of the week. No-fuss in making, just pour the mix and start whipping. This mix gives a cake without a mess but with a great flavor. Enjoy a slice by itself or take the flavours up a notch with chocolate frosting and sprinkles- that's what we call blissful decadence!
The American Pancake company ensures to make your meal and dessert delicious because for us flavor and quality always come first!",500 g,g,500 g,1,1,330,330,"Par Investments PTE 52 International Road, Singapore, 619626.",Singapore,['8906047441450'],['10013022002104'],https://datalabs.siva3.io/image/Eunimart_groceries_40202176_1-american-pancake-co-chocolate-cake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202176-2_1-american-pancake-co-chocolate-cake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202176-3_1-american-pancake-co-chocolate-cake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202176-4_1-american-pancake-co-chocolate-cake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202176-5_1-american-pancake-co-chocolate-cake-mix.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Combine the cake mix with eggs, butter/oil & water in a large bowl.
Fold lightly for 30 seconds and then mix it vigorously for 5 minutes with an electric mixer on high speed until batter is smooth & creamy.
Pour batter in a well-greased, 8-inch cake tin.
Bake for 35-40 minutes at 180 degrees on the middle rack of the oven until toothpick comes out clean. (Baking time may vary depending on oven type).
Chocolate Glaze: Melt one pouch of chocolate chips and add 15 g of fresh cream.
Stir well, until smooth & creamy.
Brush glaze over the cake until fully covered.
After baking, remove the pan from the oven and let the cake cool down before glazing.","['EAN Code: 8906047441450', 'FSSAI NO: 10013022002104', 'Manufacturer Name & : Par Investments PTE 52 International Road, Singapore, 619626.', 'Marketed By: Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.', 'Country of origin: Singapore', 'Best Before 16-07-2023', '","Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.",-,-,-,"Refined Wheat Flour (Maida), Corn Starch, Cocoa Powder, Fine Sugar, Milk Powder, Vacuum Salt, Baking Powder (E450i, 500i, 341i) Thickener (E415) Emulsifier (E475, E471).",-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,American Pancake Co.,"American Pancake Co. Pancake Mix - Delicious & Fluffy, Egg Free, 400 g","Authentic American pancakes: There's nothing like a stack of pancakes to make breakfast feel special. Made with a recipe inspired by the pancakes American grandmothers once made for their grandchildren, every pancake you make with this premix will be light, fluffy and deliciously tasty! Hearty pancakes for the whole family: whether it's a busy Monday morning or a leisurely weekend, you can now make pancakes every day. This product is imported from Singapore and uses the best quality ingredients. Easy to make: this premixed pancake mix makes it easy to whip up a batch of pancakes every morning. Simply mix with cold water and cook over a hot, lightly greased pan. Cook on each side for just a minute or two. Each packet can make up to 16 pancakes. The perfect base for a wholesome breakfast: These pancakes are the perfect base for a savoury or sweet breakfast. Serve them with grilled tomatoes or honey with cut fruits on the side. Well-packaged pancake mix: It has a shelf life of 6 months when stored in a cool, dry place away from direct sunlight. Packed in a re-sealable zip lock pouch, this premix can be stored in its original packing. Allergen inforamtion : No egg; Contains gluten, dairy; May contain soya and sesame Weight : 400 gm",400 g,g,400 g,1,1,230,230,"Par Investments PTE 52 International Road, Singapore, 619626.",Singapore,['8906047441320'],['10013022002104'],https://datalabs.siva3.io/image/Eunimart_groceries_40191786_1-american-pancake-co-pancake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40191786-2_2-american-pancake-co-pancake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40191786-3_2-american-pancake-co-pancake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40191786-4_2-american-pancake-co-pancake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40191786-5_2-american-pancake-co-pancake-mix.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Whisk pancake min and water till the batter is a good blend. Do not over-mix and let the batter stand for 2 minutes. Heat frying pan or griddle to medium heat. Lightly grease the pan. Pour 1/4 cup (45ml) of batter onto the frying pan. Cook each side for 1 to 1 1/2 minutes or until golden brown. Serve hot with fresh fruits, honey or any homemade fruit syrup","['EAN Code: 8906047441320', 'Country of origin: Singapore', 'FSSAI NO: 10013022002104', 'Manufacturer Name & : Par Investments PTE 52 International Road, Singapore, 619626.', 'Marketed By: Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.', 'Best Before 01-06-2023', '","Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.",-,-,-,"Wheat Flour (Maida), Sugar, Milk Powder, Raising Agents (E450i, 500i, 341i) Vacuum Salt, Vanilla Flavour, Thickner (E415) Artificial Flavour (Vanilla)",-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,American Pancake Co.,"American Pancake Co. Premium Tempura Flour, 400 g BOX","At the American Pancake Co. we are all about making every snack, meal and dessert as delicious as it can be. Flavour and Quality always come first! Our Premium Tempura Flour brings the flavours and textures of Japans tempura restaurants to your kitchen. A light, ready-to-use flour that makes crispy tempura fritters with delicate fillings. Vegetable, chicken or seafood, take your pick and make a snack. The crunch is irresistible. Served with an umami-rich dipping sauce, you will want more and more of these delicate tempura.",400 g BOX,g,400 g BOX,1,1,215,215,"Par Investments PTE Ltd., 52 International Road, Singapore, 619626",Singapore,-,['10013022002104'],https://datalabs.siva3.io/image/Eunimart_groceries_40199547_1-american-pancake-co-premium-tempura-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40199547-2_1-american-pancake-co-premium-tempura-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40199547-3_1-american-pancake-co-premium-tempura-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40199547-4_1-american-pancake-co-premium-tempura-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40199547-5_1-american-pancake-co-premium-tempura-flour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Add ice water to American Pancake Co., Tempura Flour and mix well to achieve a batter consistency. Rest the batter for 1o minutes
2. preheat oil to frying temperature
3. dust shelled prawns with some tempura flour
4. dip the coated prawns into the tempura batter and fry until golden brown in colour.
5. Serve hot with a choice of dip5. Pour about æ cup of batter onto centre of the hot waffle iron","['EAN Code: __ EAN__', 'FSSAI Number: 10013022002104', 'Manufacturer Name & : Par Investments PTE Ltd., 52 International Road, Singapore, 619626', 'Imported & Marketed By: Chip Valley Foods Pvt. Ltd. - Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701', 'Country of Origin: SINGAPORE', 'Best Before 16-07-2023', '","Chip Valley Foods Pvt. Ltd. - Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701",-,-,-,"Refined Wheat Flour ( Maida), Corn Starch, Modified Starch,Raising Agents ( E341,E450,E500), Emulsifier ( E475, E471), Natural Colour Beta Cartotene ( E160a)",-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,American Pancake Co.,"American Pancake Co. Red Velvet Cake Mix, 500 g","Bake rich, moist, velvety soft cake at home with the American Pancake's red velvet mix. In just 4 easy steps you get to bake a seamless cake for your loved ones. The cake mix is designed to give you a relishing experience of baking whether youre in the mood for bite-sized cupcakes or an indulgent red velvet layer cake, just whip it up any day of the week. To take the flavor up a notch, spread a thick layer of fresh, cream cheese frosting over the cake - that's what we call blissful decadence!
The American Pancake company ensures to make your meal and dessert delicious because for us flavor and quality always come first!",500 g,g,500 g,1,1,330,330,"Par Investments PTE 52 International Road, Singapore, 619626.",Singapore,['8906047441443'],['10013022002104'],https://datalabs.siva3.io/image/Eunimart_groceries_40202177_1-american-pancake-co-red-velvet-cake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202177-2_1-american-pancake-co-red-velvet-cake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202177-3_1-american-pancake-co-red-velvet-cake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202177-4_1-american-pancake-co-red-velvet-cake-mix.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202177-5_1-american-pancake-co-red-velvet-cake-mix.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Combine the cake mix with eggs, butter/oil & water in a large bowl.
Fold lightly for 30 seconds and then mix it vigorously for 5 minutes with an electric mixer on high speed until batter is smooth & creamy.
Pour batter in a well-greased, 8-inch cake tin.
Bake for 35-40 minutes at 180 degrees on the middle rack of the oven until toothpick comes out clean. (Baking time may vary depending on oven type).
Butter Cream Glaze: Mix one pouch of icing sugar with 20 g of molten butter and stir well, until smooth & creamy. Brush glaze over the cake until fully covered. After baking, remove the pan from the oven and let the cake cool down before glazing.","['EAN Code: 8906047441443', 'FSSAI NO: 10013022002104', 'Manufacturer Name & : Par Investments PTE 52 International Road, Singapore, 619626.', 'Marketed By: Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.', 'Country of origin: Singapore', 'Best Before 16-07-2023', '","Chip Valley Foods Pvt Ltd., Shop No.1 pLot No.8, Behind Amrutdham, Sector 29C, Gothivali, Rabale, Navi Mumbai 400 701.",-,-,-,"Refined Wheat Flour (maida), Corn Starch, Cocoa Powder, Milk Powder, Fine Sugar, Vacuum Salt, Thickener (e415), Baking Powder (e450i, 500i, 341i) Emulsifier (E475, E471), Permitted Colour (e122).",-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-16,Ask Foods,"Ask Foods Dark Chocolate, 500 g","Chocolate compounds for making chocolate & Cakes. Dark chocolate (cooking) is a type of chocolate containing cocoa solids and cocoa butter. This is a cooking /baking chocolate used to make chocolates, and a decorating ingredient as covering , spreading, coating cakes, pastries, desserts etc. This is slightly sweetened . weight: 500g, vegetarian, storage: Store it in a cool & dry place, away from direct sunlight",500 g,g,500 g,1,1,260,260,"A.S.K. Foods Pvt. Ltd.166, M.M Road , Coxtown , Bangalore - 560 005",India,['40075542'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40075542_2-ask-foods-chocolate-dark.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075542-2_1-ask-foods-chocolate-dark.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075542-3_1-ask-foods-chocolate-dark.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075542-4_1-ask-foods-chocolate-dark.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"cooking /baking chocolate used to make chocolates, and a decorating ingredient as covering , spreading, coating cakes, pastries, desserts etc. This is slightly sweetened .","[{'EAN Code': '40075542'}, {'Country of origin': 'India'}, {'Manufacturer Name and ': 'A.S.K. Foods Pvt. Ltd.166, M.M Road , Coxtown , Bangalore - 560 005'}]",-,-,-,-,"Sugar, Cocoa Solids, Hydrogenated Vegetable Fat & Emulsifiers.",-,-,-,-
