L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Specification,Package Contains,About
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Glass & Spoon Stand - Deluxe, Plastic, 1 pc",The glass & spoon stand has a wood coloured Polypropylene plastic body which can hold 6 glasses and the stand includes a cutlery holder where cutleries can be kept for easy access. Comes in a designer box pack.,1 pc,pcs,1 pc,1,1,195,149,"Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,",India,['8904126501101'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40114247_2-anjali-glass-spoon-stand-deluxe-plastic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904126501101', 'Manufacturer Name & : Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,', 'Country of origin: India', '",-,-,-,Easy to clean,"Brand - Anjali
Type - Cutlery Stand
Material - Plastic
Suitable for - Glass & Spoon stand
Capacity - 06 Glass Stand with 06 Spoon
Color - Light Brown
Design - Glass & Spoon stand Deluxe
Length - 457.2mm
Width - 482.6mm
Height - 406.4mm
Package Contents: 1 Piece - Anjali Glass & Spoon Stand Deluxe",-,-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Silvera Stainless Steel Kitchen Tools Set - Turner, Ladle & Skimmer, For Serving & Cooking, 3 pcs","Anjali Silvera contains spoons. It is made of high-quality materials making it highly durable and strong. These are a perfect addition to your kitchen tools. It is easy to use, clean and maintain. It is convenient and an essential kitchen accessory. These spoons can be used for cooking as well as serving food. It is a multi-purpose spoon and is safe for use. They are a must for every home and suitable for everyone.",3 pcs,pcs,3 pcs,3,1,480,429,"Anjali Kitchenware Pvt. Ltd.,Anjali House,Liberty Garden Road No.1,Malad(west),Mumbai-400064",India,['40228349'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40228349_3-anjali-silvera-stainless-steel-kitchen-tools-set-turner-ladle-skimmer-for-serving-cooking.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228349-2_2-anjali-silvera-stainless-steel-kitchen-tools-set-turner-ladle-skimmer-for-serving-cooking.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228349-3_2-anjali-silvera-stainless-steel-kitchen-tools-set-turner-ladle-skimmer-for-serving-cooking.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40228349-4_1-anjali-silvera-stainless-steel-kitchen-tools-set-turner-ladle-skimmer-for-serving-cooking.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Highly durable and strong. 
Perfect addition to your kitchen tools. 
It is easy to use, clean and maintainance.
Must for every home and suitable for everyone.","It is a multi-purpose spoon set
Use for cooking as well as serving food.","['EAN Code: 40228349', 'Manufactured & Marketed By: Anjali Kitchenware Pvt. Ltd.,Anjali House,Liberty Garden Road No.1,Malad(west),Mumbai-400064', 'Country of Origin: India', '","Anjali Kitchenware Pvt. Ltd.,Anjali House,Liberty Garden Road No.1,Malad(west),Mumbai-400064",-,-,-,"Brand: Anjali .
Type:- Spoons.
Material:- Stainless Steel.
Weight:- 198 g. 
Features:- Easy to clean, Ideal for everyday use, Dishwasher safe.",-,-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Stainless Steel Coffee Spoon - Wednesde, 6 pcs","The neat and clean design of this elegant spoon makes it essential for your home. Made to be durable and from stainless steel, this spoon will survive multiple wash cycles and not lose its shine. Easy to use for eating.
Anjali Kitchenware Pvt. Ltd. established in 1974 has grown up today to be a leading pioneer brand in kitchenware, that can proudly claim ""Har Ghar Mai"".",6 pcs,pcs,6 pcs,6,1,140,99,"Anjali kichenware Pvt ltd No:169, 179, B Mobmay Talkies Compund Malad Mumbai Pin-400064",India,['8904126505550'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40164616_1-anjali-stainless-steel-coffee-spoon-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164616-2_1-anjali-stainless-steel-coffee-spoon-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164616-3_1-anjali-stainless-steel-coffee-spoon-wednesde.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8904126505550'}, {'Country of origin': 'India'}]",-,-,-,-,"Brand : Anjali
Type - Wednsede Coffee Spoon
Material - Stainless Steel
Color - Silver
Design - Wednesde
No.of Pieces - 06
Gage - 18
Dishwasher Safe - Yes
Package Contents: 06 Pieces",-,-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Stainless Steel Desert Spoon - Wednesde, 6 pcs","The neat and clean design of this elegant spoon makes it essential for your home. Made to be durable and from stainless steel, this spoon will survive multiple wash cycles and not lose its shine. Easy to use for eating.
Anjali Kitchenware Pvt. Ltd. established in 1974 has grown up today to be a leading pioneer brand in kitchenware, that can proudly claim ""Har Ghar Mai"".",6 pcs,pcs,6 pcs,6,1,295,229,"Anjali kichenware Pvt ltd No:169, 179, B Mobmay Talkies Compund Malad Mumbai Pin-400064",India,['8904126504474'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40164613_2-anjali-stainless-steel-desert-spoon-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164613-2_3-anjali-stainless-steel-desert-spoon-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164613-3_2-anjali-stainless-steel-desert-spoon-wednesde.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904126504474', 'Country of origin: India', '",-,-,-,-,"Brand: Anjali
Type - Wednsede Desert Spoon
Material - Stainless Steel
Colour - Silver
Design - Wednesde
No.of Pieces - 06
Gage - 18
Dishwasher Safe - Yes
Package Contents: 06 Pieces",-,-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Stainless Steel Dessert Fork - Wednesde, 6 pcs","The neat and clean design of this elegant fork makes it essential for your home. Made to be durable and from stainless steel, this spoon will survive multiple wash cycles and not lose its shine. Easy to use for eating.
Anjali Kitchenware Pvt. Ltd. established in 1974 has grown up today to be a leading pioneer brand in kitchenware, that can proudly claim ""Har Ghar Mai"".",6 pcs,pcs,6 pcs,6,1,295,229,"Anjali kichenware Pvt ltd No:169, 179, B Mobmay Talkies Compund Malad Mumbai Pin-400064",India,['904126505598'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40164611_2-anjali-stainless-steel-dessert-fork-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164611-2_2-anjali-stainless-steel-dessert-fork-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164611-3_2-anjali-stainless-steel-dessert-fork-wednesde.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 904126505598', 'Country of origin: India', '",-,-,-,-,"Brand: Anjali
Type - Wednsede Desert Fork
Material - Stainless Steel
Colour - Silver
Design - Wednesde
No.of Pieces - 06
Gage - 18
Dimension: Length - 22.3cm, Width - 6cm, Height - 3cm
Dishwasher Safe - Yes
Package Contents: 06 Pieces",-,-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Stainless Steel Fruit Fork - Wednesde, 6 pcs","The neat and clean design of this elegant fork makes it essential for your home. Made to be durable and from stainless steel, this spoon will survive multiple wash cycles and not lose its shine. Easy to use for eating.
Anjali Kitchenware Pvt. Ltd. established in 1974 has grown up today to be a leading pioneer brand in kitchenware, that can proudly claim ""Har Ghar Mai"".",6 pcs,pcs,6 pcs,6,1,190,139,"Anjali kichenware Pvt ltd No:169, 179, B Mobmay Talkies Compund Malad Mumbai Pin-400064",India,['40164614'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40164614_2-anjali-stainless-steel-fruit-fork-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164614-2_2-anjali-stainless-steel-fruit-fork-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164614-3_2-anjali-stainless-steel-fruit-fork-wednesde.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40164614', 'Country of origin: India', '",-,-,-,-,"Brand : Anjali
Type - Wednesday Fruit Fork
Material - Stainless Steel
Color - Silver
Design - Wednesday
No.of Pieces - 06
Gage - 18
Dishwasher Safe - Yes
Package Contents: 06 Pieces",-,-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Stainless Steel Ice Cream Spoon - Wednesde, 6 pcs","The neat and clean design of this elegant spoon makes it essential for your home. Made to be durable and from stainless steel, this spoon will survive multiple wash cycles and not lose its shine. Easy to use for eating.
Anjali Kitchenware Pvt. Ltd. established in 1974 has grown up today to be a leading pioneer brand in kitchenware, that can proudly claim ""Har Ghar Mai"".",6 pcs,pcs,6 pcs,6,1,195,139,"Anjali kichenware Pvt ltd No:169, 179, B Mobmay Talkies Compund Malad Mumbai Pin-400064",India,['8904126505710'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40164615_1-anjali-stainless-steel-ice-cream-spoon-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164615-2_1-anjali-stainless-steel-ice-cream-spoon-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164615-3_1-anjali-stainless-steel-ice-cream-spoon-wednesde.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904126505710', 'Country of origin: India', '",-,-,-,-,"Brand: Anjali
Type - Wednsede Ice Cream Spoon
Material - Stainless Steel
Color - Silver
Design - Wednesde
No.of Pieces - 06
Gage - 18
Dishwasher Safe - Yes
Package Contents: 06 Pieces",-,-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Stainless Steel Soda Spoon - Wednesde, 6 pcs","The neat and clean design of this elegant spoon makes it essential for your home. Made to be durable and from stainless steel, this spoon will survive multiple wash cycles and not lose its shine. Easy to use for eating.
Anjali Kitchenware Pvt. Ltd. established in 1974 has grown up today to be a leading pioneer brand in kitchenware, that can proudly claim ""Har Ghar Mai"".",6 pcs,pcs,6 pcs,6,1,295,229,"Anjali kichenware Pvt ltd No:169, 179, B Mobmay Talkies Compund Malad Mumbai Pin-400064",India,['8904126505420'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40164617_1-anjali-stainless-steel-soda-spoon-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164617-2_1-anjali-stainless-steel-soda-spoon-wednesde.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40164617-3_1-anjali-stainless-steel-soda-spoon-wednesde.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904126505420', 'Country of origin: India', '",-,-,-,-,"Brand: Anjali
Type - Wednsede Soda Spoon
Material - Stainless Steel
Colour - Silver
Design - Wednesde
No.of Pieces - 06
Gage - 18
Dishwasher Safe - Yes
Package Contents: 06 Pieces",-,-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Steel Fork set - Baby, Monde, 6 pcs","Anjali forks simple yet elegant design adds class to the dining area and are a must for every home. They are made using stainless steel that enhance the durability of the utensils, and helps them retain their shine even after multiple wash cycles.",6 pcs,pcs,6 pcs,6,1,225,179,"Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,",India,['8904126505789'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40114264_1-anjali-steel-fork-set-baby-monde.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904126505789', 'Country of origin: India', 'Manufacturer Name & : Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,', '",-,-,-,"Use Soft Sponge for Cleaning, avoid using sharp and abrasive cleaners."," Brand - Anjali
 Type - Fork
 Material - Stainless Steel
 Color - Silver
 Design - Monde Baby Fork
 No.of Pieces - 06
 Guage- 18
 Length - 215.9mm
 Width - 57.15mm
 Height - 25.4mm
 Dishwasher Safe - Yes
 Package Contents: 06 Pieces - Anjali Monde Baby Steel Fork",-,-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Steel Spoon Set - Desert, Monde Small, 6 pcs","Anjali spoons simple yet elegant design adds class to the dining area and are a must for every home. They are made using stainless steel that enhance the durability of the utensils, and helps them retain their shine even after multiple wash cycles.",6 pcs,pcs,6 pcs,6,1,295,229,"Anjali kichenware Pvt ltd No:169, 179, B Mobmay Talkies Compund Malad Mumbai Pin-400064",India,['8904126505352'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40114265_2-anjali-steel-spoon-set-desert-monde-small.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904126505352', 'Country of origin: India', 'Manufacturer Name &  : Anjali kichenware Pvt ltd No:169, 179, B Mobmay Talkies Compund Malad Mumbai Pin-400064', '",-,-,-,"Use Soft Sponge for Cleaning, avoid using sharp and abrasive cleaners."," Brand - Anjali
 Type - Spoon
 Material - Stainless Steel
 Color - Silver
 Design - Monde Desert Spoon
 No.of Pieces - 06
 Guage- 18
 Length - 234.95mm
 Width - 57.15mm
 Height - 31.75mm
 Dishwasher Safe - Yes
 Package Contents: 06 Pieces - Anjali Monde Desert Spoon",-,-
