L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand,About
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,Aashirvaad,"Aashirvaad Multi-Millet Mix With Quinoa - Mixed Flour, Rich In Fibre & Protein, 80 g","Switch to a healthier and nutritionally rich diet easily with the Aashirvaad Nature's Super Foods, Multi Millet Mix With Quinoa. The Aashirvaad Nature's Super Foods, Multi Millet Mix With Quinoa is made with a mix of 5 millet flours to bring you an option rich in dietary fibre and protein. This naturally gluten-free flour mix contains Jowar Flour, Navane Flour, Bajra Flour, Ragi Flour and Quinoa Flour. Millets are premium superfoods that have been a part of our diets since time immemorial and now as they come to the limelight again, take this opportunity to incorporate highly nutritious and delicious millet mixes seamlessly into your daily routine. Made fluffy and soft chapatis, crepes, pancakes and more to enjoy the first-class taste and better fibre and protein intake. Explore the wide range of premium quality groceries from Aashirvaad only on Big Basket.",80 g,g,80 g,1,1,15,15,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['40286632'],['10012031000312'],https://datalabs.siva3.io/image/Eunimart_groceries_40286632_1-aashirvaad-multi-millet-mix-with-quinoa-mixed-flour-rich-in-fibre-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40286632-2_1-aashirvaad-multi-millet-mix-with-quinoa-mixed-flour-rich-in-fibre-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40286632-3_1-aashirvaad-multi-millet-mix-with-quinoa-mixed-flour-rich-in-fibre-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40286632-4_1-aashirvaad-multi-millet-mix-with-quinoa-mixed-flour-rich-in-fibre-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40286632-5_1-aashirvaad-multi-millet-mix-with-quinoa-mixed-flour-rich-in-fibre-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40286632-6_1-aashirvaad-multi-millet-mix-with-quinoa-mixed-flour-rich-in-fibre-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40286632-7_1-aashirvaad-multi-millet-mix-with-quinoa-mixed-flour-rich-in-fibre-protein.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40286632', 'Manufactured Name & Marketed By :ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071', 'FSSAI :10012031000312', 'Country of Origin: India', 'Best Before 16-05-2023. ","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",-,-,-,"Jowar Flour (40%), Navane Flour (20%), Bajra Flour (16.7%), Ragi Flour (16.7%) And Quinoa Flour (6.6%)",-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,Atharv Home Made Products,"Atharv Home Made Products Nutrishield Multigrain Mix - 100% Natural, No Added Sugar & Colour, 500 g","Atharv Home Made Products Multigrain Mix Powder is a superfood for the perfect health of your family. Made from 25 organic and healthy ingredients the Atharv Home Made Products Multigrain Mix Powder is the perfect health fix for you. It contains 25 Varieties of cereals, pulses & nuts, and is 100% natural. It energizes your body and is rich in proteins. Atharv Nutrishield boosts brain functioning and increases the strength of bones. Have it for breakfast or dinner, whenever you like. Explore the wide range of organic food products, snacks and accompaniments from Atharv Home Made Products only on Big Basket.",500 g,g,500 g,1,1,190,190,"ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",India,['8939111866866'],['21221192001870'],https://datalabs.siva3.io/image/Eunimart_groceries_40269013_1-atharv-home-made-products-nutrishield-multigrain-mix-100-natural-no-added-sugar-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269013-2_1-atharv-home-made-products-nutrishield-multigrain-mix-100-natural-no-added-sugar-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269013-3_1-atharv-home-made-products-nutrishield-multigrain-mix-100-natural-no-added-sugar-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269013-4_1-atharv-home-made-products-nutrishield-multigrain-mix-100-natural-no-added-sugar-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269013-5_1-atharv-home-made-products-nutrishield-multigrain-mix-100-natural-no-added-sugar-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8939111866866', 'FSSAI No: 21221192001870', 'Manufactured & Marketed by: ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078', 'Country of origin: India', 'Best before 30-06-2023', '","ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",-,-,-,"Atharv Nutrishield (Multigrain Mix) - Include - 25 Varieties Of Cereals, Pulses & Nuts, 100% Natural Pearl Millet, Foxtail Millet, Kodo Millet, Red Rice, Groundnut, Black Eyed Peas, Toor Dal, Poppy Seed, Roasted Channa, Sabudana, Cashew, Cardamom, Dates, Jowar, Wheat.",-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,BB Popular,"BB Popular Chana - Brown/Kadale Kaalu, 1 kg Pouch","Brown Chana is extremely high in protein and provides a nutritional meal. It contains a low glycemic index and is a good protein selection for people with diabetes. It is a variation of the commonly found chickpea but it is smaller in size and dark brown in color. It is generally is utilized in curries and used to create besan flour. It is consumed boiled, fried and sprouted.",1 kg Pouch,kg,1 kg Pouch,1,1,140,91,BB,India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_70001280_10-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001280-2_7-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001280-3_8-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001280-4_8-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001280-5_7-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001280-6_9-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001280-7_1-bb-popular-channa-brown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Provides energy.
Excellent source of vegetarian protein.
Keeps your heart healthy.
Diabetic friendly.
Improves insulin response.","It can be soaked overnight, generally, 3-4 hours is enough to make them grow plump and ready for cooking.
The cooked chana can be used in salads, recipes like chana masala or eaten as a chaat with onions and tomatoes, lime juice and masala powders.",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,BB Popular,"BB Popular Chana - Brown/Kadale Kaalu, 500 g Pouch","Brown Chana is extremely high in protein and provides a nutritional meal. It contains a low glycemic index and is a good protein selection for people with diabetes. It is a variation of the commonly found chickpea but it is smaller in size and dark brown in color. It is generally is utilized in curries and used to create besan flour. It is consumed boiled, fried and sprouted.",500 g Pouch,g,500 g Pouch,1,1,70,48,BB,India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40003554_12-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003554-2_8-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003554-3_9-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003554-4_8-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003554-5_17-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003554-6_17-bb-popular-channa-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003554-7_1-bb-popular-channa-brown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Provides energy.
Excellent source of vegetarian protein.
Keeps your heart healthy.
Diabetic friendly.
Improves insulin response.","It can be soaked overnight, generally, 3-4 hours is enough to make them grow plump and ready for cooking.
The cooked chana can be used in salads, recipes like chana masala or eaten as a chaat with onions and tomatoes, lime juice and masala powders.",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,BB Popular,"BB Popular Chana - Kabuli/Kabuli Kadale, 200 g Pouch","Kabuli chana is believed to be one of the earliest cultivated legumes. It is a small, hard, knobby, beige-coloured bean with a diameter of less than a centimeter. It looks kind of like a wrinkled hazelnut. Its nutty and creamy flavour, firm texture and minimal fat make it a versatile ingredient. This legume is very famous for its high nutritive value.",200 g Pouch,g,200 g Pouch,1,1,53,37,"Papas Trading Pvt ltd, No39/40, 2nd Cross, KN Govindareddy Layout, Arekere,BG Road,Banglore-560071",India,['4003555'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_40003555_13-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003555-2_9-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003555-3_10-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003555-4_9-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003555-5_8-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003555-6_8-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003555-7_1-bb-popular-channa-kabuli.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Provides energy.
Excellent source of vegetarian protein.
Keeps your heart healthy.
Diabetic friendly.
Improves insulin response.","Chickpeas are a flavorful and healthful addition to several dishes, in both soaked and cooked form.
From stir-fries, dips, soups, salads to subzis and rice-based dishes, they can be used everywhere.","['EAN Code:4003555', ""Manufactured by : Bangalore Papa's Trading No 39/40, 2nd Cross, KN Govindareddy Layout, Arkere, Bannerghatta Road, Bangalore - 560076 Fssai Lic No11214334000011 | Kolkata ASSHIRVAD ENTRPRISE 16,PTR Siding, Coal Depot Shalimar, Howrah - 711102 Fssai Lic No12815008001814 | Chennai PAPAS TRADING PRIVATE LIMITED NO-16 B, Self help Industies Estate, Kovilambakkam, Chennai - 17. Fssai Lic No12417008000720 | Patna M/S ASG VISION B-295, MITRA MONDAL COLONY , SAKET VIHAR , PATNA - 800002 Fssai Lic No10416000000798 | Ahmedabad Shri Jayraj Foods Pvt Ltd. Plot No. A/173/7, TTC Industrial Area , MIDC Khairane, Navi Mumbai - 400710 | FSSAI LIC No. 11518015000276, Pune-37 Fssai Lic No11517035000559 | Mumbai Shree Jayraj Food A-1, Punit Industrial premises Co-op soc Ltd,Thane Belapur road, turbhe, navi Mumbai- 400705 Fssai Lic No11515016000348 | Pune PARSHVA FOODS , 655/8/2, Ganga Dham Road, Behind Shreeji lawns,Opp. Kumar Prithvi Bldg, Bibwewadi, Pune 411 037. Fssai Lic No11517035000559 | Delhi SHRI JAYRAJ FOODS PVT. LTD KHASRA NO-427/428, LAL DORA, LAND MARK-MOTHER'S PRIDE SCHOOL, VILLAGE ALIPUR, NEW DELHI-110036 Fssai Lic No13317005000307 | Vijayawada-Guntur SRI VENKATA RAKESH TRADING CO(VJA) .#76-7-1,sabapathi Road,bhavanipuram,vijayawada-520012 Fssai Lic No10114006000535 | Vijayawada-Guntur Super market grocery supplies pvt ltd ,Door No:4-88/2,part-b,Asst No:426/RAB Estates,Dhanekula Engineering college Road,Gangoor village,vijayawada (rular),krishna District,Andhrapradesh-521139 Fssai Lic No10117006000306 |"", 'Marketed by : Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Country of origin: India', 'Best before__PSL__days from delivery date', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,BB Popular,"BB Popular Chana - Kabuli/Kabuli Kadale, 500 g Pouch","Kabuli chana is believed to be one of the earliest cultivated legumes. It is a small, hard, knobby, beige-coloured bean with a diameter of less than a centimeter. It looks kind of like a wrinkled hazelnut. Its nutty and creamy flavour, firm texture and minimal fat make it a versatile ingredient. This legume is very famous for its high nutritive value.",500 g Pouch,g,500 g Pouch,1,1,120,89,BB,India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40003556_14-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003556-2_10-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003556-3_10-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003556-4_10-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003556-5_8-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003556-6_8-bb-popular-channa-kabuli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003556-7_1-bb-popular-channa-kabuli.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Provides energy.
Excellent source of vegetarian protein.
Keeps your heart healthy.
Diabetic friendly.
Improves insulin response.","Chickpeas are a flavorful and healthful addition to several dishes, in both soaked and cooked form.
From stir-fries, dips, soups, salads to subzis and rice-based dishes, they can be used everywhere.",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,BB Popular,"BB Popular Chana Dal/Kadale Bele, 1 kg Pouch","Chana dal is baby chickpeas that have been split and polished. It looks and tastes like small kernels of sweet corn. These lentils have a sweet and nutty taste. Chana dal is delicious, nutritious and easily digested. It is a good source of dietary fibre and includes an insignificant amount of polyunsaturated fat.",1 kg Pouch,kg,1 kg Pouch,1,1,115,95,BB,India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_20000432_15-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000432-2_8-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000432-3_9-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000432-4_8-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000432-5_7-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000432-6_7-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000432-7_1-bb-popular-channa-dal.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Provides energy.
Excellent source of vegetarian protein.
Keeps your heart healthy.
Diabetic friendly.
Improves insulin response.","It can be used in soups, salads, curries, dal preparations, savouries, sweets and rice dishes, etc.
It is also used to make sabjis, vadas and chats.",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,BB Popular,"BB Popular Chana Dal/Kadale Bele, 2 kg Pouch","Chana dal is baby chickpeas that have been split and polished. It looks and tastes like small kernels of sweet corn. These lentils have a sweet and nutty taste. Chana dal is delicious, nutritious and easily digested. It is a good source of dietary fiber and includes an insignificant amount of polyunsaturated fat.",2 kg Pouch,kg,2 kg Pouch,1,1,230,186,BB,India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40042839_7-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042839-2_7-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042839-3_8-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042839-4_8-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042839-5_7-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042839-6_7-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40042839-7_1-bb-popular-channa-dal.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Provides energy.
Excellent source of vegetarian protein.
Keeps your heart healthy.
Diabetic friendly.
Improves insulin response.","It can be used in soups, salads, curries, dal preparations, savouries, sweets and rice dishes, etc.
It is also used to make sabjis, vadas and chats.",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,BB Popular,"BB Popular Chana Dal/Kadale Bele, 500 g Pouch","Chana dal is baby chickpeas that has been split and polished. It looks and tastes like small kernels of sweet corn. These lentils have a sweet and nutty taste. Chana dal is delicious, nutritious and easily digested. It is a good source of dietary fibre and includes an insignificant amount of polyunsaturated fat.",500 g Pouch,g,500 g Pouch,1,1,58,50,BB,India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_20000540_8-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000540-2_7-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000540-3_8-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000540-4_8-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000540-5_7-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000540-6_7-bb-popular-channa-dal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000540-7_1-bb-popular-channa-dal.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Provides energy.
Excellent source of vegetarian protein.
Keeps your heart healthy.
Diabetic friendly.
Improves insulin response.","It can be used in soups, salads, curries, dal preparations, savouries, sweets and rice dishes, etc.
It is also used to make sabjis, vadas and chats.",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-16,RET-10-16-10,RET-10-16-10-12,BB Popular,"BB Popular Fried Gram/Roasted Bengal Gram, 1 kg Pouch","Fried Gram is one of the most significant pulses in India. It is used in the form of whole dried seeds and in the form of dhal, arranged by splitting the seeds in a mill and separating the husk. It makes a great, strong snack on the go because they are low in fat and calories and high in protein and fiber.",1 kg Pouch,kg,1 kg Pouch,1,1,160,119,"Bangalore Papa's Trading No 39/40, 2nd Cross, KN Govindareddy Layout, Arkere, Bannerghatta Road, Bangalore - 560076.",India,['40233627'],['11214334000011'],https://datalabs.siva3.io/image/Eunimart_groceries_40233627_3-bb-popular-fried-grambengal-gram.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,These can be consumed as it is as a snack while travelling or as a evening snack.,"['EAN Code: 40233627', ""Manufactured Name &  : Bangalore Papa's Trading No 39/40, 2nd Cross, KN Govindareddy Layout, Arkere, Bannerghatta Road, Bangalore - 560076."", 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071.', 'Country of Origin: India', 'FSSAI : 11214334000011', 'Best before 16-04-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071.",-,-,-,Channa,-,-,-
