L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,Specification
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Complete Detergent Washing Powder - Value Pack, 4 kg","New & Improved Ariel Complete gives you tough stain removal for a bright clean in just 1 wash. Ariel Complete is uniquely designed to deliver outstanding results when used in a semi-automatic machine as well as when used as a hand wash detergent. Ariel Colour Care has New Oxi-stain fighters for clothes to stay clean and stain-free wash after wash. It also provides deep down cleaning and long-lasting freshness. Ariel Complete washing powder also provides deep down cleaning and long-lasting freshness. In just 1 scoop for normal loads and 1.5 scoops for heavy loads, it provides brilliant stain removal along with the value. Ariel Complete‚s cutting edge technology provides impeccable cleaning for all your clothes and removes tough stains like juice, chocolate, tomato and butter/ghee along with maintaining the brightness of the clothes. So now, say goodbye to stains and dullness!",4 kg,kg,4 kg,1,1,1500,701,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['498717617766'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40177925_12-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-2_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-3_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-4_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-5_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-6_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-7_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-8_3-ariel-complete-detergent-washing-powder-value-pack.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '498717617766'}, {'Country of origin': 'India'}]",-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Complete Detergent Washing Powder - Value Pack, 4 kg","New & Improved Ariel Complete gives you tough stain removal for a bright clean in just 1 wash. Ariel Complete is uniquely designed to deliver outstanding results when used in a semi-automatic machine as well as when used as a hand wash detergent. Ariel Colour Care has New Oxi-stain fighters for clothes to stay clean and stain-free wash after wash. It also provides deep down cleaning and long-lasting freshness. Ariel Complete washing powder also provides deep down cleaning and long-lasting freshness. In just 1 scoop for normal loads and 1.5 scoops for heavy loads, it provides brilliant stain removal along with the value. Ariel Complete‚s cutting edge technology provides impeccable cleaning for all your clothes and removes tough stains like juice, chocolate, tomato and butter/ghee along with maintaining the brightness of the clothes. So now, say goodbye to stains and dullness!",4 kg,kg,4 kg,1,1,1500,701,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['498717617766'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40177925_12-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-2_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-3_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-4_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-5_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-6_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-7_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-8_3-ariel-complete-detergent-washing-powder-value-pack.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '498717617766'}, {'Country of origin': 'India'}]",-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Complete Detergent Washing Powder - Value Pack, 4 kg","New & Improved Ariel Complete gives you tough stain removal for a bright clean in just 1 wash. Ariel Complete is uniquely designed to deliver outstanding results when used in a semi-automatic machine as well as when used as a hand wash detergent. Ariel Colour Care has New Oxi-stain fighters for clothes to stay clean and stain-free wash after wash. It also provides deep down cleaning and long-lasting freshness. Ariel Complete washing powder also provides deep down cleaning and long-lasting freshness. In just 1 scoop for normal loads and 1.5 scoops for heavy loads, it provides brilliant stain removal along with the value. Ariel Complete‚s cutting edge technology provides impeccable cleaning for all your clothes and removes tough stains like juice, chocolate, tomato and butter/ghee along with maintaining the brightness of the clothes. So now, say goodbye to stains and dullness!",4 kg,kg,4 kg,1,1,1500,701,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['498717617766'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40177925_12-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-2_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-3_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-4_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-5_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-6_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-7_13-ariel-complete-detergent-washing-powder-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40177925-8_3-ariel-complete-detergent-washing-powder-value-pack.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '498717617766'}, {'Country of origin': 'India'}]",-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Complete Detergent Washing Powder, 1 kg Get 500 gm Free","Recommended by top washing machine brands, New Ariel Complete Detergent Washing Powder gives you tough stain removal in just 1 wash. Designed to work in semi-automatic washing machine, Ariel gives brilliant results in both semi-automatic washing machine as well as in hand wash. Ariel dissolves in water completely to remove tough stains like juice, chocolate, tomato and butter/ghee. Perfect for all your clothes, Ariel washing powder helps to give you impeccable cleaning and keeps your clothes smelling fresh. Step out into the world with confidence knowing that you have Ariel as your partner in laundry.",1 kg Get 500 gm Free,kg Get  gm Free,1 kg Get 500 gm Free,1,1,370,370,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4987176177643'],-,https://datalabs.siva3.io/image/Eunimart_groceries_267710_24-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267710-2_14-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267710-3_14-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267710-4_14-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267710-5_14-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267710-6_11-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267710-7_4-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267710-8_7-ariel-complete-detergent-washing-powder.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Sodium Carbonate, Sodium Aluminosilicate, Alkyl Sulfate, Sodium Sulfate, Linear Alkylbenzene Sulfonate, Water, Silicate, Sodium Percarbonate, Ethoxylate, Polyethylene Glycol 4000, Sodium Polyacrylate, Fragrance, Protease, Silicone.",-,Add 1 Cup Of Scoop For Normal Water Load & 2 Cup Of Scoop For Heavily Soiled Water.,"[{'EAN Code': '4987176177643'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Complete Detergent Washing Powder, 2 kg Get 1 kg Free","New Ariel Complete Detergent Washing Powder gives you tough stain removal in just 1 wash. Designed to work in semi-automatic washing machine, Ariel gives brilliant results in both semi-automatic washing machine as well as in hand wash. Ariel dissolves in water completely to remove tough stains like juice, chocolate, tomato and butter/ghee. Perfect for all your clothes, Ariel washing powder helps to give you impeccable cleaning and keeps your clothes smelling fresh. Step out into the world with confidence knowing that you have Ariel as your partner in laundry.",2 kg Get 1 kg Free,kg Get  kg Free,2 kg Get 1 kg Free,1,1,750,750,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['987176177650'],-,https://datalabs.siva3.io/image/Eunimart_groceries_216400_15-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216400-2_9-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216400-3_9-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216400-4_9-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216400-5_9-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216400-6_7-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216400-7_1-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216400-8_1-ariel-complete-detergent-washing-powder.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '987176177650'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Complete Detergent Washing Powder, 500 g","New Ariel Complete Detergent Washing Powder gives you tough stain removal in just 1 wash. Designed to work in semi-automatic washing machine, Ariel gives brilliant results in both semi-automatic washing machine as well as in hand wash. Ariel dissolves in water completely to remove tough stains like juice, chocolate, tomato and butter/ghee. Perfect for all your clothes, Ariel washing powder helps to give you impeccable cleaning and keeps your clothes smelling fresh. Step out into the world with confidence knowing that you have Ariel as your partner in laundry.",500 g,g,500 g,1,1,173,173,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['498717177629'],-,https://datalabs.siva3.io/image/Eunimart_groceries_267698_19-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267698-2_13-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267698-3_13-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267698-4_13-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267698-5_13-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267698-6_9-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267698-7_5-ariel-complete-detergent-washing-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_267698-8_8-ariel-complete-detergent-washing-powder.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '498717177629'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Detergent Washing Powder - Matic Front Load, 2 kg","Recommended by top washing machine brands like Whirpool, LG , Panasonic and so on the new & Improved Ariel Matic gives you tough stain removal in just 1 wash. Especially designed to be used in front loading machines, Ariel Matic Front Load offers brilliant stain removal for full loads. It also provides deep down cleaning and long-lasting freshness. Formulated specifically for fully automatic washing machines, it generates the right amount of foam in the machine to deliver superior cleaning inside the machine itself, without damaging the machine due to excess foam. It requires just 1 scoop for normal loads, and 1.5 scoops for heavy loads, providing performance along with value. Ariel Matics cutting edge technology provides impeccable cleaning for all your clothes, and removes tough stains like juice, chocolate, tomato and butter/ghee. Along with its new brightguard technology in Ariel Matic ensures that clothes remain bright even wash after wash and  provides tough stain removal for a bright clean in 1 wash.",2 kg,kg,2 kg,1,1,660,429,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4987176177568'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40097083_10-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-2_10-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-3_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-4_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-5_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-6_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-7_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-8_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-9_1-ariel-detergent-washing-powder-matic-front-load.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '4987176177568'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Detergent Washing Powder - Matic Front Load, 2 kg","Recommended by top washing machine brands like Whirpool, LG , Panasonic and so on the new & Improved Ariel Matic gives you tough stain removal in just 1 wash. Especially designed to be used in front loading machines, Ariel Matic Front Load offers brilliant stain removal for full loads. It also provides deep down cleaning and long-lasting freshness. Formulated specifically for fully automatic washing machines, it generates the right amount of foam in the machine to deliver superior cleaning inside the machine itself, without damaging the machine due to excess foam. It requires just 1 scoop for normal loads, and 1.5 scoops for heavy loads, providing performance along with value. Ariel Matics cutting edge technology provides impeccable cleaning for all your clothes, and removes tough stains like juice, chocolate, tomato and butter/ghee. Along with its new brightguard technology in Ariel Matic ensures that clothes remain bright even wash after wash and  provides tough stain removal for a bright clean in 1 wash.",2 kg,kg,2 kg,1,1,660,429,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4987176177568'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40097083_10-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-2_10-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-3_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-4_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-5_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-6_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-7_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-8_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-9_1-ariel-detergent-washing-powder-matic-front-load.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '4987176177568'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Detergent Washing Powder - Matic Front Load, 2 kg","Recommended by top washing machine brands like Whirpool, LG , Panasonic and so on the new & Improved Ariel Matic gives you tough stain removal in just 1 wash. Especially designed to be used in front loading machines, Ariel Matic Front Load offers brilliant stain removal for full loads. It also provides deep down cleaning and long-lasting freshness. Formulated specifically for fully automatic washing machines, it generates the right amount of foam in the machine to deliver superior cleaning inside the machine itself, without damaging the machine due to excess foam. It requires just 1 scoop for normal loads, and 1.5 scoops for heavy loads, providing performance along with value. Ariel Matics cutting edge technology provides impeccable cleaning for all your clothes, and removes tough stains like juice, chocolate, tomato and butter/ghee. Along with its new brightguard technology in Ariel Matic ensures that clothes remain bright even wash after wash and  provides tough stain removal for a bright clean in 1 wash.",2 kg,kg,2 kg,1,1,660,429,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4987176177568'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40097083_10-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-2_10-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-3_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-4_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-5_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-6_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-7_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-8_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-9_1-ariel-detergent-washing-powder-matic-front-load.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '4987176177568'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-10,Ariel,"Ariel Detergent Washing Powder - Matic Front Load, 2 kg","Recommended by top washing machine brands like Whirpool, LG , Panasonic and so on the new & Improved Ariel Matic gives you tough stain removal in just 1 wash. Especially designed to be used in front loading machines, Ariel Matic Front Load offers brilliant stain removal for full loads. It also provides deep down cleaning and long-lasting freshness. Formulated specifically for fully automatic washing machines, it generates the right amount of foam in the machine to deliver superior cleaning inside the machine itself, without damaging the machine due to excess foam. It requires just 1 scoop for normal loads, and 1.5 scoops for heavy loads, providing performance along with value. Ariel Matics cutting edge technology provides impeccable cleaning for all your clothes, and removes tough stains like juice, chocolate, tomato and butter/ghee. Along with its new brightguard technology in Ariel Matic ensures that clothes remain bright even wash after wash and  provides tough stain removal for a bright clean in 1 wash.",2 kg,kg,2 kg,1,1,660,429,"Procter & Gamble. Katha, Himachal Pradesh 173205",India,['4987176177568'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40097083_10-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-2_10-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-3_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-4_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-5_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-6_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-7_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-8_1-ariel-detergent-washing-powder-matic-front-load.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40097083-9_1-ariel-detergent-washing-powder-matic-front-load.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '4987176177568'}, {'Manufacturer Name & ': 'Procter & Gamble. Katha, Himachal Pradesh 173205'}, {'Marketed by': 'Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099'}, {'Country of origin': 'India'}]","Procter & Gamble Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai, Maharashtra 400099",-,-,-,-,-,-
