L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand,About
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,ALLEGRO,"ALLEGRO Olive Oil - Extra Light, 1 L","Allegro extra light olive oil is the finest mediterranean extra light oil that is specially recommended for the indian cooking and frying.It complements all the traditional dishes,preserving its natural flavour, and adding the olive oil benefits.",1 L,L,1 L,1,1,1600,1600,"Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain ",Spain,['6194017200578'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40117984_5-allegro-olive-oil-extra-light.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117984-2_7-allegro-olive-oil-extra-light.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117984-3_6-allegro-olive-oil-extra-light.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117984-4_6-allegro-olive-oil-extra-light.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117984-5_6-allegro-olive-oil-extra-light.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117984-6_5-allegro-olive-oil-extra-light.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Allegro Extra Virgin Olive oil is recommended for Salad dressing,Seasoning and gifting","['EAN Code: 6194017200578 Manufactured & Marketed by: Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain FSSAI Number : Best before 09-12-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","6194017200578 Manufactured & Marketed by: Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain FSSAI Number : Best before 09-12-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ",-,-,-,Refine olive oil and Virgin olive oil,-,-,-
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,ALLEGRO,"ALLEGRO Olive Oil - Extra Virgin, 1 L",Allegro Extra Virgin olive oil is produced from the finest selection of Handpicked olives from the green fields of the Mediterranean region that give your recipes a healthy and superior taste.Its handpicked with first cold press and is ideal for salad dressing & seasoning.,1 L,L,1 L,1,1,1500,1500,"Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain ",Spain,['6194017200325'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40117983_6-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-2_8-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-3_7-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-4_7-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-5_7-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-6_6-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-7_1-allegro-olive-oil-extra-virgin.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Allegro Extra Virgin Olive oil is recommended for Salad dressing,Seasoning and gifting","['EAN Code: 6194017200325 Manufactured & Marketed by: Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain FSSAI Number : Best before 09-12-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","6194017200325 Manufactured & Marketed by: Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain FSSAI Number : Best before 09-12-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ",-,-,-,extra virgin Olive oil,-,-,-
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,ALLEGRO,"ALLEGRO Olive Oil - Extra Virgin, 1 L",Allegro Extra Virgin olive oil is produced from the finest selection of Handpicked olives from the green fields of the Mediterranean region that give your recipes a healthy and superior taste.Its handpicked with first cold press and is ideal for salad dressing & seasoning.,1 L,L,1 L,1,1,1500,1500,"Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain ",Spain,[' 6194017200325'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40117983_6-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-2_8-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-3_7-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-4_7-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-5_7-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-6_6-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-7_1-allegro-olive-oil-extra-virgin.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Allegro Extra Virgin Olive oil is recommended for Salad dressing,Seasoning and gifting","['EAN Code: 6194017200325 Manufactured & Marketed by: Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain FSSAI Number : Best before 09-12-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","6194017200325 Manufactured & Marketed by: Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain FSSAI Number : Best before 09-12-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ",-,-,-,extra virgin Olive oil,-,-,-
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,ALLEGRO,"ALLEGRO Olive Oil - Extra Virgin, 1 L",Allegro Extra Virgin olive oil is produced from the finest selection of Handpicked olives from the green fields of the Mediterranean region that give your recipes a healthy and superior taste.Its handpicked with first cold press and is ideal for salad dressing & seasoning.,1 L,L,1 L,1,1,1500,1500,"Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain ",Spain,['6194017200325'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40117983_6-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-2_8-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-3_7-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-4_7-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-5_7-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-6_6-allegro-olive-oil-extra-virgin.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40117983-7_1-allegro-olive-oil-extra-virgin.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Allegro Extra Virgin Olive oil is recommended for Salad dressing,Seasoning and gifting","['EAN Code: 6194017200325 Manufactured & Marketed by: Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain FSSAI Number : Best before 09-12-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","6194017200325 Manufactured & Marketed by: Manuel Serra, SA R.J. Ramos Maia, 301, 4481-909 VLC Country of origin: Spain FSSAI Number : Best before 09-12-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ",-,-,-,extra virgin Olive oil,-,-,-
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,AMAJAIN,"AMAJAIN Coco Power Virgin Coconut oil, 1 L","Unrefined, cold-pressed oil extracted from fresh coconut milk. The cold process method ensures that all the vital nutrients and the natural goodness of fresh coconuts are, However, it is extracted from fresh coconuts without the use of any heat, making it the finest quality of coconut oil with a delicate, mild aroma & taste, and water like clarity. It is a superfood, rich in several essential fatty acids and antioxidants, making it one of the healthiest oils for cooking, frying and baking. Apart from cooking, it can also be consumed in its raw form or added to salads, smoothies or food. VCO is rich in lauric acid, which is found naturally only in mother milk apart from Virgin Coconut Oil. This lauric acid helps improve immunity and boosts metabolism. Additionally, Cocopower can also be used externally on hair & skin and is an excellent natural moisturizer and conditioner that nourishes the skin and hair. Being 100% natural and nutritious, the oil is an excellent massage oil for babies as well. retained. A lot of the coconut oils in the market are made from copra or dehydrated coconut meat using heat",1 L,L,1 L,1,1,700,525,"Jain Agro Food Products Pvt ltd. #16-B & 16-B1, Somanahalli Industrial Area, Maddur Taluk, Mandya District, Karnataka, India 571 429",India,['40183054'],['10012043000079'],https://datalabs.siva3.io/image/Eunimart_groceries_40183054_4-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-2_7-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-3_7-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-4_7-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-5_7-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-6_7-amajain-coco-power-virgin-coconut-oil.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Unrefined and 100% natural. It is an ideal choice for cooking, better than other refined vegetable oils. 
It can be used for cooking, frying and baking and can also be consumed in its raw form. 
Rich source of good fats, which helps improve immunity, boosts metabolism and promotes weight loss. 
When used topically on hair, it reduces hair fall, strengthens hair, fights damage","['EAN Code: 40183054', 'Country of origin: India', 'FSSAI Number: 10012043000079', 'Manufactured & Marketed By: Jain Agro Food Products Pvt ltd. #16-B & 16-B1, Somanahalli Industrial Area, Maddur Taluk, Mandya District, Karnataka, India 571 429', 'Best before 26-02-2024', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","Jain Agro Food Products Pvt ltd. #16-B & 16-B1, Somanahalli Industrial Area, Maddur Taluk, Mandya District, Karnataka, India 571 429",-,-,-,Coconut Oil,-,-,-
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,AMAJAIN,"AMAJAIN Coco Power Virgin Coconut oil, 1 L","Unrefined, cold-pressed oil extracted from fresh coconut milk. The cold process method ensures that all the vital nutrients and the natural goodness of fresh coconuts are, However, it is extracted from fresh coconuts without the use of any heat, making it the finest quality of coconut oil with a delicate, mild aroma & taste, and water like clarity. It is a superfood, rich in several essential fatty acids and antioxidants, making it one of the healthiest oils for cooking, frying and baking. Apart from cooking, it can also be consumed in its raw form or added to salads, smoothies or food. VCO is rich in lauric acid, which is found naturally only in mother milk apart from Virgin Coconut Oil. This lauric acid helps improve immunity and boosts metabolism. Additionally, Cocopower can also be used externally on hair & skin and is an excellent natural moisturizer and conditioner that nourishes the skin and hair. Being 100% natural and nutritious, the oil is an excellent massage oil for babies as well. retained. A lot of the coconut oils in the market are made from copra or dehydrated coconut meat using heat",1 L,L,1 L,1,1,700,525,"Jain Agro Food Products Pvt ltd. #16-B & 16-B1, Somanahalli Industrial Area, Maddur Taluk, Mandya District, Karnataka, India 571 429",India,['40183054'],['10012043000079'],https://datalabs.siva3.io/image/Eunimart_groceries_40183054_4-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-2_7-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-3_7-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-4_7-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-5_7-amajain-coco-power-virgin-coconut-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183054-6_7-amajain-coco-power-virgin-coconut-oil.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Unrefined and 100% natural. It is an ideal choice for cooking, better than other refined vegetable oils. 
It can be used for cooking, frying and baking and can also be consumed in its raw form. 
Rich source of good fats, which helps improve immunity, boosts metabolism and promotes weight loss. 
When used topically on hair, it reduces hair fall, strengthens hair, fights damage","['EAN Code: 40183054', 'Country of origin: India', 'FSSAI Number: 10012043000079', 'Manufactured & Marketed By: Jain Agro Food Products Pvt ltd. #16-B & 16-B1, Somanahalli Industrial Area, Maddur Taluk, Mandya District, Karnataka, India 571 429', 'Best before 26-02-2024', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","Jain Agro Food Products Pvt ltd. #16-B & 16-B1, Somanahalli Industrial Area, Maddur Taluk, Mandya District, Karnataka, India 571 429",-,-,-,Coconut Oil,-,-,-
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,Almendrop,"Almendrop Almond Oil For Massage - 100% Pure,For Skin and Hair, 175 ml Pet Bottle","Almond oil is a rich source of vitamin E and is beneficial in many ways. Almonds are treasures of some essential minerals such as magnesium and calcium. Almonds have high contents of fats. Raw almond oil enhances the taste of the food including salads, grains and toasts. Besides being a nutritious food, almonds have many cosmetic benefits. Almond oil is pale yellow in colour and is extracted from almond kernels. Apart from vitamin E it also contains vitamin D and other nutritious components. Eating raw almonds can give you innumerable health benefits. There are many other uses of almond oil. Consuming almond oil is beneficial for the digestive system. When used in aromatherapy it has calming and cleansing effects. Almond oil also releases pain. It is used as an effective painkiller.",175 ml Pet Bottle,ml Pet Bottle,175 ml Pet Bottle,1,1,350,280,"Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar.",India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40043892_7-almendrop-almond-oil-for-massage-100-purefor-skin-and-hair.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40043892-2_7-almendrop-almond-oil-for-massage-100-purefor-skin-and-hair.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40043892-3_6-almendrop-almond-oil-for-massage-100-purefor-skin-and-hair.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40043892-4_6-almendrop-almond-oil-for-massage-100-purefor-skin-and-hair.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40043892-5_6-almendrop-almond-oil-for-massage-100-purefor-skin-and-hair.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,Anveshan,"Anveshan Combo Of Wood Pressed Black Sesame/Gingelly & Coconut Kachi Ghani Cooking Oil - 1 L Each, Combo 2 Items","Anveshan Wood Pressed Sesame Oil 1 L: Rich in Vitamin E, gives you strong and supple skin. Rich in omega 6 fatty acids for heart health. Extracted from the best black sesame seeds using the cold-pressed method.
Anveshan Wood Pressed Coconut Oil 1 L: 100% natural, unprocessed, cold-pressed, chemical-free, and healthy. 100% pure, vegan, preservative-free and gluten-free, also a perfect oil for Oil Massage. The wood-pressing method ensures that all the nutrients and rich taste of raw seeds are retained.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,1448,1288.72,"Anveshan Food, No 28/A Lakshmi Devi Nagar, Nandini Layout, Bangalore - 560096 B.B.M.P North Karnataka 560104",India,['1220633'],['10020043003507'],https://datalabs.siva3.io/image/Eunimart_groceries_220633_1-anveshan-wood-pressed-sesame-oil-1-l-wood-pressed-coconut-oil-1-l.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220633-2_1-anveshan-wood-pressed-sesame-oil-1-l-wood-pressed-coconut-oil-1-l.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220633-3_1-anveshan-wood-pressed-sesame-oil-1-l-wood-pressed-coconut-oil-1-l.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Anveshan Wood Pressed Sesame Oil 1 L: Cooking, sauting, salad dressing, hair and skin massage, oil pulling.
Anveshan Wood Pressed Coconut Oil 1 L: Cooking, salad dressing. hair and skin massage, oil pulling.","['EAN Code: 1220633', 'FSSAI Number: 10020043003507', 'Manufactured & Marketed By: Anveshan Food, No 28/A Lakshmi Devi Nagar, Nandini Layout, Bangalore - 560096 B.B.M.P North Karnataka 560104', 'Country of Origin: India', 'Best before 01-06-2023', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","Anveshan Food, No 28/A Lakshmi Devi Nagar, Nandini Layout, Bangalore - 560096 B.B.M.P North Karnataka 560104",-,-,-,"Anveshan Wood Pressed Sesame Oil 1 L: Black Sesame Seeds, Palm Jaggery
Anveshan Wood Pressed Coconut Oil 1 L: Dried Coconuts (100%)",-,-,-
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,Anveshan,"Anveshan Combo Of Wood Pressed Black Sesame/Gingelly & Groundnut Peanut Cooking Oil - 1 L Each, Combo 2 Items","Anveshan Wood Pressed Sesame Oil 1 L: Rich in Vitamin E, gives you strong and supple skin. Rich in omega 6 fatty acids for heart health. Extracted from the best black sesame seeds using the cold-pressed method.

Anveshan Wood Pressed Groundnut Oil 1 L: Stands out for its natural deep yellow colour and natural aroma. Its richness in vitamin E ensures you have happy skin. The high smoke point makes it a favourite for deep-frying and stir-frying. The wood pressing method ensures that all the nutrients and the rich flavour of peanuts are retained. Edible pure cold-pressed groundnut cooking oil. It gives a boost to good cholesterol. A great substitute for refined oils as it is free of any chemicals or preservatives.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,1348,1187.74,"Anveshan Food, No 28/A Lakshmi Devi Nagar, Nandini Layout, Bangalore - 560096 B.B.M.P North Karnataka 560104",India,['1220632'],['10020043003507'],https://datalabs.siva3.io/image/Eunimart_groceries_220632_1-anveshan-wood-pressed-sesame-oil-1-l-wood-pressed-groundnut-oil-1-l.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220632-2_1-anveshan-wood-pressed-sesame-oil-1-l-wood-pressed-groundnut-oil-1-l.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220632-3_1-anveshan-wood-pressed-sesame-oil-1-l-wood-pressed-groundnut-oil-1-l.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Anveshan Wood Pressed Sesame Oil 1 L: Cooking, sauting, salad dressing, hair and skin massage, oil pulling.
Anveshan Wood Pressed Groundnut Oil 1 L: Cooking, deep frying, sauting, shallow frying.","['EAN Code: 1220632', 'FSSAI Number: 10020043003507', 'Manufactured & Marketed By: Anveshan Food, No 28/A Lakshmi Devi Nagar, Nandini Layout, Bangalore - 560096 B.B.M.P North Karnataka 560104', 'Country of Origin: India', 'Best before 01-06-2023', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","Anveshan Food, No 28/A Lakshmi Devi Nagar, Nandini Layout, Bangalore - 560096 B.B.M.P North Karnataka 560104",-,-,-,"Anveshan Wood Pressed Sesame Oil 1 L: Black Sesame Seeds, Palm Jaggery
Anveshan Wood Pressed Groundnut Oil 1 L: Raw Groundnuts (100%)",-,-,-
RET,RET-10,RET-10-1B,RET-10-1B-10,RET-10-1B-10-11,Anveshan,"Anveshan Wood Cold Pressed Black Sesame/Gingelly Cooking Oil - Plastic Bottle, 500 ml","Our Wood Pressed Black Sesame Oil is 100% pure, vegan, preservative-free, chemical-free, & gluten-free. We press the sesame seeds in wooden Kolhus at a low temperature. We use cold-press technology to ensure that the nutrients remain intact. Then, we let the oil sit for sedimentation for 2-3 days. Following this, we sieve filter the black sesame oil. The oil may contain some sediments, not to worry! These sediments in your oil are a mark of cold pressed oil. It has a low smoke point and is not suitable for deep-frying. Instead, you can use it for garnishing, stir-frying, salad dressing, baking, and adding to all your favourite dishes.",500 ml,ml,500 ml,1,1,399,319.2,"NO 152, Ground floor, 3rd block, 80 feet road, HBR Layout, Bangalore, B.B.M.P North, Karnatka-560043",India,['40275687'],['10822999000041'],https://datalabs.siva3.io/image/Eunimart_groceries_40275687_1-anveshan-wood-cold-pressed-black-sesamegingelly-cooking-oil-plastic-bottle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275687-2_1-anveshan-wood-cold-pressed-black-sesamegingelly-cooking-oil-plastic-bottle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275687-3_1-anveshan-wood-cold-pressed-black-sesamegingelly-cooking-oil-plastic-bottle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275687-4_1-anveshan-wood-cold-pressed-black-sesamegingelly-cooking-oil-plastic-bottle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275687-5_1-anveshan-wood-cold-pressed-black-sesamegingelly-cooking-oil-plastic-bottle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275687-6_1-anveshan-wood-cold-pressed-black-sesamegingelly-cooking-oil-plastic-bottle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275687-7_1-anveshan-wood-cold-pressed-black-sesamegingelly-cooking-oil-plastic-bottle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40275687-8_1-anveshan-wood-cold-pressed-black-sesamegingelly-cooking-oil-plastic-bottle.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40275687', 'Manufactured by:NO 152, Ground floor, 3rd block, 80 feet road, HBR Layout, Bangalore, B.B.M.P North, Karnatka-560043', 'Marketed by: 623, Udyog Vihar, Phase-V , Gurugram, Haryana-122016.', 'Fssai details:10822999000041', 'Country of Origin: India', 'Best before 02-09-2023', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","623, Udyog Vihar, Phase-V , Gurugram, Haryana-122016.",-,-,-,Sesame Oil,-,-,-
