L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,About
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,&Stirred,"&Stirred Bloody Mary - Tomato & Pepper, 125 ml","& Stirred Cocktail Mix is the easiest way to make your favourite cocktail. This Bloody Mary mix is a classic combination of tomato, black pepper, lemon and salt, which can be added with ice and sipped on as a mocktail or can be served with vodka as a cocktail. They are ideal for serving at parties or small get together.",125 ml,ml,125 ml,1,1,50,50,"Tulya Beverages Pvt Ltd Trichy-Chennai NHNaranamangalam Village & ARTISANAL DRINKS PVT LTD, 305-C, Iris Tech Park, Sec 48, Gurgaon 122018, Haryana India",India,['8908009117021'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40120052_5-stirred-bloody-mary-tomato-pepper.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120052-2_4-stirred-bloody-mary-tomato-pepper.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120052-3_4-stirred-bloody-mary-tomato-pepper.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120052-4_3-stirred-bloody-mary-tomato-pepper.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120052-5_2-stirred-bloody-mary-tomato-pepper.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120052-6_1-stirred-bloody-mary-tomato-pepper.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8908009117021', 'Country of origin: India', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']",-,-,-,-,"Water, Sugar, Tomato Paste, Lemon Juice Concentrate, Salt, Acidity Regulator and Stabiliser.",-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,&Stirred,"&Stirred Cosmopolitan - Cranberry & Orange, 125 ml","Stirred Cocktail Mix is the easiest way to make your favourite cocktail. This Cosmopolitan mix is a classic blend of cranberries, lemon and a dash of orange, which can be added with ice and sipped on as a mocktail or can be served with vodka as a cocktail. They are ideal for serving at parties or a small get together. Best Served with - Vodka. Shake well before use.",125 ml,ml,125 ml,1,1,50,50,"Tulya Beverages Pvt Ltd Trichy-Chennai NHNaranamangalam Village & ARTISANAL DRINKS PVT LTD, 305-C, Iris Tech Park, Sec 48, Gurgaon 122018, Haryana India",India,['8908009117038'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40120053_5-stirred-cosmopolitan-cranberry-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120053-2_4-stirred-cosmopolitan-cranberry-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120053-3_4-stirred-cosmopolitan-cranberry-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120053-4_3-stirred-cosmopolitan-cranberry-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120053-5_2-stirred-cosmopolitan-cranberry-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120053-6_1-stirred-cosmopolitan-cranberry-orange.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Water, Sugar, Orange Juice Concentrate, Lemon Juice Concentrate, Cranberry Juice Concentrate, Acidity Regulator.",-,-,"['EAN Code: 8908009117038', 'Country of origin: India', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:']",-,-,-,"Non Alcoholic & 100% Vegetarian
No Preservatives (No Sodium Benzoate)
Made with real fruits
Pro-bartender like cocktails
Single Serve packs,
Always consistent cocktails",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,&Stirred,"&Stirred Kamikaze Shots - Non Alcoholic, 250 ml","The Kamikaze shooter is one of the most popular vodka shots to order in a bar. The taste is a little sweet with a punch of tartness, and it's a ton of fun at parties. &Stirred Kamikaze Shots are a ready blend of Lemon, lime and orange zest. It comes in a box with 2 packs that makes a total of 6 shots.",250 ml,ml,250 ml,1,1,125,125,"Punjab Agri Ventures Ltd. - Punjab Agri food Park Complex, Milestone 202, National Highway 1, Sirhind Punjab - 140406",India,['40183642'],['10019064001775'],https://datalabs.siva3.io/image/Eunimart_groceries_40183642_5-stirred-kamikaze-shots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183642-2_9-stirred-kamikaze-shots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183642-3_9-stirred-kamikaze-shots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183642-4_8-stirred-kamikaze-shots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183642-5_9-stirred-kamikaze-shots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183642-6_1-stirred-kamikaze-shots.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40183642', 'Country Of Origin: India', 'FSSAI Number: 10019064001775', 'Manufacturer Name & Address: Punjab Agri Ventures Ltd. - Punjab Agri food Park Complex, Milestone 202, National Highway 1, Sirhind Punjab - 140406', 'Marketed by: Artisanal Drinks Pvt. Ltd. - 305-C, 3rd floor, IRIS Tech Park, Sector-48, Gurgaon-122018, Haryana', 'Best before 03-09-2023', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:']","Artisanal Drinks Pvt. Ltd. - 305-C, 3rd floor, IRIS Tech Park, Sector-48, Gurgaon-122018, Haryana",-,-,"Each box makes 6 Kamikaze Shots
Perfect Vodka Shots for your party
Non-Alcoholic & 100% Vegetarian
No Preservatives (No Sodium Benzoate)
Pro-bartender like cocktails
Single Serve packs,
Always consistent cocktails","Water, Sugar, Lemon Juice Concentrate (2. 1%), Acidity Regulator (INS 330, 331)",-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,&Stirred,"&Stirred Margarita - Lemon & Lime, 125 ml","Margarita is one of the most popular classic cocktails in North America ”for good reason. Combining the tang of lime and the sweetness of orange with the distinctive strength of tequila, it strikes all of the right keys. &Stirred Margarita mix is a ready blend of Lemon, lime and orange zest. It is our answer to help you 'Sip' Tequila.",125 ml,ml,125 ml,1,1,50,50,"Tulya Beverages Pvt Ltd Trichy-Chennai NHNaranamangalam Village & ARTISANAL DRINKS PVT LTD, 305-C, Iris Tech Park, Sec 48, Gurgaon 122018, Haryana India",India,['8908009117014'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40120051_5-stirred-margarita-lemon-lime.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120051-2_3-stirred-margarita-lemon-lime.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120051-3_3-stirred-margarita-lemon-lime.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120051-4_4-stirred-margarita-lemon-lime.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120051-5_2-stirred-margarita-lemon-lime.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40120051-6_1-stirred-margarita-lemon-lime.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Water, Sugar, Lemon Juice Concentrate, Acidity Regulator And Stabiliser.",-,-,"[{'EAN Code': '8908009117014'}, {'Country of origin': 'India'}]",-,-,-,"Non Alcoholic & 100% Vegetarian
No Preservatives (No Sodium Benzoate)
Made with premium Sicilian Lemons
Pro-bartender like cocktails
Single Serve packs,
Always consistent cocktails",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,&Stirred,"&Stirred Pina Colada, 150 ml","Pina Colada is a very popular tropical cocktail. It's a great summertime drink with the delicious flavour combination of pineapple and coconut backed by your favourite white rum. &Stirred Pina Colada mix is a rich blend of creamy coconut and juicy pineapple with hints of vanilla. Rich, exotic, sweet, creamy and simply irresistible.",150 ml,ml,150 ml,1,1,60,60,"Punjab Agri Ventures Ltd. - Punjab Agri food Park Complex, Milestone 202, National Highway 1, Sirhind Punjab - 140406",India,['898009117144'],['10019064001775'],https://datalabs.siva3.io/image/Eunimart_groceries_40183643_5-stirred-pina-colada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183643-2_7-stirred-pina-colada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183643-3_8-stirred-pina-colada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183643-4_7-stirred-pina-colada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183643-5_7-stirred-pina-colada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183643-6_1-stirred-pina-colada.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '898009117144'}, {'Country Of Origin': 'India'}, {'FSSAI Number': '10019064001775'}, {'Manufacturer Name & Address': 'Punjab Agri Ventures Ltd. - Punjab Agri food Park Complex, Milestone 202, National Highway 1, Sirhind Punjab - 140406'}, {'Marketed by': 'Artisanal Drinks Pvt. Ltd. - 305-C, 3rd floor, IRIS Tech Park, Sector-48, Gurgaon-122018, Haryana'}]","Artisanal Drinks Pvt. Ltd. - 305-C, 3rd floor, IRIS Tech Park, Sector-48, Gurgaon-122018, Haryana",-,-,"Non-Alcoholic,
No Preservatives
Made with real fruits
Pro-bartender like cocktails
Single Serve Easy
Quick and Convenient.","Pineapple Juice Concentrate (8%), Coconut Cream (6%), Pineapple Puree (4%), Salt, Acidity Regulator (INS 330, 331(iii), Water, Sugar",-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,&Stirred,"&Stirred Red Sangria, 100 ml","Sangria is a delicious fruit-based wine ""punch"" with roots in Spain but is now popular all around the world. This refreshing summer drink is a perfect welcome drink to make an impression. &Stirred Sangria mix makes Wine taste better. It is a ready blend of Passion fruit juice, Orange, lemon and lime. It comes in a Single serve pack perfectly balanced for a 100ml serving of your favourite wine.",100 ml,ml,100 ml,1,1,60,60,"Punjab Agri Ventures Ltd. - Punjab Agri food Park Complex, Milestone 202, National Highway 1, Sirhind Punjab - 140406",India,['40183641'],['10019064001775'],https://datalabs.siva3.io/image/Eunimart_groceries_40183641_5-stirred-red-sangria.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183641-2_7-stirred-red-sangria.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183641-3_7-stirred-red-sangria.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183641-4_7-stirred-red-sangria.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183641-5_7-stirred-red-sangria.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183641-6_1-stirred-red-sangria.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40183641', 'Country Of Origin: India', 'FSSAI Number: 10019064001775', 'Manufacturer Name & Address: Punjab Agri Ventures Ltd. - Punjab Agri food Park Complex, Milestone 202, National Highway 1, Sirhind Punjab - 140406', 'Marketed by: Artisanal Drinks Pvt. Ltd. - 305-C, 3rd floor, IRIS Tech Park, Sector-48, Gurgaon-122018, Haryana', 'Best before 03-09-2023', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:']","Artisanal Drinks Pvt. Ltd. - 305-C, 3rd floor, IRIS Tech Park, Sector-48, Gurgaon-122018, Haryana",-,-,"Non-Alcoholic
No Preservatives
Made with real fruits
Pro - bartender like cocktails
Single Serve Easy,
Quick and Convenient","Passion Fruit Puree (9%), Orange Juice Concentrate (6%), Acidity Regulator (INS 330, 331(iii), Water, Sugar",-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,Amrutanjan,"Amrutanjan Fruitnik Electro+ ORS Apple Drink, 200 ml","Enriched with Electrolytes and Vitamin C, Fruitnik Electro+ ORS is an Apple flavoured ready-to-drink beverage that is more effective than many regular beverages in preventing dehydration. It aids in the recovery of salts and fluids (rehydration) lost due to sports and exercise while recovering from diarrhoea or through travel and hot conditions. Now rehydrate and feel alive!",200 ml,ml,200 ml,1,1,35,35,AMRUTANJAN HEALTH CARE LTD,India,['40111051'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40111051_2-amrutanjan-fruitnik-electro-ors-apple-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111051-2_2-amrutanjan-fruitnik-electro-ors-apple-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111051-3_2-amrutanjan-fruitnik-electro-ors-apple-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111051-4_2-amrutanjan-fruitnik-electro-ors-apple-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111051-5_2-amrutanjan-fruitnik-electro-ors-apple-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111051-6_2-amrutanjan-fruitnik-electro-ors-apple-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111051-7_1-amrutanjan-fruitnik-electro-ors-apple-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111051-8_1-amrutanjan-fruitnik-electro-ors-apple-drink.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Serve size: 200 ml
Do not buy or drink if the bottle is puffed or the seal tampers
Store in a cool and dry place away from sunlight
Shake well before serving
Tastes best when chilled","[{'EAN Code': '40111051'}, {'Country of origin': 'India'}, {'Manufacturer Name': 'AMRUTANJAN HEALTH CARE LTD'}]",-,-,-,"Rehydration through a tasty Apple juice drink enriched with Electrolytes, Vitamin-C and Glucose
Electro+ ORS Apple drink- R3 formula Restores electrolytes - lost through sweat
Refills glycogen - carbs to replace lost glycogen
Reduces muscle stress - sodium, potassium and chloride help replace lost essential salts",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,Auric,"Auric Tender Coconut Water - Energy Drink, Rich In Electrolytes, 200 ml","Auric Tender Coconut Water Energy Drink is super refreshing and ideal for any time of the day. The Auric Tender Coconut Water Energy Drink has no added sugar. This energy drink is an instant mood booster and tastes delicious. This Auric product is 100% natural, clean and safe for consumption. It contains no added chemicals, flavours or additives. Enjoy this delicacy to keep your health in check while relishing in impeccable taste, texture and flavours. Explore a wide range of healthy and Ayurveda-inspired supplements, snacks, beverages and more from Auric only on Big Basket.",200 ml,ml,200 ml,1,1,60,60,"Habhit wellness Pvt ltd A-1 Buldg no. C , Ravari Industrial complex, Kongaon, Bhiwandi, kalyan west thane 421311 & 419, DLF, Tower-A, Jasola, New Delhi-110025",India,['8908010790886'],['10021011000598'],https://datalabs.siva3.io/image/Eunimart_groceries_40279120_1-auric-tender-coconut-water-energy-drink-rich-in-electrolytes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40279120-2_1-auric-tender-coconut-water-energy-drink-rich-in-electrolytes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40279120-3_1-auric-tender-coconut-water-energy-drink-rich-in-electrolytes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40279120-4_1-auric-tender-coconut-water-energy-drink-rich-in-electrolytes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40279120-5_1-auric-tender-coconut-water-energy-drink-rich-in-electrolytes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40279120-6_1-auric-tender-coconut-water-energy-drink-rich-in-electrolytes.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40279120-7_1-auric-tender-coconut-water-energy-drink-rich-in-electrolytes.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8908010790886', 'FSSAI No: 10021011000598', 'Manufactured & Marketed by: Habhit wellness Pvt ltd A-1 Buldg no. C , Ravari Industrial complex, Kongaon, Bhiwandi, kalyan west thane 421311 & 419, DLF, Tower-A, Jasola, New Delhi-110025', 'Country of origin: India', 'Best before 17-07-2023', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","Habhit wellness Pvt ltd A-1 Buldg no. C , Ravari Industrial complex, Kongaon, Bhiwandi, kalyan west thane 421311 & 419, DLF, Tower-A, Jasola, New Delhi-110025",-,-,-,Tender Coconut Water,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,Bab Louie & Co.,"Bab Louie & Co. Aromatic Spiced Bitters - Non-alcoholic, 100 ml","Bab & Louie started with the simple idea that bitters could be better! Their focus was to create bitters using nearly all organic ingredients of the highest quality. Bab Louie Aromatic spiced bitters are classic aromatic bitters made from 15 special botanicals. Bab & Louie Aromatic Spiced Bitters adds a layer of complexity & has a unique Sweet and bitter taste with clear hints of cinnamon and caramel. This bitter creates a wonderful layer of flavour and brings balance to drinks and food recipes in just a few magical dashes. It makes a perfect addition to numerous classic cocktails & is a star for the bars and restaurants because of its property to decrease the harshness of spirits but it doesn't stop there, it can complement any recipe, which makes it a good element for household kitchens too. Bab Louie bitters are handcrafted bitters with the love of Bab & Louie for their homes. Each blend adds a classic edge to even the finest cocktails.",100 ml,ml,100 ml,1,1,1250,1250,"PLOT NO. G-8/31 2ND AND 3RD FLOOR BLK-G PKT-8 SECTOR 11 ROHINI North Delhi 110085 & Bab Louie & Co . ( Bab Louie India LLP ) , office address - 806 , Crown Heights , Crown Plaza Rohini , New Delhi",India,['2236626524'],['10020011008347'],https://datalabs.siva3.io/image/Eunimart_groceries_40222861_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222861-2_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222861-3_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222861-4_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222861-5_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222861-6_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222861-7_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222861-8_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222861-9_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222861-10_2-bab-louie-co-aromatic-spiced-bitters-non-alcoholic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 2236626524', 'FSSAI No: 10020011008347', 'Manufactured & Marketed by:PLOT NO. G-8/31 2ND AND 3RD FLOOR BLK-G PKT-8 SECTOR 11 ROHINI North Delhi 110085 & Bab Louie & Co . ( Bab Louie India LLP ) , office address - 806 , Crown Heights , Crown Plaza Rohini , New Delhi', 'Country of origin: India', 'Best before 04-06-2023', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","PLOT NO. G-8/31 2ND AND 3RD FLOOR BLK-G PKT-8 SECTOR 11 ROHINI North Delhi 110085 & Bab Louie & Co . ( Bab Louie India LLP ) , office address - 806 , Crown Heights , Crown Plaza Rohini , New Delhi",-,-,-,"Water, Glycerine, Caramel Syrup, Kaffir Lime, Juniper, Thyme, Rosemary, Nutmeg, Cinnamon & Other Herbs & Spices",-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-15,Bab Louie & Co.,"Bab Louie & Co. Orange Bitters - Non-alcoholic, 100 ml","Bab & Louie started with the simple idea that bitters could be better! Their focus was to create bitters using nearly all organic ingredients of the highest quality. Bab Louie Orange Bitters are classic aromatic bitters made from 15 special botanicals. Orange Bitters - Non-alcoholic adds a layer of complexity & has a unique Sweet and bitter taste with clear hints of cinnamon and caramel. This bitterness creates a wonderful layer of flavour and brings balance to drinks and food recipes in just a few magical dashes. It makes a perfect addition to numerous classic cocktails & is a star for the bars and restaurants because of its property to decrease the harshness of spirits but it doesn't stop there, it can complement any recipe, which makes it a good element for household kitchens too. Bab Louie bitters are handcrafted bitters with the love of Bab & Louie for their homies. Each blend adds a classic edge to even the finest cocktails.",100 ml,ml,100 ml,1,1,1250,1250,"PLOT NO. G-8/31 2ND AND 3RD FLOOR BLK-G PKT-8 SECTOR 11 ROHINI North Delhi 110085 & Bab Louie & Co . ( Bab Louie India LLP ) , office address - 806 , Crown Heights , Crown Plaza Rohini , New Delhi",India,['2237726525'],['10020011008347'],https://datalabs.siva3.io/image/Eunimart_groceries_40222862_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222862-2_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222862-3_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222862-4_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222862-5_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222862-6_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222862-7_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222862-8_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222862-9_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222862-10_2-bab-louie-co-orange-bitters-non-alcoholic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 2237726525', 'FSSAI No: 10020011008347', 'Manufactured & Marketed by:PLOT NO. G-8/31 2ND AND 3RD FLOOR BLK-G PKT-8 SECTOR 11 ROHINI North Delhi 110085 & Bab Louie & Co . ( Bab Louie India LLP ) , office address - 806 , Crown Heights , Crown Plaza Rohini , New Delhi', 'Country of origin: India', 'Best before 04-06-2023', 'For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 ']","PLOT NO. G-8/31 2ND AND 3RD FLOOR BLK-G PKT-8 SECTOR 11 ROHINI North Delhi 110085 & Bab Louie & Co . ( Bab Louie India LLP ) , office address - 806 , Crown Heights , Crown Plaza Rohini , New Delhi",-,-,-,"Water, Glycerine, Caramel Syrup, Orange Extracts, Juniper, Thyme, Rosemary, Nutmeg, Cinnamon & Other Herbs & Spices",-,-
