L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Aloe Vera - Organically grown (Loose), 1 pc","Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",1 pc,pc,1 pc,1,1,53.95,41,"Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",India,['3000129'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30001293_20-fresho-aloe-vera-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30001293-2_22-fresho-aloe-vera-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '3000129'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Amaranthus - Red Cleaned, without roots, 250 g","A highly nutritious leafy vegetable, Red Amaranthus has bright red leaves and a flavor similar to a beat.
The Red variety produces feathery purple, magenta, or red flowers from the central stalk which is packed with edible seeds.
But once they mature and become bushy, they are not edible and should be avoided.
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1109/thotakura-vadiyalu-curry/",250 g,g,250 g,1,1,26.15,19.5,"Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",India,['30000575'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30000575_14-fresho-amaranthus-red-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30000575-2_1-fresho-amaranthus-red-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30000575-3_1-fresho-amaranthus-red-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30000575-4_1-fresho-amaranthus-red-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30000575-5_1-fresho-amaranthus-red-cleaned-without-roots.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Amaranthus is an excellent source of elements like foliate, calcium, phosphorous, Vitamin C, A and a powerhouse of Iron. Relieves a wide variety of oral problems like mouth ulcers, sore throat, bad breath and swollen gums.
Regular consumption helps in easing digestion, excessive menstruation and weight management.
The leaves are also deemed to be an effective measure against hair loss, skin problems and premature greying.",-,"[{'EAN Code': '30000575'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Avocado (Loose), 1 kg","Avocados are oval shaped fruits with a thick green and a bumpy, leathery outer skin. They have a unique-texture, with a creamy and light green coloured flesh that has a buttery flavour and special aroma. Avocados are also known as an alligator pear or butter fruit. Fresho avocados delivered to you, will not just entice your taste buds but will also ensure your well being.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2205/chatpate-green-noodles/
Ripe Avocados turn dark brown or Black in colour. Any small black spots on the fruit is due to abrasion during harvesting or handling and does not affect the quality of the fruit",1 kg,kg,1 kg,1,1,520.39,369,"Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",India,['10000312'],-,https://datalabs.siva3.io/image/Eunimart_groceries_312_19-fresho-avocado.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_312-2_1-fresho-avocado.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_312-3_1-fresho-avocado.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_312-4_1-fresho-avocado.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_312-5_1-fresho-avocado.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Avocados improve digestion and are good for heart health and vision. They are rich in vitamins like C, E, K, B6, Magnesium, potassium and healthy fat.
It prevents osteoporosis, cancer and reduces the risk of depression. They are also good for pregnant women as they are rich in folate that prevents neural tube defects in infants.",-,"[{'EAN Code': '10000312'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Avocado (Loose), 1 kg","Avocados are oval shaped fruits with a thick green and a bumpy, leathery outer skin. They have a unique-texture, with a creamy and light green coloured flesh that has a buttery flavour and special aroma. Avocados are also known as an alligator pear or butter fruit. Fresho avocados delivered to you, will not just entice your taste buds but will also ensure your well being.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2205/chatpate-green-noodles/
Ripe Avocados turn dark brown or Black in colour. Any small black spots on the fruit is due to abrasion during harvesting or handling and does not affect the quality of the fruit",1 kg,kg,1 kg,1,1,520.39,369,"Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",India,['10000312'],-,https://datalabs.siva3.io/image/Eunimart_groceries_312_19-fresho-avocado.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_312-2_1-fresho-avocado.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_312-3_1-fresho-avocado.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_312-4_1-fresho-avocado.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_312-5_1-fresho-avocado.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Avocados improve digestion and are good for heart health and vision. They are rich in vitamins like C, E, K, B6, Magnesium, potassium and healthy fat.
It prevents osteoporosis, cancer and reduces the risk of depression. They are also good for pregnant women as they are rich in folate that prevents neural tube defects in infants.",-,"[{'EAN Code': '10000312'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Avocado - Imported, Medium (Loose), 1 pc","Imported avocados come with an irresistible buttery flavour. They have a unique-textured, creamy and light green flesh with a special aroma. Avocados are also known as an alligator pear or butter fruit.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2205/chatpate-green-noodles/
Ripe Avocados turn dark brown or Black in colour. Any small black spots on the fruit is due to abrasion during harvesting or handling and does not affect the quality of the fruit",1 pc,pc,1 pc,1,1,265.79,202,"Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",New Zealand Peru Chile,['30009284'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30009284_8-fresho-avocado-imported-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30009284-2_2-fresho-avocado-imported-medium.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Avocados improve digestion and are good for heart health and vision. They are rich in vitamins like C, E, K, B6, Magnesium, potassium and healthy fat.
It prevents osteoporosis, cancer and reduces the risk of depression. They are also good for pregnant women as they are rich in folate that prevents neural tube defects in infants.",-,"[{'EAN Code': '30009284'}, {'Country of origin': 'New Zealand, Peru, Chile'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Banana Blossom - Peeled, 1 pc","Tear-shaped maroon or purplish flowers hanging at the end of banana clusters are banana blossoms.
Beneath each purple sheath lies an arranged row of lithe, yellow-tipped fronds.
These are the small buds that ultimately become bananas.
Fresho brings to you neatly and carefully packed and peeled banana blossoms for your ease and convenience!",1 pc,pc,1 pc,1,1,64.47,64.47,"Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",India,['40005815'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_40005815_6-fresho-banana-blossom-peeled.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Banana blossoms reduce menstrual bleeding.
They help reduce diabetes and anemia and are a rich source of vitamins and minerals.",-,"[{'EAN Code': '40005815'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}]","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Basil Italian - Hydroponically Grown, 100 g","The refreshing, fresh & unique flavor of Italian basil is good enough to bliss out your mood.
A must-have in your kitchen for the burst of taste and flavor it lends to any recipe.
It is hydroponically grown and is pesticide-free and completely traceable to the farm.
It is grown hygienically and saving up to 90% water as compared to conventional farming",100 g,g,100 g,1,1,97.37,74,"Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",India,['40198830'],['11520037000328'],https://datalabs.siva3.io/image/Eunimart_groceries_40198830_1-fresho-basil-italian-hydroponically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Basil makes your food healthy with a touch of macronutrients,
such as calcium and vitamin K, as well as a range of antioxidants.",-,"[{'EAN Code': '40198830'}, {'FSSAI Number': '11520037000328'}, {'Manufactured & Marketed By': 'Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507'}, {'Country of Origin': 'India'}]","Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",-,-,-,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Blueberry, 125 g","Plump, smooth-skinned and indigo coloured perfect little globes of juicy berries have mostly sweet and slightly tart flavour. We have imported this fine quality, delicious tasting variety of blueberries.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/564/blueberry-mousse/",125 g,g,125 g,1,1,232.89,174,"Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",Chile,['7800122000420'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30009286_7-fresho-blueberry.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Blueberries are rich in antioxidants. They decrease the risk of obesity, diabetes and heart diseases.
Good for weight loss and to maintain hair and skin health.
They also improve mental health and maintain healthy bones.",-,"[{'EAN Code': '7800122000420'}, {'Country of origin': 'Chile'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Bok Choy - Hydroponically Grown, 150 - 200 g","Bok Choy is fresh, mild, and sweet is welded with a pinch of bitterness.
These tender and crisp green leaves are a container of healthy nutrition.
It is hydroponically grown and is pesticide-free and completely traceable to the farm.
It is grown hygienically and saving up to 90% water as compared to conventional farming",150 - 200 g,g,150 - 200 g,1,1,121.05,92,"Farmogo Exotica Private Limited, Plot 22/1, Talegaon MIDC, Maval, Pune- 410507",India,['40198831'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40198831_1-fresho-bok-choy-hydroponically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Bok Choy is filled with calcium, vitamins, potassium, and excellent for building and maintaining bone strength.",-,"[{'EAN Code': '40198831'}, {'Country of origin': 'India'}]",-,-,-,-,,,,,
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Butterhead Lettuce - Hydroponically Grown With Live Roots, 125 - 200 g","Butterhead Lettuce has a loosehead and soft buttery texture that quickly melts in the mouth.
It has a mild, sweet, and succulent flavor.
It is hydroponically grown with live roots, is pesticide-free, and completely traceable to the farm.
It is grown hygienically and saving up to 90% water as compared to conventional farming.",125 - 200 g,g,125 - 200 g,1,1,121.05,92,"Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",India,['1100026'],['1001504200228'],https://datalabs.siva3.io/image/Eunimart_groceries_40198822_1-fresho-butterhead-lettuce-hydroponically-grown-with-live-roots.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"This sweet-mild flavour lettuce is loaded with Vitamin A, which helps to produce healthy skin, hair and strong bones.",-,"[{'EAN Code': '1100026'}, {'Country of origin': 'India'}, {'FSSAI Number': '1001504200228'}, {'Manufactured & Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}]","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,,,,,
