Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image,Image,Image,Image,Image,Image,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Warranty,Adjustable,Fastening,Filtration,Foldable,Mask Type,Package Content,Ply,Reusable,Sustainable,Benefit,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00005911,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack Of 2 Black Solid 7-Ply Protective Outdoor Masks,Black,(M),1,Jockey,328,328,This item cannot be returned.,,,2,Units,Cotton,"Page Industries Ltd, PAGE INDUSTRIES LIMITEDUmiya Business Bay-Tower-1, 7th Floor, Cessna Business Park, Kadubeesanahalli, Varthur Hobli, Bengaluru- 560103. CIN: L18101KA1994PLC016554",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlackSolid7-PlyProtectiveOutdoorMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlackSolid7-PlyProtectiveOutdoorMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlackSolid7-PlyProtectiveOutdoorMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlackSolid7-PlyProtectiveOutdoorMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,7,(Y),Regular,,,Solid,,,,,,,,,
EU00005912,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack Of 2 Black Solid 7-Ply Protective Outdoor Masks,Black,(L),1,Jockey,328,328,This item cannot be returned.,,,2,Units,Cotton,"Page Industries Ltd, PAGE INDUSTRIES LIMITEDUmiya Business Bay-Tower-1, 7th Floor, Cessna Business Park, Kadubeesanahalli, Varthur Hobli, Bengaluru- 560103. CIN: L18101KA1994PLC016554",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlackSolid7-PlyProtectiveOutdoorMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlackSolid7-PlyProtectiveOutdoorMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlackSolid7-PlyProtectiveOutdoorMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlackSolid7-PlyProtectiveOutdoorMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,7,(Y),Regular,,,Solid,,,,,,,,,
EU00005913,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack of 3 Protekt-X Reusable 4-Ply Printed Facemasks,Multicoloured,(Onesize),1,HRX by Hrithik Roshan,799,279,This item cannot be returned.,,,3,Units,Polyester,"Omnitech Retail, CREA MARKETING SERVICES PVT LTD, HR-29, C5A, Ground Floor, Pul Prahaladpur, DELHI-110044",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3Protekt-XReusable4-PlyPrintedFacemasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3Protekt-XReusable4-PlyPrintedFacemasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3Protekt-XReusable4-PlyPrintedFacemasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3Protekt-XReusable4-PlyPrintedFacemasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,,,,,,Printed,,,,,,,,,
EU00005914,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Men Black 2 Pcs 5 Ply Face Mask,Black,(Onesize),1,Puma,499,344,This item cannot be returned.,,,2,Units,Cotton,"Puma Sports India Pvt. Ltd.(NSCM), BVK EXPORTS INDIAPRIVATE LIMITED, SHED NO.39, 40 TEKIC TEA NAGAR, MUDALIPALAYAM TIRUPUR, TAMILNADU, 641606 TIRUPUR, India",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaMenBlack2Pcs5PlyFaceMask_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaMenBlack2Pcs5PlyFaceMask_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaMenBlack2Pcs5PlyFaceMask_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17PumaMenBlack2Pcs5PlyFaceMask_4.jpg,,,,,,(N),(N),(N),,,,Male,,,,,,,,,,,,(N),,Valved,(Y),Protective Outdoor Mask,Mask,5,,,,,,,,,,,,,,
EU00005915,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Pack Of 4 6-Ply Reusable Protective Outdoor Masks,Multicoloured,(Onesize),1,Lee Cooper,699,299,This item cannot be returned.,,,4,Units,Cotton,"Brandzstorm India Marketing Pvt.Ltd., Brandzstorm India Marketing Pvt Ltd, 305 Hubtown Solairs, Prof NS Phadke Marg, Opp Telli Gully, Andheri East, Mumbai - 400069",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17LeeCooperPackOf46-PlyReusableProtectiveOutdoorMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17LeeCooperPackOf46-PlyReusableProtectiveOutdoorMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17LeeCooperPackOf46-PlyReusableProtectiveOutdoorMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17LeeCooperPackOf46-PlyReusableProtectiveOutdoorMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,6,(Y),Regular,,,,,,,,,,,,
EU00005916,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack Of 2 Blue Solid 7-Ply Protective Outdoor Masks,Blue,(M),1,Jockey,328,328,This item cannot be returned.,,,2,Units,Cotton,"Page Industries Ltd, PAGE INDUSTRIES LIMITEDUmiya Business Bay-Tower-1, 7th Floor, Cessna Business Park, Kadubeesanahalli, Varthur Hobli, Bengaluru- 560103. CIN: L18101KA1994PLC016554",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlueSolid7-PlyProtectiveOutdoorMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlueSolid7-PlyProtectiveOutdoorMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlueSolid7-PlyProtectiveOutdoorMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlueSolid7-PlyProtectiveOutdoorMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,7,(Y),Regular,,,Solid,,,,,,,,,
EU00005917,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack Of 2 Blue Solid 7-Ply Protective Outdoor Masks,Blue,(L),1,Jockey,328,328,This item cannot be returned.,,,2,Units,Cotton,"Page Industries Ltd, PAGE INDUSTRIES LIMITEDUmiya Business Bay-Tower-1, 7th Floor, Cessna Business Park, Kadubeesanahalli, Varthur Hobli, Bengaluru- 560103. CIN: L18101KA1994PLC016554",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlueSolid7-PlyProtectiveOutdoorMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlueSolid7-PlyProtectiveOutdoorMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlueSolid7-PlyProtectiveOutdoorMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17JockeyUnisexPackOf2BlueSolid7-PlyProtectiveOutdoorMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,7,(Y),Regular,,,Solid,,,,,,,,,
EU00005918,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Pack Of 5 White Brand Logo Print 2-Ply Reusable Cloth Masks,White,(Onesize),1,Heelium,1649,799,This item cannot be returned.,,,5,Units,,"Heelium Sports Private Limited, Gowdown No. 1, S No. 146/5A, Aundh Rawet BRT Road, Opp. Narsimha Mandir, Tathawade, Pune-411033",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HeeliumPackOf5WhiteBrandLogoPrint2-PlyReusableClothMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HeeliumPackOf5WhiteBrandLogoPrint2-PlyReusableClothMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HeeliumPackOf5WhiteBrandLogoPrint2-PlyReusableClothMasks_3.jpg,,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(N),Elasticated,Unvalved,(Y),Cloth Mask,Mask,2,(Y),Regular,,,Brand,,,,,,,,,
EU00005919,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Unisex Pack of 3 Protekt-X Reusable 4-Layer Face Masks,Multicoloured,(Onesize),1,HRX by Hrithik Roshan,799,279,This item cannot be returned.,,,3,Units,Polyester,"Omnitech Retail, CREA MARKETING SERVICES PVT LTD, HR-29, C5A, Ground Floor, Pul Prahaladpur, DELHI-110044",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3Protekt-XReusable4-LayerFaceMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3Protekt-XReusable4-LayerFaceMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3Protekt-XReusable4-LayerFaceMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17HRXbyHrithikRoshanUnisexPackof3Protekt-XReusable4-LayerFaceMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Protective Outdoor Mask,Mask,,,,,,,,,,,,,,,
EU00005920,RET,RET-13,RET-13-19,RET-13-19-10,RET-13-19-10-17,Adults Black 50 Pcs 3-Ply Disposable Surgical Face Masks,Black,(Onesize),1,CENWELL,499,299,This item cannot be returned.,,,50,Units,Non-woven fabric,"Twenty First Century Creations Pvt Ltd, TWENTY FIRST CENTURY CREATIONS PVT LTD, B-199 ASHOK VIHAR PHASE-1 NEW DELHI, NEW DELHI, DELHI, IN, 110052",India,,,,,(N),,,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17CENWELLAdultsBlack50Pcs3-PlyDisposableSurgicalFaceMasks_1.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17CENWELLAdultsBlack50Pcs3-PlyDisposableSurgicalFaceMasks_2.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17CENWELLAdultsBlack50Pcs3-PlyDisposableSurgicalFaceMasks_3.jpg,https://datalabs.siva3.io/images/FaceMasksRET-13-19-10-17CENWELLAdultsBlack50Pcs3-PlyDisposableSurgicalFaceMasks_4.jpg,,,,,,(N),(N),(N),,,,Unisex,,,,,,,,,,,,(Y),Elasticated,Unvalved,(Y),Surgical Mask,Mask,3,(Y),Regular,,,,,,,,,,,,
