L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Specification,About
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Auto flow,"Auto flow Doraemon Gold Feeding Bottle With Silicone Nipple & Spoon - BPA Free, Durable, 125 ml","The Autoflow Gold Feeding Bottle with a spoon and soft silicone nipple is the perfect option for you to switch from breastfeeding to bottle-feeding. This product by Autoflow has been manufactured from the top grade raw material in order to satisfy the user's need. These bottles help in making your baby feeding experience easier. It is one way to a non-toxic, BPA-free and high-quality feeding to your baby. This product comes with a spoon and silicone nipple to advance your newborn's nourishment process. Comes in an exclusive range of Doraemon print making it more attractive to your infant. Explore the wide range of baby products by Autoflow only on Big Basket.",125 ml,ml,125 ml,1,1,180,180,"National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",India,['8904094401229'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40247241_1-auto-flow-doraemon-gold-feeding-bottle-with-silicone-nipple-spoon-bpa-free-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247241-2_1-auto-flow-doraemon-gold-feeding-bottle-with-silicone-nipple-spoon-bpa-free-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247241-3_1-auto-flow-doraemon-gold-feeding-bottle-with-silicone-nipple-spoon-bpa-free-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247241-4_1-auto-flow-doraemon-gold-feeding-bottle-with-silicone-nipple-spoon-bpa-free-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Solid and unbreakable.
2. This product is sterilizable.
3. Sparkling clear feeding bottle.
4. Easy to clean
5. Heat resistant upto 140 degrees Celcius.","For babies to drink milk and other liquid items like juice and water, as these bottles are designed to allow the liquid to flow smoothly into the baby's mouth.","[{'EAN Code': '8904094401229'}, {'Manufactured & Marketed by': 'National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.'}, {'Country of origin': 'India'}]","National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",-,-,-,"1. To clean the product use liquid soap with a light brush.
2. Sterilize before first use to ensure hygiene.",-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Auto flow,"Auto flow Doraemon Gold Feeding Bottle With Silicone Nipple & Spoon - BPA Free, Durable, 125 ml","The Autoflow Gold Feeding Bottle with a spoon and soft silicone nipple is the perfect option for you to switch from breastfeeding to bottle-feeding. This product by Autoflow has been manufactured from the top grade raw material in order to satisfy the user's need. These bottles help in making your baby feeding experience easier. It is one way to a non-toxic, BPA-free and high-quality feeding to your baby. This product comes with a spoon and silicone nipple to advance your newborn's nourishment process. Comes in an exclusive range of Doraemon print making it more attractive to your infant. Explore the wide range of baby products by Autoflow only on Big Basket.",125 ml,ml,125 ml,1,1,180,180,"National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",India,['8904094401229'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40247241_1-auto-flow-doraemon-gold-feeding-bottle-with-silicone-nipple-spoon-bpa-free-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247241-2_1-auto-flow-doraemon-gold-feeding-bottle-with-silicone-nipple-spoon-bpa-free-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247241-3_1-auto-flow-doraemon-gold-feeding-bottle-with-silicone-nipple-spoon-bpa-free-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247241-4_1-auto-flow-doraemon-gold-feeding-bottle-with-silicone-nipple-spoon-bpa-free-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Solid and unbreakable.
2. This product is sterilizable.
3. Sparkling clear feeding bottle.
4. Easy to clean
5. Heat resistant upto 140 degrees Celcius.","For babies to drink milk and other liquid items like juice and water, as these bottles are designed to allow the liquid to flow smoothly into the baby's mouth.","[{'EAN Code': '8904094401229'}, {'Manufactured & Marketed by': 'National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.'}, {'Country of origin': 'India'}]","National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",-,-,-,"1. To clean the product use liquid soap with a light brush.
2. Sterilize before first use to ensure hygiene.",-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Auto flow,"Auto flow Doraemon Mega Star Feeding Bottle With Silicone Nipple - BPA Free, Durable, 125 ml",The Autoflow Mega Star Fancy Feeding Bottle with a fancy cover is the best option for an unbreakable and lightweight bottle feeding. The products manufactured by Autoflow are produced with top-grade raw material ensuring a BPA-free feeding experience for your baby. It is a suitable feeding bottle for infants and toddlers for long term use. It is easily washable and reusable. The fancy bottle cover is made from soft cotton fabric that protects feeding bottles from dust and scratches by keeping the bottle covered at home or while traveling. Explore the wide range of baby products by Autoflow only on Big Basket.,125 ml,ml,125 ml,1,1,120,120,"National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",India,['40247244'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40247244_1-auto-flow-doraemon-mega-star-feeding-bottle-with-silicone-nipple-bpa-free-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247244-2_1-auto-flow-doraemon-mega-star-feeding-bottle-with-silicone-nipple-bpa-free-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247244-3_1-auto-flow-doraemon-mega-star-feeding-bottle-with-silicone-nipple-bpa-free-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247244-4_1-auto-flow-doraemon-mega-star-feeding-bottle-with-silicone-nipple-bpa-free-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Solid and unbreakable.
2. This product is sterilizable.
3. Sparkling clear feeding bottle.
4. Easy to clean
5. Heat resistant upto 140 degrees Celcius.","For babies to drink milk and other liquid items like juice and water, as these bottles are designed to allow the liquid flow smoothly into baby's mouth.","[{'EAN Code': '40247244'}, {'Manufactured & Marketed by': 'National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.'}, {'Country of origin': 'India'}]","National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",-,-,-,"1. To clean the product use liquid soap with a light brush.
2. Sterilize before first use to ensure hygiene.",-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Auto flow,"Auto flow Doraemon Nasal Aspirator - BPA Free, Safe For Kids, 1 pc",The Autoflow Nose Cleaner Nasal Aspirator is a blessing in disguise for keeping your child's nasal airways clean and congestion-free. The Nose Cleaner Aspirator is made from the best quality plastic and is absolutely safe for your child. Use it as a part of your child's regular hygiene regimen to allow clear airways and easy breathing especially when your baby has a cold. Use it for clearing congestion and keeping the nasal tract clean at all times. Explore the wide range of Autoflow maternity and baby products only on Big Basket.,1 pc,pcs,1 pc,1,1,180,149,"National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",India,['8904094401427'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40247266_1-auto-flow-doraemon-nasal-aspirator-bpa-free-safe-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247266-2_1-auto-flow-doraemon-nasal-aspirator-bpa-free-safe-for-kids.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Premium Quality Material
2. Safe for your child","Use it to clean your baby's nasal passage for easier breathing
Care Instruction:
1. Store away from direct sunlight
2. Keep in a cool, dry and hygienic place","[{'EAN Code': '8904094401427'}, {'Manufactured & Marketed by': 'National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.'}, {'Country of origin': 'India'}]","National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",-,-,-,-,-,"Brand - Autoflow
Material - Rubber/ Plastic
Shape - NA
Colour - Multicolour
Design - Ergonomic
Capacity - NA",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Auto flow,"Auto flow Royal Feeding Bottle With Silicone Nipple - BPA Free, 125 ml","The A8 Royal Poly Feeding Bottle is a simple feeding bottle that will gradually teach your baby how to utilize a cup. It may be carried in your baby bag throughout the day because it is made of safe and baby-friendly materials. To support a healthy baby's growth, fill the feeding bottle with your choice of semi-solid or liquid foods. Quick and easy way to feed your toddler on the go without any fuss or nakhra! To add to the nourishment and nutrition your child receives from breastfeeding, you can fill the Feeding Bottle with formula milk. The quantity of the cup allows for a quick and easy solution to your baby's hunger pangs Explore the wide range of Roly Poly Feeding Bottles only on Big Basket.",125 ml,ml,125 ml,1,1,130,130,"National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",India,['40247233'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40247233_1-auto-flow-royal-feeding-bottle-with-silicone-nipple-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247233-2_1-auto-flow-royal-feeding-bottle-with-silicone-nipple-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247233-3_1-auto-flow-royal-feeding-bottle-with-silicone-nipple-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247233-4_1-auto-flow-royal-feeding-bottle-with-silicone-nipple-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247233-5_1-auto-flow-royal-feeding-bottle-with-silicone-nipple-bpa-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Unbreakable
2. Sterilizable
3. Sparkling clear
4. Easy to clean
5. Heat resistant upto 140 degrees c.","Ready to use a feeding bottle to teach your baby how to drink from a cup. Prevents spillage and is easy to use with the spoon attachment.
Care Instruction:
Wash with liquid soap and a soft brush","['EAN Code: 40247233', 'Manufactured & Marketed by: National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.', 'Country of origin: India', 'Best before __PSL__ days from delivery date', '","National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",-,-,-,-,-,"Shape-Round
Colour-transparent
Design-Ergonomic
Capacity-125ml
Brand-Royal Poly",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Auto flow,"Auto flow Silicone Breast Pump & Milk Collector - BPA Free, High Quality, 1 pc","The Autoflow Soft Silicone Breast Pump is a wonderful tool for your to pump breast milk and freeze it for later use. Made from the best quality silicone and plastic, this Soft Silicone Breast Pump lets you pump nutritious breast milk for your baby. The soft cushion-like pump ensures that the process is comfortable and painless. The ergonomic design makes the pumping process as easy as possible. Explore the range of Autoflow baby and maternity products from feeding cups to feeding bottles and nipples only on Big Basket.",1 pc,pcs,1 pc,1,1,350,299,"National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",India,['8904094401199'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40247255_1-auto-flow-silicone-breast-pump-milk-collector-bpa-free-high-quality.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247255-2_1-auto-flow-silicone-breast-pump-milk-collector-bpa-free-high-quality.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Adjustable
2. No back flow
3. Designed for comfortable and better grip","Use the breast pump to pump milk for later use for your baby. Use at the comfort of home or even carry it with your while you travel or work.
Care Instruction:
1. Store away from direct sunlight
2. Keep in a cool, dry and hygienic place","['EAN Code: 8904094401199', 'Manufactured & Marketed by: National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.', 'Country of origin: India', 'Best before __PSL__ days from delivery date', '","National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",-,-,-,-,-,"Brand - Autoflow
Material - Plastic
Silicon Shape - Round
Colour - Transparent
Design - Ergonomic
Capacity - NA",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Auto flow,"Auto flow Space Feeding Bottle With Liquid Silicone Nipples - BPA Free, 250 ml",The Autoflow Space Feeding Bottle is the best alternative to breastfeeding. This product is manufactured from premium-grade raw materials to satisfy the user's needs. It is completely free of BPA and other toxins that can leach into your baby's mouth. Made for your baby to enjoy a more comfortable and contented feed. This bottle is a perfect product to combine with breastfeeding to let your newborn transit easily into a toddler. It ensures 100% hygiene and safety to your baby. Explore the wide range of baby products from Autoflow only on Big Basket.,250 ml,ml,250 ml,1,1,150,150,"National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",India,['40247240'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40247240_1-auto-flow-space-feeding-bottle-with-liquid-silicone-nipples-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247240-2_1-auto-flow-space-feeding-bottle-with-liquid-silicone-nipples-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247240-3_1-auto-flow-space-feeding-bottle-with-liquid-silicone-nipples-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247240-4_1-auto-flow-space-feeding-bottle-with-liquid-silicone-nipples-bpa-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Solid and unbreakable.
2. This product is sterilizable.
3. Sparkling clear feeding bottle.
4. Easy to clean
5. Heat resistant upto 140 degrees Celcius.","For babies to drink milk and other liquid items like juice and water, these bottles are designed to allow the liquid flow smoothly into the baby's mouth.","[{'EAN Code': '40247240'}, {'Manufactured & Marketed by': 'National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.'}, {'Country of origin': 'India'}]","National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",-,-,-,"1. To clean the product use liquid soap with a light brush.
2. Sterilize before first use to ensure hygiene.",-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Auto flow,"Auto flow Space Feeding Bottle With Liquid Silicone Sipper - BPA Free, 125 ml","The Space Feeding Bottle with Silicone Sipper helps your baby as well as a toddler to easily learn how to drink from bottles and cups with as little spillage as possible. The Silicone Sipper keeps your child hydrated throughout the day in a spill-proof manner without requiring too much clean-up. The design allows for hassle-free drinking too. It is the perfect way to keep your child well nourished in a portable and easy-to-carry manner. Keep the cup in handy at all times in your baby bag, tram and stroller. Explore the wide range of Space Feeding bottles only on Big Basket.",125 ml,ml,125 ml,1,1,160,160,"National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",India,['8904094401090'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40247239_1-auto-flow-space-feeding-bottle-with-liquid-silicone-sipper-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247239-2_1-auto-flow-space-feeding-bottle-with-liquid-silicone-sipper-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247239-3_1-auto-flow-space-feeding-bottle-with-liquid-silicone-sipper-bpa-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40247239-4_1-auto-flow-space-feeding-bottle-with-liquid-silicone-sipper-bpa-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Unbreakable
2. Sterilizable
3. Sparkling clear
4. Easy to clean
5. Heat resistant upto 140 degrees c.","Ready to use feeding bottle built with a silicon sipper to allow for easy usage and comfort for your baby.
Care Instruction:
Wash with liquid soap and a soft brush","['EAN Code: 8904094401090', 'Manufactured & Marketed by: National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.', 'Country of origin: India', 'Best before __PSL__ days from delivery date', '","National Baby Products, D 22-23 , Acme Industrial Estate, Sewri (East), Mumbai 400015, Maharashtra, India.",-,-,-,-,-,"Shape-Round
Color-transparent
Design-Ergonomic
Capacity-125ml
Brand-Space",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Chicco,"Chicco 3-in-1 Baby 6 Bottles Sterliser With Adjustable Size, 1 pc","This is a modular steam steriliser. It has an adjustable size. When you will use the full size, it fits up to 6 feeding bottles and when you will use the compact size, it fits up to 2 feeding bottles with other small objects. It is possible to choose from 3 different configurations (full size, compact and microwave) to adjust the size of the steriliser depending on the items to be sterilised, occupying the least possible space in the kitchen. It is compatible with most feeding bottles, breast pump and accessories in the market. The compact eco button allows saving up to 25% in time and energy (available in Compact mode only). Plus, using microwave mode allows you to sterilise/sanitise even faster. It only takes 3 minutes at 1,000W.",1 pc,pcs,1 pc,1,1,4299,2999,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",Italy/China,['8058664124596'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40142579_1-chicco-3-in-1-baby-6-bottles-sterliser-with-adjustable-size.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8058664124596', 'Country of origin: Italy, China', 'Manufactured & Marketed by: Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.', 'Imported by: Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.', '","Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",-,-,-,This hot plate needs to be dried after every use. Read the instruction manual for descaling.,-," Brand : Chicco
 Type : Sterilisation
 Material : Polypropolene
 Colour : White
 Care Instructions : Hot plate needs to be dried after every use. Read instruction Manual for descaling
 Model No. : 00007391000000
 Dimension : 266 X 200 X 394
 Package Content : Steriliser
 Colour : STERILNATURAL 3IN1
",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Chicco,"Chicco Baby Bib - Girl, 0m+, 2 pcs","This bib has a comfortable soft cotton top to absorb food leaks and stains. It has an extra absorbent dribble catcher, to soak up dribble and leaks. This bib is easy to clean. It is really soft on the skin of your babies and does not cause any irritation.",,pcs,2 pcs,2,1,699,699,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",Italy,['8058664128228'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40142785_1-chicco-baby-bib-girl-0m.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40142785-2_1-chicco-baby-bib-girl-0m.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8058664128228'}, {'Manufactured & Marketed by': 'Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.'}, {'Imported by': 'Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.'}, {'Country of origin': 'Italy'}]","Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",-,-,-,-,-," Brand : Chicco
 Type : Bib
 Material : Fabric
 Colour : Pink & Yellow
 Model No. : 00016300100000
 Dimension : 270 X 185 X 25
 Package Content : Set of 2 bibs
 Colour : BIB 0M+ 2pcS GIRL
","This bib has a comfortable soft cotton top to absorb food leaks and stains. It has an extra absorbent dribble catcher, to soak up dribble and leaks. This bib is easy to clean. It is really soft on the skin of your babies and does not cause any irritation."
