L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Specification,About
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Asian Cosmos Casserole For Rot/Chapati - Green, 1 L","Asian Cosmos Casserole can retain the flavour and temperature of stored food for hours. The 1 litre capacity of the casseroles makes it a one-stop solution for quantity food. Made from premium quality plastic and food-grade quality material, it gives an elegant look. The stylishly designed casseroles will enhance your dining table and make mealtimes fun and exciting. This can be used as a perfect gifting idea.",1 L,L,1 L,1,1,259,199,"No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai, Maharashtra 400093",India,['8902330048870'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40136253_11-asian-asian-cosmos-casserole-for-rotchapati-green.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136253-2_9-asian-asian-cosmos-casserole-for-rotchapati-green.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136253-3_7-asian-asian-cosmos-casserole-for-rotchapati-green.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136253-4_7-asian-asian-cosmos-casserole-for-rotchapati-green.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8902330048870'}, {'Manufacturer Name and Address': 'No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai, Maharashtra 400093'}, {'Country of origin': 'India'}]",-,-,-,-," Brand : Asian
 Type : Casseroles
 Material : Plastic
 Design : Yes
 Colour : Green
 Capacity : 1000 ml
 Dimension(LXBXH) in cm : 32X12X24
 Package Content : 1 Pc",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Asian Venus Casserole For Roti/Chapati - Blue, 1 L","Asian Venus Casserole can retain the flavour and temperature of stored food for hours. The 1 litre capacity of the casseroles makes it a one-stop solution for quantity food. Made from premium quality plastic and food grade quality material, it gives an elegant look. The stylishly designed casseroles will enhance your dining table and make mealtimes fun and exciting. This can be used as a perfect gifting idea.",1 L,L,1 L,1,1,269,229,"No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai, Maharashtra 400093",India,['8902330049112'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40136248_4-asian-asian-venus-casserole-for-rotichapati-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136248-2_3-asian-asian-venus-casserole-for-rotichapati-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136248-3_1-asian-asian-venus-casserole-for-rotichapati-blue.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136248-4_1-asian-asian-venus-casserole-for-rotichapati-blue.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8902330049112', 'Manufacturer Name and Address: No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai, Maharashtra 400093', 'Country of origin: India' | Address: Supermarket Grocery Supplies Pvt Ltd. No7, Service Road, Domlur 100 Feet Road, Indiranagar, Bangalore 560071. | Email: customerservice@bigbasket.com']",-,-,-,-," Brand: Asian
 Type: Casseroles
 Material: Plastic
 Design: Yes
 Colour: Blue
 Capacity: 1000 ml
 Dimension(LXBXH) in cm : 13X8X19
 Package Content : 1 Pc",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Bright Star SS Casserole, 2.5 L","Asian Shining Star SS Casserole is designed to keep your food warm and fresh. This casserole is a must-have addition to your kitchen accessories. It is durable and long-lasting as it is made stainless steel. It has heat resistant handles. The casserole helps you to keep the food hot and fresh. The double-layer steel has better insulation. It is made with anti-bacterial, non-porous steel. They are available in different sizes and perfect for all kinds of foods.",2.5 L,L,2.5 L,1,1,1297,819,"Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093",India,['40209819'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40209819_2-asian-bright-star-ss-casserole.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40209819-2_2-asian-bright-star-ss-casserole.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40209819-3_2-asian-bright-star-ss-casserole.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40209819-4_2-asian-bright-star-ss-casserole.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40209819-5_2-asian-bright-star-ss-casserole.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40209819-6_2-asian-bright-star-ss-casserole.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. This stainless steel casserole comes with a double-walled stainless steel lid.
2. It keeps food hot and fresh for hours.
3. Integrated side-handles allow easy to carry from the kitchen to dining table.
4. Perfect for all type of food products.","1. Casseroles will enhance your dining table and make mealtimes fun and exciting.
2. Keep your soup, salads, chapatti, roti or any beverages Hot/Cold for long hours.","['EAN Code: 40209819', 'Manufactured & Marketed By: Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093', 'Country of Origin: India' | ]","Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093",-,-,-,"1. Material: Stainless Steel.
2. Capacity: 2500ml.
3. Features: Keep the food hot and fresh, Stainless Steel double wall insulated delux, Superbly designed for improved efficiency and high performance.
4. Types: Casserole.
5. Brand: Asian.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Bright Star Steel Casserole For Roti/Chapati With Steel Lid, 1.2 L",Asian Bright Star stainless steel casserole are engineered in double-walled steel to keep food hot and fresh for hours.,1.2 L,L,1.2 L,1,1,839,599,"Asian Plastoware Plot No. 7/1, ASIAN HOUSE, Plot B, Rd Number 16, near Suncity Hotel, M.I.D.C, Andheri East, Mumbai, Maharashtra 400093",India,['8902330405819'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40199892_7-asian-bright-star-steel-casserole-for-rotichapati-with-steel-lid.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40199892-2_4-asian-bright-star-steel-casserole-for-rotichapati-with-steel-lid.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40199892-3_4-asian-bright-star-steel-casserole-for-rotichapati-with-steel-lid.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40199892-4_4-asian-bright-star-steel-casserole-for-rotichapati-with-steel-lid.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40199892-5_4-asian-bright-star-steel-casserole-for-rotichapati-with-steel-lid.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Designed to keep your food warm and fresh, these durable and sturdy casseroles offer a hot meal every time. 
This casserole can be used to reheat the food in microwave without lid maximum 5 minutes at 600 watts power in microwave mode only.
Please do not use in grill, convection, or combination mode.","['EAN Code: 8902330405819', 'Manufactured & Marketed by: Asian Plastoware Plot No. 7/1, ASIAN HOUSE, Plot B, Rd Number 16, near Suncity Hotel, M.I.D.C, Andheri East, Mumbai, Maharashtra 400093', 'Country of origin: India']","Asian Plastoware Plot No. 7/1, ASIAN HOUSE, Plot B, Rd Number 16, near Suncity Hotel, M.I.D.C, Andheri East, Mumbai, Maharashtra 400093",-,-,"Before the first use, remove labels, wash the dish in hot, soapy water, and rinse and dry thoroughly.
For most day-to-day cleaning, cool the empty dish for a few minutes before washing and drying, or wash in the dishwasher, allowing the full cycle to complete.
Never leave the casserole dish fully immersed in water."," Brand: Asian
 Type: Casserole
 Body Material: Steel
 Color: Assorted
 Capacity: 1200 ml
 Package Content: 1 pcs
Disclaimer: The stocks will be delivered based on colour availability.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Casserole - Used For Roti/Chapati, Dishwasher Safe, Mehandi Green, 600 ml","Asian casseroles are made from food-grade materials and colours and come without a gap inside lid fitting for better performance. You can now enjoy your favourite hot food anytime and anywhere. These casseroles are dishwasher safe, freezer safe, are elegantly shaped and are easy to handle. They come in fresh and attractive colours with graphic prints and have a heavy PUF insulation for better performance. They are available in various sizes and gift sets.",600 ml,ml,600 ml,1,1,192,149,"Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093",India,['8902330048962'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40129297_7-asian-casserole-for-roti-chapati-cosmos-green.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129297-2_4-asian-casserole-for-roti-chapati-cosmos-green.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129297-3_3-asian-casserole-for-roti-chapati-cosmos-green.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129297-4_3-asian-casserole-for-roti-chapati-cosmos-green.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The casserole is ideal to store hot and delicious food for long hours without losing its flavour and temperature. Store chapatis, rice, parathas etc. You can also carry it to work or school and ensure your food remains hot and fresh.","[{'EAN Code': '8902330048962'}, {'Country of origin': 'India'}, {'Manufacturer Name & Address': 'Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093'}]",-,-,-,"1. Do not use it for cooking purposes.
2. Do not use the microwave.
3. Can be washed in dishwasher.","1. Brand : Asian
2. Type : Casserole
3. Body Material : Plastic
4. Material : Plastic, Steel
5. Color : Mehandi Green
6. Sity: 600ml
7. Size :  600ml
8. Package Contents: 1 pc Casserole",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Casserole - Used For Roti/Chapati, Dishwasher Safe, Orange, 1 L","Asian casseroles are made from food-grade materials and colours and come without a gap inside lid fitting for better performance. You can now enjoy your favourite hot food anytime and anywhere. These casseroles are dishwasher safe, freezer safe, are elegantly shaped and are easy to handle. They come in fresh and attractive colours with graphic prints and have heavy PUF insulation for better performance. They are available in various sizes and gift sets.",1 L,L,1 L,1,1,259,199,"Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093",India,['8902330107966'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40129298_10-asian-casserole-for-rotichapati-cosmos-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129298-2_6-asian-casserole-for-rotichapati-cosmos-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129298-3_9-asian-casserole-for-rotichapati-cosmos-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129298-4_9-asian-casserole-for-rotichapati-cosmos-orange.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"This is the perfect choice to store steaming hot chapathis or stuffed parathas, hot khichdi or even idlis and dosa, without losing its flavours or taste.","[{'EAN Code': '8902330107966'}, {'Country of origin': 'India'}, {'Manufacturer Name & Address': 'Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093'}]",-,-,-,Use a soft brush with mild detergent for cleaning to avoid scratches. Always use warm water for cleaning for better performance. Always keep the lid in the proper lock position.,"Brand : Asian
Type : Casserole
Body Material : Plastic
Inner Material : Steel
Design : Plain
Color : Orange
Capacity : 1000ml
Additional Features : 3-4 hrs Hot
Package Content: 01-Piece",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Casserole For Roti/Chapati - Cosmos, Orange, 1.5 L","Asian casseroles are made from food grade materials and colours and come without gap inside lid fitting for better performance. You can now enjoy your favourite hot food anytime and anywhere. These casseroles are dishwasher safe, freezer safe, are elegantly shaped and are easy to handle. They come in fresh and attractive colours with graphic prints and have a heavy PUF insulation for better performance. They are available in various sizes and gift sets.",1.5 L,L,1.5 L,1,1,325,269,"Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093",India,['8902330048917'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40129302_7-asian-casserole-for-rotichapati-cosmos-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129302-2_3-asian-casserole-for-rotichapati-cosmos-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129302-3_2-asian-casserole-for-rotichapati-cosmos-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129302-4_2-asian-casserole-for-rotichapati-cosmos-orange.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8902330048917', 'Country of origin: India', 'Manufacturer Name & Address: Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093']",-,-,-,Use soft brush with mild detergent for cleaning to avoid scratches. Always use warm water for cleaning for better performance. Always keep lid in proper lock position.,"Brand : Asian
Type : Casserole
Body Material : Plastic
Inner Material : Steel
Design : Plain
Colour : Orange
Capacity : 1500ml
Additional Features : 3-4 hrs Hot
Package Content : 01-Piece",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Casserole For Roti/Chapati - Cosmos, Orange, 600 ml","Asian casseroles are made from food-grade materials and colours and come without gap inside lid fitting for better performance. You can now enjoy your favourite hot food anytime and anywhere. These casseroles are dishwasher safe, freezer safe, are elegantly shaped and are easy to handle. They come in fresh and attractive colours with graphic prints and have heavy PUF insulation for better performance. They are available in various sizes and gift sets.",600 ml,ml,600 ml,1,1,192,149,"Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093",India,['8902330048979'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40129294_6-asian-casserole-for-rotichapati-cosmos-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129294-2_3-asian-casserole-for-rotichapati-cosmos-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129294-3_2-asian-casserole-for-rotichapati-cosmos-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129294-4_2-asian-casserole-for-rotichapati-cosmos-orange.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. This stainless steel casserole comes with a plastic lid.
2. It keeps food hot and fresh for hours.
3. Integrated side-handles allow easy to carry from the kitchen to the dining table.
4. Perfect for all types of food products.",-,"[{'EAN Code': '8902330048979'}, {'Country of origin': 'India'}, {'Manufacturer Name & Address': 'Asian Plastowares Pvt Ltd, No. 7/1, Plot B, Road Number Sixteen, Midc, Andheri East, Mumbai - 400093'}]",-,-,-,"Use a soft brush with mild detergent for cleaning to avoid scratches.
Always use warm water for cleaning for better performance.
Always keep the lid in the proper lock position.","Brand : Asian
Type : Casserole
Body Material : Plastic
Inner Material : Steel
Design : Plain
Colour : Orange
Capacity : 600ml
Additional Features : 3-4 hrs Hot
Package Content : 01-Piece",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Cosmos Casserole Set - Bluish Gray, Plastic, High Quality, Sturdy, 3 pcs (600 ml +1 L +1.5 L)",Asian presents Cosmos Casserole. Say bye to the usual casserole and revamp your kitchen space with this beautifully crafted Asian Cosmos Plus Assorted Plastic Casserole 600+1000+1500 ml (Set of 3). It is lightweight and is made of premium quality material. It has an elegant look and is ideal for gifting purposes.,3 pcs (600 ml +1 L +1.5 L),pcs ( ml + L + L),3 pcs (600 ml +1 L +1.5 L),3,1,789,499,"Asian Plastowares pvt ltd ,Plot No. 99/3,99/4,99/5,Asian Plastowares Pvt. Ltd.Kadaiya,Village kadaiya, Daman,Dadra and Nagar Haveli And Daman and Diu-396210",India,['8902330053300'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40273110_1-asian-cosmos-casserole-set-bluish-gray-plastic-high-quality-sturdy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Made with high-quality stainless steel.
2. Keeps the food fresh and hot for hours. 
3. Sturdy and highly durable.","Casseroles are a versatile piece of kit â they can be used to make soups, stews, pot roasts, and sauces.","['EAN Code: 8902330053300', 'Manufacturer Name & Marketed by Address:Asian Plastowares pvt ltd ,Plot No. 99/3,99/4,99/5,Asian Plastowares Pvt. Ltd.Kadaiya,Village kadaiya, Daman,Dadra and Nagar Haveli And Daman and Diu-396210', 'Country of Origin:India']","Asian Plastowares pvt ltd ,Plot No. 99/3,99/4,99/5,Asian Plastowares Pvt. Ltd.Kadaiya,Village kadaiya, Daman,Dadra and Nagar Haveli And Daman and Diu-396210",-,-,-,"1. Brand : Asian
2. Type : Casserole
3. Material : Plastic
4. Capacity : 600 +1000 +1500 Ml
5. Colour : Bluish Gray
6. Package Contens : Set of 3
7. Dimension in cm (LXWXH):- 10 X38 X22.8",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Asian,"Asian Cosmos Casserole Set - Dishwasher Safe, Spill Proof, 3 pcs","The Asian Cosmos Casserole, set of 3, guarantees hot, flavourful and fresh food for hours. It comes in an attractive red colour and is made of premium quality and food-grade plastic with steel interiors. The insulated central layer is made of PUF which allows heat retention for about 3-5 hours. Coming in a set of 3 with varying capacities of 600 ml, 1000 ml and 1500 ml, it can be used to store various quantities of food as per your requirements. The set of 3 casseroles comes with a twist and lift lids that are easy to use and the lock handle prevents any leakage. Explore the wide range of Asian Cookware from casseroles to tiffins and lunch packs only on Big Basket.",3 pcs,pcs,3 pcs,3,1,717,549,"Asian plastowares pvt Ltd Plot No. 7/1, ASIAN HOUSE, Plot B, Rd Number 16, near Suncity Hotel, M.I.D.C, Andheri East, Mumbai, Maharashtra 400093. Ph -022 6696 0033",India,['40243338'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40243338_1-asian-cosmos-casserole-set-dishwasher-safe-spill-proof.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243338-2_1-asian-cosmos-casserole-set-dishwasher-safe-spill-proof.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243338-3_1-asian-cosmos-casserole-set-dishwasher-safe-spill-proof.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243338-4_1-asian-cosmos-casserole-set-dishwasher-safe-spill-proof.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243338-5_1-asian-cosmos-casserole-set-dishwasher-safe-spill-proof.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243338-6_1-asian-cosmos-casserole-set-dishwasher-safe-spill-proof.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243338-7_1-asian-cosmos-casserole-set-dishwasher-safe-spill-proof.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Made of premium quality food grade plastic
2. PUF Insulated layer
3. Comes in three different sizes
4. Maintains temperature and flavour of food for hours
5. Dishwasher safe","The Cosmos Casserole, set of 3, comes with an easy use lid that you can twist and lift to open. Hot food can be stored in this casserole that you can carry to work or school or even to store in the freezer for later use.","['EAN Code: 40243338', 'Manufacturer Name & Marketed by Address: Asian plastowares pvt Ltd Plot No. 7/1, ASIAN HOUSE, Plot B, Rd Number 16, near Suncity Hotel, M.I.D.C, Andheri East, Mumbai, Maharashtra 400093. Ph -022 6696 0033', 'Contact : 022 6696 0033', 'Country of Origin:India']","Asian plastowares pvt Ltd Plot No. 7/1, ASIAN HOUSE, Plot B, Rd Number 16, near Suncity Hotel, M.I.D.C, Andheri East, Mumbai, Maharashtra 400093. Ph -022 6696 0033",-,-,-,"1. Brand - ASIAN
2. Type - Thermoware
3. Material - Plastic
4. Color - Red
5. Design - Plain
6. Lid Included - Yes
7. Lid Material - Plastic
8. Thermal Conduction Hours - 3/6 hrs
9. Shape - Round
10. Size - 600 ml, 1000 ml, 1500 ml
11. No. of Pieces - 3",-
