L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Ingredients,Package Contains
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Banana Leaf, 1 pc","Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",1 pc,pcs,1 pc,1,1,15.13,15.13,Fresho,India,['20003762'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20003762_2-fresho-banana-leaf.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '20003762'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Banana Leaf, 5 pcs","Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",5 pcs,pcs,5 pcs,5,1,75.66,57.5,Fresho,India,['20003403'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20003403_3-fresho-banana-leaf.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '20003403'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Betel Leaf, 5 pcs","Fresho brings to you fresh Betel Leaf. This is also called paan ka Patta.
It has many curative and healing benefits.
They are rich in vitamins like vitamin C, thiamine, niacin, riboflavin, and carotene and are a great source of calcium.
These leaves used as a stimulant, an antiseptic, and a breath freshener.
It can be batter-coated and deep-fried till absolutely crisp.",5 pcs,pcs,5 pcs,5,1,12.5,9.5,Fresho,India,['20001347'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20001347_9-fresho-betel-leaf.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001347-2_14-fresho-betel-leaf.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Betel leaf has vitamins such as vitamin C, riboflavin, niacin, thiamine and carotene.
It is also a greater supply of calcium.
The juice from the leaf is known to have diuretic properties and assists urination when taken with diluted milk.
Local application of betel leaves relieves sore throat.
Juice of betel leaves dropped in the ear relieves earaches.""",-,"[{'EAN Code': '20001347'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Chrysanthemum/Shevanti Flower, 1 kg",Fresho brings to you Chrysanthemum/Shevanti Flower that is perfect for everyday use. We bring to you fresh yellow flowers. A variety of flowers that are traditionally offered to God's and Goddesses. Perfect for any festival or occasions.,1 kg,kg,1 kg,1,1,322.37,322.37,Fresho,India,20002678,-,https://datalabs.siva3.io/image/Eunimart_groceries_20002678_3-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20002678-2_3-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20002678-3_1-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20002678-4_1-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20002678-5_1-fresho-chrysanthemumshevanti-flower.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Perfect for everyday use.
Variety of flowers.
Fresh flowers.",-,[{'EAN Code': '20002678 Country of origin: India ,-,-,-,-,Chrysanthemum/Shevanti Flower.,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Chrysanthemum/Shevanti Flower, 100 g","Chrysanthemums, also known as 'mums', are considered one of the most beautiful varieties of perennials that starts flowering from early autumn. This is one of the most popular flowers in the month of November.
The product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",100 g,g,100 g,1,1,28.75,21.85,Fresho,India,['721535855094'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20001184_10-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001184-2_24-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001184-3_1-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001184-4_1-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001184-5_1-fresho-chrysanthemumshevanti-flower.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '721535855094'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Chrysanthemum/Shevanti Flower, 250 g","Chrysanthemums, also known as 'mums', are considered one of the most beautiful varieties of perennials that starts flowering from early autumn. This is one of the most popular flowers in the month of November.
The product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",250 g,g,250 g,1,1,71.88,54.63,Fresho,India,['20001037'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20001037_11-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001037-2_9-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001037-3_1-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001037-4_1-fresho-chrysanthemumshevanti-flower.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001037-5_1-fresho-chrysanthemumshevanti-flower.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '20001037'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Cut Roses Flower, 250 g","This cut roses with different (3-4) colours, can be used for garlands in the home, decorate in festivals and pooja. 
Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",250 g,g,250 g,1,1,58.22,44.25,Fresho,India,['8400541810024'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40054182_3-fresho-cut-roses-flower.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8400541810024'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Cut Roses Flower, 250 g","This cut roses with different (3-4) colours, can be used for garlands in the home, decorate in festivals and pooja. 
Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",250 g,g,250 g,1,1,58.22,44.25,Fresho,India,['8400541810024'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40054182_3-fresho-cut-roses-flower.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8400541810024'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Marigold Flower - Orange, 250 g","Marigolds have daisy-like or twice, carnation-like flower heads and are produced separately or in clusters. Marigolds come in special colours, yellow and orange being the most common. It is used for pooja needs and floral decoration. 
 Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",250 g,g,250 g,1,1,37.66,28.62,Fresho,India,['20001035'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20001035_11-fresho-marigold-flower-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001035-2_6-fresho-marigold-flower-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001035-3_1-fresho-marigold-flower-orange.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Fresho marigold orange can be consumed by itself or used to make pickles with cucumbers. It can be used to enhance the taste and flavour of soups, added to juices, or used for making interesting dressings.","[{'EAN Code': '20001035'}, {'Country of origin': 'India'}]",-,-,-,-,"Marigolds are loaded with anti-bacterial, anti-inflammatory and antiseptic properties, and are administered for several health conditions. Fresho marigold orange contains marigold extracts, pro-vitamin B5, vitamins A, C and E, vegetable glycerine, hydrolysed wheat protein, cream base, food colours and natural preservatives. It neutralises free radicals and prevents cell damage.",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Marigold Flower - Orange, 250 g","Marigolds have daisy-like or twice, carnation-like flower heads and are produced separately or in clusters. Marigolds come in special colours, yellow and orange being the most common. It is used for pooja needs and floral decoration. 
 Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",250 g,g,250 g,1,1,37.66,28.62,Fresho,India,['20001035'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20001035_11-fresho-marigold-flower-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001035-2_6-fresho-marigold-flower-orange.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001035-3_1-fresho-marigold-flower-orange.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Fresho marigold orange can be consumed by itself or used to make pickles with cucumbers. It can be used to enhance the taste and flavour of soups, added to juices, or used for making interesting dressings.","[{'EAN Code': '20001035'}, {'Country of origin': 'India'}]",-,-,-,-,"Marigolds are loaded with anti-bacterial, anti-inflammatory and antiseptic properties, and are administered for several health conditions. Fresho marigold orange contains marigold extracts, pro-vitamin B5, vitamins A, C and E, vegetable glycerine, hydrolysed wheat protein, cream base, food colours and natural preservatives. It neutralises free radicals and prevents cell damage.",-
