L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Fuji, Premium, 4 pcs","A fruit specially for the ones with a sweet tooth, Fuji apples are the sweetest apples around and come with a hint of vanilla flavour.
These hybrid apples have creamy white, firm and finely grained flesh.
These apples are crisp, juicy and sugary. Premium apples are handpicked by our experts to give you the best quality apples.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1611/apple-crumble-pie/",4 pcs,pcs,4 pcs,4,1,261.84,199,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",New Zealand/USA,['40104703'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40104703_20-fresho-apple-fuji-premium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40104703-2_8-fresho-apple-fuji-premium.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Apples are one of the healthiest fruits. Rich in vitamin C and dietary fiber which keep our digestive and immune system healthy.
Protects from Alzheimers, type 2 diabetes and cancer. It is a natural teeth whitener and prevent bad breath.
Eating apple peel lowers the risk of obesity. Apple mask is an excellent cure for wrinkles.",-,"[{'EAN Code': '40104703'}, {'Country of origin': 'New Zealand, USA'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Fuji, Regular, 4 Pcs (Approx.500g-650g)","A fruit specially for the ones with a sweet tooth, Fuji apples are the sweetest apples around and come with a hint of vanilla flavour.
These hybrid apples have creamy white, firm and finely grained flesh.
These apples are crisp, juicy and sugary. Premium apples are handpicked by our experts to give you the best quality apples.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1611/apple-crumble-pie/",4 Pcs (Approx.500g-650g),pcs,4 Pcs (Approx.500g-650g),4,1,232.89,174,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",New Zealand/USA,['40033815'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40033815_22-fresho-apple-fuji-regular.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40033815-2_9-fresho-apple-fuji-regular.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Apples are one of the healthiest fruits. Rich in vitamin C and dietary fiber which keep our digestive and immune system healthy.
Protects from Alzheimers, type 2 diabetes and cancer. It is a natural teeth whitener and prevent bad breath.
Eating apple peel lowers the risk of obesity. Apple mask is an excellent cure for wrinkles.",-,"[{'EAN Code': '40033815'}, {'Country of origin': 'New Zealand, USA'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Green, Regular, 4 pcs Approx(500g-650g)","Green apples have a pleasing light-green coloured skin with a sweet and sour taste.
They contain more fiber, less carbohydrates and sugar than red apples.
Premium apples are handpicked by our experts to give you the best quality apples.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1865/apple-cobbler/",4 pcs Approx(500g-650g),pcs,4 pcs Approx(500g-650g),4,1,216.67,127,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",USA,['40033817'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40033817_10-fresho-apple-green-regular.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40033817-2_3-fresho-apple-green-regular.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Apples are one of the healthiest fruits. Rich in vitamin C,K and dietary fiber which keep our digestive and immune system healthy.
Being high in dietary fibres, apples help in reducing the risk of type 2 diabetes, degenerative nerve diseases like Alzheimers or Parkinsons, and improves brain health.
It boosts the bone health, lowers osteoporosis risk, prevents digestive and liver problems, promotes skin and hair health, and diminishes the risk of cancers.",-,"[{'EAN Code': '40033817'}, {'Country of origin': 'USA'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITEDNo.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITEDNo.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Imported Apple, Grade-B, 1 kg","Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.
Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/",1 kg,kg,1 kg,1,1,98.68,98.68,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",USA/Turkey/New Zealand/Italy,['40075385'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40075385_1-fresho-apple-imported-apple-grade-b.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40075385'}, {'Country of origin': 'USA, Turkey, New Zealand, Italy'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Pink Lady, 4 pcs","Fresho Pink Lady Apple has an attractive reddish-pink blush look, with a yellow background colour, with bright white flesh that resists browning when it is cut.
Pink Lady apples are very firm and dense, with a tart flavour and an effervescent finish.
The product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",4 pcs,pcs,4 pcs,4,1,241.45,183.5,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",Italy,['40128384'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40128384_1-fresho-apple-pink-lady.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128384-2_1-fresho-apple-pink-lady.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rich in vitamin C and dietary fiber which keep our digestive and immune system healthy.
Eating apple peel lowers the risk of obesity. Apple mask is an excellent cure for wrinkles.",-,"[{'EAN Code': '40128384'}, {'Country of origin': 'Italy'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar, Landmark: Above HDFC Bank, Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar, Landmark: Above HDFC Bank, Bangalore, Karnataka 560071",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Queen, Rose, 4 pcs","Queen Apples come with red stripes on a yellow background. Queen rose apples have clean white flesh with a crisp, juicy and sweet taste. Premium apples are handpicked by our experts to give you the best quality apples.",4 pcs,pcs,4 pcs,4,1,182.24,138.5,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",India,['40291227'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40291227_1-fresho-apple-queen-rose.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40291227-2_1-fresho-apple-queen-rose.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40291227'}, {'FSSAI': ''}, {'Country of Origin': 'India'}]",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Red Delicious, Economy, 4 pcs (Approx. 450g - 500g)","The bright red coloured and heart shaped Red Delicious apples are crunchy, juicy and slightly sweet.
Red Delicious Apples are a natural source of fibre and are fat free. They contain a wide variety of anti-oxidants and polynutrients.
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.
Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/",4 pcs (Approx. 450g - 500g),pcs,4 pcs (Approx. 450g - 500g),4,1,173.68,132,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",USA,['40075384'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40075384_12-fresho-apple-red-delicious-economy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075384-2_4-fresho-apple-red-delicious-economy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Apples are one of the healthiest fruits. Rich in vitamin C and dietary fiber which keep our digestive and immune system healthy.
Protects from Alzheimers, type 2 diabetes and cancer. It is a natural teeth whitener and prevent bad breath.
Eating apple peel lowers the risk of obesity. Apple mask is an excellent cure for wrinkles.",-,"[{'EAN Code': '40075384'}, {'Country of origin': 'USA'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road IndiranagarLandmark: Above HDFC BankBangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road IndiranagarLandmark: Above HDFC BankBangalore, Karnataka 560071",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Red Delicious, Premium, 4 pcs (Approx. 600g -700g)","The bright red coloured and heart shaped Red Delicious apples are crunchy, juicy and slightly sweet.
Red Delicious Apples are a natural source of fibre and are fat free. They contain a wide variety of anti-oxidants and polynutrients.
Premium apples are handpicked by our experts to give you the best quality apples.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/241/apple-halwa/",4 pcs (Approx. 600g -700g),pcs,4 pcs (Approx. 600g -700g),4,1,246.71,187.5,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",USA,['9401070900001'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40104709_18-fresho-apple-red-delicious-premium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40104709-2_1-fresho-apple-red-delicious-premium.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Apples are one of the healthiest fruits. Rich in vitamin C and dietary fiber which keep our digestive and immune system healthy.
Protects from Alzheimers, type 2 diabetes and cancer. It is a natural teeth whitener and prevent bad breath.
Eating apple peel lowers the risk of obesity. Apple mask is an excellent cure for wrinkles.",-,"[{'EAN Code': '9401070900001'}, {'Country of origin': 'USA'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071.'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071.",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Red Delicious, Regular 4pcs + Kiwi - Green 3pcs + Pomegranate 4pcs, Combo 3 Items","Fresho is our brand of fresh fruits and vegetables which are individually handpicked everyday by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient dense, healthy and delicious produce reaches your doorstep. We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund. Royal gala apples are bright red, thin skinned, white fleshed fruits with a mild sweet flavour and are native to New Zealand.
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.
Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/
Kiwi or Chinese gooseberry is an oval shaped exotic fruit that has a fuzzy brown outer skin while the inner flesh is bright green and juicy with edible black seeds. It has a unique tangy-sweet flavor and a pleasant smell. The sugary fruit tastes like a mixture of strawberry, pineapple and banana. Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.
The bright-red coloured seeds from the reddish-pink pomegranate fruit add a dash of colour and crunch to any food, especially salads. The tart, sweet and acidic taste of the seeds can actually work with everything like chicken and even chocolates. Fresho presents high quality pomegranate fruits, freshly picked and delivered without any blemishes.",Combo 3 Items,Combo  Items,Combo 3 Items,3,1,532.24,532.24,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",India,['1201613'],-,https://datalabs.siva3.io/image/Eunimart_groceries_201613_2-fresho-apple-red-delicious-regular-4pcs-kiwi-green-3pcs-pomegranate-4pcs.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1201613'}, {'Country of origin': 'India'}, {'Manufacturer Name & Shelf Life details': ''}]",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Apple - Red Delicious, Regular, 4 pcs (Approx. 500g - 600g)","The bright red coloured and heart shaped Red Delicious apples are crunchy, juicy and slightly sweet.
Red Delicious Apples are a natural source of fibre and are fat free. They contain a wide variety of anti-oxidants and polynutrients.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/241/apple-halwa/",4 pcs (Approx. 500g - 600g),pcs,4 pcs (Approx. 500g - 600g),4,1,211.18,160.5,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy, GolfLinks,Domlur,Bangalore, Karnataka 560071",USA,['400338240001'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40033824_21-fresho-apple-red-delicious-regular.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40033824-2_11-fresho-apple-red-delicious-regular.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Apples are one of the healthiest fruits. Rich in vitamin C and dietary fiber which keep our digestive and immune system healthy.
Protects from Alzheimers, type 2 diabetes and cancer. It is a natural teeth whitener and prevent bad breath.
Eating apple peel lowers the risk of obesity. Apple mask is an excellent cure for wrinkles.",-,"[{'EAN Code': '400338240001'}, {'Country of origin': 'USA'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITEDNo.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITEDNo.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
