L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Aloe Vera - Organically grown (Loose), 1 pc","Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",1 pc,pcs,1 pc,1,1,53.95,41,Fresho,India,['3000129'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30001293_20-fresho-aloe-vera-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30001293-2_22-fresho-aloe-vera-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '3000129'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Amaranthus - Chopped, 100 g","A highly nutritious leafy vegetable, Amaranthus is also known as Chinese spinach.
They are available in light purple, green or a bicolour of the two.
We deliver them finely chopped for your ease and convenience because we value your every minute.",100 g,g,100 g,1,1,26.32,20,Fresho,India,['40005792'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_40005792_5-fresho-amaranthus-chopped.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Amaranthus is an excellent source of elements like foliate, calcium, phosphorous, Vitamin C, A and a powerhouse of iron.
Relieves a wide variety of oral problems like mouth ulcers, sore throat, bad breath and swollen gums.
Regular consumption helps in easing digestion, excessive menstruation and weight management.
The leaves are also deemed to be an effective measure against hair loss, skin problems and premature greying.",-,"[{'EAN Code': '40005792'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}]","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Amaranthus - Green Cleaned, without roots, 250 g","A highly nutritious leafy vegetable, Amaranthus is also known as Chinese spinach.
They are available in light purple, green, or a bicolor of the two.
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1109/thotakura-vadiyalu-curry/",250 g,g,250 g,1,1,26.15,19.5,Fresho,India,['10000001'],-,https://datalabs.siva3.io/image/Eunimart_groceries__21-fresho-amaranthus-green-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2_3-fresho-amaranthus-green-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_3_2-fresho-amaranthus-green-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_4_1-fresho-amaranthus-green-cleaned-without-roots.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Amaranthus is an excellent source of elements like foliate, calcium, phosphorous, Vitamin C, A and a powerhouse of Iron.
It helps in relieving a wide variety of oral problems like mouth ulcers, sore throat, bad breath and swollen gums.
Regular consumption helps in easing digestion, excessive menstruation and weight management.
The leaves are also deemed to be an effective measure against hair loss, skin problems and premature greying.",-,"[{'EAN Code': '10000001'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Amaranthus - Red Cleaned, without roots, 250 g","A highly nutritious leafy vegetable, Red Amaranthus has bright red leaves and a flavor similar to a beat.
The Red variety produces feathery purple, magenta, or red flowers from the central stalk which is packed with edible seeds.
But once they mature and become bushy, they are not edible and should be avoided.
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1109/thotakura-vadiyalu-curry/",250 g,g,250 g,1,1,26.15,19.5,Fresho,India,['30000575'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30000575_14-fresho-amaranthus-red-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30000575-2_1-fresho-amaranthus-red-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30000575-3_1-fresho-amaranthus-red-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30000575-4_1-fresho-amaranthus-red-cleaned-without-roots.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30000575-5_1-fresho-amaranthus-red-cleaned-without-roots.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Amaranthus is an excellent source of elements like foliate, calcium, phosphorous, Vitamin C, A and a powerhouse of Iron. Relieves a wide variety of oral problems like mouth ulcers, sore throat, bad breath and swollen gums.
Regular consumption helps in easing digestion, excessive menstruation and weight management.
The leaves are also deemed to be an effective measure against hair loss, skin problems and premature greying.",-,"[{'EAN Code': '30000575'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Amla (Loose), 100 g","Fresho Amla or Indian gooseberry is a popular seller at bigbasket because it is full of nutrition and is quite tasty too. Used for centuries for ayurvedic benefits, the Amla is also a staple in various kinds of dips and chutneys. Being a versatile ingredient, it is used in more than one ways.",100 g,g,100 g,1,1,19.21,14.6,Fresho,India,['8400043830016'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40004383_13-fresho-amla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004383-2_8-fresho-amla.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The nutritional benefits of Amla include being rich in vitamin C, A and other similar ingredients, which help boost eye sight. They also cleanse the stomach and provide you with antioxidant benefits that help to keep the skin younger for a longer time and fights illnesses like cancer.",Fresho Amla can be used in various juices by pureeing them. They are dried and candied in various forms in both salty and sweet forms. You can also make vegetables out of them or have it raw. It is added in some vegetables for adding a tangy flavour.,"[{'EAN Code': '8400043830016'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Amla (Loose), 100 g","Fresho Amla or Indian gooseberry is a popular seller at bigbasket because it is full of nutrition and is quite tasty too. Used for centuries for ayurvedic benefits, the Amla is also a staple in various kinds of dips and chutneys. Being a versatile ingredient, it is used in more than one ways.",100 g,g,100 g,1,1,19.21,14.6,Fresho,India,['8400043830016'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40004383_13-fresho-amla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004383-2_8-fresho-amla.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The nutritional benefits of Amla include being rich in vitamin C, A and other similar ingredients, which help boost eye sight. They also cleanse the stomach and provide you with antioxidant benefits that help to keep the skin younger for a longer time and fights illnesses like cancer.",Fresho Amla can be used in various juices by pureeing them. They are dried and candied in various forms in both salty and sweet forms. You can also make vegetables out of them or have it raw. It is added in some vegetables for adding a tangy flavour.,"[{'EAN Code': '8400043830016'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Amla (Loose), 100 g","Fresho Amla or Indian gooseberry is a popular seller at bigbasket because it is full of nutrition and is quite tasty too. Used for centuries for ayurvedic benefits, the Amla is also a staple in various kinds of dips and chutneys. Being a versatile ingredient, it is used in more than one ways.",100 g,g,100 g,1,1,19.21,14.6,Fresho,India,['8400043830016'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40004383_13-fresho-amla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004383-2_8-fresho-amla.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The nutritional benefits of Amla include being rich in vitamin C, A and other similar ingredients, which help boost eye sight. They also cleanse the stomach and provide you with antioxidant benefits that help to keep the skin younger for a longer time and fights illnesses like cancer.",Fresho Amla can be used in various juices by pureeing them. They are dried and candied in various forms in both salty and sweet forms. You can also make vegetables out of them or have it raw. It is added in some vegetables for adding a tangy flavour.,"[{'EAN Code': '8400043830016'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Amla (Loose), 100 g","Fresho Amla or Indian gooseberry is a popular seller at bigbasket because it is full of nutrition and is quite tasty too. Used for centuries for ayurvedic benefits, the Amla is also a staple in various kinds of dips and chutneys. Being a versatile ingredient, it is used in more than one ways.",100 g,g,100 g,1,1,19.21,14.6,Fresho,India,['8400043830016'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40004383_13-fresho-amla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004383-2_8-fresho-amla.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The nutritional benefits of Amla include being rich in vitamin C, A and other similar ingredients, which help boost eye sight. They also cleanse the stomach and provide you with antioxidant benefits that help to keep the skin younger for a longer time and fights illnesses like cancer.",Fresho Amla can be used in various juices by pureeing them. They are dried and candied in various forms in both salty and sweet forms. You can also make vegetables out of them or have it raw. It is added in some vegetables for adding a tangy flavour.,"[{'EAN Code': '8400043830016'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Arai Keerai, 1 pc (approx. 100-120g)","""Arai Keerai"" describes the amaranth leaves in its middles stages of growth. Arai keerai can be used to make vadai which is also a delicious evening snack that helps to boost growth and immunity. Arai keerai helps in hair growth and keeps hair problems like dandruff at bay.",1 pc (approx. 100-120g),pcs,1 pc (approx. 100-120g),1,1,13.82,13.82,"Bigbasket Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071.",India,['40260966'],['10015042002228'],https://datalabs.siva3.io/image/Eunimart_groceries_40260966_3-fresho-arai-keerai-boosts-immunity-great-for-hair-growth.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40260966'}, {'Country Of Origin': 'India'}, {'Manufacturer Name and ': 'Bigbasket Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071.'}, {'FSSAI Number': '10015042002228'}]",-,-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-10,Fresho,"Fresho Arai Keerai, 250 g","""Arai Keerai"" describes the amaranth leaves in its middles stages of growth. Arai keerai can be used to made vadai which is also a delicious evening snack that helps to boost growth and immunity. Arai keerai helps in hair growth and keeps hair problems like dandruff at bay.",250 g,g,250 g,1,1,32.89,25,"Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park, Challaghatta Village, Behind Dell, Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",India,['40208460'],['10015042002228'],https://datalabs.siva3.io/image/Eunimart_groceries_40208460_1-fresho-arai-keerai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40208460-2_1-fresho-arai-keerai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40208460-3_1-fresho-arai-keerai.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40208460'}, {'Country of origin': 'India'}, {'Manufacturer & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park, Challaghatta Village, Behind Dell, Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071'}, {'FSSAI Number': '10015042002228'}]","Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park, Challaghatta Village, Behind Dell, Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",-,-,-,-
