L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient,Package Contains,About
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Burger Patty - Regular, Crunchy, Ready To Cook, 450 g","A chicken burger patty is served on a bun with chicken formed in patty shape like a hamburger. It is a meat product and is moulded in a circular shape. It surely is very crunchy to eat. The product is the best and the snack preferred by the customers. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",450 g,g,450 g,1,1,250,250,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027081379'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268342_1-anta-chicken-burger-patty-regular-crunchy-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268342-2_1-anta-chicken-burger-patty-regular-crunchy-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268342-3_1-anta-chicken-burger-patty-regular-crunchy-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268342-4_1-anta-chicken-burger-patty-regular-crunchy-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268342-5_1-anta-chicken-burger-patty-regular-crunchy-ready-to-cook.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Deep Fry for 3-4 min till core temperature is 75∞C. Shallow fry for 8-10 mins till core product temperature is 75∞C. Bake for 6-8 mins in the oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027081379', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices And Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Finger - Garlic, High Protein & Fibre, 450 g","Chicken garlic fingers are a delicious snack that can be enjoyed at any time of the day and prepared in just a few minutes, so you don't have to follow the long procedure. It has crucial nutrients which are necessary for your daily requirements. It is a healthy snack as it contains high protein, fibre, and nutrients. Antas Chicken garlic fingers are perfectly safe for consumption as they do not have any added flavours. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",450 g,g,450 g,1,1,260,260,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027081577'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268340_1-anta-chicken-finger-garlic-high-protein-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268340-2_1-anta-chicken-finger-garlic-high-protein-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268340-3_1-anta-chicken-finger-garlic-high-protein-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268340-4_1-anta-chicken-finger-garlic-high-protein-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268340-5_1-anta-chicken-finger-garlic-high-protein-fibre.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Deep Fry for 3-4 min till core temperature is 75∞C. Shallow fry for 8-10 mins till core product temperature is 75∞C. Bake for 6-8 mins in the oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027081577', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices and Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water, Garlic",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Finger - Plain, Ready To Eat, 450 g","Make your evenings juicy and delicious in no time. They are high in fibre and protein. In only a few minutes, you can enjoy these ready-to-eat chicken fingers. This product does not have any added flavours and contains fundamental nutrients for your meal. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",450 g,g,450 g,1,1,250,250,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027081584'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268339_1-anta-chicken-finger-plain-ready-to-eat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268339-2_1-anta-chicken-finger-plain-ready-to-eat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268339-3_1-anta-chicken-finger-plain-ready-to-eat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268339-4_1-anta-chicken-finger-plain-ready-to-eat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268339-5_1-anta-chicken-finger-plain-ready-to-eat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Deep Fry for 3-4 min till core temperature is 75∞C. Shallow fry for 8-10 mins till core product temperature is 75∞C. Bake for 6-8 mins in the oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027081584', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices And Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Hams - Ready To Cook, 250 g","Do you need quick breakfast or snack ideas? If so, this chicken ham will be an excellent go-to dish for you. This product is created by bringing a whole chicken for a certain amount of time, depending on its weight, and then frying or smoking it. Antas chicken ham can make your sandwiches even tastier. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",250 g,g,250 g,1,1,160,160,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027080334'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268350_1-anta-chicken-hams-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268350-2_1-anta-chicken-hams-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268350-3_1-anta-chicken-hams-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268350-4_1-anta-chicken-hams-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268350-5_1-anta-chicken-hams-ready-to-cook.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shallow fry for 8-10 mins till core product temperature is 75∞C. Grill for 6-8 mins in oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027080334', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices And Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Kebab Standard - Easy To Make, Ready To Cook, 450 g","Chicken seekh kebab is a delicious and easy-to-make chicken kebab. These kebabs have a unique flavour and a melt-in-your-mouth texture. This is best served with Harissa or Rumali Rotis. These delicately scented kebabs are grilled with aromatic spices and creamy malai and are fresh, juicy, and delightful. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",450 g,g,450 g,1,1,270,270,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027081027'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268343_1-anta-chicken-kebab-standard-easy-to-make-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268343-2_1-anta-chicken-kebab-standard-easy-to-make-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268343-3_1-anta-chicken-kebab-standard-easy-to-make-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268343-4_1-anta-chicken-kebab-standard-easy-to-make-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268343-5_1-anta-chicken-kebab-standard-easy-to-make-ready-to-cook.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shallow fry for 8-10 mins till core product temperature is 75∞C. Grill for 6-8 mins in oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027081027', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices And Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Malai Tikkas - Ready To Cook, 250 g","Chicken malai tikka is an Indian chicken dish that involves grilling marinated chicken pieces over charcoal. It is grilled chicken supreme with ginger, garlic, green chilli, cream cheese, coriander stem, and cardamom. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",250 g,g,250 g,1,1,170,170,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027081782'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268351_1-anta-chicken-malai-tikkas-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268351-2_1-anta-chicken-malai-tikkas-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268351-3_1-anta-chicken-malai-tikkas-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268351-4_1-anta-chicken-malai-tikkas-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268351-5_1-anta-chicken-malai-tikkas-ready-to-cook.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shallow fry for 8-10 mins till core product temperature is 75∞C. Grill for 6-8 mins in oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027081782', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices And Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water, Cream, Cheese.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Masala Nuggets - Ready To Cook, 450 g","Chicken masala nuggets can add a twist to your daily meal. A delicious combination of chicken & Masala. It doesn't contain any artificial flavours. These ready to cook nuggets have a high nutritional value. These nuggets can be an addition to your daily protein requirements. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",450 g,g,450 g,1,1,280,280,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027081607'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268338_1-anta-chicken-masala-nuggets-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268338-2_1-anta-chicken-masala-nuggets-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268338-3_1-anta-chicken-masala-nuggets-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268338-4_1-anta-chicken-masala-nuggets-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268338-5_1-anta-chicken-masala-nuggets-ready-to-cook.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Deep Fry for 3-4 min till core temperature is 75∞C. Shallow fry for 8-10 mins till core product temperature is 75∞C. Bake for 6-8 mins in the oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027081607', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices And Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Nuggets - Standard, Luscious Small Bites, Ready To Cook, 450 g","Craving some delicious chicken nuggets? Well, ANTA Chicken Nuggets is exactly what you need. Luscious small bites that take almost no time to cook. These juicy nuggets are the perfect companion to your evening. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",450 g,g,450 g,1,1,270,270,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027081416'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268341_1-anta-chicken-nuggets-standard-luscious-small-bites-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268341-2_1-anta-chicken-nuggets-standard-luscious-small-bites-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268341-3_1-anta-chicken-nuggets-standard-luscious-small-bites-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268341-4_1-anta-chicken-nuggets-standard-luscious-small-bites-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268341-5_1-anta-chicken-nuggets-standard-luscious-small-bites-ready-to-cook.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Deep Fry for 3-4 min till core temperature is 75∞C. Shallow fry for 8-10 mins till core product temperature is 75∞C. Bake for 6-8 mins in the oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027081416', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices And Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Plain Salami Slices - Ready To Cook, 250 g","Chicken salami plain is dried, pre-cooked meat and does not need any elaborate preparatory methods. It is an exquisite mixture of fresh meat, spices, and numerous flavouring agents. It is perfect for a wholesome breakfast. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",250 g,g,250 g,1,1,150,150,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027081287'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268346_1-anta-chicken-plain-salami-slices-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268346-2_1-anta-chicken-plain-salami-slices-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268346-3_1-anta-chicken-plain-salami-slices-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268346-4_1-anta-chicken-plain-salami-slices-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268346-5_1-anta-chicken-plain-salami-slices-ready-to-cook.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shallow fry for 8-10 mins till core product temperature is 75∞C. Grill for 6-8 mins in oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027081287', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices And Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water.",-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-10,ANTA,"ANTA Chicken Seekh Kebab - Hot & Spicy, Ready To Cook, 450 g","Chicken seekh kebab malai is a delicious and easy-to-make chicken kebab. These kebabs have a unique flavour and a melt-in-your-mouth texture. This is best served with Harissa or Rumali Rotis. These delicately scented kebabs are grilled with aromatic spices and creamy malai and are fresh, juicy, and delightful. We strive to provide chicken products of the best quality. In our journey to ensure quality, we promise to fulfil our consumer's needs and guarantee that our ready-to-cook chicken products are as tasty as they can be.",450 g,g,450 g,1,1,280,280,"Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",India,['8906027081096'],['10020064002176'],https://datalabs.siva3.io/image/Eunimart_groceries_40268335_1-anta-chicken-seekh-kebab-hot-spicy-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268335-2_1-anta-chicken-seekh-kebab-hot-spicy-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268335-3_1-anta-chicken-seekh-kebab-hot-spicy-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268335-4_1-anta-chicken-seekh-kebab-hot-spicy-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268335-5_1-anta-chicken-seekh-kebab-hot-spicy-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268335-6_1-anta-chicken-seekh-kebab-hot-spicy-ready-to-cook.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shallow fry for 8-10 mins till core product temperature is 75∞C. Grill for 6-8 mins in oven till the core temperature. of the product is 75∞C.,"['EAN Code: 8906027081096', 'Manufactured Name & Marketed By :Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .', 'FSSAI : 10020064002176', 'Country of Origin: India', 'Best before 16-07-2023', '","Skylark foods pvt. Ltd. Plot 507, Food Park, HSIIDC, Rai Industrial Area, Sonipat 130329 .",-,-,-,-,"Chicken Meat, Iodised Salt, Spices And Condiments, Texturizer (INS 451), Refined Vegetable Oil, Sugar, Water.",-,-,-
