L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Package Contains
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Ammae,"Ammae Ragi Powder - Sprouted & Roasted, 400 g","Ammae Ragi Powder has the goodness of ragi which is known for its numerous health benefits and is a highly nutritious cereal loaded with calcium, proteins, iron and other minerals. This instant drink is a convenient way of being instantly energizing as it is rich in fiber and contains very less unsaturated fat that makes it perfect for weight loss. Ragi is a rare cereal that does not need to be polished, therefore, can be consumed in its purest form with all its goodness intact.",400 g,g,400 g,1,1,145,145,"P.k Anand, Sri Kalyani Trading Company, Plotno -p-/15/1, Road no -6, Hyderabad-East(Telangana), 500076",India,['40121276'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40121276_3-ammae-ragi-powder-sprouted-roasted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40121276-2_3-ammae-ragi-powder-sprouted-roasted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40121276-3_1-ammae-ragi-powder-sprouted-roasted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40121276-4_1-ammae-ragi-powder-sprouted-roasted.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1. Pour a glass (200ml) of plain water in a container.2. Add 3 teaspoons of Ammae Ragi powder to the same.3. Mix the powder thoroughly without any lumps until it gets dissolved. 4. Place the container with the mix on the stove and keep the flame on low.5. Stir the mix continuously to avoid sticking to the pan.6. Cook it for 2 to 3 minutes and pour hot milk to the mix and stir well. 8. Add sugar to taste and Ragi malt is ready to drink.,"[{'EAN Code': '40121276'}, {'Country of origin': 'India'}, {'Manufacturer name': 'P.k Anand, Sri Kalyani Trading Company, Plotno -p-/15/1, Road no -6, Hyderabad-East(Telangana), 500076'}]",-,-,-,-,Sprouted Ragi,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Bambino,"Bambino Mix - Badam Milk, 200 g",Bambino Badam Milk Mix is enrich with saffron and almond flakes,200 g,g,200 g,1,1,110,110,BAMBINO AGRO INDUSTRIES LTD,India,['40110620'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40110620_3-bambino-mix-badam-milk.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40110620-2_3-bambino-mix-badam-milk.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40110620-3_2-bambino-mix-badam-milk.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40110620-4_2-bambino-mix-badam-milk.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40110620-5_2-bambino-mix-badam-milk.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Add 3 tsp of Bambino badam milk mix Badam Drink Mix to 1 cup hot milk. Stir well and serve hot or refrigerate for cold Badam drink.,"[{'EAN Code': '40110620'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'BAMBINO AGRO INDUSTRIES LTD'}]",-,-,-,-,"Solids, Almonds 8.5%, Maltodextrin, Cardamom, Saffron (0.01%) And Antioxidant (Ins306)",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Boost,"Boost Chocolate Energy & Sports Nutrition Drink Refill, 750 g Carton","Boost is one of Indias leading Malt-based foods, fortified with a combination of micro-nutrients that are known to be essential for oxygen utilization of the body and energy metabolism. Boost is clinically proven to increase stamina by 3 times (3X) more. Enjoyed by some of your favourite cricket superstars all over India, delicious chocolate Boost drink can be prepared with hot or cold milk and is fortified with seventeen essential vitamins and minerals. Boost is proven to be a Nourishing beverage that helps build stamina, Boost Has nutrients which help in maintenance of optimal bone & muscle strength.
Boost is Enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6). Envita nutrients help transport oxygen more effectively in the body. Nutrients present in boost nourish the body in multiple ways- Iron and Vitamin C- help in effective transportation of oxygen to muscle. Vitamin B12, Vitamin B2, Vitamin B6, Folic Acid- In the presence of oxygen, muscles produce more energy. Boost has nutrients which help in optimal utilization of oxygen.
Vitamin D, Calcium, and protein- Nutrients which help in maintenance of optimal bone & muscle strength for strength. Vitamin B1, Niacin, Biotin, Pantothenic Acid, Iodine, Magnesium- Energy releasing nutrients which help release energy from food.",750 g Carton,g,750 g Carton,1,1,449,384,"Hindustan Unilever Limited,Unilever House, B. D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400 099.",India,['8901030818073'],-,https://datalabs.siva3.io/image/Eunimart_groceries_253502_8-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-2_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-3_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-4_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-5_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-6_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-7_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-8_1-boost-nutrition-drink-health-energy-sports.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Hot: Stir 2-3 teaspoons (20gms) of Boost into a cup of hot milk. Add sugar to taste.
Cold: Stir 2-3 teaspoons (20gms) of Boost to a little warm milk, top up with chilled milk. Add sugar to taste.","[{'EAN Code': '8901030818073'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited,Unilever House, B. D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400 099.'}]",-,-,-,-,"Malted Barley (Extracted Solids) 69%, Sugar, Wheat Flour, Milk Solids (6%), Minerals, Wheat Gluten, Natural Colours, Acidity Regulators, Glucose, Salt, Cocoa Powder, Vitamins, Soy Protein Isolate (.28%), Nature Identical Flavouring Substances",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Boost,"Boost Chocolate Energy & Sports Nutrition Drink Refill, 750 g Carton","Boost is one of Indias leading Malt-based foods, fortified with a combination of micro-nutrients that are known to be essential for oxygen utilization of the body and energy metabolism. Boost is clinically proven to increase stamina by 3 times (3X) more. Enjoyed by some of your favourite cricket superstars all over India, delicious chocolate Boost drink can be prepared with hot or cold milk and is fortified with seventeen essential vitamins and minerals. Boost is proven to be a Nourishing beverage that helps build stamina, Boost Has nutrients which help in maintenance of optimal bone & muscle strength.
Boost is Enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6). Envita nutrients help transport oxygen more effectively in the body. Nutrients present in boost nourish the body in multiple ways- Iron and Vitamin C- help in effective transportation of oxygen to muscle. Vitamin B12, Vitamin B2, Vitamin B6, Folic Acid- In the presence of oxygen, muscles produce more energy. Boost has nutrients which help in optimal utilization of oxygen.
Vitamin D, Calcium, and protein- Nutrients which help in maintenance of optimal bone & muscle strength for strength. Vitamin B1, Niacin, Biotin, Pantothenic Acid, Iodine, Magnesium- Energy releasing nutrients which help release energy from food.",750 g Carton,g,750 g Carton,1,1,449,384,"Hindustan Unilever Limited,Unilever House, B. D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400 099.",India,['8901030818073'],-,https://datalabs.siva3.io/image/Eunimart_groceries_253502_8-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-2_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-3_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-4_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-5_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-6_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-7_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-8_1-boost-nutrition-drink-health-energy-sports.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Hot: Stir 2-3 teaspoons (20gms) of Boost into a cup of hot milk. Add sugar to taste.
Cold: Stir 2-3 teaspoons (20gms) of Boost to a little warm milk, top up with chilled milk. Add sugar to taste.","[{'EAN Code': '8901030818073'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited,Unilever House, B. D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400 099.'}]",-,-,-,-,"Malted Barley (Extracted Solids) 69%, Sugar, Wheat Flour, Milk Solids (6%), Minerals, Wheat Gluten, Natural Colours, Acidity Regulators, Glucose, Salt, Cocoa Powder, Vitamins, Soy Protein Isolate (.28%), Nature Identical Flavouring Substances",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Boost,"Boost Chocolate Energy & Sports Nutrition Drink Refill, 750 g Carton","Boost is one of Indias leading Malt-based foods, fortified with a combination of micro-nutrients that are known to be essential for oxygen utilization of the body and energy metabolism. Boost is clinically proven to increase stamina by 3 times (3X) more. Enjoyed by some of your favourite cricket superstars all over India, delicious chocolate Boost drink can be prepared with hot or cold milk and is fortified with seventeen essential vitamins and minerals. Boost is proven to be a Nourishing beverage that helps build stamina, Boost Has nutrients which help in maintenance of optimal bone & muscle strength.
Boost is Enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6). Envita nutrients help transport oxygen more effectively in the body. Nutrients present in boost nourish the body in multiple ways- Iron and Vitamin C- help in effective transportation of oxygen to muscle. Vitamin B12, Vitamin B2, Vitamin B6, Folic Acid- In the presence of oxygen, muscles produce more energy. Boost has nutrients which help in optimal utilization of oxygen.
Vitamin D, Calcium, and protein- Nutrients which help in maintenance of optimal bone & muscle strength for strength. Vitamin B1, Niacin, Biotin, Pantothenic Acid, Iodine, Magnesium- Energy releasing nutrients which help release energy from food.",750 g Carton,g,750 g Carton,1,1,449,384,"Hindustan Unilever Limited,Unilever House, B. D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400 099.",India,['8901030818073'],-,https://datalabs.siva3.io/image/Eunimart_groceries_253502_8-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-2_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-3_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-4_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-5_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-6_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-7_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_253502-8_1-boost-nutrition-drink-health-energy-sports.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Hot: Stir 2-3 teaspoons (20gms) of Boost into a cup of hot milk. Add sugar to taste.
Cold: Stir 2-3 teaspoons (20gms) of Boost to a little warm milk, top up with chilled milk. Add sugar to taste.","[{'EAN Code': '8901030818073'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited,Unilever House, B. D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400 099.'}]",-,-,-,-,"Malted Barley (Extracted Solids) 69%, Sugar, Wheat Flour, Milk Solids (6%), Minerals, Wheat Gluten, Natural Colours, Acidity Regulators, Glucose, Salt, Cocoa Powder, Vitamins, Soy Protein Isolate (.28%), Nature Identical Flavouring Substances",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Boost,"Boost Drink Powder - Sports Stars First Choice, 15 g","Boost health drink is enriched with envita nutrients, a unique scientific mixture of essential vitamins and minerals that notably improve the levels of key nutrients, important for energy metabolism to help enhance stamina.",15 g,g,15 g,1,1,5,5,"GSK CH India , NH16, Dowlaiswaram Industrial Estate, Industrial Estate, Dowlaiswaram, Rajahmundry, Andhra Pradesh",India,['8901571000272'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20006249_4-boost-drink-powder-sports-stars-first-choice.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20006249-2_4-boost-drink-powder-sports-stars-first-choice.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20006249-3_4-boost-drink-powder-sports-stars-first-choice.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20006249-5_4-boost-drink-powder-sports-stars-first-choice.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Empty the contents of the sachet into a cup.
Add a little warm milk.
Add sugar to taste.
Stir well.
Top up with chilled/hot milk.","[{'EAN Code': '8901571000272'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'GSK CH India , NH16, Dowlaiswaram Industrial Estate, Industrial Estate, Dowlaiswaram, Rajahmundry, Andhra Pradesh'}]",-,-,-,-,"Cereal Extract, Malted Barley (Extracted Solids) 69%, Sugar, Wheat Flour, Milk Solids (6%), Minerals, Wheat Gluten, Natural Colours, Acidity Regulators, Glucose, Salt, Cocoa Powder, Vitamins, Soy Protein Isolate (.28%), Nature Identical Flavouring Substances",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Boost,"Boost Energy & Nutrition Drink - 3X More Stamina, 500 g (Pack of 2)","Boost is one of Indias leading Malt-based foods, fortified with a combination of micro-nutrients that are known to be essential for oxygen utilization of the body and energy metabolism. Boost is clinically proven to increase stamina by 3 times (3X) more. Enjoyed by some of your favourite cricket superstars all over India, the delicious chocolate Boost drink can be prepared with hot or cold milk and is fortified with 17 essential vitamins and minerals. Boost is proven to be a Nourishing beverage that helps build stamina, Boost Has nutrients that help in the maintenance of optimal bone & muscle strength. Boost is Enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6). Envita nutrients help transport oxygen more effectively in the body. Nutrients present in boost nourish the body in multiple ways- Iron and Vitamin C- help in effective transportation of oxygen to the muscle. Vitamin B12, Vitamin B2, Vitamin B6, Folic Acid- In the presence of oxygen, muscles produce more energy. Boost has nutrients that help in the optimal utilization of oxygen. Vitamin D, Calcium and protein- Nutrients that help in the maintenance of optimal bone & muscle strength for strength. Vitamin B1, Niacin, Biotin, Pantothenic Acid, Iodine, Magnesium- Energy releasing nutrients which help release energy from food.",500 g (Pack of 2),pcs,500 g (Pack of 2),2,1,599,534,"Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099.",India,['8901030820946'],['10013022001897'],https://datalabs.siva3.io/image/Eunimart_groceries_40218091_2-boost-energy-nutrition-drink-3x-more-stamina.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218091-2_2-boost-energy-nutrition-drink-3x-more-stamina.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218091-3_2-boost-energy-nutrition-drink-3x-more-stamina.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218091-4_2-boost-energy-nutrition-drink-3x-more-stamina.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218091-5_2-boost-energy-nutrition-drink-3x-more-stamina.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218091-6_2-boost-energy-nutrition-drink-3x-more-stamina.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218091-7_1-boost-energy-nutrition-drink-3x-more-stamina.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218091-8_1-boost-energy-nutrition-drink-3x-more-stamina.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40218091-9_1-boost-energy-nutrition-drink-3x-more-stamina.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Hot: Stir 20g (Approx. 2 heaped spoonful) of Boost into a cup of hot milk.
Cold: Stir 20g (Approx. 2 heaped spoonful) of Boost to a little warm milk, top up with chilled milk.","[{'EAN Code': '8901030820946'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10013022001897'}, {'Manufactured & Marketed by': 'Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099.'}]","Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099.",-,-,-,"Cereal extract (49%) [Barley, Wheat, Millet], Malted Barley (Extracted solids) (21%), Sugar, Wheat Flour (Atta) (6.5%), Milk Solids (6%), Minerals, Wheat gluten, Natural Colour [INS 1504 Acidity Regulators [INS 501(ii), INS 50000], Edible Iodized Salt, Cocoa powder, Vitamins, Soy Protein Isolate (0 28%), Nature-identical flavouring substances.",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Boost,"Boost Energy & Nutrition Drink, 500 g Pouch","Boost is one of Indias leading Malt-based foods, fortified with a combination of micro-nutrients that are known to be essential for oxygen utilization of the body and energy metabolism. Boost is clinically proven to increase stamina by 3 times (3X) more. Enjoyed by some of your favourite cricket superstars all over India, the delicious chocolate Boost drink can be prepared with hot or cold milk and is fortified with 17 essential vitamins and minerals. Boost is proven to be a Nourishing beverage that helps build stamina, Boost Has nutrients that help in the maintenance of optimal bone & muscle strength. Boost is Enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6). Envita nutrients help transport oxygen more effectively in the body. Nutrients present in boost nourish the body in multiple ways- Iron and Vitamin C- help in effective transportation of oxygen to the muscle. Vitamin B12, Vitamin B2, Vitamin B6, Folic Acid- In the presence of oxygen, muscles produce more energy. Boost has nutrients that help in the optimal utilization of oxygen. Vitamin D, Calcium and protein- Nutrients that help in the maintenance of optimal bone & muscle strength for strength. Vitamin B1, Niacin, Biotin, Pantothenic Acid, Iodine, Magnesium- Energy releasing nutrients which help release energy from food.",500 g Pouch,g,500 g Pouch,1,1,245,245,"Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",India,['40222230'],['10013022001897'],https://datalabs.siva3.io/image/Eunimart_groceries_40222230_2-boost-energy-nutrition-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222230-2_2-boost-energy-nutrition-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222230-3_2-boost-energy-nutrition-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222230-4_2-boost-energy-nutrition-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222230-5_2-boost-energy-nutrition-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222230-6_2-boost-energy-nutrition-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222230-7_2-boost-energy-nutrition-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222230-8_2-boost-energy-nutrition-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40222230-9_2-boost-energy-nutrition-drink.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40222230'}, {'FSSAI No': '10013022001897'}, {'Manufactured & Marketed by': 'Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099'}, {'Country of origin': 'India'}]","Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",-,-,-,"Cereal extract (49%) [Barley, Wheat, Millet], Malted Barley (Extracted solids) (21%), Sugar, Wheat Flour (Atta) (6.5%), Milk Solids (6%), Minerals, Wheat gluten, Natural Colour [INS 150c], Acidity Regulators [INS 501(ii), INS 500(ii)], Edible Iodized Salt, Cocoa powder, Vitamins, Soy Protein Isolate (0.28%), Nature-identical flavouring substances..",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Boost,"Boost Nutrition Drink - Health, Energy & Sports, 1 Kg Carton","Nourishing beverage that helps build stamina. Boost has nutrients which help in maintenance of optimal bone & muscle strength. Boost is enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6) that help transport oxygen more effectively in the body.",1 Kg Carton,Kg,1 Kg Carton,1,1,599,599,"Hindustan Unilever Limited,Unilever House, B. D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400 099.",India,['8901030818820'],-,https://datalabs.siva3.io/image/Eunimart_groceries_9377_7-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9377-2_4-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9377-3_4-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9377-4_4-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9377-5_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9377-6_3-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9377-7_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9377-8_1-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_9377-9_1-boost-nutrition-drink-health-energy-sports.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Hot: Stir 2-3 teaspoons (20 gms) of Boost into a cup of hot milk. Add sugar to taste.
Cold: Stir 2-3 teaspoons (20 gms) of Boost to a little warm milk, top up with chilled milk. Add sugar to taste.","[{'EAN Code': '8901030818820'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited,Unilever House, B. D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400 099.'}]",-,-,-,-,"Malted Barley (Extracted Solids) 69%, Sugar, Wheat Flour, Milk Solids (6%), Minerals, Wheat Gluten, Natural Colours, Acidity Regulators, Glucose, Salt, Cocoa Powder, Vitamins, Soy Protein Isolate (.28%), Nature Identical Flavouring Substances",-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-16,Boost,"Boost Nutrition Drink - Health, Energy & Sports, 200 g Jar","Nourishing beverage that helps build stamina. Boost has nutrients which help in maintenance of optimal bone & muscle strength. Boost is enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6) that help transport oxygen more effectively in the body.",200 g Jar,g,200 g Jar,1,1,135,135,"GSK CH India , NH16, Dowlaiswaram Industrial Estate, Industrial Estate, Dowlaiswaram, Rajahmundry, Andhra Pradesh",India,['8901030817182'],-,https://datalabs.siva3.io/image/Eunimart_groceries_6653_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_6653-2_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_6653-3_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_6653-4_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_6653-5_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_6653-6_2-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_6653-7_1-boost-nutrition-drink-health-energy-sports.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_6653-8_1-boost-nutrition-drink-health-energy-sports.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Hot: Stir 2-3 teaspoons (20gms) of Boost to a cup of hot milk. Add sugar to taste.
Cold: Stir 2-3 teaspoons (20gms) of Boost to a little warm milk, top up with chilled milk. Add sugar to taste.","[{'EAN Code': '8901030817182'}, {'Country Of Origin': 'India'}, {'Manufactured & Marketed by': 'GSK CH India , NH16, Dowlaiswaram Industrial Estate, Industrial Estate, Dowlaiswaram, Rajahmundry, Andhra Pradesh'}]","GSK CH India , NH16, Dowlaiswaram Industrial Estate, Industrial Estate, Dowlaiswaram, Rajahmundry, Andhra Pradesh",-,-,-,"Malted Barley (Extracted Solids) 69%, Sugar, Wheat Flour, Milk Solids (6%), Minerals, Wheat Gluten, Natural Colours, Acidity Regulators, Glucose, Salt, Cocoa Powder, Vitamins, Soy Protein Isolate (.28%), Nature Identical Flavouring Substances",-
