L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs)
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Celery, 250 g","Relish juicy, crunchy and mildly salty flavoured celeries that are individually handpicked everyday by our trained farmers.
Celeries have wide, green leaves attached to thick, juicy stalks joined at a common base.
Do not forget to check our delicious recipe https://www.bigbasket.com/cookbook/recipes/239/chinese-clear-vegetable-soup/",250 g,g,250 g,1,1,26.15,14,Fresho,India,['10000075'],-,https://datalabs.siva3.io/image/Eunimart_groceries_75_16-fresho-celery.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_75-3_1-fresho-celery.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Celeries being a low energy vegetable makes it a good and healthy option for people on diets.
Celery juice aids in healthy bowel movements, treats arthritis pain and detoxifies the whole body.",-,"[{'EAN Code': '10000075'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Chilli - Bajji, Mild (Loose), 250 g","Fresho is our brand of fresh fruits and vegetables which are individually handpicked every day by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient-dense, healthy and delicious produce reaches your doorstep. We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund.
Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",250 g,g,250 g,1,1,19.24,9.5,Fresho,India,['10000079'],-,https://datalabs.siva3.io/image/Eunimart_groceries_79_16-fresho-chilli-bajji-mild.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_79-2_8-fresho-chilli-bajji-mild.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_79-3_3-fresho-chilli-bajji-mild.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_79-4_1-fresho-chilli-bajji-mild.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '10000079'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Chilli - Green Long, Medium (Loose), 250 g",Green chillis are the best kitchen ingredient to bring a dash of spiciness to recipes. The fresh flavour and sharp bite make them a must in almost all Indian dishes. This particular green chilli variety is big.,250 g,g,250 g,1,1,20.56,15.5,Fresho,India,['10000082'],-,https://datalabs.siva3.io/image/Eunimart_groceries_2_19-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-2_2-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-3_3-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-4_2-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-5_1-fresho-chilli-green-long-medium.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rich in dietary fibre, so, it eases digestion. Protects against cancer and stimulates the cooling centre of the brain by lowering body temperature. This is the reason why in a hot place like India, chillies are consumed a lot. It also possesses anti-bacterial properties.",-,"[{'EAN Code': '10000082'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Chilli - Green Long, Medium (Loose), 250 g",Green chillis are the best kitchen ingredient to bring a dash of spiciness to recipes. The fresh flavour and sharp bite make them a must in almost all Indian dishes. This particular green chilli variety is big.,250 g,g,250 g,1,1,20.56,15.5,Fresho,India,['10000082'],-,https://datalabs.siva3.io/image/Eunimart_groceries_2_19-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-2_2-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-3_3-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-4_2-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-5_1-fresho-chilli-green-long-medium.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rich in dietary fibre, so, it eases digestion. Protects against cancer and stimulates the cooling centre of the brain by lowering body temperature. This is the reason why in a hot place like India, chillies are consumed a lot. It also possesses anti-bacterial properties.",-,"[{'EAN Code': '10000082'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Chilli - Green Long, Medium (Loose), 250 g",Green chillis are the best kitchen ingredient to bring a dash of spiciness to recipes. The fresh flavour and sharp bite make them a must in almost all Indian dishes. This particular green chilli variety is big.,250 g,g,250 g,1,1,20.56,15.5,Fresho,India,['10000082'],-,https://datalabs.siva3.io/image/Eunimart_groceries_2_19-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-2_2-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-3_3-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-4_2-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-5_1-fresho-chilli-green-long-medium.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rich in dietary fibre, so, it eases digestion. Protects against cancer and stimulates the cooling centre of the brain by lowering body temperature. This is the reason why in a hot place like India, chillies are consumed a lot. It also possesses anti-bacterial properties.",-,"[{'EAN Code': '10000082'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Chilli - Green Long, Medium (Loose), 250 g",Green chillis are the best kitchen ingredient to bring a dash of spiciness to recipes. The fresh flavour and sharp bite make them a must in almost all Indian dishes. This particular green chilli variety is big.,250 g,g,250 g,1,1,20.56,15.5,Fresho,India,['10000082'],-,https://datalabs.siva3.io/image/Eunimart_groceries_2_19-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-2_2-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-3_3-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-4_2-fresho-chilli-green-long-medium.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_2-5_1-fresho-chilli-green-long-medium.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rich in dietary fibre, so, it eases digestion. Protects against cancer and stimulates the cooling centre of the brain by lowering body temperature. This is the reason why in a hot place like India, chillies are consumed a lot. It also possesses anti-bacterial properties.",-,"[{'EAN Code': '10000082'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Chilli - Green Small (Loose), 1 kg",Green chillis are the best kitchen ingredient to bring a dash of spiciness to recipes. The fresh flavour and sharp bite make them a must in almost all Indian dishes. This particular green chilli variety is small and said to be spicier.,1 kg,kg,1 kg,1,1,180.92,101,Fresho,India,['20003764'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20003764_4-fresho-chilli-green-short-hot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20003764-2_1-fresho-chilli-green-short-hot.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rich in dietary fiber. So, it eases digestion. Protects against cancer and stimulates the cooling center of the brain by lowering the body temperature. This is the reason why in a hot place like India, chillies are consumed alot. It also possesses anti-bacterial properties.",-,"[{'EAN Code': '20003764'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Chilli - Green Small (Loose), 1 kg",Green chillis are the best kitchen ingredient to bring a dash of spiciness to recipes. The fresh flavour and sharp bite make them a must in almost all Indian dishes. This particular green chilli variety is small and said to be spicier.,1 kg,kg,1 kg,1,1,180.92,101,Fresho,India,['20003764'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20003764_4-fresho-chilli-green-short-hot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20003764-2_1-fresho-chilli-green-short-hot.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rich in dietary fiber. So, it eases digestion. Protects against cancer and stimulates the cooling center of the brain by lowering the body temperature. This is the reason why in a hot place like India, chillies are consumed alot. It also possesses anti-bacterial properties.",-,"[{'EAN Code': '20003764'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}, {'Country of Origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Chilli - Green, Organically Grown (Loose), 100 g","Fresho organically grown green chillies are meant to send shivers up your spine - literally! These chillies are grown in special organic farms, from where they are packaged in hygienic and clean environments to ensure purity. These green chillies are definitely a staple in your refrigerator to create aromatic delicacies.",100 g,g,100 g,1,1,10.99,8.35,Fresho,India,['74892706572'],-,https://datalabs.siva3.io/image/Eunimart_groceries_50000511_7-fresho-chilli-green-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000511-2_1-fresho-chilli-green-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Green chillies are a spicy treat but they are great for your health. It is rich in a variety of vitamins like A and C. Alongside, it is also laden with Capsaicin, which is known for boosting metabolism and also reducing hunger pangs, thus helping you lose weight.","Green chillies are a versatile ingredient that are mostly used in savouries including vegetables, chutneys, salads and a range of other condiments. But these days, it is being combined with chocolate and sweeter ingredients to create knockout deserts too. Chillies can also be added to buttermilk for enhancing flavour and providing you with health benefits.","[{'EAN Code': '74892706572'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Fresho,"Fresho Chilli - Green, Organically Grown (Loose), 100 g","Fresho organically grown green chillies are meant to send shivers up your spine - literally! These chillies are grown in special organic farms, from where they are packaged in hygienic and clean environments to ensure purity. These green chillies are definitely a staple in your refrigerator to create aromatic delicacies.",100 g,g,100 g,1,1,10.99,8.35,Fresho,India,['74892706572'],-,https://datalabs.siva3.io/image/Eunimart_groceries_50000511_7-fresho-chilli-green-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_50000511-2_1-fresho-chilli-green-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Green chillies are a spicy treat but they are great for your health. It is rich in a variety of vitamins like A and C. Alongside, it is also laden with Capsaicin, which is known for boosting metabolism and also reducing hunger pangs, thus helping you lose weight.","Green chillies are a versatile ingredient that are mostly used in savouries including vegetables, chutneys, salads and a range of other condiments. But these days, it is being combined with chocolate and sweeter ingredients to create knockout deserts too. Chillies can also be added to buttermilk for enhancing flavour and providing you with health benefits.","[{'EAN Code': '74892706572'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-
