L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Butterscotch Bliss Ice Cream, 1 L Tub","Amul Premium Butterscotch infused with original milk ice cream, in a tub that's big enough for all your friends.",1 L Tub,L,1 L Tub,1,1,215,215,"Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",India,['8901262173506'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40005431_2-amul-real-ice-cream-butterscotch-bliss.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40005431-2_2-amul-real-ice-cream-butterscotch-bliss.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40005431-3_2-amul-real-ice-cream-butterscotch-bliss.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40005431-4_2-amul-real-ice-cream-butterscotch-bliss.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40005431-5_2-amul-real-ice-cream-butterscotch-bliss.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40005431-6_1-amul-real-ice-cream-butterscotch-bliss.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40005431-7_1-amul-real-ice-cream-butterscotch-bliss.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40005431-8_1-amul-real-ice-cream-butterscotch-bliss.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40005431-9_1-amul-real-ice-cream-butterscotch-bliss.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40005431-10_1-amul-real-ice-cream-butterscotch-bliss.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901262173506'}, {'Manufactured & Marketed by': ""Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.""}]","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Cake Magic Golden Fantasy Ice Cream, 1.5 L","Ice cream Cake from the house of Amul is 100% vegetarian. Cake Magic is an ideal choice to soothe the taste buds of all pastry-lovers. With a creamy texture and yummy ice cream toppings, cake magic can delight your taste buds like never before. Savour this delicious ice cream cake with your beloved ones.",1.5 L,L,1.5 L,1,1,400,400,"Amul Dairy Mumbai, Tokre village, Virar - 401303",India,['40158433'],['8901262178587'],https://datalabs.siva3.io/image/Eunimart_groceries_40158433_1-amul-ice-cream-cake-magic-golden-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158433-2_1-amul-ice-cream-cake-magic-golden-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158433-3_1-amul-ice-cream-cake-magic-golden-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158433-4_1-amul-ice-cream-cake-magic-golden-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158433-5_1-amul-ice-cream-cake-magic-golden-fantasy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat.
Keep it under ambient temperature for few minutes before eating, thaw before eating","[{'EAN Code': '40158433'}, {'Country Of Origin': 'India'}, {'FSSAI Number': '8901262178587'}, {'Manufactured & Marketed by': 'Amul Dairy Mumbai, Tokre village, Virar - 401303'}]","Amul Dairy Mumbai, Tokre village, Virar - 401303",-,-,-,"Base - Eggless Cake (16.5%): Water, Refined Wheat Flour (Maida), Sugar, Eggless Cake Concentrate [Milk Solids, Wheat Flour, Starch, Baking Powder, Permitted Emulsifier (E471), Stabilizer (E415), Common Salt], Edible Vegetable Oil (Refined Palm Oil), Cake Gel [Water, Permitted Emulsifiers (E471, E477, E470), Humectants (E422, E1520), Firming Agent (E509)];  Contains permitted synthetic food colour (e171) and added flavour (artificial flavouring substance ‚‚“ vanilla).
Bottom Layer ‚‚“ Tutti-Frutti Flavoured Ice Cream (36%): Milk Solids, Sugar, Permitted Emulsifier (E471) and Stabilizers (E407, E466, E415, E412); Contains permitted synthetic food colours (e124, e102) and added flavours (artificial flavouring substances - creamy vanilla & tutti fruity).
Middle Layer ‚‚“ Butterscotch Flavoured Ice Cream (25.5%): Milk Solids, Sugar, Permitted Emulsifier (E471) and Stabilizers (E407, E466, E415, E412); Contains permitted synthetic food colour (e102) and added flavour (artificial flavouring substances - butterscotch).
Top Layer ‚‚“ Strawberry Flavoured Ice Cream (20%): Milk Solids, Sugar, Permitted Emulsifier (E471) and Stabilizers (E407, E466, E415, E412); Contains permitted synthetic food colour (e127) and added flavour (artificial flavouring substances ‚‚“ strawberry). 
Topping ‚‚“ Cashew (2%)."
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Cake Magic Neapolitan Ice Cream, 1.5 L","Ice cream Cake from the house of Amul,100% vegetarian. Cake Magic is an ideal choice to soothe the taste buds of all pastry-lovers. With a creamy texture and yummy ice cream toppings, cake magic can delight your taste buds like never before. Savour this delicious ice cream cake with your beloved ones.",1.5 L,L,1.5 L,1,1,400,400,"Amul Dairy Mumbai, Tokre village, Virar - 401303",India,['40158432'],['8901262178587'],https://datalabs.siva3.io/image/Eunimart_groceries_40158432_2-amul-ice-cream-cake-magic-neapolitan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158432-2_2-amul-ice-cream-cake-magic-neapolitan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158432-3_2-amul-ice-cream-cake-magic-neapolitan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158432-4_2-amul-ice-cream-cake-magic-neapolitan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158432-5_2-amul-ice-cream-cake-magic-neapolitan.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat. 
Keep it under ambient temperature for few minutes before eating, thaw before eating","[{'EAN Code': '40158432'}, {'Country Of Origin': 'India'}, {'FSSAI Number': '8901262178587'}, {'Manufactured & Marketed by': 'Amul Dairy Mumbai, Tokre village, Virar - 401303'}]","Amul Dairy Mumbai, Tokre village, Virar - 401303",-,-,-,"Base - Eggless Cake (16.5%): Water, Refined Wheat Flour (Maida), Sugar, Eggless Cake Concentrate [Milk Solids, Wheat Flour, Starch, Baking Powder, Permitted Emulsifier (E471), Stabilizer (E415), Common Salt], Edible Vegetable Oil (Refined Palm Oil), Cake Gel [Water, Permitted Emulsifiers (E471, E477, E470), Humectants (E422, E1520), Firming Agent (E509)]; Contains permitted synthetic food colour (e171) and added flavour (artificial flavouring substance ‚‚“ vanilla).
Bottom Layer ‚‚“ Chocolate Ice Cream (37%): Milk Solids, Cocoa Solids, Sugar, Permitted Emulsifier (E471) and Stabilizers (E407, E466, E415, E412). 
Middle Layer ‚‚“ Vanilla Flavoured Ice Cream (26%): Milk Solids, Sugar, Permitted Emulsifier (E471) and Stabilizers (E407, E466, E415, E412); Contains added flavour (artificial flavouring substances ‚‚“ vanilla).
Top Layer ‚‚“ Strawberry Flavoured Ice Cream (20%): Milk Solids, Sugar, Permitted Emulsifier (E471) and Stabilizers (E407, E466, E415, E412); Contains permitted synthetic food colour (e127) and added flavour (artificial flavouring substances ‚‚“ strawberry).
Topping ‚‚“ Dark Choco - Vermicelli (0.5%)."
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Caramel Cookies Ice Cream, 1 L Box",-,1 L Box,L,1 L Box,1,1,200,200,"Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",India,['40012978'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40012978_7-amul-ice-cream-caramel-cookies.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012978-2_4-amul-ice-cream-caramel-cookies.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012978-3_4-amul-ice-cream-caramel-cookies.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012978-4_4-amul-ice-cream-caramel-cookies.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012978-5_3-amul-ice-cream-caramel-cookies.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40012978'}, {'Manufactured & Marketed by': ""Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.""}]","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,"Ice Cream (92%), Milk and Milk Products, Sugar Permitted emulsifier (E471) and Stabilizers (E407, E466, E415, E412), Cookies (8%), Wheat flour, Sugar Hydrogenated Vegetable Oils, Water, Golden syrup, Cocoa Solids, Caramel Sauce (Milk Solids Liquid glucose & edible salt), Homectant (E420), edible Salt, Leavening agents (E500 (ii) & E 503(ii), Permitted emulsifiers (E471 & E481(I),
Per 100ml (Approx Values), Energy 136.0 kcal, Total Fat 7.4g, Saturated Fat 4.6g, Trans Fat 0.2g, Total Carbohydrate 15.0g, Added Sugar 8.0g, Protein 2.2g, Calcium 95.0mg."
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Choco Chips Ice Cream - Real Milk, 1 L Tub","Amul Choco Chips Real Ice Cream is a appetizing and has a double chocolate with chocolate chips mixed in the dark, rich chocolate ice cream. There's no superior treat than homemade ice cream. This is enormous for a fun family or entertaining action for a group. It is prepared with the easy, all-organic ingredients of cream which blended with rich, chunky chocolate chips. It is simply melt in your mouth, mingling with the luscious flavors of this real cream.",1 L Tub,L,1 L Tub,1,1,230,230,"Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",India,['8901262172493'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40003800_2-amul-real-ice-cream-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003800-2_2-amul-real-ice-cream-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003800-3_2-amul-real-ice-cream-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003800-4_2-amul-real-ice-cream-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003800-5_2-amul-real-ice-cream-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003800-6_1-amul-real-ice-cream-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003800-7_1-amul-real-ice-cream-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003800-8_1-amul-real-ice-cream-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003800-9_1-amul-real-ice-cream-choco-chips.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003800-10_1-amul-real-ice-cream-choco-chips.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901262172493'}, {'Manufactured & Marketed by': ""Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.""}]","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,"Milk and Milk Products, Sugar, Cocoa Solids, Choco Chips Permitted emulsifier (E471) and Stabilizers (E407, E466, E415, E412)."
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Chocolate Brownie Ice Cream, 125 ml Plastic IML Cup","Amul Chocolate Brownie Ice Cream is made from real milk and premium chocolates. This mouth-watering, delicious ice cream comes in premium packaging. It is a cult favourite for Chocolate Brownie lovers.",125 ml Plastic IML Cup,ml,125 ml Plastic IML Cup,1,1,35,35,"Gujarat Co-operative Milk Marketing Federation Limited, ANAND - 388001, GUJARAT, INDIA",India,['40190795'],['10012021000071'],https://datalabs.siva3.io/image/Eunimart_groceries_40190795_1-amul-chocolate-brownie-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40190795-2_1-amul-chocolate-brownie-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40190795-3_1-amul-chocolate-brownie-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40190795-4_1-amul-chocolate-brownie-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40190795-5_1-amul-chocolate-brownie-ice-cream.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Consume directly from the pack; to be served at -18 degree C.,"[{'EAN Code': '40190795'}, {'Country of origin': 'India'}, {'FSSAI Number': '10012021000071'}, {'Manufactured & Marketed by': 'Gujarat Co-operative Milk Marketing Federation Limited, ANAND - 388001, GUJARAT, INDIA'}]","Gujarat Co-operative Milk Marketing Federation Limited, ANAND - 388001, GUJARAT, INDIA",-,-,-,"Milk Solids, Cocoa Solids, Sugar, Chocolate Brownie (8%) [wheat Flour, Cocoa Solids, Sugar, Milk Solids, Permitted Stabilizer (e415), Common Salt], Permitted Emulsifier (e471) And Stabilizers (e407, E466, E415, E412)."
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Double Sundae Choco Almond 'N' Kesar Badam Ice Cream, 1 L Box",Amul Real milk choco almond N kesar badam ice cream now in a tub that enough for all your friends. The classics never go out of the fashion.,1 L Box,L,1 L Box,1,1,230,230,"Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",India,['400129800001'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40012980_5-amul-ice-cream-choco-almond-n-kesar-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012980-2_5-amul-ice-cream-choco-almond-n-kesar-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012980-3_5-amul-ice-cream-choco-almond-n-kesar-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012980-4_5-amul-ice-cream-choco-almond-n-kesar-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012980-5_5-amul-ice-cream-choco-almond-n-kesar-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012980-6_5-amul-ice-cream-choco-almond-n-kesar-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012980-7_1-amul-ice-cream-choco-almond-n-kesar-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012980-8_1-amul-ice-cream-choco-almond-n-kesar-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012980-9_1-amul-ice-cream-choco-almond-n-kesar-badam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012980-10_1-amul-ice-cream-choco-almond-n-kesar-badam.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '400129800001'}, {'Country of origin': 'India'}, {'Manufactured & Marketed by': ""Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.""}]","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,"Ice Cream Kesar Badam Magic (50%), Milk and Milk Products, Sugar, Kesar ripple (Water, Sugar, Liquid Glucose Permitted Stabilizer (E440), almond pieces Permited emulsifier (E471) and Stabilizers (E407, E415, E412, E405), Ice Cream Choco Almond (50%), Milk and Milk Products, Sugar Chocolate ripple (Water, Sugar, Liquid, Glucose, Permitted Stabilizers (E440), Chocolate almond pieces Permitted emulsifiers (E471) and Stabilizers (E407, E466, E415, E412),"
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Fruit 'N' Nut Fantasy Ice Cream, 125 ml Plastic IML Cup","Amul Fruit N Nut Fantasy Ice Cream is made from real milk and premium nuts and flavours. This mouth-watering delicious ice cream comes in a premium packaging. It is made from ice cream, orange jelly, cashew nuts, choco chips.",125 ml Plastic IML Cup,ml,125 ml Plastic IML Cup,1,1,35,35,"Gujarat Co-operative Milk Marketing Federation Limited, ANAND - 388001, GUJARAT, INDIA",India,['40190793'],['10012021000071'],https://datalabs.siva3.io/image/Eunimart_groceries_40190793_1-amul-fruit-n-nut-fantasy-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40190793-2_1-amul-fruit-n-nut-fantasy-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40190793-3_1-amul-fruit-n-nut-fantasy-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40190793-4_1-amul-fruit-n-nut-fantasy-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40190793-5_1-amul-fruit-n-nut-fantasy-ice-cream.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Consume directly from the pack; to be served at -18 degree C.,"[{'EAN Code': '40190793'}, {'Country of origin': 'India'}, {'FSSAI Number': '10012021000071'}, {'Manufactured & Marketed by': 'Gujarat Co-operative Milk Marketing Federation Limited, ANAND - 388001, GUJARAT, INDIA'}]","Gujarat Co-operative Milk Marketing Federation Limited, ANAND - 388001, GUJARAT, INDIA",-,-,-,"Milk Solids, Sugar, Orange Jelly (4%), Chocolate Chips (3%), Raisins (2.5%), Cashew Pieces (2.5%), Permitted Emulsifier (e471) And Stabilizers (e407, E466, E415, E412) Contains Permitted Synthetic Food Colours (e102, E110) And Added Flavour (artificial Flavouring Substances - Kesar Elaichi)."
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Fruit 'n' Nut Fantasy Ice Cream - Real Milk, 1 L Tub",Utterly delicious ice cream made from fresh milk available in a wide range of flavours and packs.,1 L Tub,L,1 L Tub,1,1,230,230,"Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",India,['8901262173483'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40003798_2-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003798-2_2-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003798-3_2-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003798-4_2-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003798-5_2-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003798-6_1-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003798-7_1-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003798-8_1-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003798-9_1-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003798-10_1-amul-real-ice-cream-fruit-n-nut-fantasy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901262173483'}, {'Manufactured & Marketed by': ""Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.""}]","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,"Fat -13% ,Protein -4% ,Added Sugar -15% ,Also, added stabilizers, emulsifiers, colors, flavours. (Nuts, fruits, fruit pulp, topping etc. depending on flavor of ice cream)."
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Gold Butterscotch Ice Cream, 1 L Tub","Amul Real milk ice cream is now in a tub that enough for all your friends. Ice cream never goes out of fashion. It is an easy, delectable dessert. 
The amazing taste is sure to tame your sweet cravings. Indulge in the sweet goodness and please your tastebuds.",1 L Tub,L,1 L Tub,1,1,260,260,"Kaira District Co-operative Milk Producers' Union Limited, At Food Complex Mogar, MOGAR, ANAND - 388001.",India,['890126173506'],['10012021000071'],https://datalabs.siva3.io/image/Eunimart_groceries_40170501_4-amul-butterscotch-gold-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40170501-2_5-amul-butterscotch-gold-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40170501-3_5-amul-butterscotch-gold-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40170501-4_5-amul-butterscotch-gold-ice-cream.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40170501-5_5-amul-butterscotch-gold-ice-cream.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat. Store it in frozen condition for best taste.,"[{'EAN Code': '890126173506'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10012021000071'}, {'Manufacturer Name & ': ""Kaira District Co-operative Milk Producers' Union Limited, At Food Complex Mogar, MOGAR, ANAND - 388001.""}, {'Marketed by': 'Gujarat Co-operative Milk Marketing Federation Limited, Anand - 388001.'}]","Gujarat Co-operative Milk Marketing Federation Limited, Anand - 388001.",-,-,-,"Milk Solids, Sugar, Cashew Chikki (12%) [Sugar, Cashew Pieces, Liquid Glucose, Ghee], Permitted Emulsifier (E471) And Stabilizers (E407, E466, E415, E412)
Contains Permitted Synthetic Food Colour (E102) And Added Flavour (Artificial Flavouring Substances ‚‚“ Butterscotch) Milk Solids, Sugar, Cashew Chikki (12%) [Sugar, Cashew Pieces, Liquid Glucose, Ghee], Permitted Emulsifier (E471) And Stabilizers (E407, E466, E415, E412)
Contains Permitted Synthetic Food Colour (E102) And Added Flavour (Artificial Flavouring Substances ‚‚“ Butterscotch)"
