L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand,Package Contains,About
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,24 Mantra Organic,"24 Mantra Organic Peanut Chikki Bar - Rich In Protein, Crispy & Crunchy, No Additives, 33 g Pouch","The classic is everybody's favourite snack. Most coveted in tiffin boxes and among post-dinner treats or mid-day snacks for that matter. Made with the finest quality peanut and jaggery, its crunchy sweetness is sure to bring a smile to your face. Peanut chikki contains sesame that makes it crispy and crunchy. It is made of the delightful jaggery with the addition of sesame. This treat can be consumed at any time of the day and is preferred by kids, youngsters and adults. It will give a delicious taste. It contains rich proteins and nutritions.",33 g Pouch,g,33 g Pouch,1,1,20,20,"Sresta Natural Bio Product PVT. LTD., H.NO. 8-2-468/A/1/3, Road No. 5, Banjara Hills Hyderabad, Telangana, India, Pin-500034",India,['40241564'],['10014047000217'],https://datalabs.siva3.io/image/Eunimart_groceries_40241564_1-24-mantra-organic-peanut-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241564-2_1-24-mantra-organic-peanut-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241564-3_1-24-mantra-organic-peanut-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241564-4_1-24-mantra-organic-peanut-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241564-5_1-24-mantra-organic-peanut-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241564-6_1-24-mantra-organic-peanut-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241564-7_1-24-mantra-organic-peanut-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241564-8_1-24-mantra-organic-peanut-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Satisfy those sudden hunger pangs with this.
Can be enjoyed with tea or as a snack whenever you feel hungry.","['EAN Code: 40241564', 'FSSAI No: 10014047000217', 'Manufactured & Marketed by: Sresta Natural Bio Product PVT. LTD., H.NO. 8-2-468/A/1/3, Road No. 5, Banjara Hills Hyderabad, Telangana, India, Pin-500034', 'Country of origin: India', 'Best before 02-05-2023', '","Sresta Natural Bio Product PVT. LTD., H.NO. 8-2-468/A/1/3, Road No. 5, Banjara Hills Hyderabad, Telangana, India, Pin-500034",-,-,-,"Peanut (55%), Jaggery, Sugar - Organic.",-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,24 Mantra Organic,"24 Mantra Organic Sesame Chikki Bar - Rich In Protein, Crispy & Crunchy, No Additives, 33 g Pouch","The classic is everybody's favourite snack. Most coveted in tiffin boxes and among post-dinner treats or mid-day snacks for that matter. Made with the finest quality sesame and jaggery, its crunchy sweetness is sure to bring a smile to your face. Sesame chikki contains sesame that makes it crispy and crunchy. It is made of the delightful jaggery with the addition of sesame. This treat can be consumed at any time of the day and is preferred by kids, youngsters and adults. It will give a delicious taste. It contains rich proteins and nutritions.",33 g Pouch,g,33 g Pouch,1,1,20,20,"Sresta Natural Bio Product PVT. LTD., H.NO. 8-2-468/A/1/3, Road No. 5, Banjara Hills Hyderabad, Telangana, India, Pin-500034",India,['40241565'],['10014047000217'],https://datalabs.siva3.io/image/Eunimart_groceries_40241565_1-24-mantra-organic-sesame-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241565-2_1-24-mantra-organic-sesame-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241565-3_1-24-mantra-organic-sesame-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241565-4_1-24-mantra-organic-sesame-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241565-5_1-24-mantra-organic-sesame-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241565-6_1-24-mantra-organic-sesame-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241565-7_1-24-mantra-organic-sesame-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40241565-8_1-24-mantra-organic-sesame-chikki-bar-rich-in-protein-crispy-crunchy-no-additives.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Satisfy those sudden hunger pangs with this.
Can be enjoyed with tea or as a snack whenever you feel hungry.","['EAN Code: 40241565', 'FSSAI No: 10014047000217', 'Manufactured & Marketed by: Sresta Natural Bio Product PVT. LTD., H.NO. 8-2-468/A/1/3, Road No. 5, Banjara Hills Hyderabad, Telangana, India, Pin-500034', 'Country of origin: India', 'Best before 02-05-2023', '","Sresta Natural Bio Product PVT. LTD., H.NO. 8-2-468/A/1/3, Road No. 5, Banjara Hills Hyderabad, Telangana, India, Pin-500034",-,-,-,"Sesame (55%), Jaggery, Sugar - Organic.",-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Aakash,"Aakash Sweets Cham Cham - Cottage Cheese Balls Dipped In Sugar Syrup, 1 kg Tin","Aakash Sweets - Cham Cham is a great dessert option for family dinners. Cham Cham is a traditional Bengali sweet, popular throughout the Indian subcontinent. Cham Cham is a Bengali delicacy made from milk solids and it comes in an oblong shape. It has a creamy khoya filling. Cham Cham sweet can be served with just rabri/ rabdi. Or just roll them in coconut and serve chilled. Enjoy the Aakash Sweets - Cham Cham whenever you want a taste of authentic desi sweets. Explore a wide range of delicious sweets, snacks, gift packs and more from Aakash Sweets only on Big Basket.",1 kg Tin,kg,1 kg Tin,1,1,240,240,"AAKASH GLOBAL FOODS PVT. LTD. Survey No. 13/1/5,16/2,17/4, Village Kumedi Tehsil Sanwer,Indore-453551(M.P.) India.",India,['40276358'],['10014026000610'],https://datalabs.siva3.io/image/Eunimart_groceries_40276358_1-aakash-sweets-cham-cham-cottage-cheese-balls-dipped-in-sugar-syrup.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40276358-2_1-aakash-sweets-cham-cham-cottage-cheese-balls-dipped-in-sugar-syrup.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40276358-3_1-aakash-sweets-cham-cham-cottage-cheese-balls-dipped-in-sugar-syrup.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40276358-4_1-aakash-sweets-cham-cham-cottage-cheese-balls-dipped-in-sugar-syrup.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40276358-5_1-aakash-sweets-cham-cham-cottage-cheese-balls-dipped-in-sugar-syrup.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40276358-6_1-aakash-sweets-cham-cham-cottage-cheese-balls-dipped-in-sugar-syrup.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40276358-7_1-aakash-sweets-cham-cham-cottage-cheese-balls-dipped-in-sugar-syrup.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40276358', 'FSSAI No: 10014026000610', 'Manufactured & Marketed by: AAKASH GLOBAL FOODS PVT. LTD. Survey No. 13/1/5,16/2,17/4, Village Kumedi Tehsil Sanwer,Indore-453551(M.P.) India.', 'Country of origin: India', 'Best before 03-05-2023', '","AAKASH GLOBAL FOODS PVT. LTD. Survey No. 13/1/5,16/2,17/4, Village Kumedi Tehsil Sanwer,Indore-453551(M.P.) India.",-,-,-,"Refined Sugar, Milk solids (Chhena) (9%), Water.",-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Aakash,"Aakash Sweets Gulab Jamun - Milk Solids Balls Dipped In Sugar Syrup, 1 kg","Aakash Sweets - Gulabjamun is an all-time favourite desi sweet that is loved by all. Made with sugar and whole milk, this brilliant desi sweet is the perfect dessert choice for after meals and also tastes amazing with vanilla ice cream. This Gulab Jamun Dessert Pack is ideal for parties and family gatherings. Microwave the cup for 10 seconds before you serve to experience the best. Gulab Jamun is often enjoyed as a snack on its own and tastes good with ice cream, halva and more. Explore a wide range of delicious sweets, snacks, gift packs and more from Aakash Sweets only on Big Basket.",1 kg,kg,1 kg,1,1,240,240,"AAKASH GLOBAL FOODS PVT. LTD. Survey No. 13/1/5,16/2,17/4, Village Kumedi Tehsil Sanwer,Indore-453551(M.P.) India.",India,['8906005911261'],['10014026000610'],https://datalabs.siva3.io/image/Eunimart_groceries_40088049_2-aakash-sweets-gulabjamun.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088049-2_1-aakash-sweets-gulabjamun.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088049-3_1-aakash-sweets-gulabjamun.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088049-4_1-aakash-sweets-gulabjamun.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088049-5_1-aakash-sweets-gulabjamun.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088049-6_1-aakash-sweets-gulabjamun.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088049-7_1-aakash-sweets-gulabjamun.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8906005911261', 'FSSAI No: 10014026000610', 'Manufactured & Marketed by: AAKASH GLOBAL FOODS PVT. LTD. Survey No. 13/1/5,16/2,17/4, Village Kumedi Tehsil Sanwer,Indore-453551(M.P.) India.', 'Country of origin: India', 'Best before 02-06-2023', '","AAKASH GLOBAL FOODS PVT. LTD. Survey No. 13/1/5,16/2,17/4, Village Kumedi Tehsil Sanwer,Indore-453551(M.P.) India.",-,-,-,"Refined Sugar, Water, Milk Solids (Khoya) (15%), Chhena, Edible Vegetable Oil (Palmolein), Refined Wheat Flour.",-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Amrakhand - With Real Mango, 200 g Cup","It is a semi soft sweetish sour dessert with the goodness of creamy, rich, and decadant Shrikhand mixed with ripe mango puree. It makes for the perfect after meal condiment to enjoy with family and friends.",200 g Cup,g,200 g Cup,1,1,47,47,"Baroda Dairy, VADODARA - 390 009. Lic. No. - 10012021000407",India,['40018684'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40018684_2-amul-amrakhand-with-real-mango.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018684-2_2-amul-amrakhand-with-real-mango.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018684-3_2-amul-amrakhand-with-real-mango.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018684-4_2-amul-amrakhand-with-real-mango.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018684-5_2-amul-amrakhand-with-real-mango.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40018684', 'Manufacturer Name and : Baroda Dairy, VADODARA - 390 009. Lic. No. - 10012021000407', ""Panchmahal District Co-operative Milk Producers' Union Limited. GODHRA - 389 001. Lic. No. - 10012021000424"", ""Marketed by: Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010."", 'Best Before 01-06-2023', '","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,"Ripe Mango Pulp, Milk Solids, Honey, Spices, Cane Sugar, Fruit sugar",-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Badam Pista Shrikhand, 200 g","Shrikhand is a semi soft, sweetish sour, whole milk product prepared from lactic fermented curd. The curd (dahi) is partially strained through a cloth to remove the whey and thus produce a solid mass called chakka (the basic ingredient for Shrikhand). This chakka is mixed with the required amount of sugar, etc., to yield Shrikhand.",200 g,g,200 g,1,1,55,52,"Baroda Dairy, VADODARA - 390 009. Lic. No. - 10012021000407",India,['40058173'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40058173_2-amul-badam-pista-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40058173-2_1-amul-badam-pista-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40058173-3_1-amul-badam-pista-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40058173-4_1-amul-badam-pista-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40058173-5_1-amul-badam-pista-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40058173-6_1-amul-badam-pista-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40058173-7_1-amul-badam-pista-shrikhand.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40058173', 'Country Of Origin: India', 'Manufacturer Name and : Baroda Dairy, VADODARA - 390 009. Lic. No. - 10012021000407', 'Sabar Dairy, Sub Post Boria, HIMATNAGAR - 383 006. Lic. No. - 10012021000207', ""Panchmahal District Co-operative Milk Producers' Union Limited. GODHRA - 389 001. Lic. No. - 10012021000424"", ""Marketed by: Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010."", 'Best Before __PSL__days from the date of delivery', '","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Elaichi Shrikhand, 200 g Cup","A sweet creamy elaichi infused dessert, made in the authentic style with a distinct taste of cardamom. Makes for an ideal dessert for every occasion.",200 g Cup,g,200 g Cup,1,1,50,47,"Baroda Dairy, VADODARA - 390 009. Lic. No. - 10012021000407",India,['40018685'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40018685_2-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-2_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-3_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-4_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-5_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-6_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-7_1-amul-elaichi-shrikhand.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40018685', 'Manufacturer Name and : Baroda Dairy, VADODARA - 390 009. Lic. No. - 10012021000407', 'Sabar Dairy, Sub Post Boria, HIMATNAGAR - 383 006. Lic. No. - 10012021000207', ""Panchmahal District Co-operative Milk Producers' Union Limited. GODHRA - 389 001. Lic. No. - 10012021000424"", ""Marketed by: Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010."", 'Best Before 01-06-2023', '","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,"Milk Solids, Powdered Sugar, Cardamon",-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Elaichi Shrikhand, 200 g Cup","A sweet creamy elaichi infused dessert, made in the authentic style with a distinct taste of cardamom. Makes for an ideal dessert for every occasion.",200 g Cup,g,200 g Cup,1,1,50,47,"Baroda Dairy, VADODARA - 390 009. Lic. No. - 10012021000407",India,['40018685'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40018685_2-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-2_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-3_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-4_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-5_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-6_1-amul-elaichi-shrikhand.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018685-7_1-amul-elaichi-shrikhand.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40018685', 'Manufacturer Name and : Baroda Dairy, VADODARA - 390 009. Lic. No. - 10012021000407', 'Sabar Dairy, Sub Post Boria, HIMATNAGAR - 383 006. Lic. No. - 10012021000207', ""Panchmahal District Co-operative Milk Producers' Union Limited. GODHRA - 389 001. Lic. No. - 10012021000424"", ""Marketed by: Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010."", 'Best Before 01-06-2023', '","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,"Milk Solids, Powdered Sugar, Cardamon",-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Frozen Rasmalai, 500 g",‚‚ Made from fresh Amul Milk ‚‚ Longer shelf life (1 year) ‚‚ Hygienic & convenient packaging compared to local sweets shop ‚‚ Uniformity in quality and standards of ingredients used ‚‚ Most widely and round the year available frozen sweet in India.,500 g,g,500 g,1,1,230,230,"Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",India,['40085899'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40085899_2-amul-frozen-rasmalai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40085899-2_2-amul-frozen-rasmalai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40085899-3_2-amul-frozen-rasmalai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40085899-4_2-amul-frozen-rasmalai.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40085899-5_2-amul-frozen-rasmalai.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40085899', 'Country Of Origin: India', ""Manufactured & Marketed by: Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010."", 'Best before 16-07-2023', '","Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",-,-,-,"Rabdi / Condensed milk (Milk Solids, Sugar), Chhana / Indian Cottage Cheese (24%), Pistachio (0.4%) and Permitted Class II Preservative (E222)",-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-11,Amul,"Amul Kaju Katri, 200 g",Amul kaju katri is made from real cashew and under the extreme hygiene condition in Amul Dairy Mogar plant.,200 g,g,200 g,1,1,190,190,"Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010.",India,['8901262220941'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40088512_1-amul-kaju-katri.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8901262220941', 'Country of origin: India', ""Manufacturer Name &  : Kaira District Co-operative Milk Producers' Union Limited, Anand 388 001. At Food Complex Mogar, Mogar. Lic. No. - 10014021001010."", 'Best before 26-03-2023', '",-,-,-,-,Cashew (65%) and Sugar,-,-,-,-
