L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Blue Tribe,"Blue Tribe Plant-based Mutton Keema - Zero Cholesterol, High Protein, 250 g","Blue Tribes Plant-based Mutton Keema is made with the goodness of soy extracts and tastes just as yum as Mutton. And heres the best part, its cruelty-free and planet-friendly. The Mighty Mutton Keema, now in a plant-based avatar! From a meaty Spaghetti Bolognese to the quintessentially Indian Keema Pav “ this ones your go-to for everything!",250 g,g,250 g,1,1,375,375,"Vista Processed Foods Pvt. Ltd. W: M-75/78 MIDC Industrial Area, Taloja, Panvel, Dist. Raigad, Maharashtra 400 208 & Shivanika Foods Pvt. Ltd. 415, Shah & Nahar, Dr. E. Moses Road, Worli, Mumbai, Maharashtra-400018",India,['40246616'],['10012022000443'],https://datalabs.siva3.io/image/Eunimart_groceries_40246616_3-blue-tribe-plant-based-mutton-keema-zero-cholesterol-high-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40246616-2_3-blue-tribe-plant-based-mutton-keema-zero-cholesterol-high-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40246616-3_3-blue-tribe-plant-based-mutton-keema-zero-cholesterol-high-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40246616-4_3-blue-tribe-plant-based-mutton-keema-zero-cholesterol-high-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40246616-5_2-blue-tribe-plant-based-mutton-keema-zero-cholesterol-high-protein.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40246616-6_2-blue-tribe-plant-based-mutton-keema-zero-cholesterol-high-protein.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40246616', 'FSSAI No: 136170100000347', 'Manufactured & Marketed by: Vista Processed Foods Pvt. Ltd. W: M-75/78 MIDC Industrial Area, Taloja, Panvel, Dist. Raigad, Maharashtra 400 208 & Shivanika Foods Pvt. Ltd. 415, Shah & Nahar, Dr. E. Moses Road, Worli, Mumbai, Maharashtra-400018', 'Country of origin: India', 'Best before 01-09-2023', '","Vista Processed Foods Pvt. Ltd. W: M-75/78 MIDC Industrial Area, Taloja, Panvel, Dist. Raigad, Maharashtra 400 208 & Shivanika Foods Pvt. Ltd. 415, Shah & Nahar, Dr. E. Moses Road, Worli, Mumbai, Maharashtra-400018",-,-,"Water (62.6%), Textured Soy Protein (13%), Refined Sunflower Oil (Antioxidant Ins 319), Fat Flakes, Seasoning {stabiliser (Ins 452(I)), Anti Caking Agent (Ins 551), Flavour Enhancer(Ins 627, Ins 631) Contains Permitted Natural Colour(Ins 171, Ins 150d) And Added Flavours(Natural And Nature Identical Flavouring Substances)}, Thickener (Ins 407) Flavour & Flavour Enhancers And Beetroot Colour Powder (Ins 162), Caramel Color Powder (Ins 150c). Contains Soy & Wheat (Gluten)"
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Amritsari Achari Chicken Tikka - Fresh & Juicy, Marinated, Ready To Cook, 250 g (12-14 pcs 15-20 g each)","1. Heat the non-stick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari Chicken Tikka on pan/tawa allow them to sear for 5-7 min then flip them the other side and let it cook for 5-7min then transfer to a serving plate.
2. Or Pre Heat the oven at 170c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari chicken tikka on the baking tray put it for 20 to 25min for roasting then transfer to a serving plate and Serve Hot.",250 g (12-14 pcs 15-20 g each),pcs,250 g (12-14 pcs 15-20 g each),14,1,360,179,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['40231677'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_40231677_3-fresho-amritsari-achari-chicken-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231677-2_2-fresho-amritsari-achari-chicken-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231677-3_1-fresho-amritsari-achari-chicken-tikka-juicy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Heat the non-stick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari Chicken Tikka on pan/tawa allow them to sear for 5-7 min then flip them the other side and let it cook for 5-7min then transfer to a serving plate.
2. Or Pre Heat the oven at 170c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari chicken tikka on the baking tray put it for 20 to 25min for roasting then transfer to a serving plate and Serve Hot.","[{'EAN Code': '40231677'}, {'Manufacturer Name & Marketed By': 'Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.'}, {'FSSAI': '10020043003172'}, {'Country of Origin': 'India'}]","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,"Spices And Condiments (Onion, Chilli, Garlic, Fennel, Turmeric, Parsley, Mustard), Iodised Salt, Sugar, Corn Starch, Stabiliser (Ins 452(I)), Cream Analogue (Hydrogenated Palm Oil, Milk Protein), Hydrolysed Vegetable Protein(Soya), Acidity Regulator (Ins 262(I), Ins 330), Yeast Extract Powder, Lemon Juice Powder, Natural & Nature Identical Flavourings, Anticaking Agent (Ins 551), Flavour Enhancer (Ins 627, Ins 631). Contains Added Flavours (Natural And Nature Identical Flavouring Substances."
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Amritsari Achari Chicken Tikka - Fresh & Juicy, Marinated, Ready To Cook, 250 g (12-14 pcs 15-20 g each)","1. Heat the non-stick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari Chicken Tikka on pan/tawa allow them to sear for 5-7 min then flip them the other side and let it cook for 5-7min then transfer to a serving plate.
2. Or Pre Heat the oven at 170c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari chicken tikka on the baking tray put it for 20 to 25min for roasting then transfer to a serving plate and Serve Hot.",250 g (12-14 pcs 15-20 g each),pcs,250 g (12-14 pcs 15-20 g each),14,1,360,179,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['40231677'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_40231677_3-fresho-amritsari-achari-chicken-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231677-2_2-fresho-amritsari-achari-chicken-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231677-3_1-fresho-amritsari-achari-chicken-tikka-juicy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Heat the non-stick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari Chicken Tikka on pan/tawa allow them to sear for 5-7 min then flip them the other side and let it cook for 5-7min then transfer to a serving plate.
2. Or Pre Heat the oven at 170c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari chicken tikka on the baking tray put it for 20 to 25min for roasting then transfer to a serving plate and Serve Hot.","[{'EAN Code': '40231677'}, {'Manufacturer Name & Marketed By': 'Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.'}, {'FSSAI': '10020043003172'}, {'Country of Origin': 'India'}]","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,"Spices And Condiments (Onion, Chilli, Garlic, Fennel, Turmeric, Parsley, Mustard), Iodised Salt, Sugar, Corn Starch, Stabiliser (Ins 452(I)), Cream Analogue (Hydrogenated Palm Oil, Milk Protein), Hydrolysed Vegetable Protein(Soya), Acidity Regulator (Ins 262(I), Ins 330), Yeast Extract Powder, Lemon Juice Powder, Natural & Nature Identical Flavourings, Anticaking Agent (Ins 551), Flavour Enhancer (Ins 627, Ins 631). Contains Added Flavours (Natural And Nature Identical Flavouring Substances."
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Amritsari Achari Chicken Tikka - Fresh & Juicy, Marinated, Ready To Cook, 250 g (12-14 pcs 15-20 g each)","1. Heat the non-stick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari Chicken Tikka on pan/tawa allow them to sear for 5-7 min then flip them the other side and let it cook for 5-7min then transfer to a serving plate.
2. Or Pre Heat the oven at 170c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari chicken tikka on the baking tray put it for 20 to 25min for roasting then transfer to a serving plate and Serve Hot.",250 g (12-14 pcs 15-20 g each),pcs,250 g (12-14 pcs 15-20 g each),14,1,360,179,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['40231677'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_40231677_3-fresho-amritsari-achari-chicken-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231677-2_2-fresho-amritsari-achari-chicken-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231677-3_1-fresho-amritsari-achari-chicken-tikka-juicy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Heat the non-stick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari Chicken Tikka on pan/tawa allow them to sear for 5-7 min then flip them the other side and let it cook for 5-7min then transfer to a serving plate.
2. Or Pre Heat the oven at 170c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari chicken tikka on the baking tray put it for 20 to 25min for roasting then transfer to a serving plate and Serve Hot.","[{'EAN Code': '40231677'}, {'Manufacturer Name & Marketed By': 'Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.'}, {'FSSAI': '10020043003172'}, {'Country of Origin': 'India'}]","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,"Spices And Condiments (Onion, Chilli, Garlic, Fennel, Turmeric, Parsley, Mustard), Iodised Salt, Sugar, Corn Starch, Stabiliser (Ins 452(I)), Cream Analogue (Hydrogenated Palm Oil, Milk Protein), Hydrolysed Vegetable Protein(Soya), Acidity Regulator (Ins 262(I), Ins 330), Yeast Extract Powder, Lemon Juice Powder, Natural & Nature Identical Flavourings, Anticaking Agent (Ins 551), Flavour Enhancer (Ins 627, Ins 631). Contains Added Flavours (Natural And Nature Identical Flavouring Substances."
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Amritsari Achari Fish Tikka - Fresh & Juicy, Marinated, Ready To Cook, 500 g (22-28 pcs 20 g each)","Heat the nonstick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari fish tikka on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min then transfer to a serving plate and Serve Hot
Pre Heat the oven at 160c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari Fish Tikka on the baking tray put it for 15 to 20min for roasting then transfer to a serving plate and Serve Hot",500 g (22-28 pcs 20 g each),pcs,500 g (22-28 pcs 20 g each),28,1,930,467,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['40231670'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_40231670_3-fresho-amritsari-achari-fish-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231670-2_2-fresho-amritsari-achari-fish-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231670-3_1-fresho-amritsari-achari-fish-tikka-juicy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Heat the nonstick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari fish tikka on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min then transfer to a serving plate and Serve Hot
Pre Heat the oven at 160c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari Fish Tikka on the baking tray put it for 15 to 20min for roasting then transfer to a serving plate and Serve Hot","[{'EAN Code': '40231670'}, {'Manufacturer Name & Marketed By': 'Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.'}, {'FSSAI': '10020043003172'}, {'Country of Origin': 'India'}]","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,"Spices And Condiments (Onion, Chilli, Garlic, Fennel, Turmeric, Parsley, Mustard), Iodised Salt, Sugar, Corn Starch, Stabiliser (Ins 452(I)), Cream Analogue (Hydrogenated Palm Oil, Milk Protein), Hydrolysed Vegetable Protein(Soya), Acidity Regulator (Ins 262(I), Ins 330), Yeast Extract Powder, Lemon Juice Powder, Natural & Nature Identical Flavourings, Anticaking Agent (Ins 551), Flavour Enhancer (Ins 627, Ins 631). Contains Added Flavours (Natural And Nature Identical Flavouring Substances"
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Amritsari Achari Fish Tikka - Fresh & Juicy, Marinated, Ready To Cook, 500 g (22-28 pcs 20 g each)","Heat the nonstick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari fish tikka on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min then transfer to a serving plate and Serve Hot
Pre Heat the oven at 160c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari Fish Tikka on the baking tray put it for 15 to 20min for roasting then transfer to a serving plate and Serve Hot",500 g (22-28 pcs 20 g each),pcs,500 g (22-28 pcs 20 g each),28,1,930,467,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['40231670'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_40231670_3-fresho-amritsari-achari-fish-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231670-2_2-fresho-amritsari-achari-fish-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231670-3_1-fresho-amritsari-achari-fish-tikka-juicy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Heat the nonstick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari fish tikka on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min then transfer to a serving plate and Serve Hot
Pre Heat the oven at 160c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari Fish Tikka on the baking tray put it for 15 to 20min for roasting then transfer to a serving plate and Serve Hot","[{'EAN Code': '40231670'}, {'Manufacturer Name & Marketed By': 'Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.'}, {'FSSAI': '10020043003172'}, {'Country of Origin': 'India'}]","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,"Spices And Condiments (Onion, Chilli, Garlic, Fennel, Turmeric, Parsley, Mustard), Iodised Salt, Sugar, Corn Starch, Stabiliser (Ins 452(I)), Cream Analogue (Hydrogenated Palm Oil, Milk Protein), Hydrolysed Vegetable Protein(Soya), Acidity Regulator (Ins 262(I), Ins 330), Yeast Extract Powder, Lemon Juice Powder, Natural & Nature Identical Flavourings, Anticaking Agent (Ins 551), Flavour Enhancer (Ins 627, Ins 631). Contains Added Flavours (Natural And Nature Identical Flavouring Substances"
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Amritsari Achari Fish Tikka - Fresh & Juicy, Marinated, Ready To Cook, 500 g (22-28 pcs 20 g each)","Heat the nonstick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari fish tikka on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min then transfer to a serving plate and Serve Hot
Pre Heat the oven at 160c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari Fish Tikka on the baking tray put it for 15 to 20min for roasting then transfer to a serving plate and Serve Hot",500 g (22-28 pcs 20 g each),pcs,500 g (22-28 pcs 20 g each),28,1,930,467,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['40231670'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_40231670_3-fresho-amritsari-achari-fish-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231670-2_2-fresho-amritsari-achari-fish-tikka-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231670-3_1-fresho-amritsari-achari-fish-tikka-juicy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Heat the nonstick pan / tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Achari fish tikka on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min then transfer to a serving plate and Serve Hot
Pre Heat the oven at 160c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Achari Fish Tikka on the baking tray put it for 15 to 20min for roasting then transfer to a serving plate and Serve Hot","[{'EAN Code': '40231670'}, {'Manufacturer Name & Marketed By': 'Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.'}, {'FSSAI': '10020043003172'}, {'Country of Origin': 'India'}]","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,"Spices And Condiments (Onion, Chilli, Garlic, Fennel, Turmeric, Parsley, Mustard), Iodised Salt, Sugar, Corn Starch, Stabiliser (Ins 452(I)), Cream Analogue (Hydrogenated Palm Oil, Milk Protein), Hydrolysed Vegetable Protein(Soya), Acidity Regulator (Ins 262(I), Ins 330), Yeast Extract Powder, Lemon Juice Powder, Natural & Nature Identical Flavourings, Anticaking Agent (Ins 551), Flavour Enhancer (Ins 627, Ins 631). Contains Added Flavours (Natural And Nature Identical Flavouring Substances"
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Amritsari Achari Seer Fish Steak - Fresh & Juicy, Marinated, Ready To Cook, 250 g (2- 3 pcs 80- 100 g each)","On Gas: Heat the non-stick pan / Tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Seer Fish Masala Steak on pan/tawa allow them to sear for 8-10 min
Flip them the other side and let it cook for 5-7 min then transfer to a serving plate and Serve Hot.
For Oven: Pre Heat the oven at 180c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Seer Fish Masala  Steak on the baking tray put it for 15 to 20 min for roasting then transfer to serving plate and Serve Hot",250 g (2- 3 pcs 80- 100 g each),pcs,250 g (2- 3 pcs 80- 100 g each),3,1,1190,602,Innovative Retail Concepts Private Limited,India,['40240455'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_40240455_4-fresho-amritsari-achari-seer-fish-steak-fresh-juicy-marinated-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240455-2_3-fresho-amritsari-achari-seer-fish-steak-fresh-juicy-marinated-ready-to-cook.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240455-3_3-fresho-amritsari-achari-seer-fish-steak-fresh-juicy-marinated-ready-to-cook.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"On Gas: Heat the non-stick pan / Tawa on medium heat and add 2tbs oil then place the Fresho Amritsari Seer Fish Masala Steak on pan/tawa allow them to sear for 8-10 min
Flip them the other side and let it cook for 5-7 min then transfer to a serving plate and Serve Hot.
For Oven: Pre Heat the oven at 180c and grease the 2tbs oil on the baking tray then place the Fresho Amritsari Seer Fish Masala  Steak on the baking tray put it for 15 to 20 min for roasting then transfer to serving plate and Serve Hot","['EAN Code: 40240455', 'FSSAI No: 10020043003172', 'Manufactured & Marketed by:Innovative Retail Concepts Private Limited', 'Country of origin: India', 'Best before 2 days from the date of delivery', '",Innovative Retail Concepts Private Limited,-,-,"Spices And Condiments (Onion, Chilli, Garlic, Fennel, Turmeric, Parsley, Mustard), Iodised Salt, Sugar, Corn Starch, Stabiliser (Ins 452(I)), Cream Analogue (Hydrogenated Palm Oil, Milk Protein), Hydrolysed Vegetable Protein(Soya), Acidity Regulator (Ins 262(I), Ins 330), Yeast Extract Powder, Lemon Juice Powder, Natural & Nature Identical Flavourings, Anticaking Agent (Ins 551), Flavour Enhancer (Ins 627, Ins 631). Contains Added Flavours (Natural And Nature Identical Flavouring Substances"
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Awadhi Tundey Kabab Minced - Fresh & Juicy, Marinated, Ready To Cook, 1 kg Vaccum","Heat the nonstick pan/tawa on medium heat and add 2tbs desi ghee then make tikki of Fresho Awadhi Tundey Kabeb Mince and place the tikki on pan/tawa allow them to sear for 6-8 min then flip them other side and let it cook for 6-8min on low heat till its light brown then transfer to a serving plate and Serve Hot
Pre Heat the oven at 180c and apply 2tbs oil on the baking tray then heat the nonstick pan/tawa on medium heat and add 1tbs Desi Ghee then make a tikki of Fresho Awadhi Tundey Kabab Mince and place it on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min till light brown then transfer the Awadhi Tundey Kabab Mince to baking tray put it for 10 to15min then transfer to serving plate and Serve Hot",1 kg Vaccum,kg,1 kg Vaccum,1,1,3430,1745,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['40231687'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_40231687_3-fresho-awadhi-tundey-kabab-minced-fresh-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231687-2_2-fresho-awadhi-tundey-kabab-minced-fresh-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231687-3_1-fresho-awadhi-tundey-kabab-minced-fresh-juicy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Heat the nonstick pan/tawa on medium heat and add 2tbs desi ghee then make tikki of Fresho Awadhi Tundey Kabeb Mince and place the tikki on pan/tawa allow them to sear for 6-8 min then flip them other side and let it cook for 6-8min on low heat till its light brown then transfer to a serving plate and Serve Hot
Pre Heat the oven at 180c and apply 2tbs oil on the baking tray then heat the nonstick pan/tawa on medium heat and add 1tbs Desi Ghee then make a tikki of Fresho Awadhi Tundey Kabab Mince and place it on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min till light brown then transfer the Awadhi Tundey Kabab Mince to baking tray put it for 10 to15min then transfer to serving plate and Serve Hot","['EAN Code: 40231687', 'Manufacturer Name & Marketed By : Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.', 'FSSAI : 10020043003172', 'Country of Origin: India', '","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,"Corn Starch, Iodized Salt, Spices And Condiments (Cardamom, Black Pepper, Garlic, Ginger), Stabiliser (Ins 452(I)), Refined Wheat Flour(Maida), Hydrolysed Vegetable Protein(Soya), Natural & Nature Identical Flavourings, Yeast Extract Powder, Anticaking Agent (Ins 551), Flavour Enhancer (Ins 627, Ins 631), Milk Solids. Contains Added Flavours (Natural And Nature Identical Flavouring Substances)."
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Awadhi Tundey Kabab Minced - Fresh & Juicy, Marinated, Ready To Cook, 1 kg Vaccum","Heat the nonstick pan/tawa on medium heat and add 2tbs desi ghee then make tikki of Fresho Awadhi Tundey Kabeb Mince and place the tikki on pan/tawa allow them to sear for 6-8 min then flip them other side and let it cook for 6-8min on low heat till its light brown then transfer to a serving plate and Serve Hot
Pre Heat the oven at 180c and apply 2tbs oil on the baking tray then heat the nonstick pan/tawa on medium heat and add 1tbs Desi Ghee then make a tikki of Fresho Awadhi Tundey Kabab Mince and place it on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min till light brown then transfer the Awadhi Tundey Kabab Mince to baking tray put it for 10 to15min then transfer to serving plate and Serve Hot",1 kg Vaccum,kg,1 kg Vaccum,1,1,3430,1745,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['40231687'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_40231687_3-fresho-awadhi-tundey-kabab-minced-fresh-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231687-2_2-fresho-awadhi-tundey-kabab-minced-fresh-juicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231687-3_1-fresho-awadhi-tundey-kabab-minced-fresh-juicy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Heat the nonstick pan/tawa on medium heat and add 2tbs desi ghee then make tikki of Fresho Awadhi Tundey Kabeb Mince and place the tikki on pan/tawa allow them to sear for 6-8 min then flip them other side and let it cook for 6-8min on low heat till its light brown then transfer to a serving plate and Serve Hot
Pre Heat the oven at 180c and apply 2tbs oil on the baking tray then heat the nonstick pan/tawa on medium heat and add 1tbs Desi Ghee then make a tikki of Fresho Awadhi Tundey Kabab Mince and place it on pan/tawa allow them to sear for 5-7 min then flip them on the other side and let it cook for 5-7min till light brown then transfer the Awadhi Tundey Kabab Mince to baking tray put it for 10 to15min then transfer to serving plate and Serve Hot","['EAN Code: 40231687', 'Manufacturer Name & Marketed By : Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.', 'FSSAI : 10020043003172', 'Country of Origin: India', '","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,"Corn Starch, Iodized Salt, Spices And Condiments (Cardamom, Black Pepper, Garlic, Ginger), Stabiliser (Ins 452(I)), Refined Wheat Flour(Maida), Hydrolysed Vegetable Protein(Soya), Natural & Nature Identical Flavourings, Yeast Extract Powder, Anticaking Agent (Ins 551), Flavour Enhancer (Ins 627, Ins 631), Milk Solids. Contains Added Flavours (Natural And Nature Identical Flavouring Substances)."
