Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product name,Product Quantity,UOM,MRP,Price,Short Product Description,Long Product Description,SKU Code,Manufacturer,Country Of Origin,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD Available (Y/N),Images,Images.1,Images.2,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Net Quantity,Brand,Pack Quantity,Pack Size,UPC/EAN,FSSAI no,Preservatives,Preservatives (details),Flavours & Spices,Ready to cook,Ready to eat,Rice grain type,Recommended Age ,Baby Weight,Absorption Duration (in Hrs),Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Ingredients,Usage,Marketed By,Nutritional Facts
EU00073706,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"KM Bottle Cleaning Brush Set, 4 pcs",4 pcs,Units,289,179,"KM Bottle cleaning brush set comes in different sizes and have multiple uses for it. The brushes included in the set are: a cup brush with rich bristles, a smaller brush suitable for cup lids and an elongated brush suitable for straws. All brush handles are made of stainless steel with a nylon brush head. They are resilient, bendable, and stronger than sponge brushes. The brushes also have a curved brush head, which makes it easy to clean the nooks. The product can only be returned if it is not used and is in its packed condition.", , ,"Decent Plastic no, 84 Nawada Industrial Area Uttam Nagar-110059",China,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40115322_1-km-bottle-cleaning-brush-set.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40115322-2_1-km-bottle-cleaning-brush-set.jpg,,,,,,,,, ,KM,4,1,,, , , , , , , , , , , , , , , , ,,,"Decent Plastic no, 84 Nawada Industrial Area Uttam Nagar-110059",
EU00073707,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"Origami Good Karma Neem Wooden Comb - May Help To Reduce Dandruff and Excess Oil, Eco Friendly, 1 pc",1 pc,Units,160,120,Origami Good Karma Compostable Neem Comb brings to a wooden Comb. This tray is made with high-quality neem wood. It is 100% natural and eco-friendly. It is highly durable and long-lasting. The wood helps to balance the oil on the scalp. It may help to reduce dandruff and reduce excess oil. It improves blood circulation without pulling or breaking your hair. This comb helps maintain frizz due to its anti-static and anti-bacterial nature. This comb also makes a good gifting option., , ,"Aspire Oral care Pvt Ltd,Dehradun,UK-248197",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40242720_1-origami-good-karma-neem-wooden-comb-may-help-to-reduce-dandruff-excess-oil-eco-friendly.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40242720-2_1-origami-good-karma-neem-wooden-comb-may-help-to-reduce-dandruff-excess-oil-eco-friendly.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40242720-3_1-origami-good-karma-neem-wooden-comb-may-help-to-reduce-dandruff-excess-oil-eco-friendly.jpg,,,,,,,, ,Origami Good Karma,1,1,'4024272,, , , , , , , , , , , , , , , , ,,"1. Comb your hair from front to back with this comb.
2. Use it to make your hair manageable.","Origami Cellulo Pvt Ltd,126 A,Sriranga Complex,Ashwath Nagar,Bengaluru-560094",
EU00073708,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"Titania Children's Hair Comb - Bear Design, Durable, Assorted Colour, DP100165, 1 pc",1 pc,Units,179,99,"Titania Children's Comb-Bear Design is a German quality product characterised by teeth, which are both rounded and burr-free, ensuring that they are gentle on hair and scalp. These combs are reliable in both use and effectiveness. It is crafted using high-quality polypropylene material to provide long-term strength and use for years to come. It features a fine set of teeth, rounded with smoothly processed ends to glide through the hair with ease to ensure gentle combing for the scalp and hair without catching or pulling.", , ,TITANIAÂ® Fabrik GmbH â Fortunastr. 10-14 â D-42489 Wuelfrath â Germany,Germany,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40247334_1-titania-childrens-comb-bear-design-15-cm-assorted-colours-set-of-1-pc.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40247334-2_1-titania-childrens-comb-bear-design-15-cm-assorted-colours-set-of-1-pc.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40247334-3_1-titania-childrens-comb-bear-design-15-cm-assorted-colours-set-of-1-pc.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40247334-4_1-titania-childrens-comb-bear-design-15-cm-assorted-colours-set-of-1-pc.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40247334-5_1-titania-childrens-comb-bear-design-15-cm-assorted-colours-set-of-1-pc.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40247334-6_1-titania-childrens-comb-bear-design-15-cm-assorted-colours-set-of-1-pc.jpg,,,,, ,Titania,1,1,'4008576317016,, , , , , , , , , , , , , , , , ,,"Perfect choice for combing and detangling.
Suitable for small childrenâs hands.","bb Home, Bigbasket.com, 8th Floor, The Fairway Business Park, Embassy Golf Links Business Park, Challaghatta, Bengaluru, Karnataka - 560178",
EU00073709,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"Goli Soda Upcycled Newspaper Colour Pencils - Pigmented, Lightweight, 10 pcs",10 pcs,Units,199,189.05,"The most common protective casing around the core of a pencil is made from wood. The use of this material at an industrial level leads to the cutting of trees which, in turn, affects natural habitats and the climate adversely. Using sustainable alternatives help check this process and promotes the significant concepts of zero waste and sustainability. Switch to Goli Soda Newspaper Colour Pencils which are made from 100% upcycled newspapers. The packaging of the product is completely zero waste. These upcycled colour pencils come in a pack of 10 interesting colours, making it fun for both children and adults. They make wonderful return favours for birthdays and office events. They also make great gifts for school children, teachers, artists, and colleagues, who care for conserving the environment.
Benefits

Easy and fun to use better grip for little hands
Extremely lightweight and portable long-lasting rich coloring
Sharpens easily
Useful tip: use a sharp or new sharpener to sharpen these pencils.", , ,"GOLI SODA Sustainable Solutions Private Limited No.4, Second Street, Dr. Radhakrishnan Salai, Mylapore, Chennai - 600004.",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40247119_2-goli-soda-upcycled-newspaper-colour-pencils-pigmented-lightweight.jpg,,,,,,,,,, ,Goli Soda,10,1,'40247119,, , , , , , , , , , , , , , , , ,,Use a sharp or new sharpener to sharpen these pencils.,"GOLI SODA Sustainable Solutions Private Limited No.4, Second Street, Dr. Radhakrishnan Salai, Mylapore, Chennai - 600004.",
EU00073710,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"Chicco Brush And Comb - Light Blue, 1 pc",1 pc,Units,499,439,Chicco brush and comb - light blue chicco 'safe hygiene' brush and comb allows you to gently comb baby's hair. The soft natural bristles of the brush and rounded ends of the comb teeth ensures to be safe for baby's delicate scalp., , ,"ARTSANA INDIA PVT LTD, Artsana India Pvt. Ltd. 7th Floor, Paras Twin Towers, Sector 54, Gurgaon - 122002",Italy,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_30012466_1-chicco-brush-and-comb-light-blue.jpg,,,,,,,,,, ,Chicco,1,1,'8058664011933,, , , , , , , , , , , , , , , , ,,,,
EU00073711,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"Munchkin Smile 'n Scoop Suction Training Plate and Spoon Set - Pink, 9m+, 2 pcs",2 pcs,Units,799,719,"This set includes 1 smiley-face shaped suction plate and 1 scooper spoon to aid in self-feeding. The raised eyes and smile to help guide more food onto the utensils. Sturdy, deep walls are designed for easy scooping. Strong suction base helps prevent messes and spills. It is BPA-free.", , ,"Munchkin, Inc.7835 Gloria AvenueVan Nuys, CA 91406 USA",China,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40137705_1-munchkin-smile-n-scoop-suction-training-plate-and-spoon-set-pink-9m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40137705-2_1-munchkin-smile-n-scoop-suction-training-plate-and-spoon-set-pink-9m.jpg,,,,,,,,, ,Munchkin,2,1,'735282114625,, , , , , , , , , , , , , , , , ,,,,
EU00073712,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"Chicco Kids Toothbrush- 3Y-8Y Pink, 1 pc",1 pc,Units,119,119,"This toothbrush comes with extra soft tapered technology bristles, with ultra-fine ends, for a delicate action on enamel and sensitive gums. It has a small shaped head with a thin neck. It has extra soft tapered bristles that are gentle on the gums.", , ,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.","Italy, China",-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40142701_2-chicco-kids-toothbrush-pink-3y-6y.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142701-2_2-chicco-kids-toothbrush-pink-3y-6y.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142701-3_2-chicco-kids-toothbrush-pink-3y-6y.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142701-4_1-chicco-kids-toothbrush-pink-3y-6y.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142701-5_1-chicco-kids-toothbrush-pink-3y-6y.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142701-6_1-chicco-kids-toothbrush-pink-3y-6y.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142701-7_1-chicco-kids-toothbrush-pink-3y-6y.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142701-8_1-chicco-kids-toothbrush-pink-3y-6y.jpg,,, ,Chicco,1,1,'40142701,, , , , , , , , , , , , , , , , ,,,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",
EU00073713,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"Munchkin Soapy Stories Finger Puppet Bath Book - Ocean, 6 m+, 1 pc",1 pc,Units,799,719,"It is an Integrated Scuba Sean finger puppet bath book which is waterproof, easy to clean and dries quickly after use. It focuses on learning colours. It improves hand and eye coordination. It helps the baby in learning the language.", , ,"Munchkin, Inc.7835 Gloria AvenueVan Nuys, CA 91406 USA",China,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40137703_1-munchkin-soapy-stories-finger-puppet-bath-book-ocean-6-m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40137703-2_1-munchkin-soapy-stories-finger-puppet-bath-book-ocean-6-m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40137703-3_1-munchkin-soapy-stories-finger-puppet-bath-book-ocean-6-m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40137703-4_1-munchkin-soapy-stories-finger-puppet-bath-book-ocean-6-m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40137703-5_1-munchkin-soapy-stories-finger-puppet-bath-book-ocean-6-m.jpg,,,,,, ,Munchkin,1,1,'40137703,, , , , , , , , , , , , , , , , ,,,,
EU00073714,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"Chicco Baby Toothbrush- 6M-36M Blue, 1 pc",1 pc,Units,149,149,, , ,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",Italy,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40142866_2-chicco-baby-toothbrush-light-blue-6-36m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142866-2_1-chicco-baby-toothbrush-light-blue-6-36m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142866-3_1-chicco-baby-toothbrush-light-blue-6-36m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142866-4_1-chicco-baby-toothbrush-light-blue-6-36m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142866-5_1-chicco-baby-toothbrush-light-blue-6-36m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142866-6_1-chicco-baby-toothbrush-light-blue-6-36m.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40142866-7_1-chicco-baby-toothbrush-light-blue-6-36m.jpg,,,, ,Chicco,1,1,'40142866,, , , , , , , , , , , , , , , , ,,,"Artsana India Private Limited, 7th Floor, Paras Twin Towers, Sector-54, Golf Course Road, Gurgaon 122002.",
EU00073715,RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,"Morison Baby Dreams Quick Electric Sterilizer - 6 Bottles, 1 pc",1 pc,Units,2700,2299,Morisons Baby Dreams Quick Electric Sterilizer is carefully designed for ease and use and effective sterilization of baby feeding bottle and accessories. It can hold upto 6 standard bottles or wide neck bottles. Fast sterilization is just 8 minutes. The steam sterilization effectively kills the germs and bacteria with the natural steam and no chemicals. It is the safest and easiest way to sterilize the feeding bottle and accessories. For fast and effective sterilization, , ,"J. L. Morison (India) Ltd. Pendinsula Business Park, Tower ""A"", 8th Floor, Senapati Bapat Marg, Lower Parel. Mumbai. Maharashtra - 400013 Whatsapp us at +918828022300 or email us at customercare@jlmorison.com","India, China",-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40196489_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40196489-2_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40196489-3_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40196489-4_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg, https://datalabs.siva3.io/images/Eunimart_groceries_40196489-5_1-morison-baby-dreams-quick-electric-sterilizer-6-bottles.jpg,,,,,, ,Morison Baby Dreams,1,1,'40196489,, , , , , , , , , , , , , , , , ,,"â¢ Measure about 75ml water and pour into the containerâ¢ Place the washed bottles into the bottle rest and put the nipple and the accessories into the upper accessories trayâ¢ Put on the lid and plug it onâ¢ Press the button and the light indicator will turn onâ¢ After 8 minutes of sterilization, it will automatically switch offâ¢ Open the lid and leave the contents to cool before using themâ¢Use tong for easy handling","J. L. Morison (India) Ltd. Pendinsula Business Park, Tower ""A"", 8th Floor, Senapati Bapat Marg, Lower Parel. Mumbai. Maharashtra - 400013 Whatsapp us at +918828022300 or email us at customercare@jlmorison.com",
