L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Specification,About
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Beige, Soft, Strong & Durable, 1 pc","Athom Living Beige Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['40238137'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238137_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-beige-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238137-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-beige-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238137-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-beige-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238137-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-beige-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238137-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-beige-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the main door, bedroom, entrance, kitchen, home, bathroom, entryway, shop, office, covered outdoor, etc.","['EAN Code: 40238137', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Beige
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave Safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Black, Soft, Strong & Durable, 1 pc","Athom Living Black Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['8904370500998'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238141_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-black-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238141-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-black-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238141-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-black-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238141-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-black-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238141-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-black-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the main door, bedroom, entrance, kitchen, home, bathroom, entryway, shop, office, covered outdoor, etc.","['EAN Code: 8904370500998', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Black
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Blue Leaf, Soft, Strong & Durable, 1 pc","Athom Living Blue Leaf Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['40238134'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238134_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238134-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238134-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238134-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238134-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-leaf-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the main door, bedroom, entrance, kitchen, home, bathroom, entryway, shop, office, covered outdoor, etc.","['EAN Code: 40238134', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Blue
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Blue Patches, Soft, Strong & Durable, 1 pc","Athom Living Blue Patches Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['40238148'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238148_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-patches-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238148-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-patches-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238148-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-patches-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238148-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-patches-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238148-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-patches-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the main door, bedroom, entrance, kitchen, home, bathroom, entryway, shop, office, covered outdoor, etc.","['EAN Code: 40238148', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Blue
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Blue, Soft, Strong & Durable, 1 pc","Athom Living Blue Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['40238142'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238142_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238142-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238142-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238142-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238142-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-blue-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the main door, bedroom, entrance, kitchen, home, bathroom, entryway, shop, office, covered outdoor, etc.","['EAN Code: 40238142', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Blue
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Brown & Beige, Soft, Strong, Durable, 1 pc","Athom Living Brown & Beige Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['40238143'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238143_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-beige-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238143-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-beige-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238143-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-beige-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238143-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-beige-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238143-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-beige-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the main door, bedroom, entrance, kitchen, home, bathroom, entryway, shop, office, covered outdoor, etc.","['EAN Code: 40238143', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Brown & Beige
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Brown Blocks, Soft, Strong & Durable, 1 pc","Athom Living Brown Blocks Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['40238139'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238139_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-blocks-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238139-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-blocks-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238139-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-blocks-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238139-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-blocks-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238139-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-blocks-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the main door, bedroom, entrance, kitchen, home, bathroom, entryway, shop, office, covered outdoor, etc.","['EAN Code: 40238139', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Brown
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Brown, Soft, Strong & Durable, 1 pc","Athom Living Brown Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['40238152'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238152_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238152-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238152-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238152-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238152-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-brown-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the bathroom door, main door, bedroom, entrance, kitchen, home, main door, entryway, shop, office, covered outdoor, etc.","['EAN Code: 40238152', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Brown
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Green Leaf, Soft, Strong & Durable, 1 pc","Athom Living Green Leaf Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['40238133'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238133_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-green-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238133-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-green-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238133-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-green-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238133-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-green-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238133-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-green-leaf-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the main door, bedroom, entrance, kitchen, home, bathroom, entryway, shop, office, covered outdoor, etc.","['EAN Code: 40238133', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Green
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
RET,RET-10,RET-10-14,RET-10-14-10,RET-10-14-10-13,Athom Living,"Athom Living Anti Slip Bath/Door/Floor Mat - Micro Designer Grey Leaf, Soft, Strong & Durable, 1 pc","Athom Living Grey Leaf Micro Designer Soft Anti Slip Bath Mat is made of soft materials. These doormats are durable and will keep your feet moisture-free. Sporting vibrant colours and striking designs, these doormats will also elevate the look of your bathroom and door setup.",1 pc,pcs,1 pc,1,1,599,225,"Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",India,['8904370500936'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40238135_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-grey-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238135-2_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-grey-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238135-3_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-grey-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238135-4_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-grey-leaf-soft-strong-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238135-5_1-athom-living-anti-slip-bathdoorfloor-mat-micro-designer-grey-leaf-soft-strong-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Soft feel & comfort
Excellent water absorption capacity
Anti-skid","Use it for the main door, bedroom, entrance, kitchen, home, bathroom, entryway, shop, office, covered outdoor, etc.","['EAN Code: 8904370500936', 'Manufactured & Marketed By: Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819', 'Country of Origin: India', '","Athom Trendz Pvt Ltd ""Premier House"" #18, 76th A Cross Rajajinagar Bangalore-560010, support@premierhouse.in /PH-8861285819",-,-,-,-,"Brand:- Athom Living
Type:- Doormat
Material:- Nylon
Colour:- Grey
Dimensions:- 58x38x1 Cm
Capacity:- NA
Features:- Anti-skid, Eco-friendly, Highly durable, Flock top remove dirt and debris from feet easily and Kid-friendly.
Shape:- Rectangular
Microwave safe:- No
Dishwasher Safe:- No
Freezer Safe:- NA
Package Content :- 1 pc",-
