L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Beretta,"Beretta Prosciutto Crudo, 100 g Pouch","Beretta Prosciutto Crudo, 100 g Pouch",100 g Pouch,g,100 g Pouch,1,1,745,745,Beretta,Italy,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40155979_3-beretta-prosciutto-crudo.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40155979-2_3-beretta-prosciutto-crudo.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40155979-3_2-beretta-prosciutto-crudo.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40155979-4_2-beretta-prosciutto-crudo.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Bhuna Gravy Mix, 200 g + Mutton - Boneless, 2 To 3 pcs, 500 g, Combo 2 Items","Bhuna Gravy Mix:-
Fresho Bhuna Gravy Mix is made with the finest quality whole spices. It contains sauteed onion and dry coconut base and other spices that are roasted. This curry paste is easy to use and has a great flavour. You can make veg as well as non-veg curries with this curry paste. It makes an authentic spicy delicious curry. It is rich, flavourful and has a great aroma. It does not contain any added preservatives.
Mutton - Boneless:-
Fresho brings to you high-quality Mutton Raw Boneless. They are hygienic cut and cleaned. We bring to you premium curry-cut goat meat. We make your cooking preparation easy. It is easy to use and hassle-free.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,1394,858.32,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['1222637'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_222637_1-fresho-bhuna-gravy-mix-200-g-mutton-boneless-2-to-3-pcs-500-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Bhuna Gravy Mix:- 
Mix the curry sauce with water.
Add veggies or meat of your choice.
Serve it with rotis, rice, etc.
Mutton - Boneless:-
Make any lamb curry easily without any hassle.","[{'EAN Code': '1222637'}, {'Manufactured Name & Marketed By': 'Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.'}, {'FSSAI': '10020043003172'}, {'Country of Origin': 'India'}]","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,-,"Bhuna Gravy Mix:- Onion, Water, Refined Edible Vegetable Oil (Sunflower Oil), Tomato Paste, Mixed Spices, Ginger, Garlic, Green Chilli Pepper, Salt, Corn Flour, Acidity Regulator (INS 270), Antioxidant (INS 306), Class 2 Preservatives (INS 211, INS 202).
Mutton - Boneless:- Mutton."
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Bhuna Gravy Mix, 200 g + Mutton - Curry Cut, 10-15 pcs, 500 g, Combo 2 Items","Bhuna Gravy Mix:-
Fresho Bhuna Gravy Mix is made with the finest quality whole spices. It contains sauteed onion and dry coconut base and other spices that are roasted. This curry paste is easy to use and has a great flavour. You can make veg as well as non-veg curries with this curry paste. It makes an authentic spicy delicious curry. It is rich, flavourful and has a great aroma. It does not contain any added preservatives.
Mutton - Curry Cut:-
Fresho Mutton Curry Cut are a chunky piece of mutton. This is a mix of white and dark, skinned, bone-in meat. Cleanly cut and skinless mutton pieces. It is hygienically packed for easy and quick use. It makes cooking easy as its elements the task of cleaning and cutting. Make delicious curries by adding some aromatic spices. It is a 100% freshly packed mutton. No Hormones, No Steroids, No Preservatives.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,770,555.27,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['1222636'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_222636_1-fresho-bhuna-gravy-mix-200-g-mutton-curry-cut-10-15-pcs-500-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Bhuna Gravy Mix:-
Mix the curry sauce with water.
Add veggies or meat of your choice.
Serve it with rotis, rice, etc.
Mutton - Curry Cut:-
Make any lamb curry easily without any hassle.","[{'EAN Code': '1222636'}, {'Manufactured Name & Marketed By': 'Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.'}, {'FSSAI': '10020043003172'}, {'Country of Origin': 'India'}]","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,-,"Bhuna Gravy Mix:- Onion, Water, Refined Edible Vegetable Oil (Sunflower Oil), Tomato Paste, Mixed Spices, Ginger, Garlic, Green Chilli Pepper, Salt, Corn Flour, Acidity Regulator (INS 270), Antioxidant (INS 306), Class 2 Preservatives (INS 211, INS 202).
Mutton - Curry Cut:- Mutton."
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Bhuna Gravy Mix, 200 g + Mutton - Mince, Antibiotic Residue-Free, 500 g, Combo 2 Items","Bhuna Gravy Mix:-
Fresho Bhuna Gravy Mix is made with the finest quality whole spices. It contains sauteed onion and dry coconut base and other spices that are roasted. This curry paste is easy to use and has a great flavour. You can make veg as well as non-veg curries with this curry paste. It makes an authentic spicy delicious curry. It is rich, flavourful and has a great aroma. It does not contain any added preservatives.
Mutton - Mince:-
Fresho brings to you high-quality Premium Mutton Mince. They are hygienic cut, cleaned and minced. We bring to you premium minced goat meat. We make your cooking preparation easy. It is easy to use and hassle-free.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,1498,918.17,"Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",India,['1222638'],['10020043003172'],https://datalabs.siva3.io/image/Eunimart_groceries_222638_1-fresho-bhuna-gravy-mix-200-g-mutton-mince-antibiotic-residue-free-500-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Bhuna Gravy Mix:- 
Mix the curry sauce with water.
Add veggies or meat of your choice.
Serve it with rotis, rice, etc.
Mutton - Mince:-
Make any lamb curry easily without any hassle.","[{'EAN Code': '1222638'}, {'Manufactured Name & Marketed By': 'Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.'}, {'FSSAI': '10020043003172'}, {'Country of Origin': 'India'}]","Super Market Grocery Supplies Pvt Ltd. The Fairway Business park, Near Embassy Golf links Business park,Challaghatta,Domlur, Bengaluru - 560071.",-,-,-,"Bhuna Gravy Mix:- Onion, Water, Refined Edible Vegetable Oil (Sunflower Oil), Tomato Paste, Mixed Spices, Ginger, Garlic, Green Chilli Pepper, Salt, Corn Flour, Acidity Regulator (INS 270), Antioxidant (INS 306), Class 2 Preservatives (INS 211, INS 202).
Mutton - Mince:- Mutton."
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Breast - Boneless 500 g + Mutton Boneless 500 g + Basa Fish Fillet 500 g, Combo 3 Items","Chicken Breast - Boneless
Fresho Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart.
Chicken curry is one of the favourite non-veg dishes in most Indian households. Fresho Chicken curry cut is carved into perfect pieces to give you the ideal portion for your curries. These scrumptious skinless chicken pieces come in 13-15 in numbers which are perfect for 2-3 people.
Mutton Boneless
Mutton is popular in most households. It is treated as a delicacy and is prepared on different joyous occasions. The juicy taste and the chewy texture make it a favourite among many. Moreover, they come with a lot of health benefits. It is packed with protein, saturated fat, iron, zinc, and vitamin B. Mutton helps in building a strong immune system. It also helps to build bones and muscles. 
For a scrumptious meatier experience, these boneless mutton pieces are perfect to indulge in. Grilled, barbecued, fried, or baked, one can have this versatile cut in different ways. This cut comes in 2-3 pieces which are perfect for 3-4 people. 
Basa Fish Fillet
Basa is a catfish which is light in colour and has a firm texture. Enriched in protein, it contains low fat making it perfect for your diet. These Fresho Basa boneless fillets are great for grilling, frying, barbecuing or curries. This is perfect for 2-3 people. It is preservative-free.",Combo 3 Items,Combo  Items,Combo 3 Items,3,1,2090,1326.2,Fresho,India,['1221181'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_221181_1-fresho-chicken-breast-boneless-500-g-mutton-boneless-500-g-basa-fish-fillet-500-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1221181'}, {'Country of Origin': 'India'}, {'Sourced by': ""Ahmedabad - Packed By:-Liza Foods. Add.Chuna'S Bhaththa Nr. Parixitlal Nagar Danilimda Ahmedabad-380028.Fssai License No:-20718034000476. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Email:-Customerservice@Bigbasket.Com Phone No:-18601231000""}, {'Indore - Packed By': '- Al-Ghori Khanne Khaas. :-Shop No, G-7, Paradise Tower, 1060 Khatiwala Tank, Indore, Madhya Pradesh-452014.Fssai License No:-21418850004121'}, {'Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}, {'","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Chicken, Mutton & Fish."
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Breast - Boneless 500 g + Mutton Boneless 500 g, Combo 2 Items","Chicken Breast - Boneless
Fresho Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart.
For a scrumptious meatier experience, this boneless chicken breast is perfect to indulge in. Grilled, barbecued, fried, or baked, one can have this versatile cut in diverse ways. Moreover, this part is considered one of the nutritious parts of the bird. It is an excellent source of protein for your body. This cut comes in 2-4 pieces which are perfect for 2-3 people.
Mutton Boneless 
Mutton is popular in most households. It is treated as a delicacy and is prepared on different joyous occasions. The juicy taste and the chewy texture make it a favourite among many. Moreover, they come with a lot of health benefits. It is packed with protein, saturated fat, iron, zinc, and vitamin B. Mutton helps in building a strong immune system. It also helps to build bones and muscles. This cut comes in 2-3 pieces which are perfect for 3-4 people.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,1636,1013.65,Fresho,India,['1221172'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_221172_1-fresho-chicken-breast-boneless-500-g-mutton-boneless-500-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1221172'}, {'Country of Origin': 'India'}, {'Sourced by': ""Ahmedabad - Packed By:-Liza Foods. Add.Chuna'S Bhaththa Nr. Parixitlal Nagar Danilimda Ahmedabad-380028.Fssai License No:-20718034000476. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Email:-Customerservice@Bigbasket.Com Phone No:-18601231000""}, {'Indore - Packed By': '- Al-Ghori Khanne Khaas. :-Shop No, G-7, Paradise Tower, 1060 Khatiwala Tank, Indore, Madhya Pradesh-452014.Fssai License No:-21418850004121'}, {'Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}, {'","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,Chicken & Mutton.
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Curry Cut Without Skin + Mutton - Curry Cut + Rohu Fish Large Curry Cut, Combo 3 Items","Chicken Curry Cut Without Skin
Fresho Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. 
Chicken curry is one of the favourite non-veg dishes in most Indian households. Fresho Chicken curry cut is carved into perfect pieces to give you the ideal portion for your curries. These scrumptious chicken pieces come in 13-15 in numbers which are perfect for 2-3 people.
Mutton-Curry Cut
Mutton is popular in most households. It is treated as a delicacy and is prepared for different joyous occasions. The juicy taste and the chewy texture make it a favourite among many. Moreover, they come with a lot of health benefits. It is packed with protein, saturated fat, iron, zinc and B vitamins. Mutton helps in building a strong immune system. It also helps to build bones and muscles. 
Mutton curry is enjoyed in most houses. Fresho Mutton curry cut is carved into perfect pieces to give you the ideal portion for your curries. These scrumptious mutton pieces come in 8-10 in numbers which are perfect for 2-3 people. 
Rohu Fish Large Curry Cut
Rohu fish with head & tailpieces is rich in protein and low in fat. It also contains plenty of minerals such as zinc, iron, and calcium, and has an abundance of omega-3 fatty acids. Vitamins such as A and D are also present. This fish helps increase the ""absorption rate"", boosts immunity and has anti-inflammatory properties. It also enhances the skin, nails, and hair, regulates blood sugar, and prevents cardiovascular disease. This curry cut Rohu fish comes with the head. It is clean and gutted. It is preservative-free.",Combo 3 Items,Combo  Items,Combo 3 Items,3,1,1167,804.65,Fresho,India,['1221179'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_221179_1-fresho-chicken-curry-cut-without-skin-mutton-curry-cut-rohu-fish-large-curry-cut.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1221179'}, {'Country of Origin': 'India'}, {'Sourced by': 'Azad Nagar, Colaba, Mumbai, Maharashtra 400005'}, {'Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}, {'","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Chicken, Mutton & Fish."
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Curry Cut Without Skin 500 g + Mutton - Curry Cut 500 g, Combo 2 Items","Chicken Curry Cut Without Skin
Fresho Chicken is lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. Chicken curry is one of the favourite non-veg dishes in most Indian households. Fresho Chicken curry cut is carved into perfect pieces to give you the ideal portion for your curries. These scrumptious skinless chicken pieces come in 13-15 in numbers, which are perfect for 2-3 people.
Mutton-Curry Cut
Mutton curry is enjoyed in most houses. Fresho Mutton curry cut is carved into perfect pieces to give you the ideal portion for your curries. These scrumptious mutton pieces come in 8-10 in numbers which are perfect for 2-3 people.  It is packed with protein, saturated fat, iron, zinc and B vitamins. Mutton helps in building a strong immune system. It also helps to build bones and muscles.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,882,615.6,Fresho,India,['1221155'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_221155_1-fresho-chicken-curry-cut-without-skin-500-g-mutton-curry-cut-500-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1221155'}, {'Country of Origin': 'India'}, {'Sourced by': 'Azad Nagar, Colaba, Mumbai, Maharashtra 400005'}, {'Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}, {'","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,Chicken & Mutton.
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Curry Cut Without Skin 500 g + Mutton - Curry Cut 500 g, Combo 2 Items","Chicken Curry Cut Without Skin
Fresho Chicken is lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. Chicken curry is one of the favourite non-veg dishes in most Indian households. Fresho Chicken curry cut is carved into perfect pieces to give you the ideal portion for your curries. These scrumptious skinless chicken pieces come in 13-15 in numbers, which are perfect for 2-3 people.
Mutton-Curry Cut
Mutton curry is enjoyed in most houses. Fresho Mutton curry cut is carved into perfect pieces to give you the ideal portion for your curries. These scrumptious mutton pieces come in 8-10 in numbers which are perfect for 2-3 people. It is packed with protein, saturated fat, iron, zinc and B vitamins. Mutton helps in building a strong immune system. It also helps to build bones and muscles.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,882,615.6,Fresho,India,['1221157'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_221157_1-fresho-chicken-curry-cut-without-skin-500-g-mutton-curry-cut-500-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '1221157'}, {'Country of Origin': 'India'}, {'Sourced by': 'Azad Nagar, Colaba, Mumbai, Maharashtra 400005'}, {'Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}, {'","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,Chicken & Mutton.
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Fresho Mutton Shanks/ Nalli, 1 kg","Mutton is popular in most of the household. It is treated as a delicacy and is prepared in different joyous occasions. The juicy taste and the chewy texture make it a favourite among many. Moreover, they come with a lot of health benefits. It is packed with protein, saturated fat, iron, zinc and B vitamins. Fresho Mutton Lamb Shanks has a heavenly taste when put together with the spices and perfect ingredients. One can show their culinary talent by making diverse dishes with this special cut.",1 kg,kg,1 kg,1,1,1962,1232,Bigbasket,India,['40227622'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40227622_1-fresho-mutton-lamb-shanks.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40227622', 'FSSAI No:', 'Manufactured & Marketed by: Bigbasket', 'Country of origin: India', 'Best before 2 days from the date of delivery', '",Bigbasket,-,-,-,Mutton Lamb.
