L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,BORGES,"BORGES Natura Rice & Almond Drink - Vegan, No Added Sugar, Gluten-free, 250 ml","Borges Natura Rice & Almond drink is 100% dairy and lactose-free. It is a rich and creamy texture. It is low in salt and sodium to promote normal blood pressure and low in saturated fat to keep cholesterol low. Enjoy all the nutritional benefits with a great taste, designed for all those who want to take care of their health and increase the consumption of vegetable proteins.",250 ml,ml,250 ml,1,1,125,99,"Liquats Vegtals, Crta. De Vic, 123 17406, Viladrau, Spain",Spain,['40238774'],['1001201100492'],https://datalabs.siva3.io/image/Eunimart_groceries_40238774_2-borges-natura-rice-almond-drink-vegan-no-added-sugar-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238774-2_2-borges-natura-rice-almond-drink-vegan-no-added-sugar-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238774-3_2-borges-natura-rice-almond-drink-vegan-no-added-sugar-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238774-4_2-borges-natura-rice-almond-drink-vegan-no-added-sugar-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238774-5_2-borges-natura-rice-almond-drink-vegan-no-added-sugar-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238774-6_2-borges-natura-rice-almond-drink-vegan-no-added-sugar-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238774-7_1-borges-natura-rice-almond-drink-vegan-no-added-sugar-gluten-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40238774-8_1-borges-natura-rice-almond-drink-vegan-no-added-sugar-gluten-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40238774'}, {'Manufactured by': 'Liquats Vegtals, Crta. De Vic, 123 17406, Viladrau, Spain'}, {'Marketed by': 'Borges India Pvt Ltd., A-47, Lower gr floor, Hauz Khas, Delhi - 110016'}, {'Fssai details': '1001201100492'}, {'Country of Origin': 'Spain'}]","Borges India Pvt Ltd., A-47, Lower gr floor, Hauz Khas, Delhi - 110016",-,-,-,"Water, Rice, Almonds, Sea Salt, Stabilizer(Gellan Gum)."
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,BORGES,"BORGES Natura Rice & Almond Drink, Vegan, 1 L Tetra Pack","This delicious almond milk is made from rice and almond. It has a creamy texture and natural sweetness. It is 100% lactose-free, 100% dairy free and hence it is ideal for the lactose intolerants and vegans. This drink is a powerful source of goodness, such as antioxidants, fatty acids, magnesium, and folic acid. Gulp it down along with your breakfast and begin your day on a happy note.",1 L Tetra Pack,L,1 L Tetra Pack,1,1,349,185,"Liquats Vegetals S.A. Crta, Viladrau, Spain",Italy/Spain,['40136749'],['10012011000492'],https://datalabs.siva3.io/image/Eunimart_groceries_40136749_3-borges-natura-rice-almond-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136749-2_2-borges-natura-rice-almond-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136749-3_2-borges-natura-rice-almond-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136749-4_1-borges-natura-rice-almond-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136749-5_1-borges-natura-rice-almond-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136749-6_1-borges-natura-rice-almond-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136749-7_1-borges-natura-rice-almond-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136749-8_1-borges-natura-rice-almond-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40136749-9_1-borges-natura-rice-almond-drink-vegan.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to drink. Also, it used in coffee or desserts.","['EAN Code: 40136749', 'FSSAI Number: 10012011000492', 'Manufacturer Name & : Liquats Vegetals S.A. Crta, Viladrau, Spain', 'Marketed & Imported by: Borges India Pvt. Ltd, Unit No. 2,3,4, Lower Gr. Floor Vasant, Square Mall, PV, Vasant Kunj, New Delhi-110070', 'Best before 11-03-2024', 'Country of Origin: Italy, Spain', '","Borges India Pvt. Ltd, Unit No. 2,3,4, Lower Gr. Floor Vasant, Square Mall, PV, Vasant Kunj, New Delhi-110070",-,-,-,"6% Walnuts, 14% Rice"
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,BORGES,"BORGES Natura Rice & Hazelnut Drink, Vegan, 1 L Tetrapack","The Borges Natura Rice & Walnut drink is an innovative one of its kind product. It is ready to drink a beverage that is lactose-free, gluten-free and has the nutrition of a handful of hazelnuts in every glass.
Borges Natura hazelnut drink is a 100% vegetable drink to enjoy all the nutritional benefits with a great taste, designed for all those who want to take care of their health and increase the consumption of vegetable proteins. Rich and creamy texture, perfect for tea/coffee or your favorite desserts Handful of hazelnuts in every glass Each glass contains 5 nuts, the recommended daily amount to keep our heart healthy Low in saturated fats to keep cholesterol at bay and low in salt and sodium to promote normal blood pressure weight: 1L product dimension: ?7.3 x 7.3 x 21.8 cm",1 L Tetrapack,L,1 L Tetrapack,1,1,349,185,"Liquats Vegetals S.A.Crta, De Vic km 1, 2317406 Viladrau, Spain",Spain,-,['10012011000492'],https://datalabs.siva3.io/image/Eunimart_groceries_40174839_4-borges-natura-rice-hazelnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174839-2_5-borges-natura-rice-hazelnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174839-3_5-borges-natura-rice-hazelnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174839-4_5-borges-natura-rice-hazelnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174839-5_5-borges-natura-rice-hazelnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174839-6_1-borges-natura-rice-hazelnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174839-7_1-borges-natura-rice-hazelnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174839-8_1-borges-natura-rice-hazelnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174839-9_1-borges-natura-rice-hazelnut-drink-vegan.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to drink. Make coffee or use it in desserts like Kheer.,"['EAN Code: __ EAN__', 'FSSAI Number: 10012011000492', 'Manufacturer Name and : Liquats Vegetals S.A.Crta, De Vic km 1, 2317406 Viladrau, Spain', 'Marketed by: Borges India Private Limited Unit 2,3,4 Lower gr floor,Vasant Sq Mall, Vasant Kunj, Delhi -110070', 'Country of Origin: Spain', 'Best Before 13-10-2023', '","Borges India Private Limited Unit 2,3,4 Lower gr floor,Vasant Sq Mall, Vasant Kunj, Delhi -110070",-,-,-,"Rice, Hazelnuts, Water, Gellangum, Sea Salt"
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,BORGES,"BORGES Natura Rice & Walnut Drink, Vegan, 1 L","BORGES Natura Rice & Walnut Drink, Vegan, 1 L",1 L,L,1 L,1,1,349,185,BORGES,Spain,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40122473_4-borges-natura-rice-walnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40122473-2_3-borges-natura-rice-walnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40122473-3_3-borges-natura-rice-walnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40122473-4_3-borges-natura-rice-walnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40122473-5_3-borges-natura-rice-walnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40122473-6_1-borges-natura-rice-walnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40122473-7_1-borges-natura-rice-walnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40122473-8_1-borges-natura-rice-walnut-drink-vegan.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40122473-9_1-borges-natura-rice-walnut-drink-vegan.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,BRIYAS,"BRIYAS Tofu Paneer - Rich In Protein, Calcium, Excellent Taste & Texture, 200 g","Tofu from fresh soybean curd without any preservatives. It is naturally gluten-free and low in calories. It is an important source of protein, especially. This can be enjoyed are vegans and vegetarians. It has good unsaturated fat. It contains no cholesterol and is an excellent source of iron and calcium.
Briya offers Tofu which acts as a good source of complete protein, and fibre and is a great addition to an anti-inflamatory diet.",200 g,g,200 g,1,1,99,75,"No.9, 1St Cross, Lakshman Road, Kothnur Main Road, Jp Nagar 8Th Phase, Bangalore - 560078",India,['8928228563003'],['11215334000896'],https://datalabs.siva3.io/image/Eunimart_groceries_40018937_8-briyas-tofu-soya-paneer.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018937-2_9-briyas-tofu-soya-paneer.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018937-3_8-briyas-tofu-soya-paneer.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018937-4_8-briyas-tofu-soya-paneer.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018937-5_3-briyas-tofu-soya-paneer.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018937-6_3-briyas-tofu-soya-paneer.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018937-7_3-briyas-tofu-soya-paneer.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018937-8_1-briyas-tofu-soya-paneer.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018937-9_1-briyas-tofu-soya-paneer.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40018937-10_1-briyas-tofu-soya-paneer.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You can replace Paneer with BRIYAS tofu for any dishes. It is a great meat alternative for vegans and vegetarians. 
It can be used in Kid‚‚s dishes: Tofu Rolls, Tofu Noddle‚‚s, Tofu Sand witch, Tofu Crispy bites & Tofu Salad.
Workouts: Tofu Stir Fry, General Tso‚‚s Tofu, Tofu wings, Tofu Rice & Veggies, Scramble Tofu Gravies: Tofu Makhani, Palak Tofu, Tofu Tikka masala, Green peas matar & many more.","[{'EAN Code': '8928228563003'}, {'Country of origin': 'India'}, {'FSSAI NO': '11215334000896'}, {'Manufactured & Marketed by': 'No.9, 1St Cross, Lakshman Road, Kothnur Main Road, Jp Nagar 8Th Phase, Bangalore - 560078'}]","No.9, 1St Cross, Lakshman Road, Kothnur Main Road, Jp Nagar 8Th Phase, Bangalore - 560078",-,-,-,"RO Water, Soybean, Isolated Soy Protein, Glucono Delta Lactone"
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Delishh,"Delishh Blackberries - Frozen Fresh, 200 g","Enjoy the delicious Blackberries by Connoisseur. Added to apples, kiwi and strawberries, blackberries will make a delicious fruit salsa. They also make great toppings for ice cream and desserts. Blackberries are a good source of fiber and essential vitamins. Use these Blackberries in your cake, jelly, pie, sauce or make jam. Established in 2008, Connoisseurs is an importer of frozen fruits, vegetable and meat products.",200 g,g,200 g,1,1,345,345,BORGES,Canada,['40007819'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40007819_1-delishh-blackberries-frozen-fresh.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"great for making smoothies, juices and desserts. can also be used as a cereal topper or can be mixed with yoghurt and relished as a healthy snack.","['EAN Code: 40007819', 'Country of origin: Canada', '",-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Delishh,"Delishh Blackberries, 1 kg","Delishh Blackberries - Frozen: 1 kg Delishh! specializes in developing frozen appetizers, import and distribution of frozen fruits, vegetable and meat products. Established in 2008, the company is situated in Noida (U.P.), India Delishh frozen fruits have a fair amount of antioxidants and are great for making smoothies, juices and desserts. These frozen fruits are easy and convenient to store and can also be used as a cereal topper or can be mixed with yoghurt and relished as a healthy snack. Delishh takes adequate care to reach their product to the retail point in frozen form. Changes in quality may occur if the product is thawed and refrozen. 100% Real ripe blackberries. Taste : Tart and Sweet",1 kg,kg,1 kg,1,1,1319,1319,"The Connoisseurs, A-94, SEC 65, NOIDA",Serbia,['5023300816'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40128134_1-delishh-frozen-blackberries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128134-2_1-delishh-frozen-blackberries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128134-3_1-delishh-frozen-blackberries.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Desserts, Jams, Sauces, Smoothies, Ice Creams, Toppings, Mocktails, Cakes, Pastries, Sorbets, Cocktails, Salads. Store the product below -18‚‚° C for best result.","['EAN Code: 5023300816', 'Manufacturer Name & : The Connoisseurs, A-94, SEC 65, NOIDA', 'Country of origin: Serbia', 'Best before 01-12-2023', '",-,-,-,-,Pure Fruits - Blackberries (variation dependant on seasonal availability)
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Delishh,"Delishh Blueberries, 1 kg","Delishh Blueberries, 1 kg",1 kg,kg,1 kg,1,1,1179,1179,Delishh,Canada,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40128133_5-delishh-frozen-blueberries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128133-2_5-delishh-frozen-blueberries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128133-3_5-delishh-frozen-blueberries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128133-4_4-delishh-frozen-blueberries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128133-5_4-delishh-frozen-blueberries.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Delishh,"Delishh Mix Berries, 500 g","Delishh frozen fruits have a fair amount of antioxidants and are great for making smoothies, juices and desserts. These frozen fruits are easy and convenient to store and can also be used as a cereal topper or can be mixed with yoghurt and relished as a healthy snack.",500 g,g,500 g,1,1,499,499,"The Connoisseurs, A-94, SEC 65, NOIDA",Canada,['40128137'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40128137_4-delishh-frozen-mix-berries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128137-2_5-delishh-frozen-mix-berries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128137-3_5-delishh-frozen-mix-berries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128137-4_4-delishh-frozen-mix-berries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128137-5_4-delishh-frozen-mix-berries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128137-6_4-delishh-frozen-mix-berries.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40128137', 'Manufacturer Name & : The Connoisseurs, A-94, SEC 65, NOIDA', 'Country of origin: CANADA', 'Best before 01-12-2023', '",-,-,-,-,Pure Fruits
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Delishh,"Delishh Raspberries, 1 kg","Delishh frozen fruits have a fair amount of antioxidants and are great for making smoothies, juices and desserts. These frozen fruits are easy and convenient to store and can also be used as a cereal topper or can be mixed with yoghurt and relished as a healthy snack.",1 kg,kg,1 kg,1,1,2221,2221,"The Connoisseurs, A-94, SEC 65, NOIDA",Serbia,['40128136'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40128136_1-delishh-frozen-raspberries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128136-2_1-delishh-frozen-raspberries.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40128136-3_1-delishh-frozen-raspberries.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40128136', 'Manufacturer Name & : The Connoisseurs, A-94, SEC 65, NOIDA', 'Country of origin: Serbia', 'Best before 01-12-2023', '",-,-,-,-,Pure Fruits
