L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,Package Contains,About
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,24 Mantra,"24 Mantra Organic Fusilli Pasta - Made With Whole Wheat Flour, 400 g","24 Mantra Organic Fusilli Pasta is made from 100% organic whole wheat flour. It is ideal for a quick snack, a healthy salad or as a complete meal for the family. It is also a healthy choice since it has zero cholesterol, zero trans fat and is a good source of iron, protein and fibre.",400 g,g,400 g,1,1,80,80,"Samashti foods private limited, Sy. No. 69 & 75, Gollapally (v), Kondapur (mdl), Sangareddy (Telangana)- 5022995.",India,['8904083525615'],['10017047000835'],https://datalabs.siva3.io/image/Eunimart_groceries_40223286_1-24-mantra-organic-fusilli-pasta-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223286-2_1-24-mantra-organic-fusilli-pasta-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223286-3_1-24-mantra-organic-fusilli-pasta-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223286-4_1-24-mantra-organic-fusilli-pasta-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223286-5_1-24-mantra-organic-fusilli-pasta-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223286-6_1-24-mantra-organic-fusilli-pasta-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223286-7_1-24-mantra-organic-fusilli-pasta-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223286-8_1-24-mantra-organic-fusilli-pasta-made-with-whole-wheat-flour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Add 2 tsp salt and 1 tbsp oil to 2 litres water and boil.
2. add 2 cups pasta, keep stirring for 10-15 minutes and drain.
3. Add chopped garlic, dried herbs (thyme/basil/oregano/rosemary) to 3 tbsp oil, after a minute, add onions and then green chillies, spring onions and tomatoes saute for a minute.
4. Add boiled pasta, salt (to taste) and mix well.
5. Add garlic and bread crumbs to heated butter and stir fry till golden and crisp.","[{'EAN Code': '8904083525615'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10017047000835'}, {'Manufactured By': 'Samashti foods private limited, Sy. No. 69 & 75, Gollapally (v), Kondapur (mdl), Sangareddy (Telangana)- 5022995.'}, {'Marketed by': 'SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, Pin-500034. INDIA'}]","SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, Pin-500034. INDIA",-,-,-,Organic Whole Wheat Flour,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,24 Mantra,"24 Mantra Organic Vermicelli - Made With Whole Wheat Flour, 400 g",24 Mantra organic vermicelli is made from organic whole wheat atta. Organic vermicelli has a high fibre and nutrient content that makes it suitable for people of any age group.,400 g,g,400 g,1,1,60,60,"Samashti foods private limited, Sy. No. 69 & 75, Gollapally (v), Kondapur (mdl), Sangareddy (Telangana)- 5022995.",India,['40223285'],['10017047000835'],https://datalabs.siva3.io/image/Eunimart_groceries_40223285_1-24-mantra-organic-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223285-2_1-24-mantra-organic-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223285-3_1-24-mantra-organic-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223285-4_1-24-mantra-organic-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223285-5_1-24-mantra-organic-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223285-6_1-24-mantra-organic-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223285-7_1-24-mantra-organic-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223285-8_1-24-mantra-organic-vermicelli-made-with-whole-wheat-flour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Roast Vermicelli ( 1 cup) with oil/ghee till it turns light brown.
2. Heat 2 tbsp oil, roast peanuts, red chillies, Bengal gram dal, urad dal, mustard seeds, cumin, till they splatter.
3. Add chopped onions, green chillies, carrots, green peas, curry leaves, saute for 4-5 mins.
4. Add salt (to taste) and roasted vermicelli to boiled 1 1/2 cup water and cook it till water evaporates.
5. Garnish and serve hot.","[{'EAN Code': '40223285'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10017047000835'}, {'Manufactured By': 'Samashti foods private limited, Sy. No. 69 & 75, Gollapally (v), Kondapur (mdl), Sangareddy (Telangana)- 5022995.'}, {'Marketed by': 'SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, Pin-500034. INDIA'}]","SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, Pin-500034. INDIA",-,-,-,Organic Whole Wheat Flour,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,24 Mantra,"24 Mantra Roasted Vermicelli - Made With Whole Wheat Flour, 400 g",24 Mantra organic roasted vermicelli is made from organic whole wheat atta. Roasted vermicelli has a high fibre and nutrient content that makes it suitable for people of any age group.,400 g,g,400 g,1,1,60,60,"Samashti foods private limited, Sy. No. 69 & 75, Gollapally (v), Kondapur (mdl), Sangareddy (Telangana)- 5022995.",India,['40223284'],['10017047000835'],https://datalabs.siva3.io/image/Eunimart_groceries_40223284_1-24-mantra-roasted-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223284-2_1-24-mantra-roasted-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223284-3_1-24-mantra-roasted-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223284-4_1-24-mantra-roasted-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223284-5_1-24-mantra-roasted-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223284-6_1-24-mantra-roasted-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223284-7_1-24-mantra-roasted-vermicelli-made-with-whole-wheat-flour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223284-8_1-24-mantra-roasted-vermicelli-made-with-whole-wheat-flour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Add roasted vermicelli in boiled 6 1/2 cups milk and cook for 8-10 minutes.
2. Add 3/4 cups (75 g) of sugar, cook for 5 mins and add 1/8 tsp cardamom powder.
3. Heat 1 tbsp of ghee, saute cashew nuts and till turn light brown and raisins puffed.
4. Add dry fruits to vermicelli, mix well and serve. It can also be used for upma preparation.","[{'EAN Code': '40223284'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10017047000835'}, {'Manufactured By': 'Samashti foods private limited, Sy. No. 69 & 75, Gollapally (v), Kondapur (mdl), Sangareddy (Telangana)- 5022995.'}, {'Marketed by': 'SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, Pin-500034. INDIA'}]","SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, Pin-500034. INDIA",-,-,-,Organic Whole Wheat Flour,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,Aashirvaad,"Aashirvaad Roasted Vermicelli - Made From Wheat, Non-sticky, Non-lumpy, 850 g","Aashirvaad ensures that only good quality ingredients reach your kitchen and Aashirvaad Roasted Vermicelli stays true to that promise. A fully automated state-of-the-art production process and stringent quality tests ensure superior and consistent quality. This also ensures that vermicelli remains non-sticky and does not become lumpy when cooked. So, you can enjoy delicious dishes every time with Aashirvaad Vermicelli.
Aashirvaad Roasted Vermicelli packs the goodness of wheat in each strand as it is made from wheat. Make nutritious recipes with this wheat vermicelli. A versatile ingredient, it can also be used to make both, delicious sweet and savoury dishes. Enjoy delicious breakfast options like Vermicelli Upma or mouth-watering sweets like Payasam, Sweet Semiya and more. Make everyday dishes or festival and celebration specials with this wholesome and high-quality Aashirvaad Vermicelli. Delight your taste buds with quick, healthy and delicious treats made effortlessly as Aashirvaad brings to you pre-roasted wheat Vermicelli.",850 g,g,850 g,1,1,110,90.2,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071ÃÂ .",India,['40225061'],['10012031000312'],https://datalabs.siva3.io/image/Eunimart_groceries_40225061_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-2_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-3_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-4_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-5_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-6_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-7_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-8_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40225061'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10012031000312'}, {'Manufactured & Marketed By': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071Ã\x82 .'}]","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071ÃÂ .",-,-,"Aashirvaad Roasted Vermicelli, made from wheat, is easy to use as it comes pre-roasted
Now make your favourite vermicelli recipes with the goodness of Aashirvaad
A high-quality product, Aashirvaad Roasted Vermicelli is non-sticky and doesn't become lumpy when cooked
Nutritious and versatile, this wheat vermicelli can be used to cook both, sweet and savoury dishes
Prepare delicious dishes like Upma, Pulao or desserts like Payasam, Sweet Semiya and more with Aashirvaad Roasted Vermicelli",Wheat Semolina ( Suji ),-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,Aashirvaad,"Aashirvaad Roasted Vermicelli - Made From Wheat, Non-sticky, Non-lumpy, 850 g","Aashirvaad ensures that only good quality ingredients reach your kitchen and Aashirvaad Roasted Vermicelli stays true to that promise. A fully automated state-of-the-art production process and stringent quality tests ensure superior and consistent quality. This also ensures that vermicelli remains non-sticky and does not become lumpy when cooked. So, you can enjoy delicious dishes every time with Aashirvaad Vermicelli.
Aashirvaad Roasted Vermicelli packs the goodness of wheat in each strand as it is made from wheat. Make nutritious recipes with this wheat vermicelli. A versatile ingredient, it can also be used to make both, delicious sweet and savoury dishes. Enjoy delicious breakfast options like Vermicelli Upma or mouth-watering sweets like Payasam, Sweet Semiya and more. Make everyday dishes or festival and celebration specials with this wholesome and high-quality Aashirvaad Vermicelli. Delight your taste buds with quick, healthy and delicious treats made effortlessly as Aashirvaad brings to you pre-roasted wheat Vermicelli.",850 g,g,850 g,1,1,110,90.2,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071ÃÂ .",India,['40225061'],['10012031000312'],https://datalabs.siva3.io/image/Eunimart_groceries_40225061_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-2_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-3_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-4_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-5_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-6_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-7_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225061-8_2-aashirvaad-roasted-vermicelli-made-from-high-quality-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40225061'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10012031000312'}, {'Manufactured & Marketed By': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071Ã\x82 .'}]","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071ÃÂ .",-,-,"Aashirvaad Roasted Vermicelli, made from wheat, is easy to use as it comes pre-roasted
Now make your favourite vermicelli recipes with the goodness of Aashirvaad
A high-quality product, Aashirvaad Roasted Vermicelli is non-sticky and doesn't become lumpy when cooked
Nutritious and versatile, this wheat vermicelli can be used to cook both, sweet and savoury dishes
Prepare delicious dishes like Upma, Pulao or desserts like Payasam, Sweet Semiya and more with Aashirvaad Roasted Vermicelli",Wheat Semolina ( Suji ),-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,Aashirvaad,"Aashirvaad Vermicelli - Made From Wheat, Non-sticky, Non-lumpy, 400 g","Aashirvaad ensures that only good quality ingredients reach your kitchen and Aashirvaad Vermicelli stays true to that promise. A fully automated state-of-the-art production process and stringent quality tests ensure superior and consistent quality. This also ensures that vermicelli remains non-sticky and does not become lumpy when cooked. So, you can enjoy delicious dishes every time with Aashirvaad Vermicelli. Aashirvaad Vermicelli packs the goodness of wheat in each strand as it is made from wheat. Make nutritious recipes with this wheat vermicelli.
A versatile ingredient, it can also be used to make both, delicious sweet and savoury dishes. Enjoy delicious breakfast options like Vermicelli Upma or mouth-watering sweets like Payasam, Sweet Semiya and more. Make everyday dishes or festival and celebration specials with this wholesome and high-quality Aashirvaad Vermicelli. Delight your taste buds with quick, healthy, delicious, and satisfying dishes made effortlessly as Aashirvaad brings to you high-quality wheat Vermicelli.",400 g,g,400 g,1,1,46,39.56,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071ÃÂ .",India,['40225058'],['10012031000312'],https://datalabs.siva3.io/image/Eunimart_groceries_40225058_3-aashirvaad-vermicelli-made-from-high-quality-wheat-non-sticky.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225058-2_3-aashirvaad-vermicelli-made-from-high-quality-wheat-non-sticky.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225058-3_3-aashirvaad-vermicelli-made-from-high-quality-wheat-non-sticky.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225058-4_3-aashirvaad-vermicelli-made-from-high-quality-wheat-non-sticky.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225058-5_3-aashirvaad-vermicelli-made-from-high-quality-wheat-non-sticky.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225058-6_3-aashirvaad-vermicelli-made-from-high-quality-wheat-non-sticky.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225058-7_3-aashirvaad-vermicelli-made-from-high-quality-wheat-non-sticky.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225058-8_3-aashirvaad-vermicelli-made-from-high-quality-wheat-non-sticky.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40225058-9_1-aashirvaad-vermicelli-made-from-high-quality-wheat-non-sticky.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40225058'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10012031000312'}, {'Manufactured & Marketed By': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071Ã\x82 .'}]","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071ÃÂ .",-,-,"Aashirvaad Vermicelli is made from whole wheat now make your favourite vermicelli recipes with Goodness of Aashirvaad
A high-quality product, Aashirvaad Vermicelli is non-sticky and doesn't become lumpy when cooked
Nutritious and versatile, this wheat vermicelli can be used to cook both, sweet and savoury dishes
Prepare delicious dishes like Upma, Pulao or desserts like Payasam, Sweet Semiya and more with Aashirvaad Vermicelli",Wheat Semolina ( Suji ),-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,Agnesi,"Agnesi 100% Durum Wheat Pasta - Chifferi Rigati N.50, 500 g","Agnesi Chifferi Rigati Pasta is in the short dry fantasy shaped pasta family, they are tubular and elbow-bent also called kipferl shape from Italy made of durum wheat. Chifferi Rigati is just like Macaroni with ridges on the outside.",500 g,g,500 g,1,1,250,250,"Colussi / Colussi S.p.A Via G. Spadolini, 5-20141 Milano, Italy",Italy,['8001200045459'],-,https://datalabs.siva3.io/image/Eunimart_groceries_70748_8-agnesi-chifferi-rigati.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70748-2_5-agnesi-chifferi-rigati.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70748-3_4-agnesi-chifferi-rigati.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70748-4_4-agnesi-chifferi-rigati.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70748-5_4-agnesi-chifferi-rigati.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can use it to make Italian pasta.,"['EAN Code: 8001200045459', 'Manufactured by: Colussi / Colussi S.p.A Via G. Spadolini, 5-20141 Milano, Italy', 'Marketed by: Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India', 'Country of Origin: ITALY', 'Best before 02-03-2024', '","Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India",-,-,-,-,Drum Wheat.,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,Agnesi,"Agnesi Durum Wheat Pasta - Spaghetti N.3, 500 g Pouch","The key to producing the finest pasta is in wheat. With this in mind, Agnesi uses the best durum wheat in the world to produce highly nutritious, more delicious pasta that holds up well in cooking. Agnesi preserves the flavor and aroma of the wheat which results in the pasta's golden yellow color.",500 g Pouch,g,500 g Pouch,1,1,299,299,"Colussi / Colussi S.p.A Via G. Spadolini, 5-20141 Milano, Italy",Italy,['8001200045039'],-,https://datalabs.siva3.io/image/Eunimart_groceries_70756_8-agnesi-pasta-gli-spaghetti-n3.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70756-2_8-agnesi-pasta-gli-spaghetti-n3.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70756-3_9-agnesi-pasta-gli-spaghetti-n3.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70756-4_9-agnesi-pasta-gli-spaghetti-n3.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70756-5_9-agnesi-pasta-gli-spaghetti-n3.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Empty contents into a large saucepan of boiling water with 1 teaspoon of olive or sunflower oil and a pinch of salt. Simmer gently for 10 minutes.,"['EAN Code: 8001200045039', 'Manufactured by: Colussi / Colussi S.p.A Via G. Spadolini, 5-20141 Milano, Italy', 'Marketed by: Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India', 'Country of Origin: ITALY', 'Best before 02-03-2024', '","Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India",-,-,-,-,Durum Wheat Semolina.,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,Agnesi,"Agnesi Le Specialita 100% Durum Wheat Pasta - Farfalle, 500 g","Agnesi Farfalle pasta is trendy Italian pasta in the shape of a bow tie. This wheat pasta is enormous with chicken or in salad and goes awfully well with spinach and green sauces. Pasta is very low in sodium and cholesterol-free. Per cup, enriched varieties provide a good source of several essential nutrients, including iron and several B-vitamins.",500 g,g,500 g,1,1,325,325,"Colussi / Colussi S.p.A Via G. Spadolini, 5-20141 Milano, Italy",Italy,['8001200045831'],-,https://datalabs.siva3.io/image/Eunimart_groceries_70747_6-agnesi-pasta-farfalle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70747-2_4-agnesi-pasta-farfalle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70747-3_4-agnesi-pasta-farfalle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70747-4_4-agnesi-pasta-farfalle.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70747-5_4-agnesi-pasta-farfalle.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can use it to make Italian pasta.,"['EAN Code: 8001200045831', 'Manufactured by: Colussi / Colussi S.p.A Via G. Spadolini, 5-20141 Milano, Italy', 'Marketed by: Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India', 'Country of Origin: ITALY', 'Best before 02-03-2024', '","Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India",-,-,-,-,Drum Wheat.,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,Agnesi,"Agnesi Pasta - Fusilli N.78, 500 g","Fusilli is a long, thick, spiral-shaped pasta which holds rich and chunky pasta sauces well. They are a variety of pasta that is formed into a corkscrew or helical shapes. Pasta is very low in sodium and cholesterol-free. Per cup, enriched varieties provide a good source of several essential nutrients, including iron and several B-vitamins.",500 g,g,500 g,1,1,299,299,"Colussi / Colussi S.p.A Via G. Spadolini, 5-20141 Milano, Italy",Italy,['283977'],-,https://datalabs.siva3.io/image/Eunimart_groceries_283977_7-agnesi-pasta-fusilli-n78.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_283977-2_5-agnesi-pasta-fusilli-n78.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_283977-3_5-agnesi-pasta-fusilli-n78.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_283977-4_4-agnesi-pasta-fusilli-n78.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can use it to make Italian pasta.,"['EAN Code: 283977', 'Manufactured by: Colussi / Colussi S.p.A Via G. Spadolini, 5-20141 Milano, Italy', 'Marketed by: Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India', 'Country of Origin: ITALY', 'Best before 02-03-2024', '","Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India",-,-,-,Drum Wheat.,-,-,"Fusilli is a long, thick, spiral-shaped pasta which holds rich and chunky pasta sauces well. They are a variety of pasta that is formed into a corkscrew or helical shapes. Pasta is very low in sodium and cholesterol-free. Per cup, enriched varieties provide a good source of several essential nutrients, including iron and several B-vitamins."
