L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Aloe Vera - Organically grown (Loose), 1 pc","Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",1 pc,pc,1 pc,1,1,53.95,41,Fresho,India,['3000129'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30001293_20-fresho-aloe-vera-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30001293-2_22-fresho-aloe-vera-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '3000129'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd, No. 7, Service Road, Off 100 Feet Road Indiranagar Landmark: Above HDFC Bank Bangalore, Karnataka 560071",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Amla (Loose), 100 g","Fresho Amla or Indian gooseberry is a popular seller at bigbasket because it is full of nutrition and is quite tasty too. Used for centuries for ayurvedic benefits, the Amla is also a staple in various kinds of dips and chutneys. Being a versatile ingredient, it is used in more than one ways.",100 g,g,100 g,1,1,19.21,14.6,Fresho,India,['8400043830016'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40004383_13-fresho-amla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004383-2_8-fresho-amla.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The nutritional benefits of Amla include being rich in vitamin C, A and other similar ingredients, which help boost eye sight. They also cleanse the stomach and provide you with antioxidant benefits that help to keep the skin younger for a longer time and fights illnesses like cancer.",Fresho Amla can be used in various juices by pureeing them. They are dried and candied in various forms in both salty and sweet forms. You can also make vegetables out of them or have it raw. It is added in some vegetables for adding a tangy flavour.,"[{'EAN Code': '8400043830016'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Amla (Loose), 100 g","Fresho Amla or Indian gooseberry is a popular seller at bigbasket because it is full of nutrition and is quite tasty too. Used for centuries for ayurvedic benefits, the Amla is also a staple in various kinds of dips and chutneys. Being a versatile ingredient, it is used in more than one ways.",100 g,g,100 g,1,1,19.21,14.6,Fresho,India,['8400043830016'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40004383_13-fresho-amla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004383-2_8-fresho-amla.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The nutritional benefits of Amla include being rich in vitamin C, A and other similar ingredients, which help boost eye sight. They also cleanse the stomach and provide you with antioxidant benefits that help to keep the skin younger for a longer time and fights illnesses like cancer.",Fresho Amla can be used in various juices by pureeing them. They are dried and candied in various forms in both salty and sweet forms. You can also make vegetables out of them or have it raw. It is added in some vegetables for adding a tangy flavour.,"[{'EAN Code': '8400043830016'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Amla (Loose), 100 g","Fresho Amla or Indian gooseberry is a popular seller at bigbasket because it is full of nutrition and is quite tasty too. Used for centuries for ayurvedic benefits, the Amla is also a staple in various kinds of dips and chutneys. Being a versatile ingredient, it is used in more than one ways.",100 g,g,100 g,1,1,19.21,14.6,Fresho,India,['8400043830016'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40004383_13-fresho-amla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004383-2_8-fresho-amla.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The nutritional benefits of Amla include being rich in vitamin C, A and other similar ingredients, which help boost eye sight. They also cleanse the stomach and provide you with antioxidant benefits that help to keep the skin younger for a longer time and fights illnesses like cancer.",Fresho Amla can be used in various juices by pureeing them. They are dried and candied in various forms in both salty and sweet forms. You can also make vegetables out of them or have it raw. It is added in some vegetables for adding a tangy flavour.,"[{'EAN Code': '8400043830016'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Amla (Loose), 100 g","Fresho Amla or Indian gooseberry is a popular seller at bigbasket because it is full of nutrition and is quite tasty too. Used for centuries for ayurvedic benefits, the Amla is also a staple in various kinds of dips and chutneys. Being a versatile ingredient, it is used in more than one ways.",100 g,g,100 g,1,1,19.21,14.6,Fresho,India,['8400043830016'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40004383_13-fresho-amla.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40004383-2_8-fresho-amla.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The nutritional benefits of Amla include being rich in vitamin C, A and other similar ingredients, which help boost eye sight. They also cleanse the stomach and provide you with antioxidant benefits that help to keep the skin younger for a longer time and fights illnesses like cancer.",Fresho Amla can be used in various juices by pureeing them. They are dried and candied in various forms in both salty and sweet forms. You can also make vegetables out of them or have it raw. It is added in some vegetables for adding a tangy flavour.,"[{'EAN Code': '8400043830016'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Avarekai - Organically Grown (Loose), 500 g","It Is Organically Grown And Handpicked From Farm
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",500 g,g,500 g,1,1,60.53,60.53,Fresho,India,['40040311'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40040311_1-fresho-avarekai-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40040311'}, {'Country of origin': 'India'}]",-,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Avarekai - Organically Grown, Rich In Folate & Minerals, 1 kg","Bright purple to pale green Avare bean pods contains flat, white seeds with a bland to bitter taste. It is rich in folate, enhances pregnancy health and boosts the overall immune system. Do not forget to check our delicious recipe ref=""https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/"">https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/",1 kg,kg,1 kg,1,1,121.05,121.05,Bigbasket,India,['40246418'],['10015042002228'],https://datalabs.siva3.io/image/Eunimart_groceries_40246418_1-fresho-avarekai-organically-grown-rich-in-folate-minerals.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40246418'}, {'FSSAI No': '10015042002228'}, {'Manufactured & Marketed by': 'Bigbasket'}, {'Country of origin': 'India'}]",Bigbasket,-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Banana - Nendran, Organically Grown, 1 Kg",Fresho Nendran Banana is organically grown. The staple food of Kerela is very famous and healthy. It is a powerhouse of nutrients. They have a pale yellow colour with freshness loaded in them. It is ripened in a clean and chemical-free environment keeping in view the quality standards.,1 Kg,Kg,1 Kg,1,1,69.74,53,"Bigbasket, Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",India,['40229396'],['10015042002228'],https://datalabs.siva3.io/image/Eunimart_groceries_40229396_1-fresho-banana-nendran-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Good for pregnant women and athletes.
Powerhouse of nutrients
Boosts the immune system.
Helps in proper digestion.",-,"[{'EAN Code': '40229396'}, {'Country of origin': 'India'}, {'Manufacturer & Marketed by': 'Bigbasket, Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071'}, {'FSSAI Number': '10015042002228'}]","Bigbasket, Supermarket Grocery Supplies Pvt. Ltd The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",-,-,Banana
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Banana - Yelakki, Organically Grown, 500 g","Fresh, tiny small sized, directly procured from the farm, this variety is called Yelakki in Bangalore and Elaichi in Mumbai.
Despite its small size, they are naturally flavoured, aromatic and sweeter compared to regular bananas.
Yelakki bananas are around 3- 4 inches long, and contain a thinner skin and better shelf life than Robusta bananas.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/573/banana-pancake/",500 g,g,500 g,1,1,87.17,66.25,Fresho,India,['40023474'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40023474_7-fresho-banana-yelakki-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40023474-2_1-fresho-banana-yelakki-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"One banana supplies 30 percent of the daily vitamin B6 requirement and is rich in vitamin C and potassium.
It reduces appetite and promotes weight loss, while also boosting the immune system and keeping the bones strong.
It is very good for pregnant women and athletes.",-,"[{'EAN Code': '40023474'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
RET,RET-10,RET-10-17,RET-10-17-10,RET-10-17-10-11,Fresho,"Fresho Banana - Yelakki, Organically Grown, 500 g","Fresh, tiny small sized, directly procured from the farm, this variety is called Yelakki in Bangalore and Elaichi in Mumbai.
Despite its small size, they are naturally flavoured, aromatic and sweeter compared to regular bananas.
Yelakki bananas are around 3- 4 inches long, and contain a thinner skin and better shelf life than Robusta bananas.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/573/banana-pancake/",500 g,g,500 g,1,1,87.17,66.25,Fresho,India,['40023474'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40023474_7-fresho-banana-yelakki-organically-grown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40023474-2_1-fresho-banana-yelakki-organically-grown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"One banana supplies 30 percent of the daily vitamin B6 requirement and is rich in vitamin C and potassium.
It reduces appetite and promotes weight loss, while also boosting the immune system and keeping the bones strong.
It is very good for pregnant women and athletes.",-,"[{'EAN Code': '40023474'}, {'Country of origin': 'India'}, {'Sourced & Marketed by': 'INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034'}]","INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034",-,-,-
