L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient,Specification,From The Brand,About
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,1Organic,"1Organic Little Millet - Naturally Processed, No Chemicals, Vitamins & Mineral Rich, For Healthy Breakfast, 500 g","1Organic Little Millet (Panicum miliare), one of the small millets, is called kutki in Hindi, sava (Marathi). Little millet contains magnesium which can help improve heart health. Vitamin B3 (niacin) in little millet helps lower cholesterol. Little millet is also a good source of phosphorus which helps with fat metabolism, body tissue repair and energy production. Our Little millet seeds are grown organically in the farms using natural methods without any pesticides or harmful chemicals used.
Benefits:
No pesticides or harmful chemicals
Better nutrition “ rich in antioxidants
Better taste
Better ecology",500 g,g,500 g,1,1,115,115,"Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.",India,['8908015975752'],['1152003600676'],https://datalabs.siva3.io/image/Eunimart_groceries_40246381_1-1organic-little-millet-naturally-processed-no-chemicals-vitamins-mineral-rich-for-healthy-breakfast.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40246381-2_1-1organic-little-millet-naturally-processed-no-chemicals-vitamins-mineral-rich-for-healthy-breakfast.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is used to cook upma.
It is an instant breakfast option.3.
Store in a cool and dry place.
Keep away from direct sunlight.","['EAN Code: 8908015975752', 'Country Of Origin: India', 'Manufacturer Name and :Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.', 'FSSAI Number:1152003600676', 'Best before 02-06-2023', '",-,-,-,-,-,Little Millet,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,1Organic,"1Organic Masoor Dal - Fibre Rich, Chemical Free, For Soups, Porridge, 500 g","1Organic presents fresh and healthy Masoor Dal. It contains dietary fibres as well as proteins which helps in maintaining normal blood pressure. It is also a good source of folate which reduces the risk of heart diseases. Masoor sprouts have a greater concentration of vitamins, minerals, proteins and enzymes. Sprouts are organic and can be grown anytime anywhere. Sprouts are easily digestible. Abundant enzymes make them easy to digest.
Benefits:
Premium quality
Chemical-free
Protein rich
Non-GMO
Vegan friendly",500 g,g,500 g,1,1,120,120,"Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.",India,['8908015975226'],['1152003600676'],https://datalabs.siva3.io/image/Eunimart_groceries_40246407_1-1organic-masoor-dal-fibre-rich-chemical-free-for-soups-porridge.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40246407-2_1-1organic-masoor-dal-fibre-rich-chemical-free-for-soups-porridge.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is used to make main course meals and soups.
Store in a cool and dry place.
Keep away from excessive sunlight.","['EAN Code: 8908015975226', 'Country Of Origin: India', 'Manufacturer Name and :Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.', 'FSSAI Number:1152003600676', 'Best before 02-09-2023', '",-,-,-,-,-,Masoor Dal,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,1Organic,"1Organic Mustard/Rai - Small, Chemical Free, For Flavour, Tempering, 100 g","1 Organic Mustard seeds are the small round seeds of various mustard plants. Mustard seeds are rich in a nutrient called selenium, known for its high anti-inflammatory effects. n The high source of magnesium in mustard seeds helps reduce the severity of asthma attacks and certain symptoms of rheumatoid arthritis and lowers blood pressure. 
Benefits:
Premium quality
Chemical-free
Protein-rich
Non-GMO
Vegan friendly",100 g,g,100 g,1,1,35,35,"Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.",India,['40246405'],['1152003600676'],https://datalabs.siva3.io/image/Eunimart_groceries_40246405_1-1organic-mustardrai-small-chemical-free-for-flavour-tempering.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is used as spices and condiments in meals.
Store in a cool and dry place.
Keep away from excessive sunlight.","['EAN Code: 40246405', 'Country Of Origin: India', 'Manufacturer Name and :Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.', 'FSSAI Number:1152003600676', 'Best before 02-09-2023', '",-,-,-,-,-,Mustard Seeds,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,1Organic,"1Organic Poha White - Naturally Processed, No Chemicals, High Quality Beaten Rice, For Breakfast Use, 500 g","1Organic Poha ( white ) is endowed with purity and is 100% Free from Chemical additives. It is a good source of carbohydrates and provides the burst of energy one needs, especially at breakfast time. We have made sure that its nutritional value is conserved and is hygienically processed. It helps in balancing the body glucose levels. It is an excellent prebiotic that is a healthy bacteria for the gut. 
Benefits:
No pesticides or harmful chemicals
Better nutrition “ rich in antioxidants
Better taste
Better ecology",500 g,g,500 g,1,1,75,75,"Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.",India,['8908015975837'],['1152003600676'],https://datalabs.siva3.io/image/Eunimart_groceries_40246383_1-1organic-poha-white-naturally-processed-no-chemicals-high-quality-beaten-rice-for-breakfast-use.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is an instant breakfast option.
Store in a cool and dry place.
Keep away from direct sunlight.","['EAN Code: 8908015975837', 'Country Of Origin: India', 'Manufacturer Name and :Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.', 'FSSAI Number:1152003600676', 'Best before 02-06-2023', '",-,-,-,-,-,Poha White,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,1Organic,"1Organic Rajma - Red, Naturally Processed, High Fibre & Zinc, For Soups & Salads, 500 g","1Organic presents fresh and healthy Red Rajma in a sealed pouch packing. It is also rich in an array of antioxidants and is a natural detoxifier. The high fibre content helps one stay fuller for longer and avoid binge-eating. The zinc content in rajma is good for the eyes and hair and skin.
Benefits:
Premium quality
Chemical-free
Protein rich
Non-GMO
Vegan friendly",500 g,g,500 g,1,1,145,145,"Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.",India,['40246404'],['1152003600676'],https://datalabs.siva3.io/image/Eunimart_groceries_40246404_1-1organic-rajma-red-naturally-processed-high-fibre-zinc-for-soups-salads.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40246404-2_1-1organic-rajma-red-naturally-processed-high-fibre-zinc-for-soups-salads.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is used to make main course meals and is also served with rice.
Store in a cool and dry place.
Keep away from excessive sunlight.","['EAN Code: 40246404', 'Country Of Origin: India', 'Manufacturer Name and :Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.', 'FSSAI Number:1152003600676', 'Best before 02-09-2023', '",-,-,-,-,-,Rajma,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,1Organic,"1Organic Turmeric/Haldi Powder - Naturally Processed, Anti-Microbial, High Quality Spice, For Cooking Use, 100 g","1Oganic Haldi Powder has been in use since antiquity for its anti-inflammatory (painkiller), carminative, anti-flatulent and anti-microbial properties. This popular herb contains no cholesterol; however, it is rich in antioxidants and dietary fibre, which helps to control blood LDL or ""bad cholesterol"" levels. It is a very rich source of many essential vitamins such as pyridoxine (vitamin B6), choline, niacin, riboflavin, etc. 100 g herb provides 1.80 mg or 138% of daily-recommended levels of pyridoxine.
Benefits:
No pesticides or harmful chemicals
Better nutrition “ rich in antioxidants
Better taste
Better ecology",100 g,g,100 g,1,1,50,50,"Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.",India,['8908015975608'],['1152003600676'],https://datalabs.siva3.io/image/Eunimart_groceries_40246376_1-1organic-turmerichaldi-powder-naturally-processed-anti-microbial-high-quality-spice-for-cooking-use.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40246376-2_1-1organic-turmerichaldi-powder-naturally-processed-anti-microbial-high-quality-spice-for-cooking-use.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is used to give a yellow effect to the dish.
Store in cool and dry place.
Keep away from direct sunlight.","['EAN Code: 8908015975608', 'Country Of Origin: India', 'Manufacturer Name and :Basillia Organics Pvt. Ltd. Plot No. 2, Sai Industrial Estate, Gujarwadi Road, Mangadewadi Pune, Maharashtra - 411046.', 'FSSAI Number:1152003600676', 'Best before 02-09-2023', '",-,-,-,-,-,Turmeric Powder,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,24 Mantra,"24 Mantra 7 Grain Atta - Blended Wholegrain Flour, With Sorghum, Maize, Barley , Makes Soft, Healthy Rotis, 1 kg","Our multigrain atta is a unique blend of cereals, millets, and pulses, like wheat, maize, sorghum, mungbean, barley, finger millet (ragi) and soybean. Each of which contributes a unique property to the atta.",1 kg,kg,1 kg,1,1,95,95,"Sresta Natural bioproducts Pvt ltd., Sy. No. 659, devaryajmal shamierpet Mandai, RR dist, Telangana-500078",India,['40240039'],['10015047000447'],https://datalabs.siva3.io/image/Eunimart_groceries_40240039_1-24-mantra-organic-7-grain-atta-blended-wholegrain-flour-with-sorghum-maize-barley-makes-soft-healthy-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240039-2_1-24-mantra-organic-7-grain-atta-blended-wholegrain-flour-with-sorghum-maize-barley-makes-soft-healthy-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240039-3_1-24-mantra-organic-7-grain-atta-blended-wholegrain-flour-with-sorghum-maize-barley-makes-soft-healthy-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240039-4_1-24-mantra-organic-7-grain-atta-blended-wholegrain-flour-with-sorghum-maize-barley-makes-soft-healthy-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240039-5_1-24-mantra-organic-7-grain-atta-blended-wholegrain-flour-with-sorghum-maize-barley-makes-soft-healthy-rotis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240039-6_1-24-mantra-organic-7-grain-atta-blended-wholegrain-flour-with-sorghum-maize-barley-makes-soft-healthy-rotis.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40240039', 'FSSAI No: 10015047000447', 'Manufactured & Marketed by:Sresta Natural Bioproduct Pvt.Ltd.', 'Country of origin: India', 'Best before 29-05-2023', '",Sresta Natural Bioproduct Pvt.Ltd.,-,-,-,-,"Wheat,Barley,Finger Millet, Maize, Sorghum, Mungbean, Soyabean",-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,24 Mantra,"24 Mantra 7 Grain Methi Atta - Blended Flour With Ragi, Jowar, Barley, Soybean, For Healthy Chapatis, 1 kg","24 Mantra Organic 7 grain Methi/Fenugreek atta is made from organic whole grains which are perfectly blended, ground and made into flour which can be made into tasty, fluffy and soft Rotis. Our organic atta is a unique blend of cereals, millets, and pulses, like wheat, maize, sorghum, mungbean, barley, finger millet (ragi) and soybean. Each of which contributes a unique property to the organic atta.",1 kg,kg,1 kg,1,1,120,120,"Sresta Natural bioproducts Pvt ltd., Sy. No. 659, devaryajmal shamierpet Mandai, RR dist, Telangana-500078",India,['40240040'],['10015047000447'],https://datalabs.siva3.io/image/Eunimart_groceries_40240040_1-24-mantra-organic-7-grain-methi-atta-blended-flour-with-ragi-jowar-barley-soybean-for-healthy-chapatis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240040-2_1-24-mantra-organic-7-grain-methi-atta-blended-flour-with-ragi-jowar-barley-soybean-for-healthy-chapatis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240040-3_1-24-mantra-organic-7-grain-methi-atta-blended-flour-with-ragi-jowar-barley-soybean-for-healthy-chapatis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240040-4_1-24-mantra-organic-7-grain-methi-atta-blended-flour-with-ragi-jowar-barley-soybean-for-healthy-chapatis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240040-5_1-24-mantra-organic-7-grain-methi-atta-blended-flour-with-ragi-jowar-barley-soybean-for-healthy-chapatis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240040-6_1-24-mantra-organic-7-grain-methi-atta-blended-flour-with-ragi-jowar-barley-soybean-for-healthy-chapatis.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40240040-7_1-24-mantra-organic-7-grain-methi-atta-blended-flour-with-ragi-jowar-barley-soybean-for-healthy-chapatis.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40240040', 'FSSAI No: 10015047000447', 'Manufactured & Marketed by:Sresta Natural Bioproduct Pvt.Ltd.', 'Country of origin: India', 'Best before 29-05-2023', '",Sresta Natural Bioproduct Pvt.Ltd.,-,-,-,-,"Wheat, Fenugreek, Jowar, Ragi, Barley, Mungbean, Soyabean",-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,24 Mantra,"24 Mantra Natural Sugar/Sakkare - Sulphurless, 500 g Pouch","24 Mantra Sulphurless Natural Sugar brings to you the sweetness of sugar without the side-effects of sulphur and lime. It‚†‚’‚¬…‚¡¬‚¬…‚¾s processed longer to get purity and normal whiteness without resorting to chemical additives. This Sulphurless sugar keeps alive the brand's tradition of given that purely sourced, pure form of products with all their accepted goodness. Sulphur less sugar is introduced for your healthy consumption.",500 g Pouch,g,500 g Pouch,1,1,70,70,"Sresta Natural bioproducts Pvt ltd., Sy. No. 659, devaryajmal shamierpet Mandai, RR dist, Telangana-500078",India,['8904083567677'],-,https://datalabs.siva3.io/image/Eunimart_groceries_279807_6-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-2_2-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-3_2-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-4_1-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-5_1-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-6_1-24-mantra-natural-sugar-sulphurless.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904083567677', 'Manufactured by: Sresta Natural bioproducts Pvt ltd., Sy. No. 659, devaryajmal shamierpet Mandai, RR dist, Telangana-500078', 'Country of origin: India', 'Best before 30-08-2023', '",-,-,-,-,-,-,-,-,-,"24 Mantra Sulphurless Natural Sugar brings to you the sweetness of sugar without the side-effects of sulphur and lime. It‚†‚’‚¬…‚¡¬‚¬…‚¾s processed longer to get purity and normal whiteness without resorting to chemical additives. This Sulphurless sugar keeps alive the brand's tradition of given that purely sourced, pure form of products with all their accepted goodness. Sulphur less sugar is introduced for your healthy consumption."
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,24 Mantra,"24 Mantra Natural Sugar/Sakkare - Sulphurless, 500 g Pouch","24 Mantra Sulphurless Natural Sugar brings to you the sweetness of sugar without the side-effects of sulphur and lime. It‚†‚’‚¬…‚¡¬‚¬…‚¾s processed longer to get purity and normal whiteness without resorting to chemical additives. This Sulphurless sugar keeps alive the brand's tradition of given that purely sourced, pure form of products with all their accepted goodness. Sulphur less sugar is introduced for your healthy consumption.",500 g Pouch,g,500 g Pouch,1,1,70,70,"Sresta Natural bioproducts Pvt ltd., Sy. No. 659, devaryajmal shamierpet Mandai, RR dist, Telangana-500078",India,['8904083567677'],-,https://datalabs.siva3.io/image/Eunimart_groceries_279807_6-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-2_2-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-3_2-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-4_1-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-5_1-24-mantra-natural-sugar-sulphurless.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_279807-6_1-24-mantra-natural-sugar-sulphurless.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904083567677', 'Manufactured by: Sresta Natural bioproducts Pvt ltd., Sy. No. 659, devaryajmal shamierpet Mandai, RR dist, Telangana-500078', 'Country of origin: India', 'Best before 30-08-2023', '",-,-,-,-,-,-,-,-,-,"24 Mantra Sulphurless Natural Sugar brings to you the sweetness of sugar without the side-effects of sulphur and lime. It‚†‚’‚¬…‚¡¬‚¬…‚¾s processed longer to get purity and normal whiteness without resorting to chemical additives. This Sulphurless sugar keeps alive the brand's tradition of given that purely sourced, pure form of products with all their accepted goodness. Sulphur less sugar is introduced for your healthy consumption."
