L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Ingredients,Specification,About
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aarush Festivities,"Aarush Festivities Assorted Christmas/Xmas Tree Ball Ornaments - For Decoration, Value Pack, 20 pcs","Add a sparkling touch to your Christmas tree with Aarush Festivities Christmas/Xmas Assorted Gift Box & Balls Tree Ornaments, these are gorgeous drum-shaped Christmas ornaments. This paper drum ornament has a loop which will make it easy to hang it on Christmas trees or even on walls. The drum is a sign of shining hope for humanity.",20 pcs,pcs,20 pcs,20,1,500,259,"Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",India,['40285852'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285852_1-aarush-festivities-christmasxmas-assorted-gift-box-balls-tree-ornaments-value-pack.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285852-2_1-aarush-festivities-christmasxmas-assorted-gift-box-balls-tree-ornaments-value-pack.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"High-quality material
Multicolour gift boxes
Easy to use and hang
Reflective","Ideally used to decorate the Christmas tree.
It can be used to hang on the walls or door.","[{'EAN Code': '40285852'}, {'Manufacturer Name & Marketed by ': 'Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002'}, {'Country of Origin': 'India'}]","Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",-,-,-,-,"Brand:- Aarush Festivities
Type:- Assorted Christmas Tree Ornaments
Material:- Plastic
Colour:- Assorted Colours
Weight:- 109 gms
Package Content:- 20 pcs",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aarush Festivities,"Aarush Festivities Assorted Christmas/Xmas Tree Ornaments - Balls, Drums, Bells, Gift Boxes, Value Pack, 24 pcs","Add a sparkling touch to your Christmas tree with Aarush Festivities Christmas/Xmas Assorted Balls, Drums, Gifts, Bells, Gift Boxes Tree Ornaments Value Pack, these are gorgeous ornaments shaped Christmas ornaments. This paper ornament has a loop which will make it easy to hang it on Christmas trees or even on walls.",24 pcs,pcs,24 pcs,24,1,600,259,"Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",India,['40285855'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285855_1-aarush-festivities-christmasxmas-assorted-balls-drums-gifts-bells-gift-boxes-tree-ornaments-value-pack-assorted-colors.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285855-2_1-aarush-festivities-christmasxmas-assorted-balls-drums-gifts-bells-gift-boxes-tree-ornaments-value-pack-assorted-colors.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285855-3_1-aarush-festivities-christmasxmas-assorted-balls-drums-gifts-bells-gift-boxes-tree-ornaments-value-pack-assorted-colors.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285855-4_1-aarush-festivities-christmasxmas-assorted-balls-drums-gifts-bells-gift-boxes-tree-ornaments-value-pack-assorted-colors.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285855-5_1-aarush-festivities-christmasxmas-assorted-balls-drums-gifts-bells-gift-boxes-tree-ornaments-value-pack-assorted-colors.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"High-quality material
Multicolour ornaments
Easy to use and hang
Reflective","Ideally used to decorate the Christmas tree.
It can be used to hang on the walls or door.","[{'EAN Code': '40285855'}, {'Manufacturer Name & Marketed by ': 'Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002'}, {'Country of Origin': 'India'}]","Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",-,-,-,-,"Brand:- Aarush Festivities
Type:- Assorted Christmas Tree Ornaments
Material:- Plastic
Colour:- Assorted Colours
Weight:- 173 gms
Package Content:- 24 pcs",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aarush Festivities,"Aarush Festivities Assorted Christmas/Xmas Tree Ornaments - For Decoration, Value Pack, Golden, 26 pcs","Add a sparkling touch to your Christmas tree with Aarush Festivities Christmas/Xmas Assorted Tree Ornaments, these are gorgeous ornaments shaped Christmas ornaments. This paper ornament has a loop which will make it easy to hang it on a Christmas tree or even on walls. The ornaments are a sign of shining hope for humanity.",26 pcs,pcs,26 pcs,26,1,549,199,"Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",India,['40285854'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285854_1-aarush-festivities-christmasxmas-assorted-tree-ornaments-value-pack-golden.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285854-2_1-aarush-festivities-christmasxmas-assorted-tree-ornaments-value-pack-golden.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285854-3_1-aarush-festivities-christmasxmas-assorted-tree-ornaments-value-pack-golden.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"High-quality material
Multicolour ornaments
Easy to use and hang
Reflective","Ideally used to decorate the Christmas tree.
It can be used to hang on the walls or door.","[{'EAN Code': '40285854'}, {'Manufacturer Name & Marketed by ': 'Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002'}, {'Country of Origin': 'India'}]","Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",-,-,-,-,"Brand:- Aarush Festivities
Type:- Assorted Christmas Tree Ornaments
Material:- Plastic
Colour:- Golden
Weight:- 135 gms
Package Content:- 26 pcs",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aarush Festivities,"Aarush Festivities Assorted Christmas/Xmas Tree Ornaments - For Decoration, Value Pack, Red, 34 pcs","Add a sparkling touch to your Christmas tree with Aarush Festivities Christmas/Xmas Assorted Tree Ornaments, these are gorgeous ornaments shaped Christmas ornaments. This paper ornament has a loop which will make it easy to hang it on a Christmas tree or even on walls. The ornaments are a sign of shining hope for humanity.",34 pcs,pcs,34 pcs,34,1,700,329,"Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",India,['40285853'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285853_1-aarush-festivities-christmasxmas-assorted-tree-ornaments-value-pack-red.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285853-2_1-aarush-festivities-christmasxmas-assorted-tree-ornaments-value-pack-red.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285853-3_1-aarush-festivities-christmasxmas-assorted-tree-ornaments-value-pack-red.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285853-4_1-aarush-festivities-christmasxmas-assorted-tree-ornaments-value-pack-red.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285853-5_1-aarush-festivities-christmasxmas-assorted-tree-ornaments-value-pack-red.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"High-quality material
Multicolour ornaments
Easy to use and hang
Reflective","Ideally used to decorate the Christmas tree.
It can be used to hang on the walls or door.","[{'EAN Code': '40285853'}, {'Manufacturer Name & Marketed by ': 'Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002'}, {'Country of Origin': 'India'}]","Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",-,-,-,-,"Brand:- Aarush Festivities
Type:- Assorted Christmas Tree Ornaments
Material:- Plastic
Colour:- Red
Weight:- 255 gms
Package Content:- 34 pcs",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aarush Festivities,"Aarush Festivities Christmas/Xmas Banner - For Walls, Doors, 1 pc","Aarush Festivities Christmas/Xmas Banner for Walls, Doors comes as one banner. This paper banner will light up your home and complete the decoration. You can hold this banner on any wall or the accent wall of your home or over a fireplace or a window. A stunning colourful banner to enhance your house or work area for Christmas or Christmas party.",1 pc,pcs,1 pc,1,1,500,109,"Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",India,['40285861'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285861_1-aarush-festivities-christmas-xmas-banner-for-walls-doors.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285861-2_1-aarush-festivities-christmas-xmas-banner-for-walls-doors.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"High quality material
Easy to use and hang
Lightweight",It can be used to hang on the walls or door.,"[{'EAN Code': '40285861'}, {'Manufacturer Name & Marketed by ': 'Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002'}, {'Country of Origin': 'India'}]","Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",-,-,-,-,"Brand:- Aarush Festivities
Type:- Christmas Banner
Material:- Cardboard
Colour:- Assorted Colours
Weight:- 42 gms
Package Content:- 1 pc",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aarush Festivities,"Aarush Festivities Hanging Glitter Ornaments - For Christmas/Xmas Trees, 4 pcs","Add a sparkling touch to your Christmas tree with Aarush Festivities Christmas / Xmas Glitter Tree Hanging Ornaments, these are gorgeous ornaments shaped Christmas ornaments. This paper ornament has a loop which will make it easy to hang it on a Christmas tree or even on walls. The ornaments are a sign of shining hope for humanity.",4 pcs,pcs,4 pcs,4,1,300,70,"Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",India,['40285859'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285859_1-aarush-festivities-christmas-xmas-glitter-tree-hanging-ornaments.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40285859-2_1-aarush-festivities-christmas-xmas-glitter-tree-hanging-ornaments.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"High-quality material
Multicolour ornaments
Easy to use and hang 
Reflective","Ideally used to decorate the Christmas tree.
It can be used to hang on the walls or door.","[{'EAN Code': '40285859'}, {'Manufacturer Name & Marketed by ': 'Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002'}, {'Country of Origin': 'India'}]","Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",-,-,-,-,"Brand:- Aarush Festivities
Type:- Christmas Tree Ornament - Glittering Tree
Material:- Cardboard And Glitter
Colour:- Assorted Colours
Weight:- 70 gms
Package Content:- 4 pcs",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aarush Festivities,"Aarush Festivities Merry Christmas Hanging Ornaments - For Xmas Trees, Doors, Walls, 1 pc","Aarush Festivities brings to you Merry Christmas/Xmas Hanging for Doors, Walls that will add a touch of joy and happiness to your Christmas tree. This merry Christmas door hanging has a loop which will make it easy to hang it on the door or even on walls. These Christmas ornaments are perfect to create a happy and colourful atmosphere during this Christmas season. These wreaths are lightweight and easy to use. Now decorate your house with these beautiful hanging this Christmas to brighten put your home.",1 pc,pcs,1 pc,1,1,200,59,"Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",India,['40285851'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285851_1-aarush-festivities-merry-christmasxmas-hanging-for-doors-walls.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"High-quality material
Easy to use and hang
Lightweight",It can be used to hang on the walls or door.,"[{'EAN Code': '40285851'}, {'Manufacturer Name & Marketed by ': 'Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002'}, {'Country of Origin': 'India'}]","Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",-,-,-,-,"Brand:- Aarush Festivities
Type:- Christmas Wall/Door Hanging
Material:- Paper And Cardboard
Colour:- Assorted Colours
Weight:- 49 gms
Package Content:- 1 pc",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aarush Festivities,"Aarush Festivities Santa Face Merry Christmas Hanging Ornaments - For Xmas Trees, Doors, Walls, 1 pc","Aarush Festivities brings to you Santa Face Merry Christmas Hanging for Doors, Walls that will add a touch of joy and happiness to your Christmas tree. This paper Santa face ornament has a loop which will make it easy to hang it on Christmas trees or even on walls. These Christmas ornaments are perfect to create a happy and colourful atmosphere during this Christmas season. These Santa faces are lightweight and easy to use. Now decorate your Christmas tree and house with this beautiful snowman this Christmas to brighten put your home.",1 pc,pcs,1 pc,1,1,349,179,"Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",India,['40285850'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40285850_1-aarush-festivities-santa-face-merry-christmasxmas-hanging-for-doors-walls.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"High-quality material
Easy to use and hang
Lightweight","Ideally used to decorate the Christmas tree.
It can be used to hang on the walls or door.","[{'EAN Code': '40285850'}, {'Manufacturer Name & Marketed by ': 'Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002'}, {'Country of Origin': 'India'}]","Aarush Festivities No. 22 , NKP Layout, Kalasipalyam New Extn, Bengaluru, 560002",-,-,-,-,"Brand:- Aarush Festivities
Type:- Merry Christmas Wall/Door Hanging
Material:- Plastic
Colour:- Assorted Colours
Weight:- 58 gms
Package Content:- 1 pc",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Amrit Varsha,"Amrit Varsha Holi Colours - Naturals Organic Gulal, Green, 100 g","Amrit Varsha Holi Colours are organic. They have a nice aroma to them. It is non-toxic, soft and has a beautiful fragrance to it. It is made of all-natural ingredients which makes it safe for your skin. It has a nice colour. Celebrate and fill your lives with this vibrant colour this holi. Get into the colourful mood of the festival with your favourite ones.",100 g,g,100 g,1,1,120,90,Tech Smart Clinics Pvt Ltd. CW-593 Sanjay Gandhi Transport Nagar Opp Indian Oil Petrol Pump - 110048,India,['40211741'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40211741_1-amrit-varsha-holi-colours-naturals-organic-gulal-green.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is made from all-natural ingredients.
2. It is soft and has an organic aroma to it.
3. It is safe to use.","Gulal for all celebrations holi, weddings, party, diwali, rangoli etc.","[{'EAN Code': '40211741'}, {'Manufactured & Marketed By': 'Tech Smart Clinics Pvt Ltd. CW-593 Sanjay Gandhi Transport Nagar Opp Indian Oil Petrol Pump - 110048'}, {'Country of Origin': 'India'}]",Tech Smart Clinics Pvt Ltd. CW-593 Sanjay Gandhi Transport Nagar Opp Indian Oil Petrol Pump - 110048,-,-,-,-,"1. Capacity: 100 Gms.
2. Features: Can be used wet or dry, amazingly easy to wash off, and safe to use.
3. Type: Fruit Herbal Gulal.
4. Colour: Green.
5. Brand: Amrit Varsha.",-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Amrit Varsha,"Amrit Varsha Holi Colours - Naturals Organic Gulal, Green, 100 g","Amrit Varsha Holi Colours are organic. They have a nice aroma to them. It is non-toxic, soft and has a beautiful fragrance to it. It is made of all-natural ingredients which makes it safe for your skin. It has a nice colour. Celebrate and fill your lives with this vibrant colour this holi. Get into the colourful mood of the festival with your favourite ones.",100 g,g,100 g,1,1,120,90,Tech Smart Clinics Pvt Ltd. CW-593 Sanjay Gandhi Transport Nagar Opp Indian Oil Petrol Pump - 110048,India,['40211741'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40211741_1-amrit-varsha-holi-colours-naturals-organic-gulal-green.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is made from all-natural ingredients.
2. It is soft and has an organic aroma to it.
3. It is safe to use.","Gulal for all celebrations holi, weddings, party, diwali, rangoli etc.","['EAN Code: 40211741', 'Manufactured & Marketed By: Tech Smart Clinics Pvt Ltd. CW-593 Sanjay Gandhi Transport Nagar Opp Indian Oil Petrol Pump - 110048', 'Country of Origin: India', 'Best before 02-09-2023', '",Tech Smart Clinics Pvt Ltd. CW-593 Sanjay Gandhi Transport Nagar Opp Indian Oil Petrol Pump - 110048,-,-,-,-,"1. Capacity: 100 Gms.
2. Features: Can be used wet or dry, amazingly easy to wash off, and safe to use.
3. Type: Fruit Herbal Gulal.
4. Colour: Green.
5. Brand: Amrit Varsha.",-
