L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient,Specification,About
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,AIMIL,"AIMIL Jufex Forte Pet Liquid - Relieves RT Infection & Allergies, 200 ml",Jufex pet liquid is a balanced herbal combination of vital extracts and oils to rescue trapped lungs and let your pets breathe comfortably. Enriched with herbal extracts which relieve cough along with soothing & protecting lungs without causing sedation and constipation.,200 ml,ml,200 ml,1,1,192,192,"Aimil Pharmaceuticals (India) Ltd, (H), Saini Majra Ropar, Nalagarh Road, Tehsil, Nalagarh Dist Solan (HP) 174101",India,['8904054109073'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40233052_2-aimil-jufex-forte-pet-liquid-relieves-rt-infection-allergies.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40233052-2_2-aimil-jufex-forte-pet-liquid-relieves-rt-infection-allergies.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40233052-3_2-aimil-jufex-forte-pet-liquid-relieves-rt-infection-allergies.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40233052-4_2-aimil-jufex-forte-pet-liquid-relieves-rt-infection-allergies.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Provides significant relief in chest congestion, cough and irritation",5-10 ml three times a day or as directed by veterinarian.,"['EAN Code: 8904054109073', 'Manufacturer Name & : Aimil Pharmaceuticals (India) Ltd, (H), Saini Majra Ropar, Nalagarh Road, Tehsil, Nalagarh Dist Solan (HP) 174101', 'Marketed by: Herbalify Global, 29794A, Ist Floor, Ranjit Nagar, Near HPK Library, New Delhi, Delhi 110008', 'Country of Origin: India', 'Best before 25-07-2024', '","Herbalify Global, 29794A, Ist Floor, Ranjit Nagar, Near HPK Library, New Delhi, Delhi 110008",-,-,-,-,"Anjeer (Ficus cararia), Jufa (Hyssopus officinalis), Baheda (Terminalia bellerica)",-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Animology,"Animology Cat Conditioners - Animology Purfect Condition, 250 ml",Dog Spray Shampoo From U K.,250 ml,ml,250 ml,1,1,990,990,"Animology Pet Care, Buckshaw, Buckshaw Village, Chorley, United Kingdom",United Kingdom,['5060180812218'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40116187_1-animology-cat-conditioners-animology-purfect-condition.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 5060180812218', 'Manufacturer Name and : Animology Pet Care, Buckshaw, Buckshaw Village, Chorley, United Kingdom', 'Marketed by Name and : Glenand Group Of Companies, No-6, 18th A Cross, LakshmiPuram, Ulsoor, Bengaluru, Karnataka 560008', 'Country of Origin: United Kingdom', 'Best before 30-08-2023', '","Glenand Group Of Companies, No-6, 18th A Cross, LakshmiPuram, Ulsoor, Bengaluru, Karnataka 560008",-,-,-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Animology,"Animology Dog Shampoo - Animology Puppy Love, 250 ml",Dog Spray Shampoo From U K.,250 ml,ml,250 ml,1,1,850,850,"Animology Pet Care, Buckshaw, Buckshaw Village, Chorley, United Kingdom",United Kingdom,['40116183'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40116183_1-animology-dog-shampoo-animology-puppy-love.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40116183', 'Manufacturer Name and : Animology Pet Care, Buckshaw, Buckshaw Village, Chorley, United Kingdom', 'Marketed by Name and : Glenand Group Of Companies, No-6, 18th A Cross, LakshmiPuram, Ulsoor, Bengaluru, Karnataka 560008', 'Country of Origin: United Kingdom', 'Best before 30-08-2023', '","Glenand Group Of Companies, No-6, 18th A Cross, LakshmiPuram, Ulsoor, Bengaluru, Karnataka 560008",-,-,-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Animology,"Animology Pet Shampoo - Fox Poo, 250 ml","Fox Poo, by Anemology, is a unique and effective shampoo that helps to remove stubborn fox poo and its foul odour from your dogs coat. As most dog owners know it is not just fox poo that dogs like to roll in; if its sticky, slimy or stinky a dog will roll in it. Fox Poo Shampoo can also be used to remove poo from other animals including sheep, ducks, badgers and cows.",250 ml,ml,250 ml,1,1,850,850,Animology,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40102966_1-animology-pet-shampoo-fox-poo.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Store in cool dry place, away from sunlight",-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Awesome Pawsome,"Awesome Pawsome Chicken Dumpling All-Natural Dog Treats - With Natural Antioxidants, Grain Free, 85 g Pouch","Chicken Dumpling, made with cage-free New Zealand chicken. With natural antioxidants and a mix of tasty herbs. Chicken Dumpling is the yummy treat that awesome dog's snack on. Dogs of all sizes and ages will enjoy these protein-rich treats, which are easily digestible and healthy.",85 g Pouch,g,85 g Pouch,1,1,449,449,"Addiction Foods NZ Limited,240 Jellicoe Street, Papamoa Beach, Te Puke 3119, New Zealand",New Zealand,['8885004077010'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40231804_1-awesome-pawsome-chicken-dumpling-all-natural-dog-treats-with-natural-antioxidants-grain-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231804-2_1-awesome-pawsome-chicken-dumpling-all-natural-dog-treats-with-natural-antioxidants-grain-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231804-3_1-awesome-pawsome-chicken-dumpling-all-natural-dog-treats-with-natural-antioxidants-grain-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231804-4_1-awesome-pawsome-chicken-dumpling-all-natural-dog-treats-with-natural-antioxidants-grain-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231804-5_1-awesome-pawsome-chicken-dumpling-all-natural-dog-treats-with-natural-antioxidants-grain-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231804-6_1-awesome-pawsome-chicken-dumpling-all-natural-dog-treats-with-natural-antioxidants-grain-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231804-7_1-awesome-pawsome-chicken-dumpling-all-natural-dog-treats-with-natural-antioxidants-grain-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40231804-8_1-awesome-pawsome-chicken-dumpling-all-natural-dog-treats-with-natural-antioxidants-grain-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Awsome Pawsome all-natural pet treats are intended for intermittent or supplemental feeding only
Feed as a tasty reward for dogs of all sizes and ages
It can give daily
Always provide plenty of clean and fresh water
For maximum freshness, reseal after opening
Treats should be fed within 30 days","['EAN Code: 8885004077010', 'Manufacturer Name: Addiction Foods NZ Limited,240 Jellicoe Street, Papamoa Beach, Te Puke 3119, New Zealand', 'Marketed by : ABK Imports Pvt Ltd., Office No. 105, First Floor, Pune Trade Center, Nagar Rd, opposite to Mapple Hotel, Wagholi, Pune, Maharashtra 412207', 'Country of Origin: New Zealand', 'Best before __PSL__ days from the delivery date', '","ABK Imports Pvt Ltd., Office No. 105, First Floor, Pune Trade Center, Nagar Rd, opposite to Mapple Hotel, Wagholi, Pune, Maharashtra 412207",-,-,-,-,"Chicken Meal, Potatoes, Potatoes, Tapioca, Vegetable Glycerin, Soy Protein, Chicken Fat (Preserved With Mixed Tocopherols), Natural Flavor, Natural Color, Natural Buffered Vinegar, Lecithin, Citrus Fiber, Green Tea Extract, Rosemary Extract And Spearmint Extract",-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Bark Out Loud,"Bark Out Loud Allergy & Itch Relief Shampoo- Soothing & Hydrating Effect For Dogs & Cats, 200 ml","Relief For Sensitive Skin - Specially developed to meet the needs of your pets (cats & dogs) with allergic skin conditions. Our shampoo is hypoallergenic, a perfect formulation to help maintain skin integrity and natural balance.
Anti-inflammatory In Nature - The special ingredients penetrate the skin and soothe it, giving your pet instant relief from itching. The shampoo has a combination of natural anti-inflammatory ingredients, mild cleansing agents and essential fatty acids.
Treats Allergies - Our main ingredient Piroctone Olamine, has anti-bacterial & antifungal properties. It helps retain skin barrier function and prevents itching from allergies. Treats skin conditions & rash caused by mites, follicular plugging, hotspot, yeast infection.
Smooth & Hydrating Coat ÂÂ It contains castor oil that helps soothe your pet's skin and adds moisture. Thus, giving your pet (cat & dog) a shiny and Perfect wash for your pet with flea allergy dermatitis, atopic dermatitis any food & flea allergy.
Use As Needed- The shampoo reduces irritation significantly in the first wash itself. Use as needed to manage your pets' itching/ allergies. Please continue use even after the itching is treated for overall management of sensitive skin. Safe for puppies and kittens",200 ml,ml,200 ml,1,1,300,300,"Days Health & Beauty Herbal Products - Plot No 25, EPIP, Phase - 2, Thana, Baddi District, Solan Himachal Pradesh, 173205",India,['890817864450'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40257269_1-bark-out-loud-vivaldis-allergy-itch-relief-shampoo-for-dogs-cats-hypoallergenic-soothing-hydrating-effect.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40257269-2_1-bark-out-loud-vivaldis-allergy-itch-relief-shampoo-for-dogs-cats-hypoallergenic-soothing-hydrating-effect.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40257269-3_1-bark-out-loud-vivaldis-allergy-itch-relief-shampoo-for-dogs-cats-hypoallergenic-soothing-hydrating-effect.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40257269-4_1-bark-out-loud-vivaldis-allergy-itch-relief-shampoo-for-dogs-cats-hypoallergenic-soothing-hydrating-effect.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40257269-5_1-bark-out-loud-vivaldis-allergy-itch-relief-shampoo-for-dogs-cats-hypoallergenic-soothing-hydrating-effect.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40257269-6_1-bark-out-loud-vivaldis-allergy-itch-relief-shampoo-for-dogs-cats-hypoallergenic-soothing-hydrating-effect.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40257269-7_1-bark-out-loud-vivaldis-allergy-itch-relief-shampoo-for-dogs-cats-hypoallergenic-soothing-hydrating-effect.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40257269-8_1-bark-out-loud-vivaldis-allergy-itch-relief-shampoo-for-dogs-cats-hypoallergenic-soothing-hydrating-effect.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Aqua, Glycerine, EDTA, Acrylate, Copolymer, SLS, Cocamidopropyl, Betaine, Polyquaternium 7, PEG 7 Glycerylcocotte, PEG-40 Hydrogenated Castor Oil, Prioctone Olamine Preservative, Fragrance",-,"Apply on wet coat, massage thoroughly to ensure proper coverage, leave on for 10 min and rinse well with water Initially can be used 2-3 times a week, then use as required.","['EAN Code: 890817864450', 'Manufacturer Name & : Days Health & Beauty Herbal Products - Plot No 25, EPIP, Phase - 2, Thana, Baddi District, Solan Himachal Pradesh, 173205', 'Marketed by: Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48', 'Country of Origin:India', 'Best before 01-09-2024', '","Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48",-,-,-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Bark Out Loud,"Bark Out Loud Cat Pillow - Hairball Control, Chicken Treats, with Added Taurine, Made in Spain, 100 g","Bark out Loud by Vivaldis Cat Pillow Treats for Hairball control is an easy-to-feed snack for the removal and minimizing of hairballs in cats and kittens. These treats are made in Spain that will help your feline friendÂÂs belly in tip-top shape and health. It is delivered in mouth-watering chicken flavour that is formulated for cats, and nutrition. It aids them in passing safely through the gastrointestinal tract & helps prevent future formation through regular use. They are enriched with vegetable fibre and malt that will aid in intestinal tract movement helps eliminate hairballs and improves digestive health.",100 g,g,100 g,1,1,300,300,"Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48",Spain,['8908017864689'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40284007_1-bark-out-loud-cat-pillows-chicken-protein-for-hairball-control-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284007-2_1-bark-out-loud-cat-pillows-chicken-protein-for-hairball-control-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284007-3_1-bark-out-loud-cat-pillows-chicken-protein-for-hairball-control-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284007-4_1-bark-out-loud-cat-pillows-chicken-protein-for-hairball-control-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284007-5_1-bark-out-loud-cat-pillows-chicken-protein-for-hairball-control-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284007-6_1-bark-out-loud-cat-pillows-chicken-protein-for-hairball-control-with-added-taurine-for-cats.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Daily Dosage 8-12 units,"[{'EAN Code': '8908017864689'}, {'Manufactured & Marketed by': 'Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48'}, {'Country of origin': 'Spain'}]","Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48",-,-,-,-,"Vitamin E, Chicken.",-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Bark Out Loud,"Bark Out Loud Cat Pillows - Sensitive Gut Chicken Treats, Prebiotics, made in Spain for dogs, 100 g","Bark out Loud by Vivaldis Cat Pillow Sensitive Gut snacks offers the right combination of ingredients and is a great addition to the health regimen to ensure digestive health in cats especially the ones with a sensitive gut. These treats are made in Spain which will keep them happy, healthy and active. These delicious treats are made with chicken. It helps in intestinal wellness, digestion and a healthy GI tract which will also improve immune system health. It is rich in DHA, Omega 3 & Omega 6 helps in fighting and preventing diseases, and maintains overall health.",100 g,g,100 g,1,1,300,300,"Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48",Spain,['8908017864672'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40284006_1-bark-out-loud-cat-pillows-dried-krill-rich-in-omega-3-fa-for-sensitive-gut-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284006-2_1-bark-out-loud-cat-pillows-dried-krill-rich-in-omega-3-fa-for-sensitive-gut-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284006-3_1-bark-out-loud-cat-pillows-dried-krill-rich-in-omega-3-fa-for-sensitive-gut-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284006-4_1-bark-out-loud-cat-pillows-dried-krill-rich-in-omega-3-fa-for-sensitive-gut-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284006-5_1-bark-out-loud-cat-pillows-dried-krill-rich-in-omega-3-fa-for-sensitive-gut-with-added-taurine-for-cats.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284006-6_1-bark-out-loud-cat-pillows-dried-krill-rich-in-omega-3-fa-for-sensitive-gut-with-added-taurine-for-cats.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Daily Dosage 8-12 units.,"[{'EAN Code': '8908017864672'}, {'Manufactured & Marketed by': 'Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48'}, {'Country of origin': 'Spain'}]","Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48",-,-,-,-,"Probiotics, Zinc, Taurine, Omega 3FA, Vitamin E.",-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Bark Out Loud,"Bark Out Loud Chicken Swirls - Rich in Protein Treats with Omega 3 Fatty Acids for Dogs, 100 g",Bark Out Loud by Vivaldis Chicken Swirls is nutritious and fun as they are tasty. Treat your pet to these vitamin and mineral-enriched Chicken Swirls and watch them jump with joy. Feed these to your dog and watch as they live its best life! They are guilt-free treats made with only one protein source. Your dogs will love these scrumptious Chicken swirls that are made with simple and limited ingredients to keep them healthy and happy.,100 g,g,100 g,1,1,250,250,"Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48",India,['8908017864702'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40284003_1-bark-out-loud-chicken-swirls-rich-in-chicken-protein-enriched-with-vitamins-minerals-for-dogs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284003-2_1-bark-out-loud-chicken-swirls-rich-in-chicken-protein-enriched-with-vitamins-minerals-for-dogs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284003-3_1-bark-out-loud-chicken-swirls-rich-in-chicken-protein-enriched-with-vitamins-minerals-for-dogs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284003-4_1-bark-out-loud-chicken-swirls-rich-in-chicken-protein-enriched-with-vitamins-minerals-for-dogs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284003-5_1-bark-out-loud-chicken-swirls-rich-in-chicken-protein-enriched-with-vitamins-minerals-for-dogs.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Small Dogs - Upto 5 Chews
Medium Dogs - Upto 10 Chews
Large Dogs - Upto 15 Chews","[{'EAN Code': '8908017864702'}, {'Manufactured & Marketed by': 'Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48'}, {'Country of origin': 'India'}]","Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48",-,-,-,-,"Chicken, Vitamins & Minerals, Rosemary.",-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Bark Out Loud,"Bark Out Loud Chunky Bites - Fish Treats, with Rosemary Extracts, Vitamins & Minerals for Dogs, 100 g","Bark Out Loud by Vivaldis - Chunky Bites is a premium-made treat for your dog that adds health and taste to their meals. These Chunky Bites are beneficial for your pets as they are fresh and easily digestible treats. They are rich in fish protein, vitamins and minerals that help make your dog feel happier, protect their brain against cancer and dementia, and improve their long-term memory.",100 g,g,100 g,1,1,250,250,"Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48",India,['8908017864719'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40284008_1-bark-out-loud-chunky-bites-rich-in-fish-protein-enriched-with-vitamins-minerals-for-dogs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284008-2_1-bark-out-loud-chunky-bites-rich-in-fish-protein-enriched-with-vitamins-minerals-for-dogs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284008-3_1-bark-out-loud-chunky-bites-rich-in-fish-protein-enriched-with-vitamins-minerals-for-dogs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284008-4_1-bark-out-loud-chunky-bites-rich-in-fish-protein-enriched-with-vitamins-minerals-for-dogs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284008-5_1-bark-out-loud-chunky-bites-rich-in-fish-protein-enriched-with-vitamins-minerals-for-dogs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40284008-6_1-bark-out-loud-chunky-bites-rich-in-fish-protein-enriched-with-vitamins-minerals-for-dogs.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Small Dogs - 3 Bites
Medium Dogs - 3 Bites 
Large Dogs - 5 Bites.","[{'EAN Code': '8908017864719'}, {'Manufactured & Marketed by': 'Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48'}, {'Country of origin': 'India'}]","Vivaldis Health and Foods Pvt. Ltd. 803, Clover Hills Plaza, NIBM Road, Kondwa, Pune-48",-,-,-,-,"Fish Protein, Vitamins and Minerals.",-,-,-
