L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,About
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,Atharv Home Made Products,"Atharv Home Made Products Curry Leaves Chutney Powder - Spice Blend, Chemical Free, 200 g","Atharv Home Made Products Curry Leaves Chutney Powder is savoury and delicious, enhancing your meals in an instant. Atharv Home Made Products Curry Leaves Chutney Powder is made with Roasted Channa dal, Urad dal, Red Chilli, Garlic, Ginger, Jeera, Coriander, Dania & Curry Leaves. Curry leaves help in weight loss, they help in treating dysentery, constipation and diarrhoea. Curry leaves are also good for diabetics, good for eyesight and help reduce stress. Enjoy this tasty powder with curd rice or even ghee rice. Explore the wide range of organic food products, snacks and accompaniments from Atharv Home Made Products only on Big Basket.",200 g,g,200 g,1,1,110,110,"ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",India,['8939111866798'],['21221192001870'],https://datalabs.siva3.io/image/Eunimart_groceries_40269015_1-atharv-home-made-products-curry-leaves-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269015-2_1-atharv-home-made-products-curry-leaves-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269015-3_1-atharv-home-made-products-curry-leaves-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269015-4_1-atharv-home-made-products-curry-leaves-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269015-5_1-atharv-home-made-products-curry-leaves-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269015-6_1-atharv-home-made-products-curry-leaves-chutney-powder-spice-blend-chemical-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8939111866798'}, {'FSSAI No': '21221192001870'}, {'Manufactured & Marketed by': 'ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078'}, {'Country of origin': 'India'}]","ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",-,-,-,"Roasted Channa Dal, Urad Dal, Red Chilli, Garlic, Ginger, Jeera, Coriander, Dania & Curry Leaves.",-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,Atharv Home Made Products,"Atharv Home Made Products Flaxseed Chutney Powder - Spice Blend, Chemical Free, 200 g","Atharv Home Made Products Flaxseed Chutney Powder tastes amazing with steaming hot rice and ghee. The Atharv Home Made Products Flaxseed Chutney Powder is made with Roasted Flax Seeds, Byadagi Chilli, Garlic, Jeera & Salt. Flaxseed is frequently used to treat constipation or enhance digestive health. Low-density lipoprotein (LDL, or ""bad"") cholesterol and total blood cholesterol may both be decreased by flaxseed, which may help minimise the risk of heart disease. Enjoy this savoury chutney powder with rice or even dosa or idli. Explore the wide range of organic food products, snacks and accompaniments from Atharv Home Made Products only on Big Basket.",200 g,g,200 g,1,1,99,99,"ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",India,['8939111866552'],['21221192001870'],https://datalabs.siva3.io/image/Eunimart_groceries_40269014_1-atharv-home-made-products-flaxseed-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269014-2_1-atharv-home-made-products-flaxseed-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269014-3_1-atharv-home-made-products-flaxseed-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269014-4_1-atharv-home-made-products-flaxseed-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269014-5_1-atharv-home-made-products-flaxseed-chutney-powder-spice-blend-chemical-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8939111866552'}, {'FSSAI No': '21221192001870'}, {'Manufactured & Marketed by': 'ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078'}, {'Country of origin': 'India'}]","ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",-,-,-,"Roasted Flax Seeds, Byadagi Chilli, Garlic, Jeera & Salt.",-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,Atharv Home Made Products,"Atharv Home Made Products Fried Gram Chutney Powder - Spice Blend, Chemical Free, 200 g","Atharv Home Made Products Friedgram Chutney Powder is a nutritious addition to your thaali. Atharv Home Made Products Friedgram Chutney Powder is made with Fried gram, Salt, Turmeric, Asafoetida, Byadagi Chilli, Curry leaves & Edible oil. Rich in minerals like calcium, copper and manganese, fried gram is known to have positive effects on cardiovascular health and is good for the strength of teeth and bones. It is also rich in iron content and helps reduce anaemia and weakness. Pair this chutney powder with rasam rice, curd rice or even ghee rice. Explore the wide range of organic food products, snacks and accompaniments from Atharv Home Made Products only on Big Basket.",200 g,g,200 g,1,1,99,99,"ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",India,['8939111866620'],['21221192001870'],https://datalabs.siva3.io/image/Eunimart_groceries_40269019_1-atharv-home-made-products-fried-gram-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269019-2_1-atharv-home-made-products-fried-gram-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269019-3_1-atharv-home-made-products-fried-gram-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269019-4_1-atharv-home-made-products-fried-gram-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269019-5_1-atharv-home-made-products-fried-gram-chutney-powder-spice-blend-chemical-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8939111866620'}, {'FSSAI No': '21221192001870'}, {'Manufactured & Marketed by': 'ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078'}, {'Country of origin': 'India'}]","ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",-,-,-,"Fried gram, Salt, Turmeric, Asafoetida, Byadagi Chilli, Curry Leaves & Edible Oil.",-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,Atharv Home Made Products,"Atharv Home Made Products Groundnut Chutney Powder - Spice Blend, Chemical Free, 200 g","Atharv Home Made Products Groundnut Chutney Powder is a great addition to your dosas! Atharv Home Made Products Groundnut Chutney Powder is made with Roasted Groundnut Seeds, Byadagi Chilli, Salt, Cumin seeds, Garlic, Jeera & Coriander. Groundnuts are packed with the goodness of vitamins and minerals such as vitamin E, Magnesium, Folate, Copper and Arginine. Moreover, the protein-rich composition of groundnut makes it great for people who are either trying to lose weight or trying to gain muscle strength. Explore the wide range of organic food products, snacks and accompaniments from Atharv Home Made Products only on Big Basket.",200 g,g,200 g,1,1,99,99,"ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",India,['8939111866316'],['21221192001870'],https://datalabs.siva3.io/image/Eunimart_groceries_40269017_1-atharv-home-made-products-groundnut-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269017-2_1-atharv-home-made-products-groundnut-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269017-3_1-atharv-home-made-products-groundnut-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269017-4_1-atharv-home-made-products-groundnut-chutney-powder-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269017-5_1-atharv-home-made-products-groundnut-chutney-powder-spice-blend-chemical-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8939111866316'}, {'FSSAI No': '21221192001870'}, {'Manufactured & Marketed by': 'ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078'}, {'Country of origin': 'India'}]","ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",-,-,-,"Roasted Groundnut Seeds, Byadagi Chilli, Salt, Cumin seeds, Garlic, Jeera & Coriander.",-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,Atharv Home Made Products,"Atharv Home Made Products Niger Seeds/Gurellu Chutney - Spice Blend, Chemical Free, 200 g","Atharv Home Made Products Gurellu Chutney is the perfect addition to your lunch plate. Atharv Home Made Products Gurellu Chutney is made with Roasted Niger Seeds, Byadagi Chilli Powder, Salt, Cumin Seed, Garlic, and Jeera & Coriander. Niger seeds are broadly used in tribal regions and their therapeutic properties offer relief in case of aches, pains and skin problems. Enjoy this delicious chutney powder as a side for desi thaalis, with rice, paratha and more. Explore the wide range of organic food products, snacks and accompaniments from Atharv Home Made Products only on Big Basket.",200 g,g,200 g,1,1,110,110,"ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",India,['8939111866484'],['21221192001870'],https://datalabs.siva3.io/image/Eunimart_groceries_40269016_1-atharv-home-made-products-niger-seedsgurellu-chutney-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269016-2_1-atharv-home-made-products-niger-seedsgurellu-chutney-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269016-3_1-atharv-home-made-products-niger-seedsgurellu-chutney-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269016-4_1-atharv-home-made-products-niger-seedsgurellu-chutney-spice-blend-chemical-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269016-5_1-atharv-home-made-products-niger-seedsgurellu-chutney-spice-blend-chemical-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8939111866484'}, {'FSSAI No': '21221192001870'}, {'Manufactured & Marketed by': 'ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078'}, {'Country of origin': 'India'}]","ATHARV ENTERPRISES, NO 143/2, 3RD A CROSS, 6TH MAIN, GOWRAVANGAR, JP NAGAR 7TH PHASE, BANGALORE 560078",-,-,-,"Roasted Niger Seeds, Byadagi Chilli Powder, Salt, Cumin Seed, Garlic, Jeera & Coriander.",-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,BAKERS,"BAKERS Shezwan Chutney - Adds Spice To Dish, 250 g","Bakers Shezwan Chutney adds spice to your dishes! Bakers Shezwan Chutney is a spicy and flavorful condiment made from a blend of chilli peppers, garlic, and other spices. It is commonly used in Indian and Chinese cuisine as a condiment or added to dishes to add heat and flavour. This jar of Bakers Shezwan Chutney is a convenient and versatile ingredient to have in your kitchen, whether you're looking to add some heat to your dishes or simply want to give your meals a flavour boost. Try using it as a condiment or adding it to your favourite recipes for a spicy and aromatic finish. Explore other treats by Bakers, only on BigBasket!",250 g,g,250 g,1,1,90,90,"S.F.NO:365,AGARWAL SCHOOL ROAD,SOMAYAMPALAYAM VILLAGE(POST),COIMBATORE-108",India,['8908009559487'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40289941_1-bakers-shezwan-chutney-adds-spice-to-dish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289941-2_1-bakers-shezwan-chutney-adds-spice-to-dish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289941-3_1-bakers-shezwan-chutney-adds-spice-to-dish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289941-4_1-bakers-shezwan-chutney-adds-spice-to-dish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289941-5_1-bakers-shezwan-chutney-adds-spice-to-dish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289941-6_1-bakers-shezwan-chutney-adds-spice-to-dish.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40289941-7_1-bakers-shezwan-chutney-adds-spice-to-dish.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It can be used as dip for momos, sandwiches","[{'EAN Code': '8908009559487'}, {'Manufactured & Marketed by': 'S.F.NO:365,AGARWAL SCHOOL ROAD,SOMAYAMPALAYAM VILLAGE(POST),COIMBATORE-108'}, {'Country of origin': 'India'}]","S.F.NO:365,AGARWAL SCHOOL ROAD,SOMAYAMPALAYAM VILLAGE(POST),COIMBATORE-108",-,-,-,"Water, Sunflower Oil, Sugar, Iodised Salt, Ginger, Garlic, Chilli, Onion, Corn Starch, Thickener (Ins 415), Acidity Regulator (Ins 260), Spices, Preservatives (Ins 211), Celery, Soya Sauce",-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,BHUIRA,"BHUIRA Mango Chutney/Kashmiri Bichhua - Fresh, Tangy Taste, 460 g","Bhuira Mango Chutney is a handmade delicacy, made using the mouth-watering recipe of Saraswati Mushrans with traditional Kashmiri spices. This fresh and tangy mango chutney can be relished with rotis or alongside meals as a side dish. It is very delicious and can be eaten with any dish.",460 g,g,460 g,1,1,349,349,BHUIRA JAMS PVT LTD,India,['40096722'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40096722_3-bhuira-mango-chutneykashmiri-bichhua-fresh-tangy-taste.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40096722-2_2-bhuira-mango-chutneykashmiri-bichhua-fresh-tangy-taste.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40096722-3_2-bhuira-mango-chutneykashmiri-bichhua-fresh-tangy-taste.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40096722-4_2-bhuira-mango-chutneykashmiri-bichhua-fresh-tangy-taste.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40096722-5_2-bhuira-mango-chutneykashmiri-bichhua-fresh-tangy-taste.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40096722-6_3-bhuira-mango-chutneykashmiri-bichhua-fresh-tangy-taste.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Spread it over your toast or have it with your paratha!,"[{'EAN Code': '40096722'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'BHUIRA JAMS PVT LTD'}]",-,-,-,-,"Raw Mango With Gutli, Jaggery, Organic Coconut, Vinegar, Green Ginger, Mint, Spices (Chilli, Aniseed, Onion Seed, Salt, Asafoetida)",-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,Barosi,"Barosi Lemon Pickle 350 g & Mango Pickle 300 g, Combo 2 items","Barosi Lemon Pickle is hand-made using traditional age-old methods with Indian spices and fresh lemon slices. It is made without using any Oils or Preservatives, using authentic ingredients of Kaagzi Lemons, Cinnamon & Cumin Seeds. Diced Juicy Lemons are marinated in spices and preserved in their juices. They add a lip-smacking flavour & taste to every meal they are paired with. Barosi Lemon Pickle is oil-free. It is a good source of Vitamin C. It also helps in digestion, cures nausea, and avoids loss of appetite and motion sickness. Pair it with hot paranthas, a meal of dal chawal, add a tinge of tanginess to your khichdi or add some sweet & sour flavour to your breakfast of poha or upma - have it the way your heart desires and we promise you to delight with every bite.
Barosi Mango Pickle is handmade using traditional age-old methods with Indian spices and raw mango slices. It is made without using any Preservatives, using authentic ingredients of Ramkela Mangoes, Mustard Oil & Rock salt. Raw Mango slices are marinated in spices and preserved in Mustard Oil for pickling. They add a lip-smacking flavour & taste to every meal they are paired with. Barosi Mango Pickle is a good source of Vitamin K and Fibre. It also helps in digestion, cures nausea and improves appetite. Barosi Mango Pickle goes well with a full meal, as an evening snack with Tea & Mathri, to add a dash of flavour to khichdi, or as we love it - with a morning breakfast of triangle parantha, mango pickle & chai.",Combo 2 items,Combo  items,Combo 2 items,2,1,798,718.2,"Landwirt India Pvt Ltd, Village Jatauli, Pataudi District Gurgaon, Haryana-122504.",India,['1223135'],['10821005000409'],https://datalabs.siva3.io/image/Eunimart_groceries_223135_1-barosi-lemon-pickle-350-g-mango-pickle-300-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['""', 'EAN Code: 1223135', 'Country Of Origin: India', 'FSSAI No: 10821005000409', 'Manufactured & Marketed By: Landwirt India Pvt Ltd, Village Jatauli, Pataudi District Gurgaon, Haryana-122504.', 'Best Before 26-02-2024', '","Landwirt India Pvt Ltd, Village Jatauli, Pataudi District Gurgaon, Haryana-122504.",-,-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,Barosi,"Barosi Multi Floral Honey 500 g & Lemon Pickle 350 g, Combo 2 items","Barosi brings the purest, rawest, most authentic Multi Floral honey to your kitchen, directly sourced from apiaries in Punjab and seasonally harvested twice a year (Spring & Autumn). Barosi Multi Floral Honey is NMR Tested, ensuring purity and authenticity. It is sustainably collected in the forests of India, where flowering trees and plants grow in abundance, engaging age-old techniques of honey extraction. Loaded with nutrients and antioxidants, proven to boost immunity, Barosi Multi Floral Honey is the perfect replacement for refined sugar. Enjoy a spoonful daily to reap its abundant health benefits and relish the sweet joy.
Barosi Lemon Pickle is hand-made using traditional age-old methods with Indian spices and fresh lemon slices. It is made without using any Oils or Preservatives, using authentic ingredients of Kaagzi Lemons, Cinnamon & Cumin Seeds. Diced Juicy Lemons are marinated in spices and preserved in their juices. They add a lip-smacking flavour & taste to every meal they are paired with. Barosi Lemon Pickle is oil-free. It is a good source of Vitamin C. It also helps in digestion, cures nausea, and avoids loss of appetite and motion sickness. Pair it with hot paranthas, a meal of dal chawal, add a tinge of tanginess to your khichdi or add some sweet & sour flavour to your breakfast of poha or upma - have it the way your heart desires and we promise you to delight with every bite.",Combo 2 items,Combo  items,Combo 2 items,2,1,898,808.2,"Landwirt India Pvt Ltd, Village Jatauli, Pataudi District Gurgaon, Haryana-122504.",India,['1223134'],['10821005000409'],https://datalabs.siva3.io/image/Eunimart_groceries_223134_1-barosi-multi-floral-honey-500-g-lemon-pickle-350-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['""', 'EAN Code: 1223134', 'FSSAI No: 10821005000409', 'Manufactured & Marketed by: Landwirt India Pvt Ltd, Mustill No-17, KILA N0-22, Village Ullawash, Sector 62 Gurgaon, Haryana-122001', 'Country of origin: India', 'Best before 26-02-2024', '","Landwirt India Pvt Ltd, Village Jatauli, Pataudi District Gurgaon, Haryana-122504.",-,-,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-14,Bolst's,"Bolst's Pickle - Brinjal/Egg Plant In Oil, 350 g Jar","Bolsts Brinjal pickle prepared from brinjals which are fried with a crude paste comprising of chillies, jeera and mustard seeds. It is usually enjoyed with curd rice or lemon rice. Add a spicy touch to at all meal with this tasty brinjal or eggplant pickle recipe.",350 g Jar,g,350 g Jar,1,1,280,280,Bolst's,India,['8906139350066'],-,https://datalabs.siva3.io/image/Eunimart_groceries_285747_3-bolsts-pickle-brinjal-egg-plant-in-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_285747-2_4-bolsts-pickle-brinjal-egg-plant-in-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_285747-3_4-bolsts-pickle-brinjal-egg-plant-in-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_285747-4_4-bolsts-pickle-brinjal-egg-plant-in-oil.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_285747-5_4-bolsts-pickle-brinjal-egg-plant-in-oil.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat. Perfect accompaniment with rice, chapati or paratha, flat Indian bread.","[{'EAN Code': '8906139350066'}, {'Country of origin': 'India'}]",-,-,-,-,"Brinjal (50%), Water, Sesame Oil (18%), Sugar, Peanut Oil (6%), Salt, Chili, Turmeric, Mustard, Ginger, Acidity And Regulator: Acetic Acid (E260), Garlic, Cumin, Fenugreek And Curry Leaves.",-,-
