L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient,Specification,About
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,A1,"A1 Pure Kumkum - Maroon, No Chemicals, 100 g",A1 Pure Maroon Kumkum is made from turmeric. It is a unique cultural and spiritual symbol. Our Kumkum will never leaves stains on your forehead. Kumkum also known as sindoor or sindur. It does not contain any chemical to make pure and red rich coloured. Use this pure and natural kumkum for all your pooja needs.,100 g,g,100 g,1,1,40,40,"Sri Krishna Traders, #637, 2nd Cross, BDA Land, APMC Yard, Yeshwanthpur, Bengaluru-560022.",India,['40272021'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40272021_2-a1-pure-kumkum-maroon-no-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40272021-2_2-a1-pure-kumkum-maroon-no-chemicals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40272021-3_2-a1-pure-kumkum-maroon-no-chemicals.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1.Organic and pure kumkum.
2. Kumkum for all your pooja needs.
3. Does not colour your skin.
4. Brings a positive flow of energy.",It is used in religious ceremonies in India.,"['EAN Code: 40272021', 'Manufactured & Marketed by: Sri Krishna Traders, #637, 2nd Cross, BDA Land, APMC Yard, Yeshwanthpur, Bengaluru-560022.', 'Country of origin: India', 'Best before 13-10-2023', '","Sri Krishna Traders, #637, 2nd Cross, BDA Land, APMC Yard, Yeshwanthpur, Bengaluru-560022.",-,-,-,-,-,-,"1. Brand :- A1.
2. Type :- Kumkum.
3. Material :- Kumkum.
4. Colour :- Maroon.
5. Dimensions in mm (LXWXH) :- 115x50x160
6. Weight :- 100 gms.
7. Package Content :- 1 pcs.",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,A1,"A1 Pure Turmeric Powder - Rich Aroma & Flavour, 100 g","Made from authentic turmeric, A1 Turmeric Powder gives you better colour and taste in all your dishes. This is the best turmeric powder you can buy, free from adulterants and artificial colours. Aruna A1 Turmeric Powder is part of our range of Direct Spice Powders that are prepared using best quality raw materials to impart exceptional taste, flavour and aroma.",100 g,g,100 g,1,1,35,35,"Sri Krishna Traders, #637, 2nd Cross, BDA Land, APMC Yard, Yeshwanthpur, Bengaluru-560022.",India,['8906054538037'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40272018_2-a1-pure-turmeric-powder-rich-aroma-flavour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40272018-2_2-a1-pure-turmeric-powder-rich-aroma-flavour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40272018-3_2-a1-pure-turmeric-powder-rich-aroma-flavour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1.Natural
2.Fresh
3.Good for health
4.Free from preservatives","1.It is used to give a yellow colour to the dish.
2.May also be used to cure joint pains.","['EAN Code: 8906054538037', 'Manufactured & Marketed by: Sri Krishna Traders, #637, 2nd Cross, BDA Land, APMC Yard, Yeshwanthpur, Bengaluru-560022.', 'Country of origin: India', 'Best before 30-06-2023', '","Sri Krishna Traders, #637, 2nd Cross, BDA Land, APMC Yard, Yeshwanthpur, Bengaluru-560022.",-,-,-,-,-,-,"Per 100 g :-
Protein 5.8g
Saturated Fatty Acids NIL
Carbohydrates 52.2g
PUFA 0.2mg
Total Fat5g
MUFA NIL
Saturated Fat 4.2g 
Trans Fatty Acids NIL
Dietary Fibre 4.2g
Iron 54mg
Cholesterol NIL 
Calcium 130mg
Vitamin A 1mg
Energy Value 325 K.cal
Vitamin C NIL",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,A1,"A1 Pure Turmeric Powder - Rich Aroma & Flavour, 200 g","Made from authentic turmeric, A1 Turmeric Powder gives you better colour and taste in all your dishes. This is the best turmeric powder you can buy, free from adulterants and artificial colours. Aruna A1 Turmeric Powder is part of our range of Direct Spice Powders that are prepared using best quality raw materials to impart exceptional taste, flavour and aroma.",200 g,g,200 g,1,1,68,68,"Sri Krishna Traders, #637, 2nd Cross, BDA Land, APMC Yard, Yeshwanthpur, Bengaluru-560022.",India,['8906054538051'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40272019_2-a1-pure-turmeric-powder-rich-aroma-flavour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40272019-2_2-a1-pure-turmeric-powder-rich-aroma-flavour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40272019-3_2-a1-pure-turmeric-powder-rich-aroma-flavour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1.Natural
2.Fresh
3.Good for health
4.Free from preservatives","1.It is used to give a yellow colour to the dish.
2.May also be used to cure joint pains.","['EAN Code: 8906054538051', 'Manufactured & Marketed by: Sri Krishna Traders, #637, 2nd Cross, BDA Land, APMC Yard, Yeshwanthpur, Bengaluru-560022.', 'Country of origin: India', 'Best before 30-06-2023', '","Sri Krishna Traders, #637, 2nd Cross, BDA Land, APMC Yard, Yeshwanthpur, Bengaluru-560022.",-,-,-,-,-,-,"Per 100 g :-
Protein 5.8g
Saturated Fatty Acids NIL
Carbohydrates 52.2g
PUFA 0.2mg
Total Fat5g
MUFA NIL
Saturated Fat 4.2g
Trans Fatty Acids NIL
Dietary Fibre 4.2g
Iron 54mg
Cholesterol NIL
Calcium 130mg
Vitamin A 1mg
Energy Value 325 K.cal
Vitamin C NIL",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,AIM,"AIM Matches Box, 25 sticks (Pack of 10)",Safty Match Box,25 sticks (Pack of 10),sticks,25 sticks (Pack of 10),10,1,10,10,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['8901725097066'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30009877_2-aim-matches-box.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30009877-2_1-aim-matches-box.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8901725097066', 'Country of origin: India', 'Manufactured & Marketed by: ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071', 'Best before 01-03-2024', '","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,AVA,"AVA Natural Camphor Incense Stick, 15 pcs","Camphor Yukt Handmade incense sticks from natural herbs emit freshness. Repels foulness, restores fresh air & good health. Free from charcoal. Perfect for pujas, aromatherapy and meditation.",15 pcs,pcs,15 pcs,15,1,85,85,"Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014",India,['8906145300888'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40197200_3-pahal-natural-camphor-incense-stick.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40197200-2_1-pahal-natural-camphor-incense-stick.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40197200-3_1-pahal-natural-camphor-incense-stick.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keep out of children below 3 years and use of this product should be done strictly under elder supervision.,"['EAN Code: 8906145300888', 'Manufactured & Marketed By: Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014', 'Country of Origin: India', 'Best before 01-09-2023', '","Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014",-,-,-,-,"Pure Camphor Powder Along With 10 Essential Herbs, Bamboo Stick",-,-,-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,AVA,"AVA Natural Chandan Kesar Incense Stick, 15 pcs","Chandan and Kesar yukt Handmade incense sticks from natural herbs emit freshness. Repels foulness, restores fresh air & good health. Free from charcoal. Perfect for pujas, aromatherapy and meditation.",15 pcs,pcs,15 pcs,15,1,85,85,"Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014",India,['8906145300734'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40197197_3-pahal-natural-chandan-kesar-incense-stick.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40197197-2_1-pahal-natural-chandan-kesar-incense-stick.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40197197-3_1-pahal-natural-chandan-kesar-incense-stick.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keep out of children below 3 years and use of this product should be done strictly under elder supervision.,"['EAN Code: 8906145300734', 'Manufactured & Marketed By: Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014', 'Country of Origin: India', 'Best before 01-09-2023', '","Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014",-,-,-,-,"Sandalwood Powder, Sandalwood Fragrance Oil, Kesar Fragrance Oil, Bamboo Stick Along With 10 Essential Herbs",-,-,-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,AVA,"AVA Natural Jasmine Incense Stick, 15 pcs","Jasmine Handmade incense sticks from natural herbs emit freshness. Repels foulness, restores fresh air & good health. Free from charcoal. Perfect for pujas, aromatherapy and meditation.",15 pcs,pcs,15 pcs,15,1,85,85,"Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014",India,['8906145300741'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40197199_3-pahal-natural-jasmine-incense-stick.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keep out of children below 3 years and use of this product should be done strictly under elder supervision.,"['EAN Code: 8906145300741', 'Manufactured & Marketed By: Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014', 'Country of Origin: India', 'Best before 01-09-2023', '","Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014",-,-,-,-,"Jasmine Flower Powder, Jasmine Fragrance Oil Along With 10 Essential Herbs, Bamboo Stick",-,-,-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,AVA,"AVA Natural Sandalwood Incense Stick, 15 pcs","Sandalwood Handmade incense sticks from natural herbs emit freshness. Repels foulness, restores fresh air & good health. Free from charcoal. Perfect for pujas, aromatherapy and meditation.",15 pcs,pcs,15 pcs,15,1,85,85,"Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014",India,['8906145300802'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40197196_2-pahal-natural-sandalwood-incense-stick.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keep out of children below 3 years and use of this product should be done strictly under elder supervision.,"['EAN Code: 8906145300802', 'Manufactured & Marketed By: Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014', 'Country of Origin: India', 'Best before 01-09-2023', '","Tech smart clinics pvt ltd, first floor shop no. 54, opposite community centre, KC Bansal complex dhanas, Chandigarh 160014",-,-,-,-,"Sandalwood Powder, Sandalwood Fragrance Oil, Bamboo Stick Along With 10 Essential Herbs",-,-,-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,AYURSTAR,"AYURSTAR Incense Sticks 3 In 1 - Agarbatti, For Pooja & Pleasant Fragrance, 110 g Zipper Pouch","Ayurstar Three in One Agarbatti is an exquisite amalgamation of love, devotion, and prosperity. Fragrances that define the simplicity of life. A pack of Ayurstar Three in One contains a medley of three exciting fragrances. Take aromatic journey with Ayurstar Incense Sticks which are a part of the rich culture of India. Easy to use and suitable for everyone. You can give it to your loved ones on a special occasion to make them feel special and loved. The unique fragrance is refreshing and will transport you to a haven of harmony and bliss.",110 g Zipper Pouch,g,110 g Zipper Pouch,1,1,70,70,"Jiyo Fragrances, No.45, 7th Main, J.C industrial Area, Yelachenahalli, Off Kanakapura road, Bengaluru, India-560062",India,['8908015340079'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40265032_2-ayurstar-incense-sticks-3-in-1-agarbatti-for-pooja-pleasant-fragrance.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40265032-2_2-ayurstar-incense-sticks-3-in-1-agarbatti-for-pooja-pleasant-fragrance.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40265032-3_2-ayurstar-incense-sticks-3-in-1-agarbatti-for-pooja-pleasant-fragrance.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40265032-4_2-ayurstar-incense-sticks-3-in-1-agarbatti-for-pooja-pleasant-fragrance.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40265032-5_2-ayurstar-incense-sticks-3-in-1-agarbatti-for-pooja-pleasant-fragrance.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40265032-6_2-ayurstar-incense-sticks-3-in-1-agarbatti-for-pooja-pleasant-fragrance.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Incense Sticks are attractive to the senses and are pleasing to the eyes and nose. Generally, Incense Sticks are used to enhance the scent of a room or Office or during Prayer, Religious Ceremony, meditation, and yoga practice.
Quality Fragrance: - Helps reduce the negative and increase the positive aspects of all zodiac signs. The scent of the sticks fills the environment with positive energy to make your living space aromatic and pleasant. Free from harmful chemicals like Benzene and Toluene. Safe for mixing and rolling by plain hands.","Light the incense sticks in your puja, shops or offices and spread the divine aura.
The fragrance of the timeless scent is considered sacred and used during meditation, chanting prayer.
Provides emotional relaxation and it uplifts your mood.
It can be used as room fresheners. 5. Used for conveying prayers to God every morning.
Light the coated end of agarbatti and allow flame to catch.
Gentle put out of the flame.
Place agarbatti on a fireproof and heat resistant surface, away from inflammable material.
Use agarbatti with care and in well ventilated spaces.","['EAN Code: 8908015340079', 'Manufacturer Name & :Jiyo Fragrances, No.45, 7th Main, J.C industrial Area, Yelachenahalli, Off Kanakapura road, Bengaluru, India-560062', 'Country of Origin:India', 'Best before 23-08-2024', '",-,-,-,-,-,-,-,"Brand: - Ghodawat Consumer Limited.
Type: - Agarbatti, Incense Sticks.
Material: - Charcoal, Joss Powder, Perfume & Herbs.
Dimensions: 135x65x305
Weight: - 110 GM.
Multi Pack (Yes / No): - Yes.",-
RET,RET-10,RET-10-14,RET-10-14-11,RET-10-14-11-12,AYURSTAR,"AYURSTAR Incense Sticks 5 In 1 Agarbatti - Signature Fragrances, For Pooja & Pleasant Fragrance, 500 g Pouch","Ayurstar Five in One Agarbatti is an exquisite amalgamation of love, devotion, and prosperity. Fragrances that define the simplicity of life. A pack of Ayurstar Five in One contains a medley of various exciting fragrances. Take aromatic journey with Ayurstar Incense Sticks which are a part of the rich culture of India. Easy to use and suitable for everyone. You can give it to your loved ones on a special occasion to make them feel special and loved. The unique fragrance is refreshing and will transport you to a haven of harmony and bliss.",500 g Pouch,g,500 g Pouch,1,1,225,225,"Jiyo Fragrances, No.45, 7th Main, J.C industrial Area, Yelachenahalli, Off Kanakapura road, Bengaluru, India-560062",India,['8908015340222'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40265109_2-ayurstar-incense-sticks-5-in-1-agarbatti-signature-fragrances-for-pooja-pleasant-fragrance.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40265109-2_2-ayurstar-incense-sticks-5-in-1-agarbatti-signature-fragrances-for-pooja-pleasant-fragrance.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40265109-3_2-ayurstar-incense-sticks-5-in-1-agarbatti-signature-fragrances-for-pooja-pleasant-fragrance.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40265109-4_2-ayurstar-incense-sticks-5-in-1-agarbatti-signature-fragrances-for-pooja-pleasant-fragrance.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40265109-5_2-ayurstar-incense-sticks-5-in-1-agarbatti-signature-fragrances-for-pooja-pleasant-fragrance.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Incense Sticks are attractive to the senses and are pleasing to the eyes and nose. Generally, Incense Sticks are used to enhance the scent of a room or Office or during Prayer, Religious Ceremony, meditation, and yoga practice.
Quality Fragrance: - Helps reduce the negative and increase the positive aspects of all zodiac signs. The scent of the sticks fills the environment with positive energy to make your living space aromatic and pleasant. Free from harmful chemicals like Benzene and Toluene. Safe for mixing and rolling by plain hands.","Light the incense sticks in your puja, shops or offices and spread the divine aura.
The fragrance of the timeless scent is considered sacred and used during meditation, chanting prayer.
Provides emotional relaxation and it uplifts your mood.
It can be used as room fresheners.
Used for conveying prayers to God every morning.
Light the coated end of agarbatti and allow flame to catch.
Gentle put out of the flame.
Place agarbatti on a fireproof and heat resistant surface, away from inflammable material.
Use agarbatti with care and in well ventilated spaces.","['EAN Code: 8908015340222', 'Manufacturer Name & :Jiyo Fragrances, No.45, 7th Main, J.C industrial Area, Yelachenahalli, Off Kanakapura road, Bengaluru, India-560062', 'Country of Origin:India', 'Best before 23-08-2024', '",-,-,-,-,-,-,-,"Brand: - Ghodawat Consumer Limited.
Type: - Agarbatti, Incense Sticks.
Material: - Charcoal, Joss Powder, Perfume & Herbs.
Dimensions: 200x75x285
Weight: - 500 GM.
Multi Pack (Yes / No): - Yes.",-
