L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient,Specification,Package Contains,About
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,1Organic,"1Organic Kabuli Chana - Rich In Vitamins, Minerals, Fibre, 500 g","1Organic brings you the best variety of Organic Chickpeas. A versatile ingredient, it is believed to be one of the earliest cultivated legumes. As a rich source of vitamins, minerals and fiber, chickpeas may offer a variety of health benefits, such as improving digestion, aiding in weight management and reducing the risk of several diseases. Chickpeas are ideal for cognitive health. Loaded with magnesium and fibre, they help prevent constipation and maintain a healthful digestive tract.",500 g,g,500 g,1,1,145,145,"Plot No. 2, Sai Industrial Estate, Gujarwai Road, Mangadewadi, Pune -411065",India,['40237833'],['11530036000676'],https://datalabs.siva3.io/image/Eunimart_groceries_40237833_1-1organic-kabuli-chana-rich-in-vitamins-minerals-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40237833-2_1-1organic-kabuli-chana-rich-in-vitamins-minerals-fibre.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40237833-3_1-1organic-kabuli-chana-rich-in-vitamins-minerals-fibre.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Used in Hummus, Chana Masala, Cold Salads, Warm Soups.
2. Can be used in salads.
3. Makes perfect chhole.","['EAN Code: 40237833', 'FSSAI Number: 11530036000676', 'Manufacturer Name & Marketed by:Plot No. 2, Sai Industrial Estate, Gujarwai Road, Mangadewadi, Pune -411065', 'Country of Origin: India', 'Best before 01-06-2023', '","Plot No. 2, Sai Industrial Estate, Gujarwai Road, Mangadewadi, Pune -411065",-,-,-,-,Kabuli Chana,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,1Organic,"1Organic Red Rice - Rich In Nutrients, 1 kg","Much like brown rice and white rice, red rice also comes with some incredible health benefits. Due to the presence of a component called anthocyanin, this rice is usually consumed either partially hulled or unhulled. Red rice derives this eye-grabbing colour from this component and has much more nutrient value as compared to other varieties of rice. What makes this variant of rice, a healthy choice is a red husk, which is loaded with the goodness of nature. What's more, red rice is enriched with the goodness of antioxidants and magnesium, which helps in preventing and curing several diseases. Of late, with the growth of social media, red rice has been a fad among people for its incredible health benefits.",1 kg,kg,1 kg,1,1,130,130,"Plot No. 2, Sai Industrial Estate, Gujarwai Road, Mangadewadi, Pune -411054",India,['40237832'],['11530036000676'],https://datalabs.siva3.io/image/Eunimart_groceries_40237832_1-1organic-red-rice-rich-in-nutrients.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40237832-2_1-1organic-red-rice-rich-in-nutrients.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40237832-3_1-1organic-red-rice-rich-in-nutrients.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1 . Best baby food.
2. For diabetic patients and lifestyle diseases.","['EAN Code: 40237832', 'FSSAI Number: 11530036000676', 'Manufacturer Name & Marketed by:Plot No. 2, Sai Industrial Estate, Gujarwai Road, Mangadewadi, Pune -411054', 'Country of Origin: India', 'Best before 16-07-2023', '","Plot No. 2, Sai Industrial Estate, Gujarwai Road, Mangadewadi, Pune -411054",-,-,-,-,Red Rice,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,24 Mantra,"24 Mantra Organic Pappadam - Plain, 100 g Pouch","24 Mantra's plain Papad to add more crunch to all meals. With the goodness of pepper, urad dal this crispy papad is a must-have in every Indian's house. In some parts of India, even dried papads are added in curries or vegetable dishes to make them even more wholesome.",100 g Pouch,g,100 g Pouch,1,1,60,60,"Cears Consumer Products, Cears Keon Complex, Sy No. 09, Mallimakanapura, Hoskote Chintamani Main Road, Bangalore Rural Dist. Hoskote - 562114",India,['20001072'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20001072_3-24-mantra-organic-pappadam-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001072-2_3-24-mantra-organic-pappadam-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001072-3_3-24-mantra-organic-pappadam-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001072-4_3-24-mantra-organic-pappadam-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001072-5_3-24-mantra-organic-pappadam-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001072-6_2-24-mantra-organic-pappadam-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001072-7_2-24-mantra-organic-pappadam-plain.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001072-8_2-24-mantra-organic-pappadam-plain.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Need to be cooked either by frying, toasting, microwaving or broiling.","[{'EAN Code': '20001072'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'Cears Consumer Products, Cears Keon Complex, Sy No. 09, Mallimakanapura, Hoskote Chintamani Main Road, Bangalore Rural Dist. Hoskote - 562114'}]",-,-,-,-,-,"Black Gram Flour, Salt, Black Pepper, Sodium Carbonate, Sunflower Oil.",-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,24 Mantra,"24 Mantra Organic Pappadam - Spicy, 100 g Pouch","24 Mantra's Spiced Papad to include an extra crunch to all meals. With the goodness of pepper, urad dal, this crispy papad is a must-have in all Indian's homes.",100 g Pouch,g,100 g Pouch,1,1,60,60,"Cears Consumer Products, Cears Keon Complex, Sy No. 09, Mallimakanapura, Hoskote Chintamani Main Road, Bangalore Rural Dist. Hoskote - 562114",India,['20001071'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20001071_3-24-mantra-organic-pappadam-spicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001071-2_3-24-mantra-organic-pappadam-spicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001071-3_3-24-mantra-organic-pappadam-spicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001071-4_3-24-mantra-organic-pappadam-spicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001071-5_3-24-mantra-organic-pappadam-spicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001071-6_2-24-mantra-organic-pappadam-spicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001071-7_2-24-mantra-organic-pappadam-spicy.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001071-8_2-24-mantra-organic-pappadam-spicy.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Need to be cooked either by frying, toasting, microwaving or broiling.","[{'EAN Code': '20001071'}, {'Country of origin': 'India'}, {'Manufactured by': 'Cears Consumer Products, Cears Keon Complex, Sy No. 09, Mallimakanapura, Hoskote Chintamani Main Road, Bangalore Rural Dist. Hoskote - 562114'}]",-,-,-,-,-,"Black Gram Flour, Salt, Black Pepper, Sodium Carbonate, Sunflower Oil.",-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,24 Mantra,"24 Mantra Organic Pongal, 200 g","Make delicious homemade organic Pongal. Pongal dish is not only a four-day-long Tamilian harvest festival but also a scrumptious rice preparation. Rice is the key ingredient of the Pongal dish as itÂÂ™s one of the main harvests apart from sugarcane and turmeric. As you sow, so shall you reap. Only if you eat natural and chemical-free food can you harvest good health. To ensure this, prepare your meals only with organic food ingredients. Where to find them? 24 Mantra Organic ÂÂ“ IndiaÂÂ™s most trusted organic food brand.",200 g,g,200 g,1,1,120,120,"Cears Consumer Products, Cears Keon Complex, Sy No. 09, Mallimakanapura, Hoskote Chintamani Main Road, Bangalore Rural Dist. Hoskote - 562114",India,['40098379'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40098379_1-24-mantra-organic-pongal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098379-2_1-24-mantra-organic-pongal.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Steam Cooking -
In a pressure cooker Combine one measure of mix in 2 & 1/2 measures water.
Cook on a medium flame for 3-4 whistles.
Remove from heat, Rest, Stir & Serve.
Open Pan Cooking -
Combine one measure of mix in 3 & 1/2 measures water & boil.
Cover & cook on low flame for15 minutes.
Remove from heat. Rest for 5 minutes. Serve hot.","[{'EAN Code': '40098379'}, {'Country of origin': 'India'}, {'Manufactured by': 'Cears Consumer Products, Cears Keon Complex, Sy No. 09, Mallimakanapura, Hoskote Chintamani Main Road, Bangalore Rural Dist. Hoskote - 562114'}]",-,-,-,-,-,"Split Green Gram, Rice, Ghee, Cashewnut, Salt, Cumin, Dried Curry Leaves, Black Pepper, Ginger, Dried Green Chillies",-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,24 Mantra,"24 Mantra Organic Whole Moong Khichdi, 200 g","Make delicious homemade organic - Kichidi inspired from Ahmedabad in 3 simple steps to curb your hunger.
As you sow, so shall you reap. Only if you eat natural and chemical-free food can you harvest good health. To ensure this, prepare your meals only with organic food ingredients. Where to find them? 24 Mantra Organic ÂÂ“ IndiaÂÂ™s most trusted organic food brand.",200 g,g,200 g,1,1,95,95,"Cears Consumer Products, Cears Keon Complex, Sy No. 09, Mallimakanapura, Hoskote Chintamani Main Road, Bangalore Rural Dist. Hoskote - 562114",India,['8904083519775'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40098380_5-24-mantra-organic-whole-moong-khichdi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098380-2_6-24-mantra-organic-whole-moong-khichdi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098380-3_5-24-mantra-organic-whole-moong-khichdi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098380-4_5-24-mantra-organic-whole-moong-khichdi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098380-5_5-24-mantra-organic-whole-moong-khichdi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098380-6_1-24-mantra-organic-whole-moong-khichdi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098380-7_1-24-mantra-organic-whole-moong-khichdi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098380-8_1-24-mantra-organic-whole-moong-khichdi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098380-9_1-24-mantra-organic-whole-moong-khichdi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40098380-10_1-24-mantra-organic-whole-moong-khichdi.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Pressure Cooker Cooking
MIX: In a pressure cooker combine 1 measure of mix with 2 1/2 measures of water.
COOK: Cook on a medium flame for 4 ÂÂ“ 5 whistles.
SERVE: Remove from heat. Rest, stir and serve hot. Open Pan Cooking
BOIL: To one measure of khichdi mix, add 4 measures of water and boil.
COOK: Cover and cook on medium heat for 20 min. Stir occasionally.
REST: Remove from heat. Rest for 5 min and serve hot.","[{'EAN Code': '8904083519775'}, {'Country of origin': 'India'}, {'Manufactured by': 'Cears Consumer Products, Cears Keon Complex, Sy No. 09, Mallimakanapura, Hoskote Chintamani Main Road, Bangalore Rural Dist. Hoskote - 562114'}]",-,-,-,-,-,"Rice, Whole Green Gram, Split Green Gram, Ghee, Salt, Cumin, Dried Green Chilli, Asafoetida, Turmeric.",-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,999,"999 Synthetic Food Colour Preparation Apple Green, 10 g","The colour of your food plays an important role by visually stimulating your appetite. Off colour foods are generally considered inferior in quality and so colours are added. Colours can also protect vitamins and flavours that may be affected by sunlight during storage. By using colours, we can enhance the natural colour of a dish and introduce decorative colours to other foods. The Colour of the food can influence the perceived flavour.",10 g,g,10 g,1,1,20,20,999,India,['40088072'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40088072_1-9990-synthetic-food-colour-preparation-apple-green.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40088072'}, {'Country Of Origin': 'India'}]",-,-,-,-,-,Synthetic Food Colour Preparation Apple Green,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,999,"999 Synthetic Food Colour Preparation Kesar Yellow, 10 g","The colour of your food plays an important role by visually stimulating your appetite. Off colour foods are generally considered inferior in quality and so colours are added. Colours can also protect vitamins and flavours that may be affected by sunlight during storage. By using colours, we can enhance the natural colour of a dish and introduce decorative colours to other foods. The Colour of the food can influence the perceived flavour.",10 g,g,10 g,1,1,20,20,999,India,['4008073'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40088073_1-9990-synthetic-food-colour-preparation-kesar-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088073-2_1-9990-synthetic-food-colour-preparation-kesar-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088073-3_1-9990-synthetic-food-colour-preparation-kesar-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088073-4_1-9990-synthetic-food-colour-preparation-kesar-yellow.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '4008073'}, {'Country of origin': 'India'}]",-,-,-,-,-,Synthetic Food Colour Preparation Kesar Yellow,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,999,"999 Synthetic Food Colour Preparation Lemon Yellow, 10 g","The colour of your food plays an important role by visually stimulating your appetite. Off colour foods are generally considered inferior in quality and so colours are added. Colours can also protect vitamins and flavours that may be affected by sunlight during storage. By using colours, we can enhance the natural colour of a dish and introduce decorative colours to other foods. The Colour of the food can influence the perceived flavour.",10 g,g,10 g,1,1,20,20,999,India,['400880710001'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40088071_1-9990-synthetic-food-colour-preparation-lemon-yellow.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '400880710001'}, {'Country of origin': 'India'}]",-,-,-,-,-,Synthetic Food Colour Preparation Lemon Yellow,-,-,-,-
RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-16,999,"999 Synthetic Food Colour Preparation Orange Red, 10 g","The colour of your food plays an important role by visually stimulating your appetite. Off colour foods are generally considered inferior in quality and so colours are added. Colours can also protect vitamins and flavours that may be affected by sunlight during storage. By using colours, we can enhance the natural colour of a dish and introduce decorative colours to other foods. The Colour of the food can influence the perceived flavour.",10 g,g,10 g,1,1,20,20,999,India,['40088074'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40088074_1-9990-synthetic-food-colour-preparation-orange-red.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40088074-2_1-9990-synthetic-food-colour-preparation-orange-red.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40088074'}, {'Country of origin': 'India'}]",-,-,-,-,-,Synthetic Food Colour Preparation Orange Red,-,-,-,-
