L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand,About
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,24 Mantra,"24 Mantra Himalayan Rock Salt/Uppu Powder, 1 kg","Rock Salt (Saindhava Lavana) is mined from the Himalayan range. This is an unrefined salt, naturally pink in colour. No additives are added to this salt. Ayurvedic Pharmaceutics, Rasashastra, considers saindhava lavana as the best of salt.",1 kg,kg,1 kg,1,1,150,150,"Sresta Natural bioproducts Pvt ltd., Sy. No. 659, devaryajmal shamierpet Mandai, RR dist, Telangana-500078",India,[8904083519997],-,https://datalabs.siva3.io/image/Eunimart_groceries_40158108_3-24-mantra-himalayan-rock-salt-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158108-2_3-24-mantra-himalayan-rock-salt-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158108-3_3-24-mantra-himalayan-rock-salt-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158108-4_1-24-mantra-himalayan-rock-salt-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40158108-5_1-24-mantra-himalayan-rock-salt-powder.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8904083519997 Manufactured & Marketed by: Sresta Natural Bioproducts Pvt Ltd., H.No-8-2-468/A/1/3, 2nd and 3rd floor, Road No-5, Banjara Hills, Hyderabad-500034 Country of origin: India FSSAI Number : Best before 05-10-2022 ","8904083519997 Manufactured & Marketed by: Sresta Natural Bioproducts Pvt Ltd., H.No-8-2-468/A/1/3, 2nd and 3rd floor, Road No-5, Banjara Hills, Hyderabad-500034 Country of origin: India",-,-,-,Saindhava Lavana 100%(per 100gm):,-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,24 Mantra,"24 Mantra Saindhava Lavana Crystal Rock Salt, 1 kg","Himalayan Rock Salt is also commonly known as Pink Salt due to its naturally occurred distinctive pink color. It possesses a number of health benefits as it contains high levels of minerals, aids in detoxifying the body and improves overall performance of the heart.",1 kg,kg,1 kg,1,1,150,150,"Sresta Natural bioproducts Pvt ltd., Sy. No. 659, devaryajmal shamierpet Mandai, RR dist, Telangana-500078",India,[-],-,https://datalabs.siva3.io/image/Eunimart_groceries_40119217_2-24-mantra-saindhava-lavana-crystal-rock-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119217-2_2-24-mantra-saindhava-lavana-crystal-rock-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119217-3_2-24-mantra-saindhava-lavana-crystal-rock-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119217-4_2-24-mantra-saindhava-lavana-crystal-rock-salt.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['Manufactured by: Sresta Natural bioproducts Pvt ltd., Sy. No. 659, devaryajmal shamierpet Mandai, RR dist, Telangana-500078 Country of origin: India Best before 04-10-2022 ",-,-,-,-,Saindhava Lavana 100%,-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,A.D.J Classic Choice,"A.D.J Classic Choice Himalayan Pink Rock Salt/Uppu Powder, 500 g Jar",We A.D.J CLASSIC CHOICE give best natural Himalayan Rock Salt Powder. It has trace minerals for very essential for our body and also to enhances our immunity for our body. We also see to it the natural content is intact and packed in sealed container.,500 g Jar,g,500 g Jar,1,1,99,99,"A.D.Jeyaveerapandia Nadar & Bros. (Nagapattinam) No: 1 & 2, Davidson Street, Chennai - 600001",India,[8901304269648],[1214002003071],https://datalabs.siva3.io/image/Eunimart_groceries_40156256_2-adj-classic-choice-himalayan-pink-rock-salt-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40156256-2_2-adj-classic-choice-himalayan-pink-rock-salt-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40156256-3_2-adj-classic-choice-himalayan-pink-rock-salt-powder.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8901304269648 Country of origin: India FSSAI Number: 1214002003071 Manufactured & Marketed by: A.D.Jeyaveerapandia Nadar & Bros. (Nagapattinam) No: 1 & 2, Davidson Street, Chennai - 600001. Best before 05-04-2023 ","8901304269648 Country of origin: India FSSAI Number: 1214002003071 Manufactured & Marketed by: A.D.Jeyaveerapandia Nadar & Bros. (Nagapattinam) No: 1 & 2, Davidson Street, Chennai - 600001. Best before 05-04-2023 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No. 18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034. | Email: customerservice@bigbasket. com""",-,-,-,Rock Salt Powder,-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,A.D.J Classic Choice,"A.D.J Classic Choice Himalayan Pink Rock Salt/Uppu Powder, 500 g Pouch",We A.D.J CLASSIC CHOICE give best natural Himalayan Rock Salt Powder. It has trace minerals for very essential for our body and also to enhances our immunity for our body. We also see to it the natural content is intact and packed in sealed container.,500 g Pouch,g,500 g Pouch,1,1,86,86,"A.D.Jeyaveerapandia Nadar & Bros. (Nagapattinam) No: 1 & 2, Davidson Street, Chennai - 600001",India,[8901304270569],[1214002003071],https://datalabs.siva3.io/image/Eunimart_groceries_40156258_1-adj-classic-choice-himalayan-pink-rock-salt-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40156258-2_1-adj-classic-choice-himalayan-pink-rock-salt-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40156258-3_1-adj-classic-choice-himalayan-pink-rock-salt-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40156258-4_1-adj-classic-choice-himalayan-pink-rock-salt-powder.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8901304270569 Country of origin: India FSSAI Number: 1214002003071 Manufactured & Marketed by: A.D.Jeyaveerapandia Nadar & Bros. (Nagapattinam) No: 1 & 2, Davidson Street, Chennai - 600001. Best before 05-04-2023 ","8901304270569 Country of origin: India FSSAI Number: 1214002003071 Manufactured & Marketed by: A.D.Jeyaveerapandia Nadar & Bros. (Nagapattinam) No: 1 & 2, Davidson Street, Chennai - 600001. Best before 05-04-2023 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No. 18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034. | Email: customerservice@bigbasket. com",-,-,-,Rock Salt Powder,-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,AKAR,"AKAR Salt/Uppu - Crystal, 1 kg Pouch","Akar Salt Crystal is an iodised crystal salt with potassium iodide which is not present in regular table salt. From helping you stay hydrated to maintaining good vascular health and balancing electrolytes, crystal iodised salt will add the right amount of flavour and richness to your diet. Iodised salt is rich mineral content can help your body detoxify. All of these minerals aid our body's natural detoxification process and promote the removal of bacteria.Use Akar Salt Crystal in your pickles and marinades and taste the difference! Explore the options of Akar crystalised and powdered salt available on Big Basket.",1 kg Pouch,kg,1 kg Pouch,1,1,26,15.5,"ASR TRADERS No. 5/160 Caldwell Colony, TUTICORIN- 628 008",India,[8906027390198],-,https://datalabs.siva3.io/image/Eunimart_groceries_248005_1-akar-salt-crystal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_248005-2_1-akar-salt-crystal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_248005-3_1-akar-salt-crystal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_248005-4_1-akar-salt-crystal.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_248005-5_1-akar-salt-crystal.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906027390198 Manufactured by: ASR TRADERS No. 5/160 Caldwell Colony, TUTICORIN- 628 008 /MARKETED BY AKAR ENTERPRISES 5/17, G N LANE BDA AREA APMC YARD YESHWANTHPUR BANGALORE 560022 Country of origin: India Best before 03-10-2022 ","8906027390198 Manufactured by: ASR TRADERS No. 5/160 Caldwell Colony, TUTICORIN- 628 008 /MARKETED BY AKAR ENTERPRISES 5/17, G N LANE BDA AREA APMC YARD YESHWANTHPUR BANGALORE 560022 Country of origin: India Best before 03-10-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Supermarket Grocery Supplies Pvt Ltd. No7, Service Road, Domlur 100 Feet Road, Indiranagar, Bangalore 560071. | Email: customerservice@bigbasket.com",-,-,-,"Edible Common Salt,
Potasssium Iodate",-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,AKAR,"AKAR Salt/Uppu - Free Flow, 1 kg Pouch","Akar Salt Free Flow is refined table salt for your daily use. With its natural ingredients, this salt has seasoned Indian dishes for over 4 decades. Use the finely ground Akar Salt in your dishes to elevate the richness of your spices as well as to preserve them for a long period of time. The right amount of iodised salt in your food goes beyond the taste factor. Proper sodium intake is vital for good health. All salts can help you achieve healthy sodium levels. It helps in improving respiratory conditions to regulating blood sugar and more. If you don't consume enough seafood, dairy products, eggs and you fear a potential iodine deficiency, iodised salt is the best option. Explore the options of Akar crystalised and powdered salt available on Big Basket.",1 kg Pouch,kg,1 kg Pouch,1,1,25,18,"TERAPANTH FOODS LTD MAITHRI BHAVAN PLOT NO. 18, SECTOR 8 GANDHIDHAM - KACHCHH/MARKETED BY AKAR ENTERPRISES 5/17, G N LANE BDA AREA APMC YARD YESHWANTHPUR BANGALORE 560022",India,[8906027390167],-,https://datalabs.siva3.io/image/Eunimart_groceries_248003_1-akar-salt-free-flow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_248003-2_1-akar-salt-free-flow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_248003-3_1-akar-salt-free-flow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_248003-4_1-akar-salt-free-flow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_248003-5_1-akar-salt-free-flow.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8906027390167 Manufactured by: TERAPANTH FOODS LTD MAITHRI BHAVAN PLOT NO. 18, SECTOR 8 GANDHIDHAM - KACHCHH/MARKETED BY AKAR ENTERPRISES 5/17, G N LANE BDA AREA APMC YARD YESHWANTHPUR BANGALORE 560022 Country of origin: India Best before 03-10-2022 ","8906027390167 Manufactured by: TERAPANTH FOODS LTD MAITHRI BHAVAN PLOT NO. 18, SECTOR 8 GANDHIDHAM - KACHCHH/MARKETED BY AKAR ENTERPRISES 5/17, G N LANE BDA AREA APMC YARD YESHWANTHPUR BANGALORE 560022 Country of origin: India Best before 03-10-2022 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Supermarket Grocery Supplies Pvt Ltd. No7, Service Road, Domlur 100 Feet Road, Indiranagar, Bangalore 560071. | Email: customerservice@bigbasket.com",-,-,-,"Edible Refined Salt,
Potassium Chloride,
Permitted Anti-caking Agent -551
Crystal Modifier - 536",-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,Aashirvaad,"Aashirvaad Atta - Whole Wheat 10 kg + Iodised Salt 1 kg, Combo 2 Items","Aashirvaad Atta - Whole Wheat 10 kg Pouch: Aashirvaad whole wheat atta is made of zero per cent maida and 100% atta, which makes it extremely nutritious since its packed with health benefits. This also means fluffier and softer rotis at home. Aashirvaad Atta is also made from the best grains - heavy on the palm, golden amber in colour and hard in bite. It is grounded using the chakki - grinding process for the perfect balance of colour, taste and nutrition.
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
Aashirvaad Iodized Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: Aashirvaad Iodised Salt is made with the 4-step advantage process which ensures its good quality. It has the right amount of iodine, which is vital for healthy physical growth and brain function. The salt undergoes a 2-step cleaning process and has moisture-proof packaging which gives it a free-flowing texture. This good quality salt ensures a balanced taste in your daily meals.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,604,492.8,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['1220742'],-,https://datalabs.siva3.io/image/Eunimart_groceries_220742_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-2_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-3_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-4_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-5_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-6_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220742-7_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Aashirvaad Atta - Whole Wheat 10 kg Pouch: Make Chapati, Roti and wheat-based dishes. 

Aashirvaad Iodised Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: This good quality salt ensures a balanced taste in your daily meals.","[{'EAN Code': '1220742'}, {'Manufactured & Marketed by': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071'}, {'Country of origin': 'India'}, {'FSSAI Number': ''}]","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",-,-,-,"Aashirvaad Atta - Whole Wheat 10 kg Pouch: Apart from whole grain, this product contains important vitamins, minerals and calcium, all of which are good for a healthy body.
Aashirvaad Iodized Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: Edible Common Salt, Anticaking Agent (Ins 551, Ins 536) And Potassium Iodate.",-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,Aashirvaad,"Aashirvaad Atta - Whole Wheat 5 kg + Iodised Salt 1 kg, Combo 2 Items","Aashirvaad Atta - Whole Wheat 5 kg Pouch: Aashirvaad Whole Wheat Atta has 0% Maida and 100% atta. This means you serve soft, fluffy rotis and a whole lot of health and happiness. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/232/flours-sooji/
Aashirvaad Iodised Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: Aashirvaad Iodised Salt is made with the 4-step advantage process which ensures its good quality. It has the right amount of iodine, which is vital for healthy physical growth and brain function. The salt undergoes a 2-step cleaning process and has moisture-proof packaging which gives it a free-flowing texture. This good quality salt ensures a balanced taste in your daily meals.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,346,298.8,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['1220743'],-,https://datalabs.siva3.io/image/Eunimart_groceries_220743_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-2_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-3_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-4_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-5_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-6_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-7_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_220743-8_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Aashirvaad Atta - Whole Wheat 5 kg Pouch: Make Chapatis, Rotis or other wheat-based dishes. 
Aashirvaad Iodised Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: This good quality salt ensures a balanced taste in your daily meals.","[{'EAN Code': '1220743'}, {'Manufactured & Marketed by': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071'}, {'Country of origin': 'India'}, {'FSSAI Number': ''}]","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",-,-,-,"Aashirvaad Atta - Whole Wheat 5 kg Pouch: Wheat Atta
Aashirvaad Iodised Salt - Boosts Healthy Physical Growth & Brain Function 1 kg Pouch: Edible Common Salt, Anticaking Agent (Ins 551, Ins 536) And Potassium Iodate.",-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,Aashirvaad,"Aashirvaad Iodized Crystal Salt/Uppu, 1 kg No","Aashirvaad Iodized Crystal salt helps you enjoy the taste of age-old cooking even today. It is made from the traditional solar evaporation process- is sun-dried for 3 weeks, making each crystal unique, with natural white colour and balanced taste. Salt helps in balancing blood pressure and maintains the fluid in the blood. The mineral content in the salt act as important electrolytes in the body. Add this salt to your food and enhance the flavour.",1 kg No,kg,1 kg No,1,1,22,17.6,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",India,['40210226'],['10012031000312'],https://datalabs.siva3.io/image/Eunimart_groceries_40210226_2-aashirvaad-iodized-crystal-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210226-2_2-aashirvaad-iodized-crystal-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210226-3_2-aashirvaad-iodized-crystal-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210226-4_2-aashirvaad-iodized-crystal-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210226-5_2-aashirvaad-iodized-crystal-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210226-6_1-aashirvaad-iodized-crystal-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210226-7_1-aashirvaad-iodized-crystal-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210226-8_1-aashirvaad-iodized-crystal-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210226-9_1-aashirvaad-iodized-crystal-salt.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210226-10_1-aashirvaad-iodized-crystal-salt.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40210226'}, {'Country of origin': 'India'}, {'Manufacturer & Marketed by': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071'}, {'FSSAI Number': '10012031000312'}]","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071",-,-,-,"Edible Common Salt, Potassium Iodate",-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-11,Aashirvaad,"Aashirvaad Salt/Uppu - Iodised, 1 kg Pouch","Aashirvaad Salt/Namak is made from natural sea salt and is Iodized. Iodized salt helps create the hormones that regulate heart rate and blood pressure. It also aids in the burning of excess fat deposits that may contribute to heart disease. Iodized salt is beneficial to your health if taken in moderation. It is safe and does not cause any side effects. Use this Aashirvaad Salt/Namak to sprinkle over your salads, soups and savouries. Explore a wide range of premium quality, superior groceries, grains, pulses, condiments, spices and more from Aashirvaad only on Big Basket.",1 kg Pouch,kg,1 kg Pouch,1,1,28,23.8,"ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",India,['8901725115197'],-,https://datalabs.siva3.io/image/Eunimart_groceries_236834_5-aashirvaad-salt-iodised.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_236834-2_7-aashirvaad-salt-iodised.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_236834-3_7-aashirvaad-salt-iodised.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_236834-4_7-aashirvaad-salt-iodised.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_236834-5_7-aashirvaad-salt-iodised.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_236834-6_6-aashirvaad-salt-iodised.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Premium quality
2. Perfect for Indian cooking
3. Hygienically packed",Use it to make your food tastier.,"[{'EAN Code': '8901725115197'}, {'Manufactured Name & Marketed By': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.'}, {'FSSAI': ''}, {'Country of Origin': 'India'}, {'Best Before 02-09-2023. ","ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071.",-,-,-,-,-,-,-
