L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Ingredients,Ingredient,Specification,About
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Blue Flame,"Blue Flame Breaded Chicken Burgers, 200 g","A breaded chicken burger is the combination of halal chicken mince, soya protein, onion, garlic, refined oil, bread crumbs, ginger, salt, refined flour, spices, green chilli, lemon juice, coriander leaves coated with breadcrumbs which is ready to fry and make your burger with your own recipe.",200 g,g,200 g,1,1,160,120,"Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",India,['40157308'],['12716055000616'],https://datalabs.siva3.io/image/Eunimart_groceries_40157308_6-blue-flame-breaded-chicken-burgers.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157308-2_6-blue-flame-breaded-chicken-burgers.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157308-3_6-blue-flame-breaded-chicken-burgers.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157308-4_6-blue-flame-breaded-chicken-burgers.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157308-5_5-blue-flame-breaded-chicken-burgers.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to fry.,"['EAN Code: 40157308', 'Country of origin: India', 'FSSAI Number: 12716055000616', 'Manufactured & Marketed by: Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305', 'Best before 29-08-2023', '","Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",-,-,-,"Halal Chicken Mince (64%), Soya Protien (10%), Onion(5.64%),garlic (3.43%), Refined Oil (3%), Breadcrumbs (2.22%), Ginger(1.43%), Salt, Refined Flour, Spices, Green Chilli, Lemon Juice, Coriander Leaves, Coating-bread Crumbs, Batter Mix Contains -soya And Gluten",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Blue Flame,"Blue Flame Chicken - Spring Roll, 280 g","A cylindrical casing of a thin dough with minced chicken meat and vegetables.
If you are craving for a quick snack to enjoy with friends and family this makes for a perfect option.
Crunchy on the outside, with soft and hot filling on the inside. Serve hot with some ketchup or sauce of your choice.",280 g,g,280 g,1,1,230,161,"SIRIUS FOODS PVT. LTD.C-17, NOIDA PHASE II, PIN CODE 201305.GAUTAM BUDH NAGAR, U.P.",India,['40108131'],[''],https://datalabs.siva3.io/image/Eunimart_groceries_40108131_4-blue-flame-chicken-spring-roll.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40108131-2_4-blue-flame-chicken-spring-roll.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40108131-3_4-blue-flame-chicken-spring-roll.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40108131-4_3-blue-flame-chicken-spring-roll.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40108131-5_3-blue-flame-chicken-spring-roll.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40108131', 'Manufactured & Marketed by:SIRIUS FOODS PVT. LTD.C-17, NOIDA PHASE II, PIN CODE 201305.GAUTAM BUDH NAGAR, U.P.', 'Country of origin: India', 'FSSAI Number :', 'Best before 01-09-2023', '","SIRIUS FOODS PVT. LTD.C-17, NOIDA PHASE II, PIN CODE 201305.GAUTAM BUDH NAGAR, U.P.",-,-,-,"Chicken Breast meat, Vegetables, Spices",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Blue Flame,"Blue Flame Chicken Black Pepper Sausages - Halal, Rich In Iron, Easy To Make, 300 g (10 pcs)","Blue Flame Chicken Black Pepper Sausage will leave your date in awe of your cooking skills. Not sure where to take your date next? Leave them impressed with your cooking skills with Blue Flame Chicken Black pepper Sausage. This spicy treat is perfect for all spice lovers and is extremely easy to make. It is made with halal chicken so that anyone can have it. Filled with soy protein, this sausage is also a good source of potassium, vitamin D, iron and calcium. Check out other products from Blue Flame like Chicken Schezwan Sausage, Chicken Peri-Peri Sausage, Mutton Samosa and more on BigBasket.",300 g (10 pcs),g,300 g (10 pcs),10,1,199,199,"SIRIUS FOODS PVT. LTD. C-17 Phase-II, Noida, Uttar Pradesh- 201305",India,['5033712960282'],['12716055000616'],https://datalabs.siva3.io/image/Eunimart_groceries_40268081_1-blue-flame-chicken-black-pepper-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268081-2_1-blue-flame-chicken-black-pepper-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268081-3_1-blue-flame-chicken-black-pepper-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268081-4_1-blue-flame-chicken-black-pepper-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268081-5_1-blue-flame-chicken-black-pepper-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268081-6_1-blue-flame-chicken-black-pepper-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268081-7_1-blue-flame-chicken-black-pepper-sausages-halal-rich-in-iron-easy-to-make.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Thaw Completely. Grill, Fry or Boil until heated through.","['EAN Code: 5033712960282', 'FSSAI No: 12716055000616', 'Manufactured & Marketed by: SIRIUS FOODS PVT. LTD. C-17 Phase-II, Noida, Uttar Pradesh- 201305', 'Country of origin: India', 'Best before 01-09-2023', '","SIRIUS FOODS PVT. LTD. C-17 Phase-II, Noida, Uttar Pradesh- 201305",-,-,-,-,"Halal Chicken Meat (77%), Soya Protein, Corn Starch, Salt, Anti Oxidant (INS 316), Spices and Condiments.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Blue Flame,"Blue Flame Chicken Kheema Paratha, 200 g",This Chicken Keema ParathaÂ‚Â‚ is an easy and delicious recipe that is quite easy to make and can be an easy fix for lunch and dinner. Mincing theÂ‚Â‚ chickenÂ‚Â‚ pieces enables the maximum absorption of flavours and having a layer ofÂ‚Â‚ chickenÂ‚Â‚ in between thin Indian bread is definitely a mouth-watering recipe.,200 g,g,200 g,1,1,190,142.5,"Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",India,['40157301'],['12716055000616'],https://datalabs.siva3.io/image/Eunimart_groceries_40157301_6-blue-flame-chicken-kheema-paratha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157301-2_7-blue-flame-chicken-kheema-paratha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157301-3_7-blue-flame-chicken-kheema-paratha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157301-4_7-blue-flame-chicken-kheema-paratha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157301-5_6-blue-flame-chicken-kheema-paratha.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Heat the sausage and then, consume.","['EAN Code: 40157301', 'Country of origin: India', 'FSSAI Number: 12716055000616', 'Manufactured & Marketed by: Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305', 'Best before 29-08-2023', '","Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",-,-,-,"Halal Minced Chicken (34.22%), Water (16.40%), Weat Flour (13.7%), Chopped Onion, Refined Weat Flour (6.80%), Refined Soybean Oil, Gram Flour, Milk Solid, Green Chili, Garlic Past, Ginger Paste, Chat Masala, Common Salt, Garam Masala, Flavour Enhance (e621). Gluten, Soy & Milk.",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Blue Flame,"Blue Flame Chicken Peri-Peri Sausages - Halal, Rich In Iron, Easy To Make, 300 g (10 pcs)","Blue Flame Chicken Peri-Peri Sausage to have restaurant-style food at home. Don't know what new to cook next before the kids start throwing a tantrum? Try these sausages that are so tasty and easy to make that you'll end up having them every day. This Sausage is made with minced chicken meat mixed with other flavourful ingredients to give you a tasty and delicious treat. Have restaurant-style food with these delicious sausages that are also rich in potassium, vitamin D, iron and calcium. Check out other products from Blue Flame like Chicken Schezwan Sausage, Chicken Peri-Peri Sausage, Mutton Samosa and more on BigBasket.",300 g (10 pcs),g,300 g (10 pcs),10,1,199,199,"SIRIUS FOODS PVT. LTD. C-17 Phase-II, Noida, Uttar Pradesh- 201305",India,['5033712960275'],['12716055000616'],https://datalabs.siva3.io/image/Eunimart_groceries_40268082_1-blue-flame-chicken-peri-peri-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268082-2_1-blue-flame-chicken-peri-peri-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268082-3_1-blue-flame-chicken-peri-peri-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268082-4_1-blue-flame-chicken-peri-peri-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268082-5_1-blue-flame-chicken-peri-peri-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268082-6_1-blue-flame-chicken-peri-peri-sausages-halal-rich-in-iron-easy-to-make.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40268082-7_1-blue-flame-chicken-peri-peri-sausages-halal-rich-in-iron-easy-to-make.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Thaw Completely. Grill, Fry or Boil until heated through.","['EAN Code: 5033712960275', 'FSSAI No: 12716055000616', 'Manufactured & Marketed by: SIRIUS FOODS PVT. LTD. C-17 Phase-II, Noida, Uttar Pradesh- 201305', 'Country of origin: India', 'Best before 01-09-2023', '","SIRIUS FOODS PVT. LTD. C-17 Phase-II, Noida, Uttar Pradesh- 201305",-,-,-,-,"Halal Chicken Meat (77%), Soya Protein, Corn Starch, Salt, Anti Oxidant (INS 316), Spices and Condiments.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Blue Flame,"Blue Flame Chicken Zing - Cool, 350 g",This is a unique blend of chicken breast filet perfectly coated with breadcrumbs. A perfect appetizer evening refreshment and party snack. You will not just be able to resist the zing cool with spice flavour.,350 g,g,350 g,1,1,299,224.25,"Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",India,['401573100001'],['12716055000616'],https://datalabs.siva3.io/image/Eunimart_groceries_40157310_7-blue-flame-chicken-zing-cool.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157310-2_7-blue-flame-chicken-zing-cool.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157310-3_7-blue-flame-chicken-zing-cool.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157310-4_7-blue-flame-chicken-zing-cool.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157310-5_6-blue-flame-chicken-zing-cool.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to fry.,"['EAN Code: 401573100001', 'Country of origin: India', 'FSSAI Number: 12716055000616', 'Manufactured & Marketed by: Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305', 'Best before 29-08-2023', '","Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",-,-,-,"Halal Chicken Meat (78%), Water (16.75%), Spice (4%), (salt ) Coated With Batter Mix, Breaded Mix, Starch, Refined Flour, Contatins Gluten",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Blue Flame,"Blue Flame Chicken Zing - Hot, 350 g",This is a unique blend of chicken breast filet perfectly coated with breadcrumbs. A perfect appetizer evening refreshment and party snack. You will not just be able to resist the zing hot with spice flavour.,350 g,g,350 g,1,1,299,224.25,"Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",India,['40157309'],['12716055000616'],https://datalabs.siva3.io/image/Eunimart_groceries_40157309_3-blue-flame-chicken-zing-hot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157309-2_3-blue-flame-chicken-zing-hot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157309-3_3-blue-flame-chicken-zing-hot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157309-4_3-blue-flame-chicken-zing-hot.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40157309-5_2-blue-flame-chicken-zing-hot.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to fry.,"['EAN Code: 40157309', 'Country of origin: India', 'FSSAI Number: 12716055000616', 'Manufactured & Marketed by: Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305', 'Best before 29-08-2023', '","Sirius foods pvt. Ltd. C-17, Phase -II, Noida-201305",-,-,-,"Halal Chicken Meat (78%), Water (16.75%), Spice (4%), (salt ) Coated With Batter Mix, Breaded Mix, Starch, Refined Flour, Contatins Gluten",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Bon Appetit,"Bon Appetit Bockwurst - Pork, 300 g Pouch",Ingredients,300 g Pouch,g,300 g Pouch,1,1,515,515,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",India,['40003077'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40003077_11-bon-appetit-bockwurst-pork.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003077-2_9-bon-appetit-bockwurst-pork.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003077-3_9-bon-appetit-bockwurst-pork.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003077-4_8-bon-appetit-bockwurst-pork.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003077-5_6-bon-appetit-bockwurst-pork.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003077-6_5-bon-appetit-bockwurst-pork.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003077-7_5-bon-appetit-bockwurst-pork.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40003077', 'Country of origin: India', ""Manufactured & Marketed by: Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India"", 'Best before 15-07-2023', '","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",-,-,-,-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Bon Appetit,"Bon Appetit Chicken - Breast Ham Chilli, 100 g Pouch","Pieces form the lean fat free chicken breast filled with chili flakes oversmoked with natural wood smoke. Useable for Salad, Fingerfoods and Sandwiches.",100 g Pouch,g,100 g Pouch,1,1,162,162,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",India,['40015770'],[''],https://datalabs.siva3.io/image/Eunimart_groceries_40015770_4-bon-appetit-chicken-breast-ham-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40015770-2_5-bon-appetit-chicken-breast-ham-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40015770-3_5-bon-appetit-chicken-breast-ham-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40015770-4_5-bon-appetit-chicken-breast-ham-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40015770-5_5-bon-appetit-chicken-breast-ham-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40015770-6_5-bon-appetit-chicken-breast-ham-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40015770-7_5-bon-appetit-chicken-breast-ham-chilli.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40015770', ""Manufactured & Marketed By: Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India"", 'Country of origin: India', 'FSSAI Number :', 'Best before __PSL__ days from the date of delivery', '","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",-,-,-,-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-17,Bon Appetit,"Bon Appetit Chicken - Cheese & Chili, 300 g Pouch","Bon Appetit Chicken - Cheese & Chili, 300 g Pouch",300 g Pouch,g,300 g Pouch,1,1,399,399,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",India,['40003078'],[''],https://datalabs.siva3.io/image/Eunimart_groceries_40003078_10-bon-appetit-chicken-cheese-chili.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003078-2_8-bon-appetit-chicken-cheese-chili.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003078-3_8-bon-appetit-chicken-cheese-chili.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003078-4_7-bon-appetit-chicken-cheese-chili.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003078-5_5-bon-appetit-chicken-cheese-chili.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003078-6_5-bon-appetit-chicken-cheese-chili.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40003078-7_5-bon-appetit-chicken-cheese-chili.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40003078', ""Manufactured & Marketed By: Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India"", 'Country of origin: India', 'FSSAI Number :', 'Best before 15-07-2023', '","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",-,-,-,-,-,-,-
