Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Colour Shade Name,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Pack Size,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image,Image,Image,Image,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Hair Thickness,Sustainable,Type,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00074783,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Nourishing Soft & Smooth Shampoo 360ml,,,350-400 ML,1,Sunsilk,300,225,Nourishing Soft & Smooth Shampoo,,,1,Units,Single,,"Supercom Net, MFG. BY HINDUSTAN UNILEVER LIMITED DAG No. 8, 9, 10, 12, 13, 23, 24, 44, 45 & 47 OF 122, F. S. GRANT, MOUZA - TINGRAI, DOOMDOOMA INDUSTRIAL ESTATE, OFF NH - 37, DIST. - TINSUKIA, ASSAM - 786151. M C-34M/2017.",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14SunsilkNourishingSoft&SmoothShampoo360ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14SunsilkNourishingSoft&SmoothShampoo360ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14SunsilkNourishingSoft&SmoothShampoo360ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14SunsilkNourishingSoft&SmoothShampoo360ml_4.jpg,,,,(N),(Y),(N),,,,,Daily Use,Argan Oil,,,Cruelty-Free,,,,,,Dry Hair,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074784,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Paris Hyaluron Moisture 72H Moisture Filling Shampoo with Hyaluronic Acid - 180ml,,,150-180 ML,1,LOreal,209,167,Hyaluron Moisture 72H Moisture Filling Shampoo with Hyaluronic Acid,,,1,Units,Single,,"Omnitech Retail, Loreal India Pvt Ltd, Chakan, Pune - 410501",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisHyaluronMoisture72HMoistureFillingShampoowithHyaluronicAcid-180ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisHyaluronMoisture72HMoistureFillingShampoowithHyaluronicAcid-180ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisHyaluronMoisture72HMoistureFillingShampoowithHyaluronicAcid-180ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisHyaluronMoisture72HMoistureFillingShampoowithHyaluronicAcid-180ml_4.jpg,,,,(N),(Y),(N),,,,,Anti-Frizz,Hyaluronic Acid,,,Hyaluronic Acid,,Hyaluronic Acid,,,,Regular,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074785,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Keratin Smooth Shampoo with Argan Oil - 185ml,,,180-190 ML,1,TRESemme,190,161,Keratin Smooth Shampoo with Argan Oil,,,1,Units,Single,,"RetailNet, Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Andheri (E), Mumbai 400099",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeKeratinSmoothShampoowithArganOil-185ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeKeratinSmoothShampoowithArganOil-185ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeKeratinSmoothShampoowithArganOil-185ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14TRESemmeKeratinSmoothShampoowithArganOil-185ml_4.jpg,,,,(N),(Y),(N),,,,,Anti-Frizz,Argan Oil,,,Cruelty-Free,Oil,,,,,Normal,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074786,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Serie Expert Absolut Repair Shampoo - 300ml,Gold,,280-300 ML,1,LOreal Professionnel,695,695,L'Oreal Professionnel Gold Quinoa + Protein Repair Shampoo,,,1,Units,Single,,"Indiflashmart, LOreal India Pvt. Ltd. Chakan Pune- 410501",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelSerieExpertAbsolutRepairShampoo-300ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelSerieExpertAbsolutRepairShampoo-300ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelSerieExpertAbsolutRepairShampoo-300ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelSerieExpertAbsolutRepairShampoo-300ml_4.jpg,,,,(N),(Y),(N),,,,,Damaged,,,,,,,,,,Damaged Hair,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074787,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Indulekha Unisex Bringha Anti-Hairfall Shampoo 100ml,,,90-100 ML,1,indulekha,135,114,Unisex Bringha Anti-Hairfall Shampoo,,,1,Units,Single,,"Supercom Net, Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Andheri (E), Mumbai 400099",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaIndulekhaUnisexBringhaAnti-HairfallShampoo100ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaIndulekhaUnisexBringhaAnti-HairfallShampoo100ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaIndulekhaUnisexBringhaAnti-HairfallShampoo100ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaIndulekhaUnisexBringhaAnti-HairfallShampoo100ml_4.jpg,,,,(N),(Y),(N),,,,Unisex,Thinning and Hair Fall,Bhringraj,,,Dermatologically Tested,,,,,,Normal,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074788,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Indulekha Unisex Bringha Anti-Hairfall Shampoo 200ml,,,200ml,1,indulekha,243,243,Unisex Bringha Anti-Hairfall Shampoo,,,1,Units,Single,,"Supercom Net, Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Andheri (E), Mumbai 400099",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaIndulekhaUnisexBringhaAnti-HairfallShampoo200ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaIndulekhaUnisexBringhaAnti-HairfallShampoo200ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaIndulekhaUnisexBringhaAnti-HairfallShampoo200ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14indulekhaIndulekhaUnisexBringhaAnti-HairfallShampoo200ml_4.jpg,,,,(N),(Y),(N),,,,Unisex,Thinning and Hair Fall,Bhringraj,,,Dermatologically Tested,,,,,,Normal,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074789,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Set Of 2 Hair Fruits Shining Black Conditioning Shampoo with Amla - 340ml each,Black,,340mlx2,1,JOY,340,221,Set Of 2 Hair Fruits Shining Black Conditioning Shampoo with Amla & Black Grapes,,,2,Units,Bundle,,"JOY CREATORS LLP, RSH Global Pvt. Ltd. Plot No. 74, DIC Industrial Area, Baddi 173 205 (H.P.)",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14JOYSetOf2HairFruitsShiningBlackConditioningShampoowithAmla-340mleach_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14JOYSetOf2HairFruitsShiningBlackConditioningShampoowithAmla-340mleach_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14JOYSetOf2HairFruitsShiningBlackConditioningShampoowithAmla-340mleach_3.jpg,,,,,(N),(Y),(N),,,,,Dullness,Amla,,,Paraben-Free,,,,,,Regular,Normal,Regular,Shampoo,,,,,,,,,,,,,
EU00074790,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Total Repair 5 Shampoo 82.5ml,,,80-90 ML,1,LOreal,79,71,"What it is
Total repair 5 shampoo 

What it does
Helps fight against the five visible signs of damaged hair- hair fall, dryness, roughness, dullness and split ends without weighing it down
Keeps the hair strong and resilient
Replicate the hairs natural cement, targetting the 5 problems
Repairs the hair fibre, the hair structure is re enforced and the hair regains strength like new
Transforms the hair surface to a regular and smooth conditioning


5 Problems.1 Solution. L'Oreal Paris Total Repair 5 Repairing Shampoo helps fight against the five visible signs of damaged hair - Hair fall, dryness, roughness, dullness and split ends without weighing it down. Damaged hair can lack the natural cement which keeps the hair strong and resilient. To ensure cohesion and strength, the L'Oreal Laboratories have created Ceramide-Cement technology to replicate the hair's natural cement, targetting the 5 problems.

Explore our best hair products to revive and repair damaged hair. With Protein + Ceramide. Shampoo For Damaged Hair. Fights The 5 Signs Of Damage.",,,1,Units,Single,,"Omnitech Retail, L'Oreal India Pvt Ltd., Chakan, Pune - 410501",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealTotalRepair5Shampoo82.5ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealTotalRepair5Shampoo82.5ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealTotalRepair5Shampoo82.5ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealTotalRepair5Shampoo82.5ml_4.jpg,,,,(N),(Y),(N),,,,,Thinning and Hair Fall,Keratin,,,"Natural,Regular",,Natural,,,,Damaged Hair,Normal,Regular,Shampoo,Repairing,,,,,,,,,,,,
EU00074791,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Paris Total Repair 5 Advanced Repairing Shampoo 640ml,,,640ml,1,LOreal,779,607,"Total Repair 5 Advanced Repairing Shampoo

5 Problems.1 Solution. L'Oreal Paris Total Repair 5 Repairing Shampoo helps fight against the five visible signs of damaged hair - Hair fall, dryness, roughness, dullness and split ends without weighing it down. Damaged hair can lack the natural cement which keeps the hair strong and resilient. To ensure cohesion and strength, the L'Oreal Laboratories have created Ceramide-Cement technology to replicate the hair's natural cement, targetting the 5 problems. Explore our best hair products to revive and repair damaged hair.

1. Helps fight against the five visible signs of damaged hair - hair fall, dryness, roughness, dullness, and split ends
2. Shampoo for damaged hair
3. With Protein + Ceramide
4. Fights the 5 signs of damage",,,1,Units,Single,,"Omnitech Retail, L'Oreal India Pvt Ltd., Chakan, Pune - 410501",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisTotalRepair5AdvancedRepairingShampoo640ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisTotalRepair5AdvancedRepairingShampoo640ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisTotalRepair5AdvancedRepairingShampoo640ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealParisTotalRepair5AdvancedRepairingShampoo640ml_4.jpg,,,,(N),(Y),(N),,,,,Thinning and Hair Fall,Ceramides,,,Natural,,Natural,,,,Dry Hair,Normal,Regular,Shampoo,Repairing,,,,,,,,,,,,
EU00074792,RET,RET-13,RET-13-13,RET-13-13-1B,RET-13-13-1B-14,Xtenso Care Shampoo - 250ml,,,240-260 ML,1,LOreal Professionnel,610,610,"What it is
Pro keratin shampoo for straight hair

What it does
Developed especially for the chemically treated hair, this L'Oreal Professionnel X-Tenso Shampoo keeps the excess oil at bay
The Pro-Keratin In cell technology rebuilds the hair fiber while the botanical extracts and amino acids mildly cleanse straightened or chemically treated hair
Eliminates excess dryness and adds extra volume
Pro-Keratin technology helps in reconstructing the hair texture
Moisture rich formula
Botanical extracts keep hair intensely nourished",,,1,Units,Single,,"Indiflashmart, L'OREAL India Pvt.Ltd Chakan, Pune - 410501. M.Lic. No: M PD/C - 44",India,,,,,(N),(N),,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelXtensoCareShampoo-250ml_1.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelXtensoCareShampoo-250ml_2.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelXtensoCareShampoo-250ml_3.jpg,https://datalabs.siva3.io/images/ConditionersRET-13-13-1B-14LOrealProfessionnelXtensoCareShampoo-250ml_4.jpg,,,,(N),(Y),(N),,,,,Daily Use,"Amino Acids,Keratin",,,,Oil,,,,,Straight Hair,Normal,Regular,Shampoo,,,,,,,,,,,,,
