L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand,About
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,24 Mantra,"24 Mantra Mango Jam, 350 g Bottle","24 Mantra Mango Jam is real organic Mango. It's delicious, it has a rich full-bodied taste. No added colours and chemicals. Loved for its taste, the king of fruits, mango, is also known for the presence of pre-biotic dietary fibre, antioxidants, vitamins and minerals in it. Avail all the health benefits of Mangos in any season with fingerlicious Mapro Mango Jam, which is full of real mango pulp.
Contains real fruit pulp
Vegan
Gluten-free
Low-fat Zero trans fat
Zero cholesterol",350 g Bottle,g Bottle,350 g Bottle,1,1,150,150,"Sresta Natural Bioproducts Pvt Ltd, Sy No. 69, Gundlapochampally (V), Kandlakoyi, Medchal (M), R.R. Dist., Telangana - 501401",India,['30003291'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30003291_3-24-mantra-mango-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30003291-2_1-24-mantra-mango-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30003291-3_1-24-mantra-mango-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30003291-4_1-24-mantra-mango-jam.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30003291-5_1-24-mantra-mango-jam.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '30003291'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'Sresta Natural Bioproducts Pvt Ltd, Sy No. 69, Gundlapochampally (V), Kandlakoyi, Medchal (M), R.R. Dist., Telangana - 501401'}]",-,-,-,-,"Organic Mango Pulp, Organic Sugar, Stabilising Agent (Pectin), Acidulant (Citric Acid)",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,24 Mantra,"24 Mantra Organic Peanut Butter - Creamy, No Added Sugar, 450 g","24 Mantra's Organic Peanut Butter is made from the finest grade of fresh, crunchy and nutritious organic peanuts. It is unsweetened and loaded with protein, fibre and good fats. Note: There may be oil separation on top of the jar as there is no stabilizer in the product. Please stir it every time you use it.",450 g,g,450 g,1,1,250,250,"Sresta Natural Bioproducts Pvt. Ltd. Sy.No.69, Gundlapochampally (V), Kandlakoyi, Medchal (M), Medchal Malkajgiri Dist., Telangana, 501401.",India,['40223283'],['10015047000447'],https://datalabs.siva3.io/image/Eunimart_groceries_40223283_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-2_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-3_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-4_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-5_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-6_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-7_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-8_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-9_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '40223283'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10015047000447'}, {'Manufactured & Marketed By': 'Sresta Natural Bioproducts Pvt. Ltd. Sy.No.69, Gundlapochampally (V), Kandlakoyi, Medchal (M), Medchal Malkajgiri Dist., Telangana, 501401.'}, {'Marketed by': 'SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, 500034'}]","SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, 500034",-,-,-,Organic Peanut,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,24 Mantra,"24 Mantra Organic Peanut Butter - Creamy, No Added Sugar, 450 g","24 Mantra's Organic Peanut Butter is made from the finest grade of fresh, crunchy and nutritious organic peanuts. It is unsweetened and loaded with protein, fibre and good fats. Note: There may be oil separation on top of the jar as there is no stabilizer in the product. Please stir it every time you use it.",450 g,g,450 g,1,1,250,250,"Sresta Natural Bioproducts Pvt. Ltd. Sy.No.69, Gundlapochampally (V), Kandlakoyi, Medchal (M), Medchal Malkajgiri Dist., Telangana, 501401.",India,['40223283'],['10015047000447'],https://datalabs.siva3.io/image/Eunimart_groceries_40223283_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-2_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-3_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-4_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-5_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-6_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-7_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-8_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40223283-9_1-24-mantra-organic-peanut-butter-creamy-no-added-sugar.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '40223283'}, {'Country Of Origin': 'India'}, {'FSSAI No': '10015047000447'}, {'Manufactured & Marketed By': 'Sresta Natural Bioproducts Pvt. Ltd. Sy.No.69, Gundlapochampally (V), Kandlakoyi, Medchal (M), Medchal Malkajgiri Dist., Telangana, 501401.'}, {'Marketed by': 'SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, 500034'}]","SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, 500034",-,-,-,Organic Peanut,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,24 Mantra,"24 Mantra Organic Tulsi Ginger Tea Bags 37.5 g (25 Bags)+ Honey - Himalayan 250 g, Combo 2 Items","24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag 37.5 g (25 Bags x 1.5 g each):
Tulsi Ginger tea bag contains polyphenols, which include flavanols, flavandiols, flavonoids, and phenolic acids. The major flavonoids of tulsi ginger tea are various catechins, which are found in greater amounts in green tea than in black or Oolong tea. Our 24 Mantra Organic Tulsi Ginger Herbal Infusion Tea is of premium quality.
24 Mantra Organic Honey - Himalayan Multiflower 250 g Jar
24 Mantra Organic Honey is pure and freshly filtered organic honey, retaining its natural goodness. It is produced by the nectar of blossoms and transformed gradually in the honeycomb into a ripe, golden brown fluid savoured by pleasure seekers and health freaks alike.  It facilitates better physical performance, resistance to fatigue and boosts mental activity.  Its high fructose content makes it a well-known remedy for colds and mouth, throat or bronchial irritations and infections.  A high nutritional content aids digestive functions, bone development and also reduces the risk of diabetes. It is after all your family sweetest health secret.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,295,295,"Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034",India,['1216119'],-,https://datalabs.siva3.io/image/Eunimart_groceries_216119_2-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216119-2_1-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216119-3_1-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216119-4_1-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216119-5_1-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag 37.5 g (25 Bags x 1.5 g each):
Place bags in a cup of hot water and infuse for 2-3 min and drink
24 Mantra Organic Honey - Himalayan Multiflower 250 g Jar
Drink two teaspoons of honey with water in the morning & evening.","['EAN Code: 1216119', 'Country Of Origin: India', 'Manufactured by: Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034', 'Best before 01-07-2023' ]",-,-,-,"24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag 37.5 g (25 Bags x 1.5 g each)
Our Tulsi Ginger Teabag is
100 % Organic
Grown without synthetic Pesticides
Grown without synthetic GMOs
Unadulterated
Antioxidant-rich
A low-calorie beverage
Packed with health benefits

24 Mantra Organic Honey - Himalayan Multiflower 250 g Jar
A high nutritional content aids digestive functions, bone development and also reduces the risk of diabetes
Natural remedy for cough n cold","24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag 37.5 g (25 Bags x 1.5 g each)
Each 1.5 g infusion bag contains Ginger 40%, Ram Tulsi 20%, Krishna Tulsi 20%, Vana Tulsi 20%
24 Mantra Organic Honey - Himalayan Multiflower 250 g Jar",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,24 Mantra,"24 Mantra Organic Wild Honey, 500 g"," 24 Mantra Organic Honey is pure and freshly filtered organic honey, retaining its natural goodness.  It is produced by the nectar of blossoms and transformed gradually in the honeycomb into a ripe, golden brown fluid savored by pleasure seekers and health freaks alike.  It facilitates better physical performance, resistance to fatigue and boosts mental activity.  Its high fructose content makes it a well-known remedy for colds and mouth, throat or bronchial irritations and infections.  A high nutritional content aids digestive functions, bone development and also reduces the risk of diabetes.  It is after all your familys sweetest health secret.",500 g,g,500 g,1,1,225,225,"Sresta Natural Bioproducts Pvt Ltd, Sy No. 69, Gundlapochampally (V), Kandlakoyi, Medchal (M), R.R. Dist., Telangana - 501401",India,['40075079'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40075079_6-24-mantra-organic-wild-honey.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075079-2_7-24-mantra-organic-wild-honey.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075079-3_7-24-mantra-organic-wild-honey.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075079-4_7-24-mantra-organic-wild-honey.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075079-5_9-24-mantra-organic-wild-honey.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40075079'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'Sresta Natural Bioproducts Pvt Ltd, Sy No. 69, Gundlapochampally (V), Kandlakoyi, Medchal (M), R.R. Dist., Telangana - 501401'}]",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,24 Mantra,"24 Mantra Organic Wild Honey, 500 g"," 24 Mantra Organic Honey is pure and freshly filtered organic honey, retaining its natural goodness.  It is produced by the nectar of blossoms and transformed gradually in the honeycomb into a ripe, golden brown fluid savored by pleasure seekers and health freaks alike.  It facilitates better physical performance, resistance to fatigue and boosts mental activity.  Its high fructose content makes it a well-known remedy for colds and mouth, throat or bronchial irritations and infections.  A high nutritional content aids digestive functions, bone development and also reduces the risk of diabetes.  It is after all your familys sweetest health secret.",500 g,g,500 g,1,1,225,225,"Sresta Natural Bioproducts Pvt Ltd, Sy No. 69, Gundlapochampally (V), Kandlakoyi, Medchal (M), R.R. Dist., Telangana - 501401",India,['40075079'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40075079_6-24-mantra-organic-wild-honey.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075079-2_7-24-mantra-organic-wild-honey.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075079-3_7-24-mantra-organic-wild-honey.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075079-4_7-24-mantra-organic-wild-honey.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40075079-5_9-24-mantra-organic-wild-honey.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40075079'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'Sresta Natural Bioproducts Pvt Ltd, Sy No. 69, Gundlapochampally (V), Kandlakoyi, Medchal (M), R.R. Dist., Telangana - 501401'}]",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,ADIRA,"ADIRA 100% Organic & Natural Apple Cider Vinegar, 473 ml","Adira Organic Apple Cider Vinegar is unfiltered, unheated and unpasteurized and 5% acidity. It contains the amazing Mother of Vinegar, which occurs naturally as strand-like chains of connected protein molecules. If sediment occurs, shake well before using. Adira Organic Apple Cider Vinegar is made from healthy, delicious, fully grown apples. Processed and bottled in accordance with FSSAI regulations and certified by Organic certifiers. Adira Organic Apple Cider Vinegar is full of zesty natural goodness. It is a way to add delicious flavours to salads, veggies, most foods and sprinkle over popcorn. Apple Cider Vinegar has been highly regarded throughout history. In 400 B.C. the great Hippocrates, Father of Medicine, used it for amazing cleansing and healing and energizing health qualities. Made from the juices of fresh apples. Contains no preservatives. Quantity: 473 ml (Bottle) Store in cool, dark 7 dry place, away from sunlight. Refrigerate after opening.",473 ml,ml,473 ml,1,1,499,499,"Adira Vinegar, VPO Kohand, Karnal, Haryana- 132114",India,['40102781'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40102781_9-adira-prime-organic-apple-cider-vinegar-raw-unfiltered-with-extra-mother.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40102781-2_9-adira-prime-organic-apple-cider-vinegar-raw-unfiltered-with-extra-mother.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40102781-3_8-adira-prime-organic-apple-cider-vinegar-raw-unfiltered-with-extra-mother.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40102781-4_8-adira-prime-organic-apple-cider-vinegar-raw-unfiltered-with-extra-mother.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2 Table spoon(10ml). Apple Cider Vinegar with 1 glass of water in morning empty stomach or 20 minutes before meals. You can also mix 10 ml with little honey and some water and sip during a meal. Remember, Apple Cider vinegar is a weak acid and always dilute before swallowing.","['EAN Code: 40102781', 'Manufactured by: Adira Vinegar, VPO Kohand, Karnal, Haryana- 132114', 'Marketed by: Crescenzia Tradetech Pvt Ltd., 53/5e, 23rd Cross, Someshwara Layout, Hulimavu, Bangalore -560 081', 'Country of origin: India', 'Best before 02-03-2024']","Crescenzia Tradetech Pvt Ltd., 53/5e, 23rd Cross, Someshwara Layout, Hulimavu, Bangalore -560 081",-,-,-,Made from Fresh Apple Juice. Naturally Fermented to 5% acidity.,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,Abbies,"Abbies Mustard - Yellow, American, 255 g","Mustard seeds are high in selenium and magnesium. These are the small round seeds of various mustard plants that are usually about 1 to 2 millimetres in diameter and may be coloured from yellowish white to black. They are an important cooking spice in many regional foods and may come from one of three different plants: black mustard, brown Indian mustard or white mustard.",255 g,g,255 g,1,1,149,149,"Abbie's Food International Inc. / 1201 N Orange St. Ste 700 # 7528 Wilmington DE 19801-1186, USA",India Usa,['40046211'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40046211_2-abbies-mustard-yellow-american.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can use it as a dip.,"['EAN Code: 40046211', ""Manufactured by: Abbie's Food International Inc. / 1201 N Orange St. Ste 700 # 7528 Wilmington DE 19801-1186, USA"", 'Marketed by: Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India', 'Country of Origin: India, USA', 'Best before 02-03-2024']","Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India",-,-,-,"Mustard seeds contain Ã B-complex vitamins likeÃ folates, niacin, thiamine, riboflavinÃ etc., which will help in reduce weight.",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,Abbies,"Abbies Mustard - Yellow, American, 255 g","Mustard seeds are high in selenium and magnesium. These are the small round seeds of various mustard plants that are usually about 1 to 2 millimetres in diameter and may be coloured from yellowish white to black. They are an important cooking spice in many regional foods and may come from one of three different plants: black mustard, brown Indian mustard or white mustard.",255 g,g,255 g,1,1,149,149,"Abbie's Food International Inc. / 1201 N Orange St. Ste 700 # 7528 Wilmington DE 19801-1186, USA",India Usa,['40046211'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40046211_2-abbies-mustard-yellow-american.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can use it as a dip.,"['EAN Code: 40046211', ""Manufactured by: Abbie's Food International Inc. / 1201 N Orange St. Ste 700 # 7528 Wilmington DE 19801-1186, USA"", 'Marketed by: Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India', 'Country of Origin: India, USA', 'Best before 02-03-2024']","Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India",-,-,-,"Mustard seeds contain Ã B-complex vitamins likeÃ folates, niacin, thiamine, riboflavinÃ etc., which will help in reduce weight.",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-15,Abbies,"Abbies Original Barbecue Sauce, 510 g","A delicious condiment, use a generous helping of the Abbies barbecue sauce and enjoy the flavours of an open air BBQ grill inside your house! Blended with an underlying smoky flavour use this sweet and tangy sauce as a dressing or as a marinade. Add a dash of hot and zesty flavours to every cuisine you cook by choosing to buy Abbie's Original Barbeque Sauce. Handpicked ingredients are processed to perfection to make this refined product. Hot and delicious, this sauce is ideal for seasonings and flavour enhancement. It is used to enhance the flavour of tandoori items and roasted cuisine that need a sprinkle of seasoning to invite deliciousness. weight: 510g, type of tin: bottle, vegetarian",510 g,g,510 g,1,1,265,265,"Abbie's Food International Inc. / 1201 N Orange St. Ste 700 # 7528 Wilmington DE 19801-1186, USA",Usa,['850020298143'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40087431_1-abbies-original-barbecue-sauce.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 850020298143', ""Manufactured by: Abbie's Food International Inc. / 1201 N Orange St. Ste 700 # 7528 Wilmington DE 19801-1186, USA"", 'Marketed by: Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India', 'Country of Origin: USA', 'Best before 02-03-2024' ]","Suresh Kumar & Co. (Impex) Pvt. Ltd. / A-17, 2nd Floor, Sonu Tower, Dr. Mukherjee NagarCommercial Complex, Delhi-110009 India",-,-,-,"A delicious condiment, use a generous helping of the Abbies barbecue sauce and enjoy the flavours of an open air BBQ grill inside your house! Blended with an underlying smoky flavour use this sweet and tangy sauce as a dressing or as a marinade. Add a dash of hot and zesty flavours to every cuisine you cook by choosing to buy Abbie's Original Barbeque Sauce. Handpicked ingredients are processed to perfection to make this refined product. Hot and delicious, this sauce is ideal for seasonings and flavour enhancement. It is used to enhance the flavour of tandoori items and roasted cuisine that need a sprinkle of seasoning to invite deliciousness. weight: 510g, type of tin: bottle, vegetarian",-,-,-
