L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Specification,About
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-18,Apsara,"Apsara Absolute Eraser - Non Toxic, Easy Grip, Non Dust, 2 pcs","Apsara Absolute Eraser is made up of soft high-quality material. It has an eraser holder for an easy grip while erasing. This is a smooth, soft non-dust eraser that is phthalate and PVC-free. It is a non-toxic eraser that is soft and smooth on paper.",2 pcs,pcs,2 pcs,2,1,10,10,"Hindustan Pencils Pvt Ltd.,Mumbai",India,['40231908'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40231908_1-apsara-absolute-eraser-non-toxic-easy-grip-non-dust.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is a conventional eraser.
2. Made of highly effective formulation and is dust-free.
3. Leaves only one residue behind.
4. It is PVC-free and phthalate-free.","1. Ideal for precision use.
2. The eraser can be used on any paper.","['EAN Code: 40231908', 'Manufacturer Name & Address:Hindustan Pencils Pvt Ltd.,Mumbai', 'Marketed by:Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027', 'Country of Origin:India',  ]","Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027",-,-,-,-,"1. Brand :- APSARA.
2. Type :- Eraser.
3. Material :- Rubber.
4. Colour :- White.
5. Feature :- Easy grip while erasing, Smooth and soft non-dust eraser, Soft and smooth on paper.
6. Package Contents:- 2 pcs of Eraser.
7. Body Material:- Cardboard.",-
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-18,Apsara,"Apsara Absolute Extra Strong & Dark Pencil - Easy To Sharpen, 10 pcs","Apsara Absolute Extra Dark Pencil is made from well-treated and high-quality wood and leads to making them soft, long-lasting and easy to sharpen. Its super dark lead needs less pressure when writing and stays dark for a long time. These pencils are excellent and dark. It is ideal to use for writing and drawing in school or at home.",10 pcs,pcs,10 pcs,10,1,80,69,"Hindustan Pencils Pvt Ltd.,Mumbai",India,['8901324057706'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20004341_2-apsara-absolute-extra-strong-dark-pencil-easy-to-sharpen.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20004341-2_1-apsara-absolute-extra-strong-dark-pencil-easy-to-sharpen.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Made from well-treated and high-quality wood and led.
2. It is soft and long-lasting.
3. This pencil is easy to sharpen and use.
4. It's made for dark and neat writing.","1. You can use it for writing or drawing.
2. Perfect to you for students.","['EAN Code: 8901324057706', 'Manufacturer Name & Address:Hindustan Pencils Pvt Ltd.,Mumbai', 'Marketed by:Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027', 'Country of Origin:India',  ]","Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027",-,-,-,-,"1. Brand :- APSARA.
2. Type :- Pencil.
3. Material :- Wood.
4. Colour :- Black.
5. Feature :- Softwood for easy sharpening, Dark lead needs less pressure when writing, Extra dark lead for good handwriting.
6. Package Contents:- 10 Pcs of Pencil.
7. Body Material:- Cardboard.",-
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-10,Apsara,"Apsara Art Kit - Assorted Stationery, For Drawing, Painting & Writing, 9 pcs","Apsara Art Kit is a perfect value kit that comes in a convenient pack. It is a perfect kit with assorted products suitable to gift your children, their friends or students. The kit contains a pack of wax crayons, drawing pencils, oil pastels, poster colours and water colours. This pack is specially designed for better handling. This is colouring Kit for children encourages artistic and creative skills.",9 pcs,pcs,9 pcs,9,1,150,145,"Hindustan Pencils Pvt Ltd.,Mumbai",India,['8901324014624'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40188552_3-apsara-art-kit-assorted-stationery-for-drawing-painting-writing.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40188552-2_1-apsara-art-kit-assorted-stationery-for-drawing-painting-writing.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40188552-3_1-apsara-art-kit-assorted-stationery-for-drawing-painting-writing.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Perfect value kit with a convenient pack.
2. Assorted product kit.
3. Perfect gifting option.",Ideal for gifting and personal use.,"['EAN Code: 8901324014624', 'Manufacturer Name & Address:Hindustan Pencils Pvt Ltd.,Mumbai', 'Marketed by:Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027', 'Country of Origin:India',  ]","Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027",-,-,-,-,"1. Brand :- APSARA.
2. Type :- Kit.
3. Material :- Plastic.
4. Colour :- Assorted.
5. Feature:- Ideal For gifting and personal Use, Special kit for artistic minds, Combination of different Colouring mediums.
6. Package Contents:- 9 pcs 
7. Body Material:- Cardboard.",-
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-18,Apsara,"Apsara Beauty Dark Pencils, 10 pcs",It is made of superior quality woods. It meets international quality standards. It comes with superior bonded leads for resists breakage.,10 pcs,pcs,10 pcs,10,1,50,49,"Hindustan Pencils Pvt Ltd.,Mumbai",India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40050850_1-apsara-beauty-dark-pencils.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['Country of origin: India',  ]",-,-,-,-,-," Brand : APSARA
 Description : Beauty Dark Pencils
 Number of Pcs : 10 Pcs
 Colour of product : Assorted
 Artwork/Image/Character on Product Pack* : Subject to Change as per stock availability
Package Content : Beauty Dark Pencils 10 Pcs",-
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-18,Apsara,"Apsara Charcoal Pencil - Does Not Break, Provides Intense Black Finish, 3 pcs","Apsara Charcoal Pencil has smooth to rough textures without leaving permanent marks. It gives a clean, dense finish of an intense black. Its special characteristic is that it does not break, making it easy to transport. It has a fine grain, going on smoothly and precisely in rich, velvety, matte black.",3 pcs,pcs,3 pcs,3,1,50,49,"Hindustan Pencils Pvt Ltd.,Mumbai",India,['40231907'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40231907_1-apsara-charcoal-pencil-does-not-break-provides-intense-black-finish.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It has smooth to rough textures.
2. Does not leave permanent marks.
3. Does not break, making it easy to transport.","1. Suitable for drawing, sketching, or smudging.
2. Can be used on any surface.","['EAN Code: 40231907', 'Manufacturer Name & Address:Hindustan Pencils Pvt Ltd.,Mumbai', 'Marketed by:Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027', 'Country of Origin:India',  ]","Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027",-,-,-,-,"1. Brand :- APSARA.
2. Type :- Pencil.
3. Material :- Wood.
4. Colour :- Black.
5. Feature :- Softwood for easy sharpening, Dark lead needs less pressure when writing, Extra dark lead for good handwriting.
6. Package Contents:- 3 Pcs 
7. Body Material :- Cardboard.",-
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-18,Apsara,"Apsara Duo-Grip Eraser - Non Toxic, Firm Grip, Non Dust, 1 pc","Apsara Duo Grip Eraser is made up of soft high-quality material. It has an eraser holder for an easy grip while erasing. This is a smooth, soft eraser that is phthalate and PVC-free. It is a nontoxic eraser that is soft and smooth on paper. This eraser has a grip on both sides to protect it from getting dirty while simultaneously providing a firm grip. They are available in different colours which makes them fun to use.",1 pc,pc,1 pc,1,1,15,15,"Hindustan Pencils Pvt Ltd.,Mumbai",India,['40231910'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40231910_1-apsara-duo-grip-eraser-non-toxic-firm-grip-non-dust.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is a conventional eraser.
2. Made of a highly effective formulation.
3. Leaves less residue behind.
4. It is PVC-free and phthalate-free.
5. Provides firm grip.","1. Ideal for precision use.
2. The eraser can be used on any paper.","['EAN Code: 40231910', 'Manufacturer Name & Address:Hindustan Pencils Pvt Ltd.,Mumbai', 'Marketed by:Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027', 'Country of Origin:India',  ]","Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027",-,-,-,-,"1. Brand :- APSARA.
2. Type :- Eraser.
3. Material :- Rubber.
4. Colour :- Assorted.
5. Feature:- Easy grip while erasing, Smooth and soft non-dust eraser, Soft and smooth on paper.
6. Package Contents:- 1 pc of Eraser.
7. Body Material:- Cardboard.",-
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-18,Apsara,"Apsara Dustless Chalk, 100 pcs","Apsara Dustless Chalk is bright, smooth, and long-lasting. These are hypo-allergenic carbonate chalks. It gives a bright and bold impression for better visibility. Moreover, it does not damage the board surface. These chalks last 4 times longer than the ordinary chalk.",100 pcs,pcs,100 pcs,100,1,200,189,"Hindustan Pencils Pvt. Ltd., # 510, Himalaya House, Mumbai - 400001",India,['8901324005844'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40188551_2-apsara-dustless-chalk.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8901324005844', 'Country of origin: India', 'Manufacturer Name and Address: Hindustan Pencils Pvt. Ltd., # 510, Himalaya House, Mumbai - 400001',  ]",-,-,-,-,Keep away from kids below 5 years.," Brand : APSARA
 Description : Dustless Chalk
 Number of Pcs : 100 Pcs
 Colour of product : Assorted
 Artwork/Image/Character on Product Pack* : Subject to Change as per stock availability
Package Content : Dustless Chalk 100 Pcs",-
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-13,Apsara,"Apsara Erasable Colour Pencil - Premium, Easy To Use, Non-Toxic, 12 pcs","Apsara Erasable Colour Pencils are round-shaped pencils. These pencils are made using high-quality pigments and standard quality wood. It is smooth and has a rich colour. It is safe to use for children as it is non-toxic and is easy to use. It is erasable and has an eraser at the end of the pencil. These pre-sharpened colour pencil sets can be used by artists and students for drawing, colouring books, pages and fun.",12 pcs,pcs,12 pcs,12,1,150,145,"Hindustan Pencils Pvt Ltd.,Mumbai",India,['8901324036763'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40231920_1-apsara-erasable-colour-pencil-premium-easy-to-use-non-toxic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Made using high-quality pigments and standard quality wood.
2. It is smooth and has a rich colour.
3. It is non-toxic, pre-sharpened and easy to use.
3. Its round shape makes it easy to have a grip.","1. You can use it for writing or drawing.
2. Perfect to you for students.","['EAN Code: 8901324036763', 'Manufacturer Name & Address:Hindustan Pencils Pvt Ltd.,Mumbai', 'Marketed by:Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027', 'Country of Origin:India',  ]","Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027",-,-,-,-,"1. Brand:- APSARA.
2. Type :- Colour Pencil.
3. Material :- Wood.
4. Colour :- Assorted.
5. Feature :- Brilliant colours, Strong lead resists breakage, Attractive packaging.
6. Package Contents:- 12 Pcs of Pencil.",-
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-13,Apsara,"Apsara Jumbo Colour Pencil - Easy To Use, Non-Toxic, 12 pcs","Apsara Jumbo Colour Pencils are hexagonal shaped pencils. These pencils are made using high-quality pigments and standard quality wood. It is smooth and has a rich colour. It is safe to use for children as it is non-toxic and is easy to use. These pre-sharpened colour pencil sets can be used by artists and students for drawing, colouring books, pages and fun.",12 pcs,pcs,12 pcs,12,1,150,145,"Hindustan Pencils Pvt Ltd.,Mumbai",India,['8901324025057'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40231919_1-apsara-jumbo-colour-pencil-easy-to-use-non-toxic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Made using high-quality pigments and standard quality wood.
2. It is smooth and has a rich colour.
3. It is non-toxic, pre-sharpened and easy to use.
4. Its hexagonal shape makes it easy to have a grip.","1. You can use it for writing or drawing.
2. Perfect to you for students.","['EAN Code: 8901324025057', 'Manufacturer Name & Address:Hindustan Pencils Pvt Ltd.,Mumbai', 'Marketed by:Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027', 'Country of Origin:India',  ]","Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027",-,-,-,-,"1. Brand :- APSARA.
2. Type :- Colour Pencil.
3. Material :- Wood.
4. Colour :- Assorted.
5. Feature :- Brilliant colours, Strong lead resists breakage, Attractive packaging.
6. Package Contents:- 12 Pcs of Colour Pencil.",-
RET,RET-10,RET-10-1D,RET-10-1D-10,RET-10-1D-10-18,Apsara,"Apsara Long Point Sharpener - Durable, Easy Grip, 20 pcs","Apsara Long Point Sharpeners is among the best pencil sharpeners. It is a very cute and innovative sharpener. This sharpener has a long life and can dislodge the leads. The classic pencil sharpener is compact, durable and produces a clean, sharp pencil tip. It also has an easy grip for comfortable sharpening. It is made of high-quality material with a high-grade sharpening blade.",20 pcs,pcs,20 pcs,20,1,100,95,"Hindustan Pencils Pvt Ltd.,Mumbai",India,['40010703'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40010703_2-apsara-long-point-sharpener-durable-easy-grip.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40010703-2_1-apsara-long-point-sharpener-durable-easy-grip.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Right size for your hands.
2. Highly durable and resists breaking.
3. Has easy grip for comfortable sharpening.",Perfect to sharpen pencils and colour pencils.,"['EAN Code: 40010703', 'Manufacturer Name & Address:Hindustan Pencils Pvt Ltd.,Mumbai', 'Marketed by:Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027', 'Country of Origin:India',  ]","Ravi Agencies No11, 3rs Cross, Lalbagh Road, Bangalore 560027",-,-,-,-,"1. Brand :- APSARA.
2. Type :- Sharpener.
3. Material :- Plastic.
4. Colour :- Assorted.
5. Feature:- Rust free, long-lasting blade, Ergonomic design, Ease of use, Durable plastic body.
6. Package Contents:- 20 pcs of Sharpener.
7. Body Material:- Cardboard.",-
