L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Specification,From The Brand
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Atta/Maida/Dough Parat Plate - No.13, Stainless Steel, Sturdy, Durable, 1.8 l (1 pc)","BB Home Stainless Steel Thali is made from sturdy, stainless steel which provides a good addition to your kitchen. It is used to serve large meals and for everyday use in your home. Itâs elegant and scratch-proof. It promotes hygiene in your house and protects the environment.",1.8 l (1 pc),l ( pc),1.8 l (1 pc),1,1,449,279,"Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208",India,['40183406'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40183406_11-bb-home-stainless-steel-attamaidadough-parat-plate-no-13.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183406-2_10-bb-home-stainless-steel-attamaidadough-parat-plate-no-13.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183406-3_9-bb-home-stainless-steel-attamaidadough-parat-plate-no-13.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183406-4_8-bb-home-stainless-steel-attamaidadough-parat-plate-no-13.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183406-5_8-bb-home-stainless-steel-attamaidadough-parat-plate-no-13.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40183406'}, {'Manufacturer Name and Address': 'Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208'}, {'Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071'}, {'Country of origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071",-,-,-,"Brand: BB Home
Type: Parat
Body Material: Stainless Steel
Material : Stainless Steel
Colour: Silver
Capacity: 1800 ML
Dimension's: L-29 cm x H-4 cm
Package Contents: 1 Pc Parat",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Atta/Maida/Dough Parat Plate - No.15, Stainless Steel, Sturdy, Durable, 2.5 l (1 pc)","BB Home Stainless Steel Thali is made from sturdy, stainless steel which provides a good addition to your kitchen. It is used to serve large meals and for everyday use in your home. Itâs elegant and scratch-proof. It promotes hygiene in your house and protects the environment.",2.5 l (1 pc),l ( pc),2.5 l (1 pc),1,1,559,349,"Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208",India,['40183407'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40183407_10-bb-home-steel-attamaidadough-parat-plate-no-15.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183407-2_8-bb-home-steel-attamaidadough-parat-plate-no-15.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183407-3_7-bb-home-steel-attamaidadough-parat-plate-no-15.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183407-4_6-bb-home-steel-attamaidadough-parat-plate-no-15.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40183407', 'Manufacturer Name and Address: Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208', 'Marketed by: Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071', 'Country of origin: India',  | ]","Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071",-,-,-,"Brand: BB Home
Type: Parat
Body Material: Stainless Steel
Material: Stainless Steel
Colour: Silver
Capacity: 2500 ML
Dimensions: L- 34 cm x H-4.9 cm
Package Contents: 1 Pc Parat",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Belly Puri Dabba/Container With Lid - Stainless Steel, Rust Proof, Durable, 3 pcs","BB Home Puri Dabba/Container is used for storage of food and carrying it as a tiffin to work, school etc. Made of high-quality stainless steel; It is rust-proof, durable for daily use and provides a great storage utensil, preventing decay or damage of any sort to your food.",3 pcs,pcs,3 pcs,3,1,525,349,"Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208",India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40185122_9-bb-home-stainless-steel-belly-puri-dabbacontainer-with-lid.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40185122-2_1-bb-home-stainless-steel-belly-puri-dabbacontainer-with-lid.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40185122-3_3-bb-home-stainless-steel-belly-puri-dabbacontainer-with-lid.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40185122-4_1-bb-home-stainless-steel-belly-puri-dabbacontainer-with-lid.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40185122-5_1-bb-home-stainless-steel-belly-puri-dabbacontainer-with-lid.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"These dabbas can be used to pack lunches and snacks to the office or school or even when you are travelling.
Store delicious rotis with vegetables, rice and dal.",[ {'Country of origin': 'India'}],-,-,-,Do not use it for cooking purposes on the stove or microwave.,"Brand: BB Home
Type: Container
Body Material: Stainless Steel
Material: Stainless Steel
Colour: Silver
Capacity: 350 ml, 550 ml, 775 ml
Dimensions: Small : L-11.5xW-11.5xH-5.5 cm, Medium : L-13xW-13xH-6cm, Large : L-14.5xW-14.5xH-7cm
Package Contents : 3 Pcs Container",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Bowl/Vatti/Katori - No.5.5, Stainless Steel, Prem, Silver, 200 ml (Set of 4)","BB Home Prem Vatti is made from high-grade stainless steel which makes them extremely durable. Vatti is for multiple-purpose usage, from storing your perfect meals in compact bowls to serving special meals when guests come over. Itâs easy to clean and has a mirror finish. Traditionally used with thali trays, it can carry liquid and solid items.",200 ml (Set of 4),ml (Set of ),200 ml (Set of 4),1,1,389,249,"Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208",India,['40183389'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40183389_11-bb-home-stainless-steel-bowlvatikatori-no-55-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183389-2_7-bb-home-stainless-steel-bowlvatikatori-no-55-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183389-3_7-bb-home-stainless-steel-bowlvatikatori-no-55-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183389-4_5-bb-home-stainless-steel-bowlvatikatori-no-55-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183389-5_5-bb-home-stainless-steel-bowlvatikatori-no-55-prem.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40183389'}, {'Manufacturer Name and Address': 'Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208'}, {'Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071'}, {'Country of origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071",-,-,-,"Brand : BB Home
Type : Bowl
Body Material : Stainless Steel
Material : Stainless Steel
Colour : Silver
Capacity : 200 ml
Dimension's : L -10 Cm x H - 4 Cm
Package Contents : 4 Pcs Bowl",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Bowl/Vatti/Katori - No.5.5, Stainless Steel, Sada, Silver, 200 ml (Set of 4)","BB Home Sada Vatti is made from high-grade stainless steel which makes them extremely durable. Vatti is for multiple purpose usage, it provides a good serving bowl for your dinner table. Traditionally used with thali trays, it can carry liquid and solid items.",200 ml (Set of 4),ml (Set of ),200 ml (Set of 4),1,1,419,299,"Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208",India,['40183392'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40183392_11-bb-home-stainless-steel-bowlvatikatori-no-55-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183392-2_7-bb-home-stainless-steel-bowlvatikatori-no-55-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183392-3_3-bb-home-stainless-steel-bowlvatikatori-no-55-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183392-4_1-bb-home-stainless-steel-bowlvatikatori-no-55-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183392-5_1-bb-home-stainless-steel-bowlvatikatori-no-55-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183392-6_1-bb-home-stainless-steel-bowlvatikatori-no-55-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183392-7_1-bb-home-stainless-steel-bowlvatikatori-no-55-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183392-8_1-bb-home-stainless-steel-bowlvatikatori-no-55-sada.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40183392', 'Manufacturer Name and Address: Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208', 'Marketed by: Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071', 'Country of origin: India',  | ]","Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071",-,-,-,"Brand: BB Home
Type: Bowl
Body Material: Stainless Steel
Material: Stainless Steel
Colour: Silver
Capacity: 200 ml
Dimensions: L - 8.3 cm x H - 3.9 Cm 
Package Contents: 4 Pcs Bowl",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Bowl/Vatti/Katori - No.6, Stainless Steel, Prem, Silver, 250 ml (Set of 4)","BB Home Prem Vatti is made from high-grade stainless steel which makes them extremely durable. Vatti is for multiple-purpose usage, from storing your perfect meals in compact bowls to serving special meals when guests come over. Itâs easy to clean and has a mirror finish. Traditionally used with thali trays, it can carry liquid and solid items.",250 ml (Set of 4),ml (Set of ),250 ml (Set of 4),1,1,439,279,"Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208",India,['40183390'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40183390_11-bb-home-stainless-steel-bowlvatikatori-no-6-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183390-2_9-bb-home-stainless-steel-bowlvatikatori-no-6-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183390-3_8-bb-home-stainless-steel-bowlvatikatori-no-6-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183390-4_7-bb-home-stainless-steel-bowlvatikatori-no-6-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183390-5_7-bb-home-stainless-steel-bowlvatikatori-no-6-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183390-6_7-bb-home-stainless-steel-bowlvatikatori-no-6-prem.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40183390', 'Manufacturer Name and Address: Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208', 'Marketed by: Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071', 'Country of origin: India',  | ]","Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071",-,-,-,"Brand: BB Home
Type: Bowl
Body Material: Stainless Steel
Material: Stainless Steel
Colour: Silver
Capacity: 250 ML
Dimensions: L-10 Cm x H- 4 cm 
Package Contents: 4 Pcs Bowl",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Bowl/Vatti/Katori - No.6.5, Stainless Steel, Sada, Silver, 300 ml (Set of 4)","BB Home Sada Vatti is made from high-grade stainless steel which makes them extremely durable. Vatti is for multiple purpose usage, it provides as a good serving bowl for your dinner table. Traditionally used with thali trays, it can carry liquid and solid items.",300 ml (Set of 4),ml (Set of ),300 ml (Set of 4),1,1,509,349,"Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208",India,['40183393'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40183393_11-bb-home-stainless-steel-bowlvatikatori-no-65-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183393-2_9-bb-home-stainless-steel-bowlvatikatori-no-65-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183393-3_7-bb-home-stainless-steel-bowlvatikatori-no-65-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183393-4_7-bb-home-stainless-steel-bowlvatikatori-no-65-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183393-5_7-bb-home-stainless-steel-bowlvatikatori-no-65-sada.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183393-6_7-bb-home-stainless-steel-bowlvatikatori-no-65-sada.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40183393', 'Manufacturer Name and Address: Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208', 'Marketed by: Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071', 'Country of origin: India',  | ]","Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071",-,-,"Before first use, wash in hot water, rinse, and towel dry.
After use, wash the piece with warm water, mild soap and a soft sponge.
For any food residues, soak in warm water and soap for a few minutes, then wash and rinse as usual.
Some dishwashing detergents may contain highly corrosive chemicals and damage the utensil. Do not use steel wool, scrub pad, oven cleaners and bleach to keep your cookware looking shiny.
After washing, dry immediately each piece with a dry cloth or paper towel to prevent rust and limescale formation.","Brand : BB Home
Type : Bowl
Body Material : Stainless Steel
Steel Gauge : 22
Colour: Silver
Capacity : 300 ml
Dimensions : L- 9 Cm x H - 4.3 CM
Dishwasher Safe : Yes
Package Content : 4 Pcs Bowl in box packaging",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Bowl/Vatti/Katori - No.7, Stainless Steel, Prem, Silver, 400 ml (Set of 4)","BB Home Prem Vatti is made from high-grade stainless steel which makes them extremely durable. Vatti is for multiple-purpose usage, from storing your perfect meals in compact bowls to serving special meals when guests come over. Itâs easy to clean and has a mirror finish. Traditionally used with thali trays, it can carry liquid and solid items.",400 ml (Set of 4),ml (Set of ),400 ml (Set of 4),1,1,539,349,"Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208",India,['40183391'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40183391_10-bb-home-stainless-steel-bowlvatikatori-no-7-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183391-2_7-bb-home-stainless-steel-bowlvatikatori-no-7-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183391-3_6-bb-home-stainless-steel-bowlvatikatori-no-7-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183391-4_5-bb-home-stainless-steel-bowlvatikatori-no-7-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183391-5_5-bb-home-stainless-steel-bowlvatikatori-no-7-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183391-6_5-bb-home-stainless-steel-bowlvatikatori-no-7-prem.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40183391-7_5-bb-home-stainless-steel-bowlvatikatori-no-7-prem.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40183391', 'Manufacturer Name and Address: Neelam Appliances Ltd., Neelam House,Fafadia Industrial Estate, Waliv, Vasai, Dist. Palghar.Maharashtra-401208', 'Marketed by: Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071', 'Country of origin: India',  | ]","Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071",-,-,-,"Brand: BB Home
Type: Bowl
Body Material: Stainless Steel
Material : Stainless Steel
Colour: Silver
Capacity: 400 ml
Dimensions: L - 12.5 Cm x H - 5 Cm
Available Colour: Silver
Package Contents: 4 Pcs Bowl",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Chanti Bowl/Vati/Katori - No. 3.5, Stainless Steel, Silver, 50 ml (Set of 2)",BB Home Chutney Bowl can be used to serve all sorts of homemade chutneys and sauces with ease to accompany your homemade spicy Indian meal. It is made from high-quality steel and this set of four steel bowls is a must-have for your home and for small servings.,50 ml (Set of 2),ml (Set of ),50 ml (Set of 2),1,1,139,79,"M/S Sanjay Stainless Steel Works, G-66, Sarvodaya Nagar, 1st Panjaarapole Lane, Mumbai-400004",India,['40186018'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40186018_10-bb-home-stainless-steel-bowlvatikatori-no-35-chutney.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40186018-2_5-bb-home-stainless-steel-bowlvatikatori-no-35-chutney.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40186018-3_5-bb-home-stainless-steel-bowlvatikatori-no-35-chutney.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40186018-4_3-bb-home-stainless-steel-bowlvatikatori-no-35-chutney.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40186018-5_3-bb-home-stainless-steel-bowlvatikatori-no-35-chutney.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40186018'}, {'Country of origin': 'India'}, {'Manufacturer Name & Address': 'M/S Sanjay Stainless Steel Works, G-66, Sarvodaya Nagar, 1st Panjaarapole Lane, Mumbai-400004'}, {'Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071 Supermarket Grocery Supplies Pvt. Ltd.,2nd & 8th Floor,Fairway Business Park,Near Embassy Golf Links Business Park,Challaghatta,Bengaluru-560071'}]","Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071 Supermarket Grocery Supplies Pvt. Ltd.,2nd & 8th Floor,Fairway Business Park,Near Embassy Golf Links Business Park,Challaghatta,Bengaluru-560071",-,-,"Before first use, wash in hot water, rinse, and towel dry.
After use, wash the piece with warm water, mild soap and a soft sponge.
For any food residues, soak in warm water and soap for a few minutes, then wash and rinse as usual.
Some dishwashing detergents may contain highly corrosive chemicals and damage the utensil. Do not use steel wool, scrub pad, oven cleaners and bleach to keep your cookware looking shiny.
After washing, dry immediately each piece with a dry cloth or paper towel to prevent rust and limescale formation.","Brand: BB Home
Type: Bowl
Body Material: Stainless Steel
Material Grade: 202
Material Gauge: 22 G
Thickness: 0.5MM
Colour: Silver
Induction Bottom: No
Capacity: 50 ml
Dishwasher Safe: Yes
Dimensions : LxBxH- 65x65x26 mm
Package Content: 2 Pcs Bowl in box packaging",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,BB Home,"BB Home Chatni Plate - No.4.5, Stainless Steel, Small, Silver, 4 pcs",BB Home Chatni Plate can be used to serve all sorts of homemade chutneys and sauces with ease to accompany your homemade spicy Indian meal. It is made from high-quality steel and this set of four steel Plates is a must-have for your home and for small servings.,4 pcs,pcs,4 pcs,4,1,269,119,"M/S Sanjay Stainless Steel Works, G-66, Sarvodaya Nagar, 1st Panjaarapole Lane, Mumbai-400004",India,['40186020'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40186020_9-bb-home-stainless-steel-small-plate-no-45-chatni.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40186020-2_6-bb-home-stainless-steel-small-plate-no-45-chatni.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40186020-3_6-bb-home-stainless-steel-small-plate-no-45-chatni.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40186020-4_4-bb-home-stainless-steel-small-plate-no-45-chatni.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40186020-5_4-bb-home-stainless-steel-small-plate-no-45-chatni.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40186020'}, {'Manufacturer Name and Address': 'M/S Sanjay Stainless Steel Works, G-66, Sarvodaya Nagar, 1st Panjaarapole Lane, Mumbai-400004'}, {'Marketed by': 'Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071'}, {'Country of origin': 'India'}]","Supermarket Grocery Supplies Pvt. Ltd., 2nd & 8th Floor, Fairway Business Park, Near Embassy Golf Links Business Park, Challaghatta, Bengaluru-560071",-,-,"Before first use, wash in hot water, rinse, and towel dry.
After use, wash the piece with warm water, mild soap and a soft sponge.
For any food residues, soak in warm water and soap for a few minutes, then wash and rinse as usual.
Some dishwashing detergents may contain highly corrosive chemicals and damage the utensil. Do not use steel wool, scrub pad, oven cleaners and bleach to keep your cookware looking shiny.
After washing, dry immediately each piece with a dry cloth or paper towel to prevent rust and limescale formation.","Brand: BB Home
Type: Plate
Body Material: Stainless Steel
Material Grade: 202
Material Gauge: 22 G
Thickness: 0.5MM
Colour: Silver
Induction Bottom: No
Dishwasher Safe: Yes
Dimensions: LxBxH- 86x86x11 mm
Package Content: 4 Pcs Plate in box packaging",-
