L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand,About
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,24 Mantra,"24 Mantra Organic Green Tea - Tulsi, 50 g Carton","Tea or ""Chai"" is one of the most popular beverages consumed worldwide. Tea is consumed in different parts of the world as green, black, or Oolong tea. Among these, green tea is the one which has been reported to have the most significant effects on human health. Our 24 Mantra Organic Tulsi Green Tea is of premium quality and sourced from the highest altitudes of Nilgiri Hills.",50 g Carton,g,50 g Carton,1,1,95,95,"Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034",India,['40012918'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40012918_3-24-mantra-organic-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012918-2_2-24-mantra-organic-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012918-3_2-24-mantra-organic-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012918-4_2-24-mantra-organic-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012918-5_2-24-mantra-organic-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012918-6_2-24-mantra-organic-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012918-7_2-24-mantra-organic-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012918-8_1-24-mantra-organic-tulsi-green-tea.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Put a teaspoon of tea (approx-2g) into a tea pot. Boil a cup of water (150ml). Remove from fire and set it aside for a few seconds. Pour the boiled water into the tea pot, close with lid and wait for 2 minutes. Strain the hot Tulsi-green tea and enjoy the sips. For good benefits, avoid sugar. Addition of milk is not necessary. You can flavor the tea with honey for variety.","[{'EAN Code': '40012918'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034'}]",-,-,-,"100 % Organic
Grown without synthetic Pesticides
Grown without synthetic GMOs
Unadulterated
Antioxidant-rich
A low-calorie beverage
Packed with health benefits",Tulsi green tea,-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,24 Mantra,"24 Mantra Organic Green Tea, 100 g Carton","Tea or ""Chai"" is one of the most popular beverages consumed worldwide. Tea is consumed in different parts of the world as oragnic green tea, black, or Oolong tea. Among these, organic green tea bag is the one which has been reported to have the most significant effects on human health. Our 24 Mantra Organic Green Tea bag is of premium quality and sourced from the highest altitudes of Nilgiri Hills.",100 g Carton,g,100 g Carton,1,1,220,220,"Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034",India,['890483512738'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40012916_5-24-mantra-organic-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012916-2_4-24-mantra-organic-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012916-3_4-24-mantra-organic-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012916-4_4-24-mantra-organic-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012916-5_3-24-mantra-organic-green-tea.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '890483512738'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034'}]",-,-,-,"100 % Organic
Grown without synthetic Pesticides
Grown without synthetic GMOs
Unadulterated
Antioxidant-rich
A low-calorie beverage
Packed with health benefits",-,-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,24 Mantra,"24 Mantra Organic Tulsi & Ginger Tea, 50 g Carton","Tea or ""Chai"" is one of the most popular beverages consumed worldwide. Tea is consumed in different parts of the world as green, black, or Oolong tea. Among these, Tulsi Ginger tea is the one which has been reported to have the most significant effects on human health. Our 24 Mantra Organic Tulsi Ginger Tea is of premium quality and sourced from the highest altitudes of Nilgiri Hills.",50 g Carton,g,50 g Carton,1,1,95,95,"Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034",India,['8904083513001'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40012915_3-24-mantra-organic-tulsi-ginger-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012915-2_3-24-mantra-organic-tulsi-ginger-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012915-3_3-24-mantra-organic-tulsi-ginger-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012915-4_3-24-mantra-organic-tulsi-ginger-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012915-5_2-24-mantra-organic-tulsi-ginger-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012915-6_2-24-mantra-organic-tulsi-ginger-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012915-7_2-24-mantra-organic-tulsi-ginger-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40012915-8_1-24-mantra-organic-tulsi-ginger-tea.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code:8904083513001', 'Country Of Origin: India', 'Manufactured by: Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034', 'Best before__PSL__days from delivery date', '",-,-,-,"100 % Organic
Grown without synthetic Pesticides
Grown without synthetic GMOs
Unadulterated
Antioxidant-rich
A low-calorie beverage
Packed with health benefits",-,-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,24 Mantra,"24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag, 37.5 g (25 Bags x 1.5 g each)","Tulsi Ginger tea bag contains polyphenols, which include flavanols, flavandiols, flavonoids, and phenolic acids. The major flavonoids of tulsi ginger tea are various catechins, which are found in greater amounts in green tea than in black or Oolong tea. Our 24 Mantra Organic Tulsi Ginger Herbal Infusion Tea is of premium quality.",37.5 g (25 Bags x 1.5 g each),g,37.5 g (25 Bags x 1.5 g each),1,1,170,170,"Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034",India,['8904083510000'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40119219_8-24-mantra-organic-tulsi-ginger-herbal-infusion-tea-bag.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119219-2_8-24-mantra-organic-tulsi-ginger-herbal-infusion-tea-bag.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119219-3_8-24-mantra-organic-tulsi-ginger-herbal-infusion-tea-bag.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119219-4_2-24-mantra-organic-tulsi-ginger-herbal-infusion-tea-bag.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119219-5_2-24-mantra-organic-tulsi-ginger-herbal-infusion-tea-bag.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119219-6_2-24-mantra-organic-tulsi-ginger-herbal-infusion-tea-bag.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119219-7_2-24-mantra-organic-tulsi-ginger-herbal-infusion-tea-bag.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Place bags in a cup of hot water and infuse for 2-3 min and drink,"['EAN Code: 8904083510000', 'Country Of Origin: India', 'Manufactured by: Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034', 'Best before 03-07-2023', '",-,-,-,"Our Tulsi Ginger Teabag is
100 % Organic
Grown without synthetic Pesticides
Grown without synthetic GMOs
Unadulterated
Antioxidant-rich
A low-calorie beverage
Packed with health benefits","Each 1.5 g infusion bag contains Ginger 40%, Ram Tulsi 20%, Krishna Tulsi 20%, Vana Tulsi 20%",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,24 Mantra,"24 Mantra Organic Tulsi Ginger Tea Bags 37.5 g (25 Bags)+ Honey - Himalayan 250 g, Combo 2 Items","24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag 37.5 g (25 Bags x 1.5 g each):
Tulsi Ginger tea bag contains polyphenols, which include flavanols, flavandiols, flavonoids, and phenolic acids. The major flavonoids of tulsi ginger tea are various catechins, which are found in greater amounts in green tea than in black or Oolong tea. Our 24 Mantra Organic Tulsi Ginger Herbal Infusion Tea is of premium quality.
24 Mantra Organic Honey - Himalayan Multiflower 250 g Jar
24 Mantra Organic Honey is pure and freshly filtered organic honey, retaining its natural goodness. It is produced by the nectar of blossoms and transformed gradually in the honeycomb into a ripe, golden brown fluid savoured by pleasure seekers and health freaks alike.  It facilitates better physical performance, resistance to fatigue and boosts mental activity.  Its high fructose content makes it a well-known remedy for colds and mouth, throat or bronchial irritations and infections.  A high nutritional content aids digestive functions, bone development and also reduces the risk of diabetes. It is after all your family sweetest health secret.",Combo 2 Items,Combo  Items,Combo 2 Items,2,1,295,295,"Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034",India,['1216119'],-,https://datalabs.siva3.io/image/Eunimart_groceries_216119_2-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216119-2_1-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216119-3_1-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216119-4_1-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_216119-5_1-24-mantra-organic-tulsi-ginger-tea-bags-375-g-25-bags-honey-himalayan-250-g.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag 37.5 g (25 Bags x 1.5 g each):
Place bags in a cup of hot water and infuse for 2-3 min and drink
24 Mantra Organic Honey - Himalayan Multiflower 250 g Jar
Drink two teaspoons of honey with water in the morning & evening.","[{'EAN Code': '1216119'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034'}]",-,-,-,"24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag 37.5 g (25 Bags x 1.5 g each)
Our Tulsi Ginger Teabag is
100 % Organic
Grown without synthetic Pesticides
Grown without synthetic GMOs
Unadulterated
Antioxidant-rich
A low-calorie beverage
Packed with health benefits

24 Mantra Organic Honey - Himalayan Multiflower 250 g Jar
A high nutritional content aids digestive functions, bone development and also reduces the risk of diabetes
Natural remedy for cough n cold","24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag 37.5 g (25 Bags x 1.5 g each)
Each 1.5 g infusion bag contains Ginger 40%, Ram Tulsi 20%, Krishna Tulsi 20%, Vana Tulsi 20%
24 Mantra Organic Honey - Himalayan Multiflower 250 g Jar",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,24 Mantra,"24 Mantra Organic Tulsi Tea, 50 g","Tea or ""Chai"" is one of the most popular beverages consumed worldwide. Tea is consumed in different parts of the world as green, black, or Oolong tea. Among these, green tea is the one which has been reported to have the most significant effects on human health. Our 24 Mantra Organic Tulsi Tea is of premium quality and sourced from the highest altitudes of Nilgiri Hills.",50 g,g,50 g,1,1,120,120,"Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034",India,['8904083514954'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40119218_4-24-mantra-organic-tulsi-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119218-2_4-24-mantra-organic-tulsi-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119218-3_4-24-mantra-organic-tulsi-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119218-4_4-24-mantra-organic-tulsi-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119218-5_4-24-mantra-organic-tulsi-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119218-6_4-24-mantra-organic-tulsi-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119218-7_4-24-mantra-organic-tulsi-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119218-8_1-24-mantra-organic-tulsi-tea.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Put a spoonful in boiling water to make a cup of Tulsi infusion; You can also add a spoon to your regular tea brew.,"[{'EAN Code': '8904083514954'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'Sresta Natural Bioproducts pvt ltd , Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034'}]",-,-,-,"100 % Organic
Grown without synthetic Pesticides
Grown without synthetic GMOs
Unadulterated
Antioxidant-rich
A low-calorie beverage
Packed with health benefits","Rama Tulsi, Krishna Tulsi and Vana Tulsi",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,24 Mantra,"24 Mantra Tulsi Green Tea, 85 g (25 Bags x 3.4 g each)","Tea is one of the most popular beverages consumed worldwide. Tea is consumed in different parts of the world as green, black, or Oolong tea. Among these, tulsi green tea is the one that has been reported to have the most significant effects on human health. Our 24 Mantra Organic Tulsi Green Tea Bag is of premium quality and sourced from the highest altitudes of Nilgiri Hills.",85 g (25 Bags x 3.4 g each),g,85 g (25 Bags x 3.4 g each),1,1,170,170,"Sresta Natural Bioproducts pvt ltd, Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034",India,['40119220'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40119220_4-24-mantra-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119220-2_4-24-mantra-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119220-3_4-24-mantra-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119220-4_4-24-mantra-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119220-5_4-24-mantra-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119220-6_4-24-mantra-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119220-7_3-24-mantra-tulsi-green-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40119220-8_2-24-mantra-tulsi-green-tea.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Place bags in a cup of hot water and infuse for 2-3 min and drink.,"['EAN Code: 40119220', 'Country of Origin: India', 'Manufactured by: Sresta Natural Bioproducts pvt ltd, Lane Opp. GVK One, 8-2-468/A/1/3, Rd Number 5, Banjara Hills, Hyderabad, Telangana 500034', 'Best before 03-07-2023', '",-,-,-,"100 % Organic
Grown without synthetic Pesticides
Grown without synthetic GMOs
Unadulterated
Antioxidant-rich
A low-calorie beverage
Packed with health benefits","Each 1. 5 g infusion bag contains Green Tea 40%, Ram Tulsi 20%, Krishna Tulsi 20%, Vana Tulsi 20%",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,3 Roses,"3 Roses Dust Tea, 500 g Carton","Since 1869, Brooke Bond has brought you the perfect tasting tea experience with the best-chosen leaves from Assam. Brooke Bond has launched 3 Roses, one of Indias most preferred tea brand today. Brooke Bond 3 Roses since then has changed the way people drink tea.
 In an earlier time, tea was consumed for refreshment or just as a habit. Brooke Bond 3 Roses introduced Indias Tea as the most favourite hot beverage promising you - A Perfect cup of tea. Brooke Bond 3 Roses talented expertise gives you rich colour, irresistible taste and correct strength by perfectly blending three different tea leaves. When the three come together it is just perfect! It is so tasty that one cup of tea will never be enough because it has perfect Colour Taste and Strength.
 The Perfect Brew for Healthy and Playful MischiefA cup of Brooke Bond 3 Roses Tea is not just tasty but also healthy. Every cup of 3 Roses Tea contains special tea Leaves with natural flavonoids that help improve blood circulation which is good for your family's health. These healthy flavonoids give 3 roses tea its perfect colour taste and strength. It's full of health and full of life. Its unmatched taste ignites playful mischief in the relationship. Healthier brew with Refreshing taste. It is an irresistibly good relationship brew!",500 g Carton,g,500 g Carton,1,1,390,325,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",India,['8901030630187'],-,https://datalabs.siva3.io/image/Eunimart_groceries_266572_4-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-2_4-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-3_4-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-4_2-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-5_2-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-6_2-3-roses-dust-tea.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boil water. Take 3/4th cup for every cup you want to make. Now add tea powder according to number of cups. You can take one teaspoon per cup. If you want the tea to be strong then add more powder. Now add sugar as per your taste buds.,"[{'EAN Code': '8901030630187'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099'}]",-,-,-,-,Tea leaves.,-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,3 Roses,"3 Roses Dust Tea, 500 g Carton","Since 1869, Brooke Bond has brought you the perfect tasting tea experience with the best-chosen leaves from Assam. Brooke Bond has launched 3 Roses, one of Indias most preferred tea brand today. Brooke Bond 3 Roses since then has changed the way people drink tea.
 In an earlier time, tea was consumed for refreshment or just as a habit. Brooke Bond 3 Roses introduced Indias Tea as the most favourite hot beverage promising you - A Perfect cup of tea. Brooke Bond 3 Roses talented expertise gives you rich colour, irresistible taste and correct strength by perfectly blending three different tea leaves. When the three come together it is just perfect! It is so tasty that one cup of tea will never be enough because it has perfect Colour Taste and Strength.
 The Perfect Brew for Healthy and Playful MischiefA cup of Brooke Bond 3 Roses Tea is not just tasty but also healthy. Every cup of 3 Roses Tea contains special tea Leaves with natural flavonoids that help improve blood circulation which is good for your family's health. These healthy flavonoids give 3 roses tea its perfect colour taste and strength. It's full of health and full of life. Its unmatched taste ignites playful mischief in the relationship. Healthier brew with Refreshing taste. It is an irresistibly good relationship brew!",500 g Carton,g,500 g Carton,1,1,390,325,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",India,['8901030630187'],-,https://datalabs.siva3.io/image/Eunimart_groceries_266572_4-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-2_4-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-3_4-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-4_2-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-5_2-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-6_2-3-roses-dust-tea.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boil water. Take 3/4th cup for every cup you want to make. Now add tea powder according to number of cups. You can take one teaspoon per cup. If you want the tea to be strong then add more powder. Now add sugar as per your taste buds.,"[{'EAN Code': '8901030630187'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099'}]",-,-,-,-,Tea leaves.,-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-19,3 Roses,"3 Roses Dust Tea, 500 g Carton","Since 1869, Brooke Bond has brought you the perfect tasting tea experience with the best-chosen leaves from Assam. Brooke Bond has launched 3 Roses, one of Indias most preferred tea brand today. Brooke Bond 3 Roses since then has changed the way people drink tea.
 In an earlier time, tea was consumed for refreshment or just as a habit. Brooke Bond 3 Roses introduced Indias Tea as the most favourite hot beverage promising you - A Perfect cup of tea. Brooke Bond 3 Roses talented expertise gives you rich colour, irresistible taste and correct strength by perfectly blending three different tea leaves. When the three come together it is just perfect! It is so tasty that one cup of tea will never be enough because it has perfect Colour Taste and Strength.
 The Perfect Brew for Healthy and Playful MischiefA cup of Brooke Bond 3 Roses Tea is not just tasty but also healthy. Every cup of 3 Roses Tea contains special tea Leaves with natural flavonoids that help improve blood circulation which is good for your family's health. These healthy flavonoids give 3 roses tea its perfect colour taste and strength. It's full of health and full of life. Its unmatched taste ignites playful mischief in the relationship. Healthier brew with Refreshing taste. It is an irresistibly good relationship brew!",500 g Carton,g,500 g Carton,1,1,390,325,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",India,['8901030630187'],-,https://datalabs.siva3.io/image/Eunimart_groceries_266572_4-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-2_4-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-3_4-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-4_2-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-5_2-3-roses-dust-tea.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_266572-6_2-3-roses-dust-tea.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boil water. Take 3/4th cup for every cup you want to make. Now add tea powder according to number of cups. You can take one teaspoon per cup. If you want the tea to be strong then add more powder. Now add sugar as per your taste buds.,"[{'EAN Code': '8901030630187'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099'}]",-,-,-,-,Tea leaves.,-,-,-
