Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Colour Shade Name,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),images.img1,images.img2,images.img3,images.img4,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Features,Hex Code,Pigmentation,Sustainable,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00115518,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,Plush Up Gelato Strawberry Sorbet Lipstick 06,Pink,Strawberry Sorbet,3-3.5 ML,1,Elizabeth Arden,1775,1775,"Shade name
Strawberry Sorbet 06

What it is
Gelato Lipstick

What it does
This creamy gel formula leaves lips with a sheer, shiny kiss of color
The sweet gelato flavor creates an addiction that will keep you wanting to come back for more
Lips are instantly cooled and appear plumped for a fuller look",,,1,Units,,"RetailNet, REVLON CONSUMER PRODUCTS CORPORATION 1501 Williamsboro St. Oxford, NC 27565, USA",Italy,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenPlushUpGelatoStrawberrySorbetLipstick06_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenPlushUpGelatoStrawberrySorbetLipstick06_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenPlushUpGelatoStrawberrySorbetLipstick06_3.jpg,,,,,(Y),(Y),(N),,,,,,Strawberry,,,Hyaluronic Acid,Bullet,,,,Sweet,,,,,,,Glossy,Fuller Lips,#e65672,Medium Coverage,,"Gel,Sheer",,,,,
EU00115519,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Plush Up Flirty Fuchsia Lip Gelato 05,Pink,Flirty Fuchsia,3-3.5 ML,1,Elizabeth Arden,1775,1775,"Shade name
Flirty Fuchsia 05

What it is
Creamy gel formula lipstick

What it does
This addictive gel formula melts onto lips leaving a sheer, shiny finish
Lips are instantly cooled and appear plumped for a fuller look
The sweet gelato flavor creates an addiction that will keep you wanting to come back for more
Smoothens and conditions while helping to create fuller looking lips
Soothes, protects and helps lock in moisture
Rich in antioxidants, leaves lips feeling soft and nourished
Ingredients
Peptides
Hylauronic Acid
Shea Butter
Rosemerry extract
Vitamin A and E",,,1,Units,,"RetailNet, REVLON CONSUMER PRODUCTS CORPORATION1501 Williamsboro St.Oxford, NC 27565, USA",Italy,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenNewYorkPlushUpFlirtyFuchsiaLipGelato05_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenNewYorkPlushUpFlirtyFuchsiaLipGelato05_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10ElizabethArdenNewYorkPlushUpFlirtyFuchsiaLipGelato05_3.jpg,,,,,(Y),(Y),(N),,,,,,"Antioxidants,Shea Butter,Peptides,Vitamin A",,,Fragrance-Free,Bullet,Vitamin A,,,Sweet,,,,,,,Creme,Moisturising,#ae2b47,Medium Coverage,,"Gel,Sheer",,,,,
EU00115520,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Founder 115,Pink,Founder 115,4-5 ML,1,Maybelline,699,419,"Maybelline New York Super Stay Matte Ink Liquid Lipstick
Shade name: Founder 115",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Founder115_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Founder115_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Founder115_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Long Lasting,#811532,Medium Coverage,,Matte,,,,,
EU00115521,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Color Sensational Creamy Matte Lipstick - Touch of Spice 660,Maroon,Touch of Spice 660,3.5-4 ML,1,Maybelline,329,213,"Maybelline New York Color Sensational Creamy Matte
Shade Name: 660 Touch Of Spice
Features:
Discover Maybelline New York's Color Sensational Creamy Matte Lipsticks in 35 comfortably matte shades! Infused with pure precious oils that are filled with moisture; our smoothest, creamiest, non-drying matte lipstick leaves the lips with a sensuous finish for that comfortable feel.
The Creamy Mattes are available in 35 stunning and highly pigmented shades; ranging from classic red lipsticks such as Rich Ruby and Siren in Scarlet to flawless nude lipsticks like Daringly Nude and Nude Embrace.",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-TouchofSpice660_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-TouchofSpice660_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalCreamyMatteLipstick-TouchofSpice660_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Bullet,,,,,,,,,,,Matte,Moisturising,#9f4a37,Medium Coverage,,Matte,,,,,
EU00115522,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Amazonian 70,Brown,Amazonian 70,4-5 ML,1,Maybelline,699,419,"New York Super Stay Matte Ink Liquid Lipstick
Shade name: Amazonian",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Amazonian70_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Amazonian70_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Amazonian70_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#9d4b3d,Full Coverage,,Matte,,,,,
EU00115523,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Color Sensational Ultimattes Lipstick- 599 More Mauve- 1.7g,Pink,More Mauve,0-2 ML,1,Maybelline,599,359,"Maybelline New York Color Sensational Ultimatte Lipstick
Shade Number: 599
Shade Name: More Mauve",,,1,Units,,"Vision Star, CHN - YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, NO. 18 XIHU ROAD, XILING ECONOMIC DEVELOPING ZONE, YICHANG, CHINA",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-599MoreMauve-1.7g_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-599MoreMauve-1.7g_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-599MoreMauve-1.7g_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkColorSensationalUltimattesLipstick-599MoreMauve-1.7g_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Fragrance-Free,Bullet,,,,,,,,,,,Matte,Easy Application,,Full Coverage,Regular,,,,,,
EU00115524,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Artist 120,Pink,Artist 120,4-5 ML,1,Maybelline,699,419,"Maybelline New York Super Stay Matte Ink Liquid Lipstick
Shade name - Artist 120",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Artist120_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Artist120_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Artist120_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#b7235c,Full Coverage,,Matte,,,,,
EU00115525,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Ambitious 220,Red,Ambitious 220,4-5 ML,1,Maybelline,699,419,"Maybelline New York Super Stay Matte Ink Liquid Lipstick
Shade name - Ambitious 220",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ambitious220_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ambitious220_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ambitious220_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#ab233b,Full Coverage,,Matte,,,,,
EU00115526,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Lover 15,Pink,Lover 15,4-5 ML,1,Maybelline,699,419,Super Stay Matte Ink Liquid Lipstick 5 ml - Lover 15,,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Lover15_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Lover15_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Lover15_3.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Lover15_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Liquid,,,,,,,,,,,Matte,Transfer Proof,#af616e,Full Coverage,,Matte,,,,,
EU00115527,RET,RET-13,RET-13-13,RET-13-13-14,RET-13-14-14-10,New York Super Stay Matte Ink Liquid Lipstick 5 ml - Ruler 80,Red,Ruler 80,4-5 ML,1,Maybelline,699,419,"Maybelline New York Super Stay Matte Ink Liquid Lipstick 5 ml
Shade name - 80 Ruler",,,1,Units,,"Vision Star, YICHANG TIANMI INTERNATIONAL COSMETICS CO., LTD., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China",China,,,,,,,,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ruler80_1.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ruler80_2.jpg,https://datalabs.siva3.io/images/LipsticksRET-13-14-14-10MaybellineNewYorkSuperStayMatteInkLiquidLipstick5ml-Ruler80_3.jpg,,,,,(Y),(Y),(N),,,,,,,,,Vegan,Liquid,,,,,,,,,,,Matte,Smooth Texture,#ce3b4e,Medium Coverage,,Matte,,,,,
